Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
logistic_regression,chi2_mi_union_topk,0.4455 ± 0.0251,0.4420 ± 0.0248,0.5227 ± 0.0265,0.4461 ± 0.0263,0.4419 ± 0.0246,0.6617 ± 0.0226,0.5377 ± 0.0254,0.5227 ± 0.0265,0.5287 ± 0.0248,0.6938 ± 0.0197,0.5164 ± 0.0224,0.4492 ± 0.0245,0.4466 ± 0.0259,0.6531 ± 0.0180,0.5422 ± 0.0210,0.5164 ± 0.0224,0.5274 ± 0.0215,0.6829 ± 0.0176
knn,spearman_corr,0.4063 ± 0.0122,0.3880 ± 0.0158,0.5348 ± 0.0152,0.4155 ± 0.0252,0.4010 ± 0.0120,0.6426 ± 0.0174,0.4841 ± 0.0210,0.5348 ± 0.0152,0.4886 ± 0.0151,0.6695 ± 0.0144,0.5420 ± 0.0096,0.4373 ± 0.0148,0.4142 ± 0.0103,0.6501 ± 0.0086,0.5010 ± 0.0116,0.5420 ± 0.0096,0.5016 ± 0.0097,0.6724 ± 0.0086
knn,mutual_info,0.4183 ± 0.0172,0.4194 ± 0.0237,0.5538 ± 0.0204,0.4476 ± 0.0306,0.4258 ± 0.0209,0.6638 ± 0.0283,0.5131 ± 0.0250,0.5538 ± 0.0204,0.5159 ± 0.0200,0.6895 ± 0.0268,0.5497 ± 0.0110,0.4465 ± 0.0195,0.4243 ± 0.0147,0.6581 ± 0.0079,0.5113 ± 0.0158,0.5497 ± 0.0110,0.5129 ± 0.0135,0.6828 ± 0.0074
knn,spearman_sulov,0.4118 ± 0.0180,0.4152 ± 0.0311,0.5527 ± 0.0152,0.4506 ± 0.0270,0.4236 ± 0.0253,0.6513 ± 0.0230,0.5108 ± 0.0221,0.5527 ± 0.0152,0.5098 ± 0.0233,0.6774 ± 0.0209,0.5461 ± 0.0159,0.4403 ± 0.0211,0.4194 ± 0.0146,0.6591 ± 0.0084,0.5025 ± 0.0182,0.5461 ± 0.0159,0.5059 ± 0.0168,0.6805 ± 0.0095
knn,chi2,0.4172 ± 0.0194,0.3959 ± 0.0320,0.5392 ± 0.0172,0.4187 ± 0.0336,0.4069 ± 0.0253,0.6582 ± 0.0199,0.4911 ± 0.0285,0.5392 ± 0.0172,0.4975 ± 0.0256,0.6843 ± 0.0174,0.5472 ± 0.0137,0.4468 ± 0.0205,0.4236 ± 0.0160,0.6665 ± 0.0117,0.5105 ± 0.0161,0.5472 ± 0.0137,0.5105 ± 0.0158,0.6883 ± 0.0116
knn,chi2_mi_union_topk,0.4113 ± 0.0178,0.4140 ± 0.0334,0.5487 ± 0.0296,0.4406 ± 0.0427,0.4200 ± 0.0295,0.6634 ± 0.0250,0.5060 ± 0.0352,0.5487 ± 0.0296,0.5110 ± 0.0308,0.6891 ± 0.0277,0.5410 ± 0.0117,0.4339 ± 0.0186,0.4176 ± 0.0146,0.6572 ± 0.0142,0.5019 ± 0.0155,0.5410 ± 0.0117,0.5065 ± 0.0142,0.6798 ± 0.0134
gaussian_nb,spearman_corr,0.4480 ± 0.0159,0.4533 ± 0.0274,0.5527 ± 0.0289,0.4690 ± 0.0329,0.4692 ± 0.0281,0.7072 ± 0.0182,0.5564 ± 0.0296,0.5527 ± 0.0289,0.5433 ± 0.0245,0.7262 ± 0.0194,0.5343 ± 0.0171,0.4642 ± 0.0234,0.4606 ± 0.0188,0.6847 ± 0.0095,0.5496 ± 0.0204,0.5343 ± 0.0171,0.5319 ± 0.0131,0.7058 ± 0.0092
gaussian_nb,mutual_info,0.4711 ± 0.0178,0.4729 ± 0.0332,0.5656 ± 0.0295,0.4893 ± 0.0402,0.4819 ± 0.0320,0.7131 ± 0.0178,0.5693 ± 0.0328,0.5656 ± 0.0295,0.5578 ± 0.0292,0.7272 ± 0.0179,0.5528 ± 0.0118,0.4802 ± 0.0214,0.4779 ± 0.0196,0.6924 ± 0.0101,0.5608 ± 0.0190,0.5528 ± 0.0118,0.5512 ± 0.0136,0.7074 ± 0.0087
gaussian_nb,spearman_sulov,0.4476 ± 0.0149,0.4552 ± 0.0327,0.5531 ± 0.0285,0.4688 ± 0.0470,0.4722 ± 0.0275,0.7095 ± 0.0195,0.5579 ± 0.0359,0.5531 ± 0.0285,0.5440 ± 0.0277,0.7274 ± 0.0191,0.5333 ± 0.0176,0.4652 ± 0.0214,0.4622 ± 0.0191,0.6845 ± 0.0084,0.5509 ± 0.0196,0.5333 ± 0.0176,0.5309 ± 0.0125,0.7048 ± 0.0078
gaussian_nb,chi2,0.4594 ± 0.0165,0.4604 ± 0.0381,0.5615 ± 0.0316,0.4680 ± 0.0395,0.4659 ± 0.0355,0.7113 ± 0.0191,0.5485 ± 0.0316,0.5615 ± 0.0316,0.5497 ± 0.0313,0.7232 ± 0.0192,0.5494 ± 0.0115,0.4637 ± 0.0167,0.4624 ± 0.0151,0.6934 ± 0.0082,0.5448 ± 0.0117,0.5494 ± 0.0115,0.5443 ± 0.0118,0.7068 ± 0.0071
gaussian_nb,chi2_mi_union_topk,0.4765 ± 0.0181,0.4776 ± 0.0262,0.5751 ± 0.0222,0.4886 ± 0.0287,0.4844 ± 0.0265,0.7207 ± 0.0179,0.5684 ± 0.0230,0.5751 ± 0.0222,0.5650 ± 0.0199,0.7328 ± 0.0191,0.5621 ± 0.0151,0.4828 ± 0.0157,0.4802 ± 0.0163,0.7049 ± 0.0093,0.5633 ± 0.0133,0.5621 ± 0.0151,0.5590 ± 0.0158,0.7186 ± 0.0089
