,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
19,xgboost,chi2_mi_union_topk,0.6731 ± 0.0160,0.6687 ± 0.0177,0.8432 ± 0.0136,0.6997 ± 0.0281,0.6700 ± 0.0134,0.8655 ± 0.0168,0.8125 ± 0.0129,0.8432 ± 0.0136,0.8216 ± 0.0109,0.9231 ± 0.0109,0.8388 ± 0.0065,0.7052 ± 0.0221,0.6711 ± 0.0123,0.8683 ± 0.0079,0.8109 ± 0.0100,0.8388 ± 0.0065,0.8193 ± 0.0083,0.9231 ± 0.0056
20,adaboost,spearman_corr,0.6414 ± 0.0225,0.6379 ± 0.0345,0.8176 ± 0.0228,0.6484 ± 0.0520,0.6432 ± 0.0291,0.8425 ± 0.0122,0.7891 ± 0.0256,0.8176 ± 0.0228,0.7999 ± 0.0215,0.9164 ± 0.0072,0.8124 ± 0.0109,0.6457 ± 0.0256,0.6442 ± 0.0191,0.8373 ± 0.0107,0.7864 ± 0.0145,0.8124 ± 0.0109,0.7979 ± 0.0124,0.9134 ± 0.0043
21,adaboost,mutual_info,0.6428 ± 0.0187,0.6289 ± 0.0256,0.8114 ± 0.0173,0.6313 ± 0.0327,0.6352 ± 0.0216,0.8435 ± 0.0162,0.7821 ± 0.0143,0.8114 ± 0.0173,0.7945 ± 0.0140,0.9169 ± 0.0077,0.8102 ± 0.0102,0.6473 ± 0.0212,0.6447 ± 0.0159,0.8423 ± 0.0060,0.7868 ± 0.0127,0.8102 ± 0.0102,0.7971 ± 0.0111,0.9155 ± 0.0026
22,adaboost,spearman_sulov,0.6353 ± 0.0247,0.6392 ± 0.0339,0.8158 ± 0.0206,0.6483 ± 0.0435,0.6443 ± 0.0280,0.8472 ± 0.0157,0.7882 ± 0.0191,0.8158 ± 0.0206,0.7988 ± 0.0176,0.9189 ± 0.0058,0.8137 ± 0.0106,0.6395 ± 0.0319,0.6397 ± 0.0197,0.8381 ± 0.0101,0.7840 ± 0.0158,0.8137 ± 0.0106,0.7970 ± 0.0127,0.9144 ± 0.0039
23,adaboost,chi2,0.6438 ± 0.0168,0.6315 ± 0.0247,0.8099 ± 0.0162,0.6346 ± 0.0306,0.6366 ± 0.0211,0.8417 ± 0.0160,0.7835 ± 0.0141,0.8099 ± 0.0162,0.7946 ± 0.0137,0.9162 ± 0.0074,0.8104 ± 0.0098,0.6481 ± 0.0186,0.6456 ± 0.0142,0.8416 ± 0.0060,0.7875 ± 0.0116,0.8104 ± 0.0098,0.7976 ± 0.0102,0.9152 ± 0.0025
24,adaboost,chi2_mi_union_topk,0.6435 ± 0.0139,0.6326 ± 0.0252,0.8172 ± 0.0139,0.6377 ± 0.0341,0.6396 ± 0.0198,0.8449 ± 0.0101,0.7848 ± 0.0170,0.8172 ± 0.0139,0.7981 ± 0.0138,0.9176 ± 0.0071,0.8157 ± 0.0086,0.6500 ± 0.0166,0.6460 ± 0.0119,0.8433 ± 0.0068,0.7887 ± 0.0104,0.8157 ± 0.0086,0.8004 ± 0.0093,0.9161 ± 0.0041
25,svm,spearman_corr,0.6043 ± 0.0064,0.6197 ± 0.0161,0.8582 ± 0.0127,0.7509 ± 0.1532,0.6486 ± 0.0119,0.8648 ± 0.0120,0.8239 ± 0.0566,0.8582 ± 0.0127,0.8126 ± 0.0134,0.9266 ± 0.0071,0.8502 ± 0.0045,0.6237 ± 0.0734,0.6375 ± 0.0038,0.8646 ± 0.0101,0.7780 ± 0.0236,0.8502 ± 0.0045,0.8036 ± 0.0044,0.9242 ± 0.0054
26,svm,mutual_info,0.6093 ± 0.0105,0.6270 ± 0.0119,0.8604 ± 0.0092,0.7966 ± 0.1331,0.6528 ± 0.0069,0.8648 ± 0.0125,0.8402 ± 0.0414,0.8604 ± 0.0092,0.8161 ± 0.0082,0.9271 ± 0.0071,0.8527 ± 0.0045,0.6721 ± 0.1139,0.6409 ± 0.0059,0.8645 ± 0.0088,0.7950 ± 0.0385,0.8527 ± 0.0045,0.8065 ± 0.0057,0.9245 ± 0.0046
27,svm,spearman_sulov,0.6079 ± 0.0094,0.6200 ± 0.0116,0.8560 ± 0.0107,0.7276 ± 0.1218,0.6478 ± 0.0076,0.8637 ± 0.0141,0.8151 ± 0.0377,0.8560 ± 0.0107,0.8111 ± 0.0093,0.9260 ± 0.0079,0.8505 ± 0.0051,0.6791 ± 0.1152,0.6392 ± 0.0058,0.8660 ± 0.0088,0.7959 ± 0.0387,0.8505 ± 0.0051,0.8046 ± 0.0058,0.9251 ± 0.0049
28,svm,chi2,0.6089 ± 0.0111,0.6270 ± 0.0123,0.8604 ± 0.0090,0.7966 ± 0.1334,0.6528 ± 0.0072,0.8650 ± 0.0124,0.8402 ± 0.0419,0.8604 ± 0.0090,0.8161 ± 0.0082,0.9272 ± 0.0069,0.8520 ± 0.0051,0.6883 ± 0.1349,0.6404 ± 0.0066,0.8644 ± 0.0088,0.7997 ± 0.0454,0.8520 ± 0.0051,0.8059 ± 0.0064,0.9244 ± 0.0047
29,svm,chi2_mi_union_topk,0.6129 ± 0.0139,0.6249 ± 0.0186,0.8630 ± 0.0095,0.7154 ± 0.1368,0.6530 ± 0.0112,0.8612 ± 0.0134,0.8156 ± 0.0482,0.8630 ± 0.0095,0.8177 ± 0.0109,0.9254 ± 0.0083,0.8539 ± 0.0050,0.6833 ± 0.1082,0.6429 ± 0.0077,0.8593 ± 0.0095,0.7998 ± 0.0371,0.8539 ± 0.0050,0.8086 ± 0.0068,0.9219 ± 0.0048
