,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
14,extra_trees,chi2_mi_union_topk,RandomOverSampler,0.6281 ± 0.0176,0.6348 ± 0.0179,0.8579 ± 0.0100,0.8239 ± 0.0971,0.6551 ± 0.0121,0.8942 ± 0.0201,0.8488 ± 0.0337,0.8579 ± 0.0100,0.8169 ± 0.0115,0.9403 ± 0.0117,0.8519 ± 0.0058,0.7503 ± 0.0830,0.6487 ± 0.0102,0.8861 ± 0.0064,0.8211 ± 0.0293,0.8519 ± 0.0058,0.8114 ± 0.0081,0.9348 ± 0.0040
15,xgboost,spearman_corr,RandomOverSampler,0.6662 ± 0.0123,0.6772 ± 0.0265,0.8451 ± 0.0134,0.7236 ± 0.0327,0.6756 ± 0.0198,0.8840 ± 0.0205,0.8178 ± 0.0177,0.8451 ± 0.0134,0.8229 ± 0.0150,0.9336 ± 0.0119,0.8333 ± 0.0055,0.6873 ± 0.0153,0.6655 ± 0.0099,0.8747 ± 0.0055,0.8054 ± 0.0077,0.8333 ± 0.0055,0.8154 ± 0.0067,0.9266 ± 0.0041
16,xgboost,mutual_info,RandomOverSampler,0.6579 ± 0.0216,0.6771 ± 0.0314,0.8425 ± 0.0148,0.7126 ± 0.0438,0.6762 ± 0.0241,0.8850 ± 0.0153,0.8159 ± 0.0200,0.8425 ± 0.0148,0.8225 ± 0.0155,0.9343 ± 0.0096,0.8292 ± 0.0097,0.6763 ± 0.0306,0.6588 ± 0.0168,0.8762 ± 0.0068,0.7998 ± 0.0134,0.8292 ± 0.0097,0.8107 ± 0.0107,0.9271 ± 0.0047
17,xgboost,spearman_sulov,RandomOverSampler,0.6662 ± 0.0123,0.6772 ± 0.0265,0.8451 ± 0.0134,0.7236 ± 0.0327,0.6756 ± 0.0198,0.8840 ± 0.0205,0.8178 ± 0.0177,0.8451 ± 0.0134,0.8229 ± 0.0150,0.9336 ± 0.0119,0.8333 ± 0.0055,0.6873 ± 0.0153,0.6655 ± 0.0099,0.8747 ± 0.0055,0.8054 ± 0.0077,0.8333 ± 0.0055,0.8154 ± 0.0067,0.9266 ± 0.0041
18,xgboost,chi2,RandomOverSampler,0.6569 ± 0.0175,0.6596 ± 0.0184,0.8249 ± 0.0144,0.6781 ± 0.0221,0.6621 ± 0.0144,0.8597 ± 0.0202,0.7999 ± 0.0087,0.8249 ± 0.0144,0.8082 ± 0.0065,0.9176 ± 0.0121,0.8154 ± 0.0086,0.6652 ± 0.0203,0.6564 ± 0.0151,0.8424 ± 0.0141,0.7934 ± 0.0103,0.8154 ± 0.0086,0.8029 ± 0.0091,0.9074 ± 0.0085
19,xgboost,chi2_mi_union_topk,RandomOverSampler,0.6635 ± 0.0187,0.6646 ± 0.0334,0.8377 ± 0.0168,0.6926 ± 0.0456,0.6667 ± 0.0272,0.8862 ± 0.0200,0.8081 ± 0.0219,0.8377 ± 0.0168,0.8169 ± 0.0176,0.9340 ± 0.0118,0.8281 ± 0.0129,0.6801 ± 0.0265,0.6627 ± 0.0159,0.8739 ± 0.0103,0.8023 ± 0.0127,0.8281 ± 0.0129,0.8121 ± 0.0117,0.9259 ± 0.0067
20,adaboost,spearman_corr,RandomOverSampler,0.6492 ± 0.0139,0.6565 ± 0.0228,0.8037 ± 0.0244,0.6595 ± 0.0254,0.6578 ± 0.0220,0.8420 ± 0.0174,0.7987 ± 0.0158,0.8037 ± 0.0244,0.7999 ± 0.0180,0.9162 ± 0.0083,0.7855 ± 0.0086,0.6495 ± 0.0137,0.6507 ± 0.0153,0.8303 ± 0.0135,0.7944 ± 0.0096,0.7855 ± 0.0086,0.7893 ± 0.0081,0.9084 ± 0.0060
21,adaboost,mutual_info,RandomOverSampler,0.6502 ± 0.0171,0.6620 ± 0.0293,0.8029 ± 0.0266,0.6647 ± 0.0310,0.6623 ± 0.0281,0.8454 ± 0.0156,0.8019 ± 0.0179,0.8029 ± 0.0266,0.8015 ± 0.0211,0.9169 ± 0.0072,0.7888 ± 0.0078,0.6501 ± 0.0166,0.6513 ± 0.0179,0.8312 ± 0.0144,0.7943 ± 0.0103,0.7888 ± 0.0078,0.7911 ± 0.0088,0.9090 ± 0.0061
22,adaboost,spearman_sulov,RandomOverSampler,0.6492 ± 0.0139,0.6565 ± 0.0228,0.8037 ± 0.0244,0.6595 ± 0.0254,0.6578 ± 0.0220,0.8420 ± 0.0174,0.7987 ± 0.0158,0.8037 ± 0.0244,0.7999 ± 0.0180,0.9162 ± 0.0083,0.7855 ± 0.0086,0.6495 ± 0.0137,0.6507 ± 0.0153,0.8303 ± 0.0135,0.7944 ± 0.0096,0.7855 ± 0.0086,0.7893 ± 0.0081,0.9084 ± 0.0060
23,adaboost,chi2,RandomOverSampler,0.6589 ± 0.0191,0.6647 ± 0.0457,0.8040 ± 0.0300,0.6670 ± 0.0467,0.6648 ± 0.0449,0.8556 ± 0.0168,0.8019 ± 0.0287,0.8040 ± 0.0300,0.8019 ± 0.0287,0.9201 ± 0.0088,0.7910 ± 0.0120,0.6586 ± 0.0184,0.6610 ± 0.0202,0.8402 ± 0.0130,0.7981 ± 0.0121,0.7910 ± 0.0120,0.7939 ± 0.0115,0.9119 ± 0.0055
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.6511 ± 0.0177,0.6507 ± 0.0227,0.8055 ± 0.0188,0.6519 ± 0.0235,0.6525 ± 0.0212,0.8453 ± 0.0135,0.7945 ± 0.0158,0.8055 ± 0.0188,0.7992 ± 0.0156,0.9170 ± 0.0069,0.7877 ± 0.0098,0.6513 ± 0.0170,0.6527 ± 0.0198,0.8338 ± 0.0153,0.7958 ± 0.0113,0.7877 ± 0.0098,0.7911 ± 0.0094,0.9102 ± 0.0073
25,svm,spearman_corr,RandomOverSampler,0.6572 ± 0.0194,0.6847 ± 0.0297,0.8462 ± 0.0166,0.7149 ± 0.0367,0.6830 ± 0.0236,0.8891 ± 0.0153,0.8204 ± 0.0188,0.8462 ± 0.0166,0.8274 ± 0.0162,0.9376 ± 0.0085,0.8307 ± 0.0074,0.6707 ± 0.0236,0.6592 ± 0.0158,0.8731 ± 0.0096,0.8009 ± 0.0113,0.8307 ± 0.0074,0.8125 ± 0.0092,0.9278 ± 0.0050
26,svm,mutual_info,RandomOverSampler,0.6576 ± 0.0172,0.6829 ± 0.0239,0.8476 ± 0.0146,0.7158 ± 0.0299,0.6816 ± 0.0188,0.8907 ± 0.0158,0.8205 ± 0.0165,0.8476 ± 0.0146,0.8276 ± 0.0138,0.9384 ± 0.0087,0.8289 ± 0.0091,0.6707 ± 0.0233,0.6590 ± 0.0143,0.8743 ± 0.0102,0.8008 ± 0.0110,0.8289 ± 0.0091,0.8118 ± 0.0093,0.9282 ± 0.0054
27,svm,spearman_sulov,RandomOverSampler,0.6572 ± 0.0194,0.6847 ± 0.0297,0.8462 ± 0.0166,0.7149 ± 0.0367,0.6830 ± 0.0236,0.8891 ± 0.0153,0.8204 ± 0.0188,0.8462 ± 0.0166,0.8274 ± 0.0162,0.9376 ± 0.0085,0.8307 ± 0.0074,0.6707 ± 0.0236,0.6592 ± 0.0158,0.8731 ± 0.0096,0.8009 ± 0.0113,0.8307 ± 0.0074,0.8125 ± 0.0092,0.9278 ± 0.0050
28,svm,chi2,RandomOverSampler,0.6546 ± 0.0170,0.6719 ± 0.0190,0.8370 ± 0.0151,0.6995 ± 0.0289,0.6711 ± 0.0158,0.8832 ± 0.0159,0.8101 ± 0.0156,0.8370 ± 0.0151,0.8180 ± 0.0134,0.9319 ± 0.0091,0.8247 ± 0.0101,0.6698 ± 0.0263,0.6556 ± 0.0139,0.8685 ± 0.0126,0.7962 ± 0.0117,0.8247 ± 0.0101,0.8073 ± 0.0097,0.9217 ± 0.0064
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6593 ± 0.0174,0.6857 ± 0.0242,0.8443 ± 0.0143,0.7143 ± 0.0328,0.6833 ± 0.0188,0.8900 ± 0.0168,0.8200 ± 0.0154,0.8443 ± 0.0143,0.8266 ± 0.0135,0.9378 ± 0.0089,0.8274 ± 0.0092,0.6719 ± 0.0219,0.6601 ± 0.0148,0.8740 ± 0.0095,0.8005 ± 0.0111,0.8274 ± 0.0092,0.8110 ± 0.0097,0.9278 ± 0.0053
30,logistic_regression,spearman_corr,RandomOverSampler,0.6501 ± 0.0206,0.6699 ± 0.0241,0.7927 ± 0.0165,0.6721 ± 0.0237,0.6755 ± 0.0270,0.8651 ± 0.0182,0.8123 ± 0.0160,0.7927 ± 0.0165,0.7993 ± 0.0147,0.9233 ± 0.0100,0.7775 ± 0.0156,0.6530 ± 0.0183,0.6530 ± 0.0222,0.8481 ± 0.0139,0.8008 ± 0.0100,0.7775 ± 0.0156,0.7871 ± 0.0132,0.9134 ± 0.0084
31,logistic_regression,mutual_info,RandomOverSampler,0.6506 ± 0.0195,0.6704 ± 0.0274,0.7923 ± 0.0183,0.6728 ± 0.0264,0.6769 ± 0.0320,0.8663 ± 0.0181,0.8115 ± 0.0185,0.7923 ± 0.0183,0.7983 ± 0.0165,0.9238 ± 0.0099,0.7775 ± 0.0148,0.6537 ± 0.0173,0.6537 ± 0.0207,0.8499 ± 0.0148,0.8012 ± 0.0094,0.7775 ± 0.0148,0.7871 ± 0.0123,0.9143 ± 0.0086
32,logistic_regression,spearman_sulov,RandomOverSampler,0.6501 ± 0.0206,0.6699 ± 0.0241,0.7927 ± 0.0165,0.6721 ± 0.0237,0.6755 ± 0.0270,0.8651 ± 0.0182,0.8123 ± 0.0160,0.7927 ± 0.0165,0.7993 ± 0.0147,0.9233 ± 0.0100,0.7775 ± 0.0156,0.6530 ± 0.0183,0.6530 ± 0.0222,0.8481 ± 0.0139,0.8008 ± 0.0100,0.7775 ± 0.0156,0.7871 ± 0.0132,0.9134 ± 0.0084
33,logistic_regression,chi2,RandomOverSampler,0.6633 ± 0.0139,0.6765 ± 0.0327,0.7802 ± 0.0290,0.6818 ± 0.0272,0.6895 ± 0.0352,0.8775 ± 0.0168,0.8193 ± 0.0189,0.7802 ± 0.0290,0.7933 ± 0.0255,0.9280 ± 0.0099,0.7687 ± 0.0087,0.6692 ± 0.0122,0.6755 ± 0.0175,0.8675 ± 0.0117,0.8125 ± 0.0079,0.7687 ± 0.0087,0.7850 ± 0.0079,0.9211 ± 0.0069
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.6608 ± 0.0206,0.6748 ± 0.0304,0.7949 ± 0.0201,0.6773 ± 0.0300,0.6813 ± 0.0334,0.8683 ± 0.0189,0.8134 ± 0.0184,0.7949 ± 0.0201,0.8005 ± 0.0174,0.9250 ± 0.0101,0.7825 ± 0.0152,0.6629 ± 0.0186,0.6655 ± 0.0225,0.8532 ± 0.0133,0.8065 ± 0.0116,0.7825 ± 0.0152,0.7922 ± 0.0135,0.9158 ± 0.0082
35,knn,spearman_corr,RandomOverSampler,0.5445 ± 0.0148,0.5671 ± 0.0400,0.6868 ± 0.0271,0.6217 ± 0.0301,0.5823 ± 0.0406,0.7827 ± 0.0199,0.7583 ± 0.0215,0.6868 ± 0.0271,0.6774 ± 0.0317,0.8406 ± 0.0143,0.6690 ± 0.0130,0.6005 ± 0.0094,0.5606 ± 0.0130,0.7703 ± 0.0125,0.7434 ± 0.0084,0.6690 ± 0.0130,0.6604 ± 0.0144,0.8353 ± 0.0104
36,knn,mutual_info,RandomOverSampler,0.5553 ± 0.0118,0.5733 ± 0.0303,0.6923 ± 0.0224,0.6237 ± 0.0223,0.5873 ± 0.0292,0.7859 ± 0.0199,0.7605 ± 0.0160,0.6923 ± 0.0224,0.6850 ± 0.0254,0.8443 ± 0.0143,0.6772 ± 0.0120,0.6075 ± 0.0070,0.5715 ± 0.0106,0.7752 ± 0.0118,0.7513 ± 0.0071,0.6772 ± 0.0120,0.6717 ± 0.0127,0.8411 ± 0.0089
37,knn,spearman_sulov,RandomOverSampler,0.5445 ± 0.0148,0.5671 ± 0.0400,0.6868 ± 0.0271,0.6217 ± 0.0301,0.5823 ± 0.0406,0.7827 ± 0.0199,0.7583 ± 0.0215,0.6868 ± 0.0271,0.6774 ± 0.0317,0.8406 ± 0.0143,0.6690 ± 0.0130,0.6005 ± 0.0094,0.5606 ± 0.0130,0.7703 ± 0.0125,0.7434 ± 0.0084,0.6690 ± 0.0130,0.6604 ± 0.0144,0.8353 ± 0.0104
38,knn,chi2,RandomOverSampler,0.6239 ± 0.0211,0.6396 ± 0.0160,0.7568 ± 0.0161,0.6546 ± 0.0112,0.6492 ± 0.0160,0.8243 ± 0.0191,0.7946 ± 0.0091,0.7568 ± 0.0161,0.7623 ± 0.0140,0.8864 ± 0.0146,0.7407 ± 0.0185,0.6416 ± 0.0173,0.6327 ± 0.0243,0.8169 ± 0.0126,0.7911 ± 0.0117,0.7407 ± 0.0185,0.7531 ± 0.0158,0.8831 ± 0.0082
39,knn,chi2_mi_union_topk,RandomOverSampler,0.5717 ± 0.0178,0.5914 ± 0.0304,0.7077 ± 0.0223,0.6328 ± 0.0253,0.6047 ± 0.0317,0.7993 ± 0.0200,0.7663 ± 0.0175,0.7077 ± 0.0223,0.7023 ± 0.0237,0.8556 ± 0.0149,0.6893 ± 0.0138,0.6161 ± 0.0139,0.5872 ± 0.0188,0.7858 ± 0.0098,0.7582 ± 0.0096,0.6893 ± 0.0138,0.6874 ± 0.0144,0.8477 ± 0.0077
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6116 ± 0.0300,0.6346 ± 0.0433,0.7293 ± 0.0638,0.6642 ± 0.0293,0.6580 ± 0.0401,0.8613 ± 0.0156,0.8158 ± 0.0251,0.7293 ± 0.0638,0.7538 ± 0.0495,0.9151 ± 0.0114,0.7027 ± 0.0520,0.6470 ± 0.0120,0.6372 ± 0.0156,0.8421 ± 0.0095,0.8005 ± 0.0120,0.7027 ± 0.0520,0.7301 ± 0.0435,0.8998 ± 0.0060
41,gaussian_nb,mutual_info,RandomOverSampler,0.6231 ± 0.0211,0.6456 ± 0.0477,0.7388 ± 0.0697,0.6763 ± 0.0298,0.6710 ± 0.0389,0.8654 ± 0.0165,0.8266 ± 0.0253,0.7388 ± 0.0697,0.7628 ± 0.0549,0.9184 ± 0.0118,0.7167 ± 0.0388,0.6507 ± 0.0150,0.6444 ± 0.0207,0.8467 ± 0.0088,0.8039 ± 0.0145,0.7167 ± 0.0388,0.7440 ± 0.0301,0.9030 ± 0.0051
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6116 ± 0.0300,0.6346 ± 0.0433,0.7293 ± 0.0638,0.6642 ± 0.0293,0.6580 ± 0.0401,0.8613 ± 0.0156,0.8158 ± 0.0251,0.7293 ± 0.0638,0.7538 ± 0.0495,0.9151 ± 0.0114,0.7027 ± 0.0520,0.6470 ± 0.0120,0.6372 ± 0.0156,0.8421 ± 0.0095,0.8005 ± 0.0120,0.7027 ± 0.0520,0.7301 ± 0.0435,0.8998 ± 0.0060
43,gaussian_nb,chi2,RandomOverSampler,0.6309 ± 0.0185,0.6509 ± 0.0324,0.7374 ± 0.0445,0.6811 ± 0.0238,0.6815 ± 0.0328,0.8745 ± 0.0156,0.8312 ± 0.0208,0.7374 ± 0.0445,0.7630 ± 0.0349,0.9257 ± 0.0099,0.7121 ± 0.0313,0.6659 ± 0.0106,0.6639 ± 0.0154,0.8619 ± 0.0116,0.8176 ± 0.0120,0.7121 ± 0.0313,0.7420 ± 0.0249,0.9137 ± 0.0056
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6443 ± 0.0179,0.6601 ± 0.0378,0.7502 ± 0.0532,0.6813 ± 0.0202,0.6821 ± 0.0326,0.8697 ± 0.0140,0.8290 ± 0.0156,0.7502 ± 0.0532,0.7758 ± 0.0398,0.9221 ± 0.0092,0.7313 ± 0.0274,0.6664 ± 0.0134,0.6687 ± 0.0180,0.8573 ± 0.0094,0.8167 ± 0.0122,0.7313 ± 0.0274,0.7603 ± 0.0210,0.9103 ± 0.0049
