,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
31,logistic_regression,mutual_info,SMOTE,0.6560 ± 0.0228,0.6554 ± 0.0326,0.7846 ± 0.0192,0.6586 ± 0.0320,0.6602 ± 0.0374,0.8607 ± 0.0202,0.8051 ± 0.0235,0.7846 ± 0.0192,0.7916 ± 0.0192,0.9218 ± 0.0118,0.7794 ± 0.0172,0.6584 ± 0.0202,0.6596 ± 0.0250,0.8474 ± 0.0160,0.8041 ± 0.0110,0.7794 ± 0.0172,0.7899 ± 0.0140,0.9137 ± 0.0091
32,logistic_regression,spearman_sulov,SMOTE,0.6493 ± 0.0191,0.6529 ± 0.0243,0.7821 ± 0.0166,0.6563 ± 0.0242,0.6575 ± 0.0283,0.8596 ± 0.0225,0.8030 ± 0.0185,0.7821 ± 0.0166,0.7893 ± 0.0150,0.9213 ± 0.0128,0.7769 ± 0.0143,0.6520 ± 0.0168,0.6518 ± 0.0209,0.8447 ± 0.0142,0.8005 ± 0.0093,0.7769 ± 0.0143,0.7870 ± 0.0116,0.9123 ± 0.0083
33,logistic_regression,chi2,SMOTE,0.6691 ± 0.0113,0.6636 ± 0.0188,0.7744 ± 0.0174,0.6697 ± 0.0168,0.6743 ± 0.0240,0.8730 ± 0.0182,0.8126 ± 0.0119,0.7744 ± 0.0174,0.7877 ± 0.0139,0.9257 ± 0.0113,0.7730 ± 0.0097,0.6736 ± 0.0099,0.6817 ± 0.0130,0.8684 ± 0.0122,0.8148 ± 0.0072,0.7730 ± 0.0097,0.7889 ± 0.0082,0.9213 ± 0.0071
34,logistic_regression,chi2_mi_union_topk,SMOTE,0.6640 ± 0.0169,0.6581 ± 0.0205,0.7835 ± 0.0123,0.6615 ± 0.0200,0.6628 ± 0.0234,0.8633 ± 0.0234,0.8056 ± 0.0152,0.7835 ± 0.0123,0.7913 ± 0.0116,0.9230 ± 0.0133,0.7847 ± 0.0130,0.6656 ± 0.0151,0.6687 ± 0.0187,0.8511 ± 0.0145,0.8090 ± 0.0086,0.7847 ± 0.0130,0.7950 ± 0.0107,0.9151 ± 0.0085
35,knn,spearman_corr,SMOTE,0.5285 ± 0.0214,0.5478 ± 0.0296,0.6473 ± 0.0266,0.6332 ± 0.0177,0.5877 ± 0.0314,0.7891 ± 0.0156,0.7822 ± 0.0171,0.6473 ± 0.0266,0.6459 ± 0.0311,0.8399 ± 0.0142,0.6239 ± 0.0186,0.6233 ± 0.0113,0.5737 ± 0.0197,0.7841 ± 0.0134,0.7767 ± 0.0111,0.6239 ± 0.0186,0.6271 ± 0.0224,0.8368 ± 0.0124
36,knn,mutual_info,SMOTE,0.5394 ± 0.0167,0.5566 ± 0.0269,0.6549 ± 0.0239,0.6368 ± 0.0134,0.5952 ± 0.0260,0.7975 ± 0.0212,0.7858 ± 0.0117,0.6549 ± 0.0239,0.6558 ± 0.0291,0.8461 ± 0.0168,0.6354 ± 0.0163,0.6284 ± 0.0087,0.5816 ± 0.0152,0.7935 ± 0.0131,0.7827 ± 0.0091,0.6354 ± 0.0163,0.6409 ± 0.0188,0.8444 ± 0.0111
37,knn,spearman_sulov,SMOTE,0.5285 ± 0.0214,0.5478 ± 0.0296,0.6473 ± 0.0266,0.6332 ± 0.0177,0.5877 ± 0.0314,0.7891 ± 0.0156,0.7822 ± 0.0171,0.6473 ± 0.0266,0.6459 ± 0.0311,0.8399 ± 0.0142,0.6239 ± 0.0186,0.6233 ± 0.0113,0.5737 ± 0.0197,0.7841 ± 0.0134,0.7767 ± 0.0111,0.6239 ± 0.0186,0.6271 ± 0.0224,0.8368 ± 0.0124
38,knn,chi2,SMOTE,0.6184 ± 0.0132,0.6349 ± 0.0186,0.7352 ± 0.0174,0.6601 ± 0.0142,0.6556 ± 0.0248,0.8282 ± 0.0172,0.8052 ± 0.0104,0.7352 ± 0.0174,0.7495 ± 0.0165,0.8853 ± 0.0124,0.7149 ± 0.0135,0.6476 ± 0.0110,0.6375 ± 0.0176,0.8234 ± 0.0080,0.7985 ± 0.0087,0.7149 ± 0.0135,0.7370 ± 0.0111,0.8819 ± 0.0068
39,knn,chi2_mi_union_topk,SMOTE,0.5574 ± 0.0184,0.5712 ± 0.0201,0.6700 ± 0.0193,0.6379 ± 0.0102,0.6031 ± 0.0202,0.8074 ± 0.0156,0.7852 ± 0.0115,0.6700 ± 0.0193,0.6743 ± 0.0219,0.8554 ± 0.0141,0.6503 ± 0.0160,0.6315 ± 0.0137,0.5944 ± 0.0213,0.7961 ± 0.0131,0.7834 ± 0.0128,0.6503 ± 0.0160,0.6609 ± 0.0168,0.8462 ± 0.0099
40,gaussian_nb,spearman_corr,SMOTE,0.6328 ± 0.0115,0.6473 ± 0.0398,0.7553 ± 0.0626,0.6633 ± 0.0254,0.6592 ± 0.0357,0.8588 ± 0.0150,0.8115 ± 0.0183,0.7553 ± 0.0626,0.7743 ± 0.0444,0.9133 ± 0.0105,0.7418 ± 0.0345,0.6471 ± 0.0148,0.6452 ± 0.0166,0.8427 ± 0.0104,0.7980 ± 0.0157,0.7418 ± 0.0345,0.7620 ± 0.0209,0.9005 ± 0.0065
41,gaussian_nb,mutual_info,SMOTE,0.6452 ± 0.0084,0.6565 ± 0.0449,0.7634 ± 0.0678,0.6730 ± 0.0281,0.6694 ± 0.0403,0.8632 ± 0.0165,0.8200 ± 0.0195,0.7634 ± 0.0678,0.7821 ± 0.0486,0.9170 ± 0.0114,0.7550 ± 0.0272,0.6549 ± 0.0108,0.6559 ± 0.0131,0.8465 ± 0.0094,0.8031 ± 0.0117,0.7550 ± 0.0272,0.7735 ± 0.0155,0.9034 ± 0.0057
42,gaussian_nb,spearman_sulov,SMOTE,0.6328 ± 0.0115,0.6473 ± 0.0398,0.7553 ± 0.0626,0.6633 ± 0.0254,0.6592 ± 0.0357,0.8588 ± 0.0150,0.8115 ± 0.0183,0.7553 ± 0.0626,0.7743 ± 0.0444,0.9133 ± 0.0105,0.7418 ± 0.0345,0.6471 ± 0.0148,0.6452 ± 0.0166,0.8427 ± 0.0104,0.7980 ± 0.0157,0.7418 ± 0.0345,0.7620 ± 0.0209,0.9005 ± 0.0065
43,gaussian_nb,chi2,SMOTE,0.6448 ± 0.0138,0.6553 ± 0.0216,0.7465 ± 0.0341,0.6785 ± 0.0168,0.6801 ± 0.0218,0.8743 ± 0.0178,0.8285 ± 0.0142,0.7465 ± 0.0341,0.7715 ± 0.0248,0.9251 ± 0.0102,0.7321 ± 0.0221,0.6662 ± 0.0146,0.6714 ± 0.0223,0.8639 ± 0.0112,0.8137 ± 0.0150,0.7321 ± 0.0221,0.7583 ± 0.0145,0.9140 ± 0.0056
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.6614 ± 0.0132,0.6651 ± 0.0307,0.7670 ± 0.0463,0.6778 ± 0.0198,0.6780 ± 0.0274,0.8672 ± 0.0138,0.8250 ± 0.0147,0.7670 ± 0.0463,0.7885 ± 0.0320,0.9203 ± 0.0089,0.7637 ± 0.0186,0.6684 ± 0.0124,0.6738 ± 0.0161,0.8553 ± 0.0094,0.8136 ± 0.0110,0.7637 ± 0.0186,0.7838 ± 0.0123,0.9093 ± 0.0049
