Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
adaboost,spearman_corr,0.7154 ± 0.0273,0.6944 ± 0.0431,0.8766 ± 0.0192,0.6996 ± 0.0470,0.6952 ± 0.0436,0.9098 ± 0.0108,0.8779 ± 0.0168,0.8766 ± 0.0192,0.8766 ± 0.0178,0.9207 ± 0.0179,0.8750 ± 0.0085,0.7367 ± 0.0433,0.7031 ± 0.0248,0.9209 ± 0.0108,0.8732 ± 0.0089,0.8750 ± 0.0085,0.8736 ± 0.0087,0.9257 ± 0.0088
adaboost,spearman_sulov,0.7320 ± 0.0207,0.7045 ± 0.0479,0.8751 ± 0.0252,0.7092 ± 0.0580,0.7122 ± 0.0563,0.9181 ± 0.0067,0.8781 ± 0.0207,0.8751 ± 0.0252,0.8756 ± 0.0231,0.9271 ± 0.0101,0.8785 ± 0.0065,0.7425 ± 0.0271,0.7249 ± 0.0232,0.9228 ± 0.0073,0.8775 ± 0.0070,0.8785 ± 0.0065,0.8778 ± 0.0068,0.9262 ± 0.0068
adaboost,mutual_info,0.7341 ± 0.0235,0.7023 ± 0.0262,0.8795 ± 0.0156,0.7378 ± 0.0827,0.7019 ± 0.0299,0.9139 ± 0.0097,0.8828 ± 0.0109,0.8795 ± 0.0156,0.8792 ± 0.0133,0.9255 ± 0.0129,0.8777 ± 0.0061,0.7597 ± 0.0424,0.7226 ± 0.0304,0.9208 ± 0.0133,0.8767 ± 0.0048,0.8777 ± 0.0061,0.8764 ± 0.0054,0.9254 ± 0.0101
adaboost,chi2,0.7337 ± 0.0305,0.7029 ± 0.0334,0.8802 ± 0.0129,0.7365 ± 0.0804,0.7025 ± 0.0392,0.9161 ± 0.0078,0.8829 ± 0.0104,0.8802 ± 0.0129,0.8794 ± 0.0113,0.9294 ± 0.0132,0.8780 ± 0.0078,0.7571 ± 0.0291,0.7229 ± 0.0411,0.9200 ± 0.0122,0.8762 ± 0.0085,0.8780 ± 0.0078,0.8765 ± 0.0085,0.9231 ± 0.0101
adaboost,chi2_mi_union_topk,0.7169 ± 0.0378,0.7001 ± 0.0447,0.8758 ± 0.0178,0.7102 ± 0.0602,0.7083 ± 0.0499,0.9130 ± 0.0091,0.8802 ± 0.0137,0.8758 ± 0.0178,0.8769 ± 0.0156,0.9222 ± 0.0116,0.8737 ± 0.0077,0.7221 ± 0.0399,0.7167 ± 0.0408,0.9194 ± 0.0136,0.8739 ± 0.0099,0.8737 ± 0.0077,0.8735 ± 0.0088,0.9236 ± 0.0103
svm,spearman_corr,0.6081 ± 0.0051,0.6055 ± 0.0067,0.8963 ± 0.0099,0.5978 ± 0.0065,0.6155 ± 0.0067,0.9425 ± 0.0093,0.8753 ± 0.0095,0.8963 ± 0.0099,0.8843 ± 0.0098,0.9561 ± 0.0065,0.8987 ± 0.0075,0.5990 ± 0.0050,0.6182 ± 0.0050,0.9489 ± 0.0063,0.8738 ± 0.0071,0.8987 ± 0.0075,0.8856 ± 0.0074,0.9572 ± 0.0033
svm,spearman_sulov,0.6080 ± 0.0045,0.6058 ± 0.0077,0.8967 ± 0.0113,0.5980 ± 0.0072,0.6158 ± 0.0074,0.9440 ± 0.0084,0.8757 ± 0.0102,0.8967 ± 0.0113,0.8847 ± 0.0112,0.9562 ± 0.0060,0.8986 ± 0.0066,0.5989 ± 0.0044,0.6180 ± 0.0045,0.9478 ± 0.0062,0.8736 ± 0.0064,0.8986 ± 0.0066,0.8855 ± 0.0065,0.9565 ± 0.0033
svm,mutual_info,0.6084 ± 0.0030,0.6078 ± 0.0084,0.8996 ± 0.0124,0.5999 ± 0.0081,0.6176 ± 0.0083,0.9479 ± 0.0061,0.8782 ± 0.0117,0.8996 ± 0.0124,0.8876 ± 0.0122,0.9569 ± 0.0061,0.8992 ± 0.0045,0.5993 ± 0.0030,0.6184 ± 0.0030,0.9502 ± 0.0061,0.8741 ± 0.0043,0.8992 ± 0.0045,0.8861 ± 0.0044,0.9577 ± 0.0031
svm,chi2,0.6074 ± 0.0030,0.6088 ± 0.0079,0.9011 ± 0.0116,0.6008 ± 0.0076,0.6186 ± 0.0078,0.9477 ± 0.0071,0.8796 ± 0.0110,0.9011 ± 0.0116,0.8891 ± 0.0115,0.9570 ± 0.0066,0.8976 ± 0.0044,0.5983 ± 0.0030,0.6173 ± 0.0030,0.9493 ± 0.0065,0.8726 ± 0.0043,0.8976 ± 0.0044,0.8846 ± 0.0044,0.9569 ± 0.0033
svm,chi2_mi_union_topk,0.6135 ± 0.0109,0.6093 ± 0.0057,0.9018 ± 0.0084,0.6014 ± 0.0053,0.6193 ± 0.0054,0.9455 ± 0.0086,0.8807 ± 0.0074,0.9018 ± 0.0084,0.8897 ± 0.0084,0.9568 ± 0.0066,0.9016 ± 0.0028,0.6343 ± 0.1052,0.6219 ± 0.0056,0.9492 ± 0.0096,0.8795 ± 0.0090,0.9016 ± 0.0028,0.8887 ± 0.0028,0.9569 ± 0.0033
logistic_regression,spearman_corr,0.7309 ± 0.0316,0.6887 ± 0.0451,0.8788 ± 0.0125,0.6786 ± 0.0372,0.7178 ± 0.0660,0.9239 ± 0.0114,0.8921 ± 0.0103,0.8788 ± 0.0125,0.8815 ± 0.0110,0.9406 ± 0.0078,0.8863 ± 0.0092,0.7187 ± 0.0320,0.7524 ± 0.0327,0.9301 ± 0.0105,0.8946 ± 0.0088,0.8863 ± 0.0092,0.8883 ± 0.0087,0.9448 ± 0.0043
logistic_regression,spearman_sulov,0.7277 ± 0.0340,0.6747 ± 0.0401,0.8729 ± 0.0130,0.6653 ± 0.0328,0.7049 ± 0.0609,0.9263 ± 0.0129,0.8899 ± 0.0099,0.8729 ± 0.0130,0.8774 ± 0.0111,0.9417 ± 0.0091,0.8841 ± 0.0087,0.7152 ± 0.0341,0.7489 ± 0.0346,0.9307 ± 0.0113,0.8922 ± 0.0075,0.8841 ± 0.0087,0.8864 ± 0.0079,0.9454 ± 0.0052
logistic_regression,mutual_info,0.7307 ± 0.0296,0.6896 ± 0.0463,0.8784 ± 0.0145,0.6794 ± 0.0380,0.7216 ± 0.0762,0.9367 ± 0.0094,0.8913 ± 0.0118,0.8784 ± 0.0145,0.8814 ± 0.0127,0.9468 ± 0.0077,0.8846 ± 0.0076,0.7201 ± 0.0337,0.7490 ± 0.0275,0.9362 ± 0.0090,0.8912 ± 0.0060,0.8846 ± 0.0076,0.8864 ± 0.0067,0.9468 ± 0.0033
logistic_regression,chi2,0.7240 ± 0.0291,0.6927 ± 0.0411,0.8773 ± 0.0174,0.6823 ± 0.0346,0.7255 ± 0.0654,0.9368 ± 0.0110,0.8914 ± 0.0115,0.8773 ± 0.0174,0.8806 ± 0.0145,0.9473 ± 0.0084,0.8819 ± 0.0070,0.7113 ± 0.0290,0.7455 ± 0.0318,0.9337 ± 0.0109,0.8895 ± 0.0046,0.8819 ± 0.0070,0.8841 ± 0.0059,0.9464 ± 0.0040
logistic_regression,chi2_mi_union_topk,0.7336 ± 0.0308,0.7074 ± 0.0234,0.8777 ± 0.0156,0.6933 ± 0.0205,0.7529 ± 0.0534,0.9408 ± 0.0097,0.8942 ± 0.0090,0.8777 ± 0.0156,0.8818 ± 0.0125,0.9511 ± 0.0086,0.8847 ± 0.0095,0.7153 ± 0.0285,0.7686 ± 0.0336,0.9447 ± 0.0113,0.8968 ± 0.0062,0.8847 ± 0.0095,0.8885 ± 0.0080,0.9518 ± 0.0036
knn,spearman_corr,0.5963 ± 0.0224,0.5836 ± 0.0261,0.8516 ± 0.0135,0.6097 ± 0.1051,0.5928 ± 0.0156,0.8371 ± 0.0305,0.8504 ± 0.0125,0.8516 ± 0.0135,0.8402 ± 0.0142,0.9142 ± 0.0096,0.8621 ± 0.0090,0.6633 ± 0.1407,0.6037 ± 0.0123,0.8447 ± 0.0141,0.8573 ± 0.0124,0.8621 ± 0.0090,0.8494 ± 0.0090,0.9196 ± 0.0054
knn,spearman_sulov,0.6057 ± 0.0270,0.6017 ± 0.0363,0.8557 ± 0.0137,0.6609 ± 0.1392,0.6043 ± 0.0212,0.8465 ± 0.0349,0.8559 ± 0.0135,0.8557 ± 0.0137,0.8449 ± 0.0133,0.9181 ± 0.0080,0.8662 ± 0.0051,0.6979 ± 0.1578,0.6095 ± 0.0144,0.8453 ± 0.0208,0.8615 ± 0.0135,0.8662 ± 0.0051,0.8540 ± 0.0050,0.9190 ± 0.0074
knn,mutual_info,0.6468 ± 0.0380,0.6367 ± 0.0532,0.8736 ± 0.0116,0.7369 ± 0.1668,0.6292 ± 0.0327,0.8639 ± 0.0301,0.8737 ± 0.0173,0.8736 ± 0.0116,0.8644 ± 0.0120,0.9275 ± 0.0085,0.8788 ± 0.0068,0.8136 ± 0.1046,0.6364 ± 0.0241,0.8656 ± 0.0208,0.8798 ± 0.0096,0.8788 ± 0.0068,0.8688 ± 0.0077,0.9295 ± 0.0054
knn,chi2,0.6262 ± 0.0277,0.6331 ± 0.0508,0.8729 ± 0.0140,0.6921 ± 0.1233,0.6286 ± 0.0341,0.8624 ± 0.0373,0.8697 ± 0.0174,0.8729 ± 0.0140,0.8637 ± 0.0147,0.9281 ± 0.0081,0.8781 ± 0.0056,0.7684 ± 0.1378,0.6239 ± 0.0160,0.8651 ± 0.0213,0.8757 ± 0.0104,0.8781 ± 0.0056,0.8670 ± 0.0055,0.9271 ± 0.0071
knn,chi2_mi_union_topk,0.6522 ± 0.0264,0.6416 ± 0.0542,0.8802 ± 0.0098,0.7399 ± 0.1661,0.6329 ± 0.0339,0.8590 ± 0.0325,0.8772 ± 0.0164,0.8802 ± 0.0098,0.8715 ± 0.0105,0.9256 ± 0.0137,0.8874 ± 0.0070,0.7997 ± 0.1091,0.6418 ± 0.0166,0.8677 ± 0.0207,0.8858 ± 0.0129,0.8874 ± 0.0070,0.8780 ± 0.0068,0.9305 ± 0.0064
gaussian_nb,spearman_corr,0.6183 ± 0.0353,0.6041 ± 0.0287,0.7498 ± 0.0345,0.6432 ± 0.0125,0.7709 ± 0.0439,0.9015 ± 0.0321,0.8928 ± 0.0139,0.7498 ± 0.0345,0.7882 ± 0.0305,0.9300 ± 0.0125,0.7568 ± 0.0416,0.6471 ± 0.0136,0.7789 ± 0.0325,0.8938 ± 0.0171,0.8870 ± 0.0104,0.7568 ± 0.0416,0.7952 ± 0.0336,0.9258 ± 0.0092
gaussian_nb,spearman_sulov,0.6140 ± 0.0360,0.6001 ± 0.0342,0.7447 ± 0.0424,0.6426 ± 0.0139,0.7676 ± 0.0423,0.8993 ± 0.0296,0.8929 ± 0.0142,0.7447 ± 0.0424,0.7836 ± 0.0374,0.9296 ± 0.0127,0.7525 ± 0.0441,0.6439 ± 0.0121,0.7729 ± 0.0294,0.8936 ± 0.0156,0.8832 ± 0.0067,0.7525 ± 0.0441,0.7904 ± 0.0357,0.9249 ± 0.0079
gaussian_nb,mutual_info,0.6950 ± 0.0178,0.6628 ± 0.0181,0.8227 ± 0.0210,0.6558 ± 0.0128,0.7802 ± 0.0422,0.9080 ± 0.0261,0.8827 ± 0.0132,0.8227 ± 0.0210,0.8420 ± 0.0191,0.9263 ± 0.0124,0.8358 ± 0.0117,0.6753 ± 0.0125,0.8128 ± 0.0216,0.9140 ± 0.0159,0.8815 ± 0.0077,0.8358 ± 0.0117,0.8516 ± 0.0099,0.9258 ± 0.0078
gaussian_nb,chi2,0.7037 ± 0.0137,0.6763 ± 0.0256,0.8348 ± 0.0208,0.6630 ± 0.0188,0.7833 ± 0.0577,0.9089 ± 0.0316,0.8822 ± 0.0131,0.8348 ± 0.0208,0.8501 ± 0.0180,0.9266 ± 0.0117,0.8443 ± 0.0087,0.6806 ± 0.0101,0.8059 ± 0.0229,0.9071 ± 0.0149,0.8805 ± 0.0065,0.8443 ± 0.0087,0.8569 ± 0.0075,0.9238 ± 0.0060
gaussian_nb,chi2_mi_union_topk,0.7058 ± 0.0151,0.6797 ± 0.0307,0.8440 ± 0.0222,0.6677 ± 0.0217,0.7759 ± 0.0494,0.9303 ± 0.0104,0.8911 ± 0.0113,0.8440 ± 0.0222,0.8599 ± 0.0176,0.9357 ± 0.0090,0.8484 ± 0.0080,0.6838 ± 0.0105,0.8138 ± 0.0212,0.9323 ± 0.0060,0.8881 ± 0.0043,0.8484 ± 0.0080,0.8627 ± 0.0063,0.9320 ± 0.0046
