Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
svm,chi2_mi_union_topk,0.6138 ± 0.0108,0.6182 ± 0.0236,0.9029 ± 0.0101,0.6354 ± 0.1030,0.6245 ± 0.0131,0.9457 ± 0.0086,0.8842 ± 0.0099,0.9029 ± 0.0101,0.8913 ± 0.0095,0.9582 ± 0.0062,0.9020 ± 0.0023,0.6345 ± 0.1051,0.6222 ± 0.0055,0.9497 ± 0.0104,0.8798 ± 0.0088,0.9020 ± 0.0023,0.8891 ± 0.0023,0.9584 ± 0.0037
logistic_regression,spearman_corr,0.7067 ± 0.0321,0.6596 ± 0.0507,0.8692 ± 0.0105,0.6641 ± 0.0506,0.6603 ± 0.0525,0.9075 ± 0.0174,0.8667 ± 0.0135,0.8692 ± 0.0105,0.8662 ± 0.0119,0.9326 ± 0.0076,0.8736 ± 0.0079,0.7189 ± 0.0373,0.6990 ± 0.0290,0.9217 ± 0.0157,0.8718 ± 0.0076,0.8736 ± 0.0079,0.8718 ± 0.0076,0.9390 ± 0.0095
logistic_regression,spearman_sulov,0.7067 ± 0.0231,0.6728 ± 0.0527,0.8725 ± 0.0117,0.6805 ± 0.0647,0.6712 ± 0.0478,0.9116 ± 0.0182,0.8712 ± 0.0101,0.8725 ± 0.0117,0.8703 ± 0.0110,0.9360 ± 0.0072,0.8774 ± 0.0065,0.7150 ± 0.0217,0.7014 ± 0.0247,0.9251 ± 0.0133,0.8756 ± 0.0063,0.8774 ± 0.0065,0.8758 ± 0.0063,0.9419 ± 0.0080
logistic_regression,mutual_info,0.7374 ± 0.0312,0.7093 ± 0.0554,0.8751 ± 0.0084,0.7081 ± 0.0578,0.7184 ± 0.0620,0.9246 ± 0.0128,0.8780 ± 0.0092,0.8751 ± 0.0084,0.8746 ± 0.0084,0.9400 ± 0.0084,0.8841 ± 0.0106,0.7454 ± 0.0375,0.7318 ± 0.0273,0.9350 ± 0.0086,0.8834 ± 0.0099,0.8841 ± 0.0106,0.8833 ± 0.0102,0.9464 ± 0.0066
logistic_regression,chi2,0.7152 ± 0.0238,0.7084 ± 0.0448,0.8795 ± 0.0164,0.7028 ± 0.0370,0.7216 ± 0.0561,0.9236 ± 0.0198,0.8840 ± 0.0147,0.8795 ± 0.0164,0.8799 ± 0.0158,0.9432 ± 0.0082,0.8797 ± 0.0052,0.7116 ± 0.0216,0.7207 ± 0.0272,0.9273 ± 0.0099,0.8815 ± 0.0058,0.8797 ± 0.0052,0.8799 ± 0.0053,0.9446 ± 0.0047
logistic_regression,chi2_mi_union_topk,0.7344 ± 0.0328,0.7075 ± 0.0269,0.8780 ± 0.0154,0.6928 ± 0.0216,0.7487 ± 0.0539,0.9420 ± 0.0085,0.8938 ± 0.0114,0.8780 ± 0.0154,0.8820 ± 0.0131,0.9523 ± 0.0088,0.8847 ± 0.0097,0.7156 ± 0.0295,0.7704 ± 0.0353,0.9444 ± 0.0118,0.8971 ± 0.0064,0.8847 ± 0.0097,0.8886 ± 0.0081,0.9528 ± 0.0044
knn,spearman_corr,0.4836 ± 0.0092,0.4841 ± 0.0212,0.7245 ± 0.0282,0.5155 ± 0.0137,0.5068 ± 0.0182,0.7751 ± 0.0169,0.7628 ± 0.0198,0.7245 ± 0.0282,0.7037 ± 0.0318,0.8360 ± 0.0191,0.7217 ± 0.0126,0.5075 ± 0.0062,0.5060 ± 0.0081,0.7803 ± 0.0135,0.7483 ± 0.0090,0.7217 ± 0.0126,0.7011 ± 0.0138,0.8384 ± 0.0141
knn,spearman_sulov,0.4959 ± 0.0101,0.5054 ± 0.0306,0.7418 ± 0.0217,0.5568 ± 0.1076,0.5223 ± 0.0202,0.7756 ± 0.0261,0.7766 ± 0.0165,0.7418 ± 0.0217,0.7238 ± 0.0244,0.8486 ± 0.0178,0.7384 ± 0.0142,0.5154 ± 0.0080,0.5167 ± 0.0093,0.7848 ± 0.0116,0.7594 ± 0.0116,0.7384 ± 0.0142,0.7194 ± 0.0151,0.8531 ± 0.0087
knn,mutual_info,0.5675 ± 0.0307,0.5560 ± 0.0365,0.8121 ± 0.0256,0.5889 ± 0.1116,0.5674 ± 0.0255,0.8139 ± 0.0290,0.8213 ± 0.0238,0.8121 ± 0.0256,0.7992 ± 0.0277,0.8944 ± 0.0122,0.8157 ± 0.0115,0.6547 ± 0.1642,0.5755 ± 0.0182,0.8217 ± 0.0112,0.8234 ± 0.0198,0.8157 ± 0.0115,0.8022 ± 0.0122,0.8984 ± 0.0062
knn,chi2,0.5802 ± 0.0238,0.5662 ± 0.0249,0.8278 ± 0.0206,0.5800 ± 0.0513,0.5774 ± 0.0175,0.8071 ± 0.0273,0.8308 ± 0.0149,0.8278 ± 0.0206,0.8157 ± 0.0211,0.8973 ± 0.0159,0.8340 ± 0.0115,0.6473 ± 0.1178,0.5870 ± 0.0141,0.8295 ± 0.0145,0.8348 ± 0.0131,0.8340 ± 0.0115,0.8213 ± 0.0117,0.9058 ± 0.0072
knn,chi2_mi_union_topk,0.6577 ± 0.0364,0.6290 ± 0.0401,0.8817 ± 0.0133,0.7241 ± 0.1693,0.6248 ± 0.0225,0.8553 ± 0.0296,0.8770 ± 0.0143,0.8817 ± 0.0133,0.8723 ± 0.0130,0.9280 ± 0.0140,0.8940 ± 0.0071,0.7512 ± 0.1066,0.6478 ± 0.0221,0.8744 ± 0.0154,0.8868 ± 0.0112,0.8940 ± 0.0071,0.8846 ± 0.0061,0.9359 ± 0.0051
gaussian_nb,spearman_corr,0.5590 ± 0.0501,0.5457 ± 0.0542,0.7007 ± 0.0824,0.6026 ± 0.0160,0.6112 ± 0.0700,0.7775 ± 0.0442,0.8562 ± 0.0155,0.7007 ± 0.0824,0.7464 ± 0.0715,0.8831 ± 0.0145,0.7116 ± 0.0726,0.6033 ± 0.0181,0.6174 ± 0.0625,0.7805 ± 0.0333,0.8497 ± 0.0162,0.7116 ± 0.0726,0.7583 ± 0.0588,0.8794 ± 0.0127
gaussian_nb,spearman_sulov,0.5579 ± 0.0495,0.5480 ± 0.0563,0.7048 ± 0.0850,0.6030 ± 0.0169,0.6138 ± 0.0726,0.7797 ± 0.0457,0.8562 ± 0.0152,0.7048 ± 0.0850,0.7488 ± 0.0741,0.8838 ± 0.0151,0.7105 ± 0.0713,0.6027 ± 0.0173,0.6168 ± 0.0620,0.7798 ± 0.0334,0.8489 ± 0.0149,0.7105 ± 0.0713,0.7565 ± 0.0578,0.8780 ± 0.0128
gaussian_nb,mutual_info,0.5790 ± 0.0350,0.5685 ± 0.0472,0.7117 ± 0.0626,0.6143 ± 0.0178,0.6907 ± 0.0875,0.8316 ± 0.0571,0.8594 ± 0.0171,0.7117 ± 0.0626,0.7548 ± 0.0500,0.9050 ± 0.0118,0.7289 ± 0.0468,0.6144 ± 0.0149,0.6706 ± 0.0489,0.8181 ± 0.0356,0.8578 ± 0.0118,0.7289 ± 0.0468,0.7729 ± 0.0376,0.9013 ± 0.0096
gaussian_nb,chi2,0.6894 ± 0.0297,0.6673 ± 0.0255,0.8308 ± 0.0226,0.6571 ± 0.0169,0.7668 ± 0.0654,0.8700 ± 0.0426,0.8801 ± 0.0117,0.8308 ± 0.0226,0.8472 ± 0.0180,0.9184 ± 0.0107,0.8390 ± 0.0193,0.6720 ± 0.0209,0.7832 ± 0.0375,0.8749 ± 0.0270,0.8802 ± 0.0089,0.8390 ± 0.0193,0.8540 ± 0.0149,0.9176 ± 0.0067
gaussian_nb,chi2_mi_union_topk,0.6930 ± 0.0166,0.6701 ± 0.0333,0.8315 ± 0.0228,0.6625 ± 0.0226,0.7814 ± 0.0524,0.9302 ± 0.0099,0.8903 ± 0.0103,0.8315 ± 0.0228,0.8515 ± 0.0181,0.9345 ± 0.0094,0.8360 ± 0.0108,0.6754 ± 0.0113,0.8146 ± 0.0223,0.9317 ± 0.0058,0.8855 ± 0.0052,0.8360 ± 0.0108,0.8536 ± 0.0082,0.9317 ± 0.0053
