Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
extra_trees,spearman_corr,0.4703 ± 0.0274,0.4746 ± 0.0237,0.8374 ± 0.0104,0.5631 ± 0.1120,0.4960 ± 0.0146,0.8960 ± 0.0105,0.7856 ± 0.0537,0.8374 ± 0.0104,0.7853 ± 0.0135,0.9302 ± 0.0096,0.8291 ± 0.0079,0.6384 ± 0.1697,0.4919 ± 0.0163,0.8951 ± 0.0054,0.7948 ± 0.0527,0.8291 ± 0.0079,0.7756 ± 0.0102,0.9273 ± 0.0045
extra_trees,mutual_info,0.5247 ± 0.0326,0.5299 ± 0.0487,0.8447 ± 0.0135,0.7216 ± 0.1253,0.5298 ± 0.0325,0.8918 ± 0.0144,0.8334 ± 0.0289,0.8447 ± 0.0135,0.8015 ± 0.0165,0.9297 ± 0.0076,0.8329 ± 0.0088,0.7432 ± 0.0886,0.5225 ± 0.0213,0.8949 ± 0.0088,0.8165 ± 0.0194,0.8329 ± 0.0088,0.7890 ± 0.0097,0.9292 ± 0.0033
extra_trees,spearman_sulov,0.4737 ± 0.0210,0.5035 ± 0.0506,0.8429 ± 0.0114,0.6496 ± 0.1557,0.5136 ± 0.0320,0.8967 ± 0.0084,0.8088 ± 0.0480,0.8429 ± 0.0114,0.7949 ± 0.0167,0.9300 ± 0.0082,0.8286 ± 0.0054,0.6155 ± 0.0743,0.4930 ± 0.0128,0.8947 ± 0.0076,0.7961 ± 0.0218,0.8286 ± 0.0054,0.7776 ± 0.0062,0.9283 ± 0.0039
extra_trees,chi2,0.5178 ± 0.0289,0.5311 ± 0.0483,0.8443 ± 0.0101,0.7084 ± 0.1243,0.5301 ± 0.0349,0.8958 ± 0.0108,0.8243 ± 0.0305,0.8443 ± 0.0101,0.8019 ± 0.0125,0.9294 ± 0.0079,0.8332 ± 0.0057,0.7173 ± 0.0721,0.5185 ± 0.0188,0.8957 ± 0.0087,0.8137 ± 0.0127,0.8332 ± 0.0057,0.7888 ± 0.0072,0.9283 ± 0.0035
extra_trees,chi2_mi_union_topk,0.5231 ± 0.0390,0.5397 ± 0.0410,0.8348 ± 0.0139,0.6813 ± 0.0877,0.5332 ± 0.0262,0.8876 ± 0.0081,0.8033 ± 0.0193,0.8348 ± 0.0139,0.7970 ± 0.0097,0.9238 ± 0.0088,0.8269 ± 0.0093,0.6693 ± 0.0981,0.5206 ± 0.0268,0.8898 ± 0.0078,0.7955 ± 0.0214,0.8269 ± 0.0093,0.7875 ± 0.0119,0.9247 ± 0.0051
xgboost,spearman_corr,0.5616 ± 0.0258,0.5899 ± 0.0293,0.8319 ± 0.0127,0.7111 ± 0.0968,0.5764 ± 0.0316,0.8787 ± 0.0214,0.8045 ± 0.0262,0.8319 ± 0.0127,0.8027 ± 0.0106,0.9241 ± 0.0096,0.8178 ± 0.0079,0.6449 ± 0.0444,0.5468 ± 0.0201,0.8747 ± 0.0120,0.7802 ± 0.0112,0.8178 ± 0.0079,0.7882 ± 0.0075,0.9192 ± 0.0057
xgboost,mutual_info,0.5540 ± 0.0235,0.5575 ± 0.0653,0.8278 ± 0.0140,0.6093 ± 0.0928,0.5566 ± 0.0548,0.8790 ± 0.0202,0.7894 ± 0.0229,0.8278 ± 0.0140,0.7967 ± 0.0147,0.9222 ± 0.0126,0.8126 ± 0.0095,0.6330 ± 0.0329,0.5399 ± 0.0189,0.8687 ± 0.0137,0.7736 ± 0.0134,0.8126 ± 0.0095,0.7839 ± 0.0101,0.9156 ± 0.0081
xgboost,spearman_sulov,0.5393 ± 0.0273,0.5706 ± 0.0535,0.8311 ± 0.0098,0.6541 ± 0.0947,0.5625 ± 0.0493,0.8835 ± 0.0133,0.7978 ± 0.0205,0.8311 ± 0.0098,0.8002 ± 0.0117,0.9254 ± 0.0075,0.8142 ± 0.0094,0.6293 ± 0.0446,0.5291 ± 0.0195,0.8707 ± 0.0140,0.7739 ± 0.0146,0.8142 ± 0.0094,0.7827 ± 0.0097,0.9178 ± 0.0065
xgboost,chi2,0.5435 ± 0.0290,0.5569 ± 0.0464,0.8223 ± 0.0145,0.6418 ± 0.1011,0.5516 ± 0.0448,0.8751 ± 0.0184,0.7869 ± 0.0196,0.8223 ± 0.0145,0.7917 ± 0.0121,0.9190 ± 0.0101,0.8119 ± 0.0091,0.6080 ± 0.0395,0.5327 ± 0.0231,0.8673 ± 0.0139,0.7739 ± 0.0122,0.8119 ± 0.0091,0.7844 ± 0.0097,0.9150 ± 0.0082
xgboost,chi2_mi_union_topk,0.5651 ± 0.0335,0.5823 ± 0.0504,0.8168 ± 0.0191,0.6453 ± 0.0725,0.5721 ± 0.0449,0.8651 ± 0.0209,0.7867 ± 0.0189,0.8168 ± 0.0191,0.7936 ± 0.0154,0.9124 ± 0.0098,0.8086 ± 0.0114,0.6203 ± 0.0351,0.5508 ± 0.0288,0.8579 ± 0.0145,0.7764 ± 0.0146,0.8086 ± 0.0114,0.7859 ± 0.0133,0.9087 ± 0.0080
adaboost,spearman_corr,0.5499 ± 0.0218,0.5582 ± 0.0490,0.7960 ± 0.0142,0.5965 ± 0.0720,0.5533 ± 0.0476,0.8567 ± 0.0096,0.7663 ± 0.0221,0.7960 ± 0.0142,0.7762 ± 0.0140,0.9040 ± 0.0084,0.7726 ± 0.0127,0.5770 ± 0.0383,0.5396 ± 0.0198,0.8485 ± 0.0084,0.7521 ± 0.0117,0.7726 ± 0.0127,0.7605 ± 0.0110,0.8968 ± 0.0059
adaboost,mutual_info,0.5583 ± 0.0290,0.5916 ± 0.0620,0.8022 ± 0.0170,0.6197 ± 0.0659,0.5892 ± 0.0669,0.8586 ± 0.0143,0.7768 ± 0.0246,0.8022 ± 0.0170,0.7856 ± 0.0183,0.9062 ± 0.0113,0.7786 ± 0.0119,0.5860 ± 0.0437,0.5476 ± 0.0259,0.8518 ± 0.0063,0.7571 ± 0.0111,0.7786 ± 0.0119,0.7659 ± 0.0102,0.8984 ± 0.0042
adaboost,spearman_sulov,0.5534 ± 0.0250,0.5615 ± 0.0542,0.7952 ± 0.0256,0.5926 ± 0.0586,0.5573 ± 0.0543,0.8542 ± 0.0138,0.7686 ± 0.0179,0.7952 ± 0.0256,0.7772 ± 0.0198,0.9044 ± 0.0095,0.7733 ± 0.0155,0.5799 ± 0.0356,0.5433 ± 0.0250,0.8507 ± 0.0105,0.7540 ± 0.0120,0.7733 ± 0.0155,0.7616 ± 0.0125,0.8970 ± 0.0060
adaboost,chi2,0.5601 ± 0.0281,0.5784 ± 0.0573,0.7960 ± 0.0208,0.6072 ± 0.0638,0.5757 ± 0.0599,0.8568 ± 0.0104,0.7710 ± 0.0218,0.7960 ± 0.0208,0.7791 ± 0.0198,0.9059 ± 0.0087,0.7803 ± 0.0112,0.5867 ± 0.0450,0.5499 ± 0.0220,0.8494 ± 0.0074,0.7567 ± 0.0138,0.7803 ± 0.0112,0.7664 ± 0.0114,0.8971 ± 0.0057
adaboost,chi2_mi_union_topk,0.5640 ± 0.0274,0.5581 ± 0.0232,0.7945 ± 0.0116,0.6137 ± 0.0664,0.5531 ± 0.0286,0.8485 ± 0.0183,0.7598 ± 0.0111,0.7945 ± 0.0116,0.7722 ± 0.0078,0.9017 ± 0.0118,0.7774 ± 0.0086,0.5892 ± 0.0375,0.5541 ± 0.0254,0.8529 ± 0.0076,0.7550 ± 0.0114,0.7774 ± 0.0086,0.7641 ± 0.0097,0.8988 ± 0.0062
svm,spearman_corr,0.4422 ± 0.0035,0.4481 ± 0.0049,0.8297 ± 0.0067,0.4530 ± 0.0822,0.4806 ± 0.0033,0.8861 ± 0.0078,0.7361 ± 0.0335,0.8297 ± 0.0067,0.7717 ± 0.0050,0.9241 ± 0.0049,0.8223 ± 0.0043,0.4246 ± 0.0399,0.4762 ± 0.0028,0.8836 ± 0.0050,0.7185 ± 0.0180,0.8223 ± 0.0043,0.7637 ± 0.0043,0.9195 ± 0.0043
svm,mutual_info,0.4512 ± 0.0059,0.4577 ± 0.0138,0.8344 ± 0.0082,0.5175 ± 0.1160,0.4866 ± 0.0081,0.8880 ± 0.0087,0.7672 ± 0.0527,0.8344 ± 0.0082,0.7783 ± 0.0094,0.9253 ± 0.0066,0.8255 ± 0.0031,0.5290 ± 0.0865,0.4812 ± 0.0030,0.8841 ± 0.0041,0.7663 ± 0.0376,0.8255 ± 0.0031,0.7694 ± 0.0033,0.9197 ± 0.0033
svm,spearman_sulov,0.4475 ± 0.0071,0.4481 ± 0.0079,0.8322 ± 0.0093,0.4421 ± 0.0806,0.4816 ± 0.0067,0.8857 ± 0.0054,0.7335 ± 0.0379,0.8322 ± 0.0093,0.7739 ± 0.0087,0.9240 ± 0.0042,0.8247 ± 0.0051,0.4646 ± 0.0620,0.4793 ± 0.0045,0.8846 ± 0.0045,0.7380 ± 0.0283,0.8247 ± 0.0051,0.7676 ± 0.0059,0.9201 ± 0.0042
svm,chi2,0.4501 ± 0.0072,0.4562 ± 0.0155,0.8344 ± 0.0099,0.4968 ± 0.1107,0.4859 ± 0.0096,0.8877 ± 0.0075,0.7582 ± 0.0519,0.8344 ± 0.0099,0.7779 ± 0.0114,0.9248 ± 0.0052,0.8247 ± 0.0049,0.5136 ± 0.0825,0.4804 ± 0.0046,0.8834 ± 0.0044,0.7592 ± 0.0372,0.8247 ± 0.0049,0.7684 ± 0.0056,0.9193 ± 0.0036
svm,chi2_mi_union_topk,0.4554 ± 0.0072,0.4611 ± 0.0152,0.8326 ± 0.0109,0.5503 ± 0.1127,0.4874 ± 0.0099,0.8819 ± 0.0092,0.7808 ± 0.0526,0.8326 ± 0.0109,0.7784 ± 0.0121,0.9216 ± 0.0084,0.8286 ± 0.0051,0.5298 ± 0.0688,0.4840 ± 0.0044,0.8761 ± 0.0055,0.7689 ± 0.0308,0.8286 ± 0.0051,0.7733 ± 0.0055,0.9162 ± 0.0042
logistic_regression,spearman_corr,0.5460 ± 0.0170,0.5536 ± 0.0367,0.7385 ± 0.0292,0.5474 ± 0.0300,0.5816 ± 0.0471,0.8634 ± 0.0191,0.7711 ± 0.0177,0.7385 ± 0.0292,0.7487 ± 0.0249,0.9086 ± 0.0112,0.7302 ± 0.0087,0.5416 ± 0.0135,0.5611 ± 0.0213,0.8591 ± 0.0104,0.7619 ± 0.0067,0.7302 ± 0.0087,0.7426 ± 0.0077,0.9034 ± 0.0068
logistic_regression,mutual_info,0.5461 ± 0.0167,0.5597 ± 0.0397,0.7366 ± 0.0321,0.5548 ± 0.0346,0.5831 ± 0.0468,0.8588 ± 0.0150,0.7716 ± 0.0220,0.7366 ± 0.0321,0.7491 ± 0.0265,0.9046 ± 0.0131,0.7296 ± 0.0078,0.5416 ± 0.0153,0.5605 ± 0.0211,0.8571 ± 0.0103,0.7606 ± 0.0096,0.7296 ± 0.0078,0.7424 ± 0.0076,0.9001 ± 0.0068
logistic_regression,spearman_sulov,0.5454 ± 0.0190,0.5500 ± 0.0428,0.7381 ± 0.0289,0.5449 ± 0.0359,0.5736 ± 0.0524,0.8582 ± 0.0156,0.7692 ± 0.0173,0.7381 ± 0.0289,0.7484 ± 0.0234,0.9063 ± 0.0109,0.7321 ± 0.0099,0.5404 ± 0.0173,0.5604 ± 0.0223,0.8553 ± 0.0109,0.7624 ± 0.0089,0.7321 ± 0.0099,0.7443 ± 0.0092,0.9013 ± 0.0078
logistic_regression,chi2,0.5555 ± 0.0193,0.5636 ± 0.0376,0.7403 ± 0.0234,0.5586 ± 0.0333,0.5863 ± 0.0468,0.8561 ± 0.0169,0.7721 ± 0.0181,0.7403 ± 0.0234,0.7517 ± 0.0200,0.9028 ± 0.0108,0.7336 ± 0.0072,0.5510 ± 0.0184,0.5691 ± 0.0208,0.8565 ± 0.0119,0.7641 ± 0.0091,0.7336 ± 0.0072,0.7462 ± 0.0079,0.9001 ± 0.0072
logistic_regression,chi2_mi_union_topk,0.5638 ± 0.0232,0.5723 ± 0.0356,0.7451 ± 0.0351,0.5662 ± 0.0298,0.6050 ± 0.0421,0.8690 ± 0.0142,0.7864 ± 0.0183,0.7451 ± 0.0351,0.7587 ± 0.0279,0.9109 ± 0.0114,0.7358 ± 0.0104,0.5564 ± 0.0208,0.5931 ± 0.0262,0.8672 ± 0.0083,0.7790 ± 0.0094,0.7358 ± 0.0104,0.7518 ± 0.0095,0.9088 ± 0.0059
knn,spearman_corr,0.4447 ± 0.0221,0.4560 ± 0.0289,0.7630 ± 0.0123,0.4818 ± 0.0590,0.4639 ± 0.0192,0.7868 ± 0.0193,0.7160 ± 0.0169,0.7630 ± 0.0123,0.7275 ± 0.0138,0.8761 ± 0.0110,0.7550 ± 0.0111,0.5113 ± 0.1031,0.4542 ± 0.0150,0.7778 ± 0.0122,0.7061 ± 0.0183,0.7550 ± 0.0111,0.7172 ± 0.0121,0.8739 ± 0.0075
knn,mutual_info,0.5087 ± 0.0338,0.5142 ± 0.0448,0.7832 ± 0.0117,0.5879 ± 0.1073,0.5060 ± 0.0300,0.8137 ± 0.0198,0.7496 ± 0.0202,0.7832 ± 0.0117,0.7565 ± 0.0133,0.8943 ± 0.0100,0.7797 ± 0.0103,0.6301 ± 0.0901,0.4994 ± 0.0226,0.8014 ± 0.0136,0.7476 ± 0.0192,0.7797 ± 0.0103,0.7514 ± 0.0127,0.8888 ± 0.0084
knn,spearman_sulov,0.4660 ± 0.0296,0.4802 ± 0.0439,0.7681 ± 0.0079,0.5548 ± 0.1205,0.4789 ± 0.0279,0.7955 ± 0.0195,0.7284 ± 0.0177,0.7681 ± 0.0079,0.7343 ± 0.0100,0.8829 ± 0.0107,0.7635 ± 0.0071,0.5551 ± 0.1189,0.4692 ± 0.0178,0.7842 ± 0.0143,0.7222 ± 0.0198,0.7635 ± 0.0071,0.7290 ± 0.0103,0.8798 ± 0.0082
knn,chi2,0.5005 ± 0.0347,0.5118 ± 0.0517,0.7810 ± 0.0093,0.5769 ± 0.1137,0.5062 ± 0.0381,0.8090 ± 0.0199,0.7458 ± 0.0232,0.7810 ± 0.0093,0.7533 ± 0.0127,0.8915 ± 0.0123,0.7799 ± 0.0101,0.5990 ± 0.0910,0.4947 ± 0.0234,0.8010 ± 0.0143,0.7416 ± 0.0156,0.7799 ± 0.0101,0.7486 ± 0.0108,0.8876 ± 0.0062
knn,chi2_mi_union_topk,0.5164 ± 0.0306,0.5262 ± 0.0354,0.8092 ± 0.0130,0.5966 ± 0.0938,0.5190 ± 0.0222,0.8111 ± 0.0202,0.7696 ± 0.0185,0.8092 ± 0.0130,0.7791 ± 0.0138,0.8934 ± 0.0084,0.8000 ± 0.0089,0.5925 ± 0.0753,0.5106 ± 0.0200,0.8008 ± 0.0112,0.7618 ± 0.0157,0.8000 ± 0.0089,0.7712 ± 0.0102,0.8904 ± 0.0081
gaussian_nb,spearman_corr,0.4362 ± 0.0142,0.4341 ± 0.0439,0.5853 ± 0.0393,0.4983 ± 0.0350,0.5962 ± 0.0504,0.8455 ± 0.0320,0.7480 ± 0.0413,0.5853 ± 0.0393,0.5859 ± 0.0468,0.8950 ± 0.0119,0.5783 ± 0.0125,0.5033 ± 0.0157,0.5855 ± 0.0221,0.8228 ± 0.0154,0.7562 ± 0.0212,0.5783 ± 0.0125,0.5872 ± 0.0150,0.8845 ± 0.0073
gaussian_nb,mutual_info,0.5150 ± 0.0256,0.5249 ± 0.0365,0.6685 ± 0.0341,0.5386 ± 0.0282,0.6385 ± 0.0503,0.8541 ± 0.0317,0.7729 ± 0.0251,0.6685 ± 0.0341,0.6844 ± 0.0339,0.8968 ± 0.0123,0.6542 ± 0.0259,0.5273 ± 0.0158,0.6103 ± 0.0334,0.8358 ± 0.0141,0.7610 ± 0.0133,0.6542 ± 0.0259,0.6767 ± 0.0269,0.8855 ± 0.0048
gaussian_nb,spearman_sulov,0.4271 ± 0.0137,0.4306 ± 0.0443,0.5806 ± 0.0398,0.5022 ± 0.0387,0.6025 ± 0.0520,0.8462 ± 0.0329,0.7533 ± 0.0478,0.5806 ± 0.0398,0.5777 ± 0.0472,0.8954 ± 0.0122,0.5678 ± 0.0126,0.4990 ± 0.0128,0.5854 ± 0.0214,0.8242 ± 0.0149,0.7495 ± 0.0203,0.5678 ± 0.0126,0.5720 ± 0.0157,0.8853 ± 0.0070
gaussian_nb,chi2,0.5100 ± 0.0250,0.5135 ± 0.0328,0.6557 ± 0.0277,0.5333 ± 0.0275,0.6298 ± 0.0481,0.8488 ± 0.0296,0.7701 ± 0.0236,0.6557 ± 0.0277,0.6718 ± 0.0285,0.8939 ± 0.0129,0.6434 ± 0.0267,0.5294 ± 0.0164,0.6174 ± 0.0298,0.8326 ± 0.0137,0.7644 ± 0.0167,0.6434 ± 0.0267,0.6655 ± 0.0284,0.8851 ± 0.0065
gaussian_nb,chi2_mi_union_topk,0.5389 ± 0.0185,0.5409 ± 0.0189,0.6982 ± 0.0148,0.5482 ± 0.0222,0.6453 ± 0.0470,0.8783 ± 0.0118,0.7927 ± 0.0239,0.6982 ± 0.0148,0.7201 ± 0.0142,0.9104 ± 0.0102,0.6816 ± 0.0137,0.5438 ± 0.0150,0.6303 ± 0.0260,0.8707 ± 0.0055,0.7816 ± 0.0117,0.6816 ± 0.0137,0.7086 ± 0.0129,0.9028 ± 0.0053
