Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
extra_trees,spearman_corr,0.6252 ± 0.0095,0.6282 ± 0.0158,0.8619 ± 0.0069,0.7924 ± 0.1363,0.6539 ± 0.0086,0.8904 ± 0.0145,0.8402 ± 0.0444,0.8619 ± 0.0069,0.8177 ± 0.0076,0.9390 ± 0.0087,0.8582 ± 0.0049,0.8173 ± 0.0814,0.6501 ± 0.0058,0.8945 ± 0.0072,0.8458 ± 0.0272,0.8582 ± 0.0049,0.8148 ± 0.0053,0.9400 ± 0.0030
extra_trees,mutual_info,0.6505 ± 0.0154,0.6557 ± 0.0283,0.8659 ± 0.0099,0.8262 ± 0.0856,0.6686 ± 0.0169,0.8879 ± 0.0129,0.8545 ± 0.0311,0.8659 ± 0.0099,0.8282 ± 0.0123,0.9381 ± 0.0078,0.8618 ± 0.0049,0.8212 ± 0.0519,0.6634 ± 0.0087,0.8912 ± 0.0076,0.8502 ± 0.0164,0.8618 ± 0.0049,0.8244 ± 0.0070,0.9383 ± 0.0034
extra_trees,spearman_sulov,0.6288 ± 0.0115,0.6330 ± 0.0222,0.8634 ± 0.0073,0.7389 ± 0.1268,0.6566 ± 0.0124,0.8906 ± 0.0102,0.8247 ± 0.0423,0.8634 ± 0.0073,0.8207 ± 0.0103,0.9389 ± 0.0075,0.8597 ± 0.0035,0.8077 ± 0.0855,0.6524 ± 0.0064,0.8920 ± 0.0061,0.8442 ± 0.0278,0.8597 ± 0.0035,0.8172 ± 0.0053,0.9388 ± 0.0025
extra_trees,chi2,0.6486 ± 0.0194,0.6568 ± 0.0163,0.8667 ± 0.0104,0.8077 ± 0.0742,0.6692 ± 0.0104,0.8836 ± 0.0106,0.8494 ± 0.0259,0.8667 ± 0.0104,0.8294 ± 0.0099,0.9360 ± 0.0075,0.8616 ± 0.0046,0.8020 ± 0.0313,0.6626 ± 0.0108,0.8905 ± 0.0072,0.8441 ± 0.0114,0.8616 ± 0.0046,0.8239 ± 0.0077,0.9377 ± 0.0035
extra_trees,chi2_mi_union_topk,0.6721 ± 0.0144,0.6647 ± 0.0200,0.8619 ± 0.0130,0.7939 ± 0.0652,0.6715 ± 0.0150,0.8821 ± 0.0138,0.8433 ± 0.0260,0.8619 ± 0.0130,0.8286 ± 0.0135,0.9347 ± 0.0090,0.8604 ± 0.0065,0.7715 ± 0.0356,0.6744 ± 0.0099,0.8852 ± 0.0093,0.8362 ± 0.0136,0.8604 ± 0.0065,0.8304 ± 0.0077,0.9357 ± 0.0050
xgboost,spearman_corr,0.6522 ± 0.0203,0.6571 ± 0.0258,0.8505 ± 0.0136,0.6991 ± 0.0424,0.6646 ± 0.0187,0.8908 ± 0.0108,0.8125 ± 0.0191,0.8505 ± 0.0136,0.8221 ± 0.0140,0.9378 ± 0.0057,0.8417 ± 0.0077,0.6826 ± 0.0359,0.6578 ± 0.0145,0.8796 ± 0.0087,0.8039 ± 0.0136,0.8417 ± 0.0077,0.8161 ± 0.0092,0.9303 ± 0.0048
xgboost,mutual_info,0.6557 ± 0.0130,0.6646 ± 0.0288,0.8498 ± 0.0179,0.7166 ± 0.0641,0.6682 ± 0.0216,0.8853 ± 0.0094,0.8175 ± 0.0279,0.8498 ± 0.0179,0.8233 ± 0.0179,0.9351 ± 0.0048,0.8407 ± 0.0059,0.6870 ± 0.0238,0.6596 ± 0.0093,0.8791 ± 0.0113,0.8049 ± 0.0086,0.8407 ± 0.0059,0.8162 ± 0.0061,0.9300 ± 0.0065
xgboost,spearman_sulov,0.6534 ± 0.0190,0.6731 ± 0.0259,0.8535 ± 0.0153,0.7354 ± 0.0609,0.6743 ± 0.0188,0.8883 ± 0.0118,0.8245 ± 0.0245,0.8535 ± 0.0153,0.8273 ± 0.0152,0.9368 ± 0.0064,0.8403 ± 0.0089,0.6825 ± 0.0301,0.6582 ± 0.0138,0.8799 ± 0.0079,0.8032 ± 0.0135,0.8403 ± 0.0089,0.8153 ± 0.0102,0.9305 ± 0.0046
xgboost,chi2,0.6549 ± 0.0125,0.6660 ± 0.0186,0.8462 ± 0.0151,0.7087 ± 0.0407,0.6680 ± 0.0154,0.8759 ± 0.0104,0.8143 ± 0.0190,0.8462 ± 0.0151,0.8218 ± 0.0143,0.9296 ± 0.0064,0.8412 ± 0.0067,0.6902 ± 0.0229,0.6593 ± 0.0082,0.8758 ± 0.0120,0.8051 ± 0.0086,0.8412 ± 0.0067,0.8158 ± 0.0063,0.9284 ± 0.0062
xgboost,chi2_mi_union_topk,0.6652 ± 0.0152,0.6697 ± 0.0324,0.8407 ± 0.0169,0.6954 ± 0.0489,0.6697 ± 0.0255,0.8679 ± 0.0188,0.8110 ± 0.0207,0.8407 ± 0.0169,0.8208 ± 0.0169,0.9243 ± 0.0114,0.8357 ± 0.0098,0.6915 ± 0.0225,0.6650 ± 0.0124,0.8669 ± 0.0090,0.8062 ± 0.0107,0.8357 ± 0.0098,0.8160 ± 0.0094,0.9230 ± 0.0055
adaboost,spearman_corr,0.6489 ± 0.0148,0.6562 ± 0.0369,0.8198 ± 0.0263,0.6691 ± 0.0476,0.6574 ± 0.0331,0.8547 ± 0.0159,0.8007 ± 0.0227,0.8198 ± 0.0263,0.8072 ± 0.0221,0.9232 ± 0.0061,0.8121 ± 0.0086,0.6526 ± 0.0171,0.6498 ± 0.0132,0.8412 ± 0.0099,0.7921 ± 0.0088,0.8121 ± 0.0086,0.8011 ± 0.0085,0.9155 ± 0.0039
adaboost,mutual_info,0.6488 ± 0.0173,0.6440 ± 0.0234,0.8139 ± 0.0192,0.6507 ± 0.0298,0.6471 ± 0.0197,0.8556 ± 0.0148,0.7919 ± 0.0158,0.8139 ± 0.0192,0.8005 ± 0.0157,0.9230 ± 0.0052,0.8126 ± 0.0098,0.6533 ± 0.0206,0.6498 ± 0.0152,0.8429 ± 0.0091,0.7916 ± 0.0107,0.8126 ± 0.0098,0.8009 ± 0.0098,0.9160 ± 0.0036
adaboost,spearman_sulov,0.6479 ± 0.0158,0.6467 ± 0.0288,0.8150 ± 0.0225,0.6552 ± 0.0401,0.6496 ± 0.0234,0.8596 ± 0.0132,0.7938 ± 0.0169,0.8150 ± 0.0225,0.8018 ± 0.0164,0.9252 ± 0.0064,0.8069 ± 0.0111,0.6507 ± 0.0179,0.6484 ± 0.0145,0.8418 ± 0.0079,0.7904 ± 0.0109,0.8069 ± 0.0111,0.7979 ± 0.0107,0.9155 ± 0.0045
adaboost,chi2,0.6471 ± 0.0155,0.6475 ± 0.0334,0.8216 ± 0.0246,0.6604 ± 0.0445,0.6504 ± 0.0291,0.8457 ± 0.0151,0.7955 ± 0.0190,0.8216 ± 0.0246,0.8052 ± 0.0197,0.9184 ± 0.0071,0.8143 ± 0.0076,0.6523 ± 0.0175,0.6489 ± 0.0131,0.8412 ± 0.0110,0.7906 ± 0.0090,0.8143 ± 0.0076,0.8010 ± 0.0077,0.9161 ± 0.0047
adaboost,chi2_mi_union_topk,0.6385 ± 0.0155,0.6366 ± 0.0255,0.8165 ± 0.0184,0.6436 ± 0.0340,0.6415 ± 0.0219,0.8520 ± 0.0110,0.7883 ± 0.0156,0.8165 ± 0.0184,0.7996 ± 0.0149,0.9215 ± 0.0070,0.8157 ± 0.0065,0.6435 ± 0.0187,0.6423 ± 0.0125,0.8469 ± 0.0103,0.7868 ± 0.0098,0.8157 ± 0.0065,0.7994 ± 0.0082,0.9184 ± 0.0042
svm,spearman_corr,0.5990 ± 0.0030,0.6062 ± 0.0079,0.8553 ± 0.0100,0.5888 ± 0.0509,0.6414 ± 0.0071,0.8689 ± 0.0156,0.7694 ± 0.0171,0.8553 ± 0.0100,0.8074 ± 0.0093,0.9284 ± 0.0088,0.8491 ± 0.0039,0.5671 ± 0.0031,0.6348 ± 0.0029,0.8716 ± 0.0090,0.7585 ± 0.0042,0.8491 ± 0.0039,0.8012 ± 0.0040,0.9270 ± 0.0048
svm,mutual_info,0.6078 ± 0.0117,0.6192 ± 0.0141,0.8608 ± 0.0096,0.6859 ± 0.1453,0.6497 ± 0.0071,0.8718 ± 0.0134,0.8042 ± 0.0455,0.8608 ± 0.0096,0.8143 ± 0.0078,0.9305 ± 0.0076,0.8528 ± 0.0057,0.6473 ± 0.1195,0.6402 ± 0.0071,0.8699 ± 0.0070,0.7871 ± 0.0408,0.8528 ± 0.0057,0.8063 ± 0.0068,0.9268 ± 0.0038
svm,spearman_sulov,0.6002 ± 0.0050,0.6115 ± 0.0113,0.8571 ± 0.0086,0.6044 ± 0.0700,0.6444 ± 0.0062,0.8694 ± 0.0150,0.7764 ± 0.0217,0.8571 ± 0.0086,0.8105 ± 0.0071,0.9288 ± 0.0083,0.8492 ± 0.0054,0.6007 ± 0.1057,0.6353 ± 0.0044,0.8722 ± 0.0085,0.7698 ± 0.0350,0.8492 ± 0.0054,0.8018 ± 0.0053,0.9277 ± 0.0047
