Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
extra_trees,spearman_corr,0.6168 ± 0.0181,0.6275 ± 0.0140,0.8641 ± 0.0056,0.7766 ± 0.1513,0.6547 ± 0.0067,0.8904 ± 0.0138,0.8359 ± 0.0483,0.8641 ± 0.0056,0.8189 ± 0.0059,0.9397 ± 0.0081,0.8574 ± 0.0063,0.6956 ± 0.1132,0.6462 ± 0.0103,0.8927 ± 0.0078,0.8060 ± 0.0386,0.8574 ± 0.0063,0.8121 ± 0.0088,0.9390 ± 0.0040
extra_trees,mutual_info,0.6239 ± 0.0108,0.6210 ± 0.0213,0.8568 ± 0.0097,0.6933 ± 0.1532,0.6484 ± 0.0123,0.8918 ± 0.0123,0.8056 ± 0.0513,0.8568 ± 0.0097,0.8127 ± 0.0099,0.9401 ± 0.0082,0.8563 ± 0.0044,0.7687 ± 0.0748,0.6487 ± 0.0057,0.8907 ± 0.0053,0.8292 ± 0.0248,0.8563 ± 0.0044,0.8133 ± 0.0047,0.9387 ± 0.0027
extra_trees,spearman_sulov,0.6135 ± 0.0076,0.6121 ± 0.0111,0.8582 ± 0.0077,0.6736 ± 0.1605,0.6453 ± 0.0074,0.8924 ± 0.0140,0.7989 ± 0.0527,0.8582 ± 0.0077,0.8109 ± 0.0075,0.9404 ± 0.0088,0.8574 ± 0.0041,0.6947 ± 0.0936,0.6447 ± 0.0042,0.8939 ± 0.0060,0.8056 ± 0.0306,0.8574 ± 0.0041,0.8112 ± 0.0042,0.9398 ± 0.0033
extra_trees,chi2,0.6230 ± 0.0116,0.6248 ± 0.0148,0.8571 ± 0.0086,0.7398 ± 0.1370,0.6503 ± 0.0079,0.8890 ± 0.0148,0.8203 ± 0.0440,0.8571 ± 0.0086,0.8135 ± 0.0076,0.9388 ± 0.0099,0.8547 ± 0.0059,0.7342 ± 0.0903,0.6475 ± 0.0073,0.8926 ± 0.0075,0.8177 ± 0.0313,0.8547 ± 0.0059,0.8123 ± 0.0068,0.9392 ± 0.0046
extra_trees,chi2_mi_union_topk,0.6293 ± 0.0106,0.6449 ± 0.0238,0.8582 ± 0.0077,0.7342 ± 0.0886,0.6603 ± 0.0130,0.8937 ± 0.0128,0.8210 ± 0.0306,0.8582 ± 0.0077,0.8206 ± 0.0102,0.9404 ± 0.0087,0.8531 ± 0.0052,0.7074 ± 0.0460,0.6496 ± 0.0055,0.8894 ± 0.0088,0.8096 ± 0.0146,0.8531 ± 0.0052,0.8138 ± 0.0050,0.9375 ± 0.0060
xgboost,spearman_corr,0.6595 ± 0.0184,0.6538 ± 0.0191,0.8484 ± 0.0122,0.7094 ± 0.0437,0.6613 ± 0.0140,0.8917 ± 0.0122,0.8126 ± 0.0180,0.8484 ± 0.0122,0.8187 ± 0.0114,0.9393 ± 0.0059,0.8506 ± 0.0067,0.7181 ± 0.0377,0.6645 ± 0.0127,0.8848 ± 0.0086,0.8163 ± 0.0144,0.8506 ± 0.0067,0.8220 ± 0.0085,0.9341 ± 0.0049
xgboost,mutual_info,0.6547 ± 0.0192,0.6599 ± 0.0222,0.8509 ± 0.0130,0.7279 ± 0.0652,0.6657 ± 0.0150,0.8854 ± 0.0116,0.8195 ± 0.0228,0.8509 ± 0.0130,0.8217 ± 0.0120,0.9364 ± 0.0065,0.8462 ± 0.0065,0.6990 ± 0.0387,0.6605 ± 0.0130,0.8837 ± 0.0055,0.8091 ± 0.0142,0.8462 ± 0.0065,0.8184 ± 0.0083,0.9336 ± 0.0028
xgboost,spearman_sulov,0.6481 ± 0.0176,0.6592 ± 0.0184,0.8538 ± 0.0094,0.7221 ± 0.0480,0.6662 ± 0.0120,0.8901 ± 0.0118,0.8191 ± 0.0167,0.8538 ± 0.0094,0.8236 ± 0.0091,0.9388 ± 0.0057,0.8475 ± 0.0070,0.6980 ± 0.0370,0.6570 ± 0.0117,0.8838 ± 0.0070,0.8078 ± 0.0141,0.8475 ± 0.0070,0.8169 ± 0.0085,0.9335 ± 0.0037
xgboost,chi2,0.6590 ± 0.0148,0.6658 ± 0.0285,0.8524 ± 0.0122,0.7081 ± 0.0635,0.6702 ± 0.0180,0.8827 ± 0.0127,0.8161 ± 0.0222,0.8524 ± 0.0122,0.8253 ± 0.0122,0.9350 ± 0.0078,0.8470 ± 0.0070,0.7099 ± 0.0300,0.6633 ± 0.0098,0.8815 ± 0.0063,0.8125 ± 0.0111,0.8470 ± 0.0070,0.8197 ± 0.0066,0.9332 ± 0.0038
xgboost,chi2_mi_union_topk,0.6570 ± 0.0128,0.6760 ± 0.0191,0.8487 ± 0.0069,0.7196 ± 0.0353,0.6758 ± 0.0135,0.8769 ± 0.0096,0.8196 ± 0.0103,0.8487 ± 0.0069,0.8259 ± 0.0058,0.9302 ± 0.0054,0.8346 ± 0.0069,0.6814 ± 0.0213,0.6591 ± 0.0097,0.8655 ± 0.0095,0.8020 ± 0.0087,0.8346 ± 0.0069,0.8133 ± 0.0070,0.9231 ± 0.0056
adaboost,spearman_corr,0.6436 ± 0.0103,0.6504 ± 0.0340,0.8253 ± 0.0215,0.6615 ± 0.0506,0.6557 ± 0.0269,0.8513 ± 0.0164,0.7972 ± 0.0241,0.8253 ± 0.0215,0.8074 ± 0.0182,0.9220 ± 0.0064,0.8090 ± 0.0078,0.6466 ± 0.0126,0.6449 ± 0.0093,0.8401 ± 0.0057,0.7892 ± 0.0058,0.8090 ± 0.0078,0.7982 ± 0.0063,0.9147 ± 0.0031
adaboost,mutual_info,0.6453 ± 0.0138,0.6401 ± 0.0253,0.8223 ± 0.0131,0.6458 ± 0.0312,0.6468 ± 0.0185,0.8481 ± 0.0180,0.7900 ± 0.0146,0.8223 ± 0.0131,0.8033 ± 0.0115,0.9204 ± 0.0066,0.8134 ± 0.0122,0.6501 ± 0.0169,0.6471 ± 0.0123,0.8434 ± 0.0067,0.7909 ± 0.0079,0.8134 ± 0.0122,0.8008 ± 0.0090,0.9164 ± 0.0044
adaboost,spearman_sulov,0.6537 ± 0.0125,0.6474 ± 0.0245,0.8187 ± 0.0217,0.6561 ± 0.0340,0.6507 ± 0.0201,0.8444 ± 0.0205,0.7943 ± 0.0147,0.8187 ± 0.0217,0.8038 ± 0.0155,0.9194 ± 0.0075,0.8129 ± 0.0065,0.6572 ± 0.0125,0.6544 ± 0.0112,0.8396 ± 0.0080,0.7947 ± 0.0062,0.8129 ± 0.0065,0.8029 ± 0.0050,0.9145 ± 0.0039
adaboost,chi2,0.6388 ± 0.0155,0.6451 ± 0.0153,0.8297 ± 0.0133,0.6641 ± 0.0305,0.6514 ± 0.0112,0.8494 ± 0.0132,0.7962 ± 0.0128,0.8297 ± 0.0133,0.8078 ± 0.0094,0.9214 ± 0.0049,0.8129 ± 0.0073,0.6432 ± 0.0168,0.6420 ± 0.0134,0.8423 ± 0.0085,0.7865 ± 0.0103,0.8129 ± 0.0073,0.7981 ± 0.0087,0.9169 ± 0.0027
adaboost,chi2_mi_union_topk,0.6297 ± 0.0201,0.6361 ± 0.0203,0.8216 ± 0.0182,0.6544 ± 0.0355,0.6429 ± 0.0170,0.8514 ± 0.0105,0.7888 ± 0.0162,0.8216 ± 0.0182,0.8001 ± 0.0138,0.9214 ± 0.0063,0.8160 ± 0.0097,0.6348 ± 0.0251,0.6360 ± 0.0164,0.8399 ± 0.0116,0.7823 ± 0.0131,0.8160 ± 0.0097,0.7967 ± 0.0111,0.9155 ± 0.0043
svm,spearman_corr,0.6026 ± 0.0045,0.6088 ± 0.0080,0.8590 ± 0.0105,0.6077 ± 0.1027,0.6441 ± 0.0075,0.8758 ± 0.0159,0.7779 ± 0.0323,0.8590 ± 0.0105,0.8107 ± 0.0096,0.9322 ± 0.0090,0.8514 ± 0.0029,0.6189 ± 0.1126,0.6374 ± 0.0030,0.8757 ± 0.0076,0.7772 ± 0.0369,0.8514 ± 0.0029,0.8040 ± 0.0030,0.9294 ± 0.0038
svm,mutual_info,0.6046 ± 0.0086,0.6100 ± 0.0057,0.8612 ± 0.0082,0.6087 ± 0.1022,0.6458 ± 0.0054,0.8698 ± 0.0116,0.7793 ± 0.0309,0.8612 ± 0.0082,0.8124 ± 0.0069,0.9301 ± 0.0075,0.8535 ± 0.0054,0.6086 ± 0.0849,0.6393 ± 0.0058,0.8718 ± 0.0071,0.7747 ± 0.0298,0.8535 ± 0.0054,0.8058 ± 0.0061,0.9283 ± 0.0035
svm,spearman_sulov,0.6045 ± 0.0065,0.6135 ± 0.0072,0.8601 ± 0.0082,0.6253 ± 0.0770,0.6466 ± 0.0047,0.8720 ± 0.0162,0.7847 ± 0.0225,0.8601 ± 0.0082,0.8128 ± 0.0063,0.9303 ± 0.0094,0.8516 ± 0.0043,0.6330 ± 0.1072,0.6382 ± 0.0044,0.8751 ± 0.0073,0.7821 ± 0.0359,0.8516 ± 0.0043,0.8047 ± 0.0048,0.9293 ± 0.0038
svm,chi2,0.6073 ± 0.0088,0.6082 ± 0.0070,0.8612 ± 0.0097,0.5756 ± 0.0069,0.6450 ± 0.0073,0.8742 ± 0.0128,0.7685 ± 0.0093,0.8612 ± 0.0097,0.8120 ± 0.0093,0.9326 ± 0.0073,0.8547 ± 0.0045,0.6428 ± 0.1236,0.6409 ± 0.0052,0.8738 ± 0.0068,0.7868 ± 0.0410,0.8547 ± 0.0045,0.8075 ± 0.0050,0.9296 ± 0.0038
svm,chi2_mi_union_topk,0.6098 ± 0.0073,0.6104 ± 0.0116,0.8590 ± 0.0101,0.6184 ± 0.1086,0.6450 ± 0.0087,0.8653 ± 0.0100,0.7810 ± 0.0379,0.8590 ± 0.0101,0.8108 ± 0.0101,0.9286 ± 0.0063,0.8544 ± 0.0058,0.7123 ± 0.1251,0.6418 ± 0.0052,0.8641 ± 0.0092,0.8094 ± 0.0415,0.8544 ± 0.0058,0.8081 ± 0.0060,0.9252 ± 0.0046
logistic_regression,spearman_corr,0.6536 ± 0.0172,0.6611 ± 0.0184,0.7901 ± 0.0140,0.6626 ± 0.0187,0.6652 ± 0.0215,0.8563 ± 0.0143,0.8074 ± 0.0136,0.7901 ± 0.0140,0.7967 ± 0.0117,0.9187 ± 0.0063,0.7803 ± 0.0131,0.6552 ± 0.0156,0.6563 ± 0.0186,0.8547 ± 0.0099,0.8015 ± 0.0106,0.7803 ± 0.0131,0.7896 ± 0.0115,0.9152 ± 0.0044
logistic_regression,mutual_info,0.6505 ± 0.0130,0.6482 ± 0.0275,0.7799 ± 0.0205,0.6523 ± 0.0255,0.6508 ± 0.0311,0.8525 ± 0.0147,0.8041 ± 0.0153,0.7799 ± 0.0205,0.7894 ± 0.0170,0.9164 ± 0.0078,0.7759 ± 0.0089,0.6530 ± 0.0117,0.6537 ± 0.0145,0.8530 ± 0.0148,0.8013 ± 0.0065,0.7759 ± 0.0089,0.7869 ± 0.0074,0.9143 ± 0.0070
logistic_regression,spearman_sulov,0.6545 ± 0.0190,0.6585 ± 0.0167,0.7879 ± 0.0163,0.6605 ± 0.0177,0.6636 ± 0.0192,0.8573 ± 0.0144,0.8071 ± 0.0128,0.7879 ± 0.0163,0.7950 ± 0.0124,0.9190 ± 0.0071,0.7785 ± 0.0123,0.6564 ± 0.0168,0.6578 ± 0.0212,0.8550 ± 0.0123,0.8028 ± 0.0091,0.7785 ± 0.0123,0.7892 ± 0.0106,0.9151 ± 0.0057
logistic_regression,chi2,0.6564 ± 0.0124,0.6485 ± 0.0234,0.7740 ± 0.0204,0.6537 ± 0.0206,0.6523 ± 0.0259,0.8512 ± 0.0176,0.8038 ± 0.0116,0.7740 ± 0.0204,0.7856 ± 0.0159,0.9163 ± 0.0088,0.7791 ± 0.0104,0.6584 ± 0.0108,0.6604 ± 0.0136,0.8519 ± 0.0163,0.8040 ± 0.0075,0.7791 ± 0.0104,0.7898 ± 0.0082,0.9145 ± 0.0082
logistic_regression,chi2_mi_union_topk,0.6544 ± 0.0180,0.6578 ± 0.0188,0.7736 ± 0.0139,0.6659 ± 0.0168,0.6654 ± 0.0237,0.8659 ± 0.0105,0.8172 ± 0.0101,0.7736 ± 0.0139,0.7902 ± 0.0109,0.9267 ± 0.0047,0.7717 ± 0.0130,0.6611 ± 0.0154,0.6606 ± 0.0207,0.8592 ± 0.0158,0.8129 ± 0.0100,0.7717 ± 0.0130,0.7883 ± 0.0113,0.9210 ± 0.0078
knn,spearman_corr,0.5971 ± 0.0178,0.6049 ± 0.0206,0.7890 ± 0.0225,0.6414 ± 0.0348,0.6140 ± 0.0180,0.8266 ± 0.0204,0.7657 ± 0.0153,0.7890 ± 0.0225,0.7621 ± 0.0206,0.8929 ± 0.0155,0.7843 ± 0.0112,0.6198 ± 0.0241,0.6077 ± 0.0142,0.8221 ± 0.0071,0.7577 ± 0.0121,0.7843 ± 0.0112,0.7580 ± 0.0104,0.8903 ± 0.0029
knn,mutual_info,0.5966 ± 0.0204,0.6003 ± 0.0327,0.7934 ± 0.0247,0.6194 ± 0.0515,0.6123 ± 0.0272,0.8298 ± 0.0216,0.7626 ± 0.0257,0.7934 ± 0.0247,0.7670 ± 0.0246,0.8963 ± 0.0157,0.7881 ± 0.0095,0.6101 ± 0.0317,0.6083 ± 0.0147,0.8300 ± 0.0101,0.7572 ± 0.0155,0.7881 ± 0.0095,0.7625 ± 0.0106,0.8965 ± 0.0063
knn,spearman_sulov,0.5982 ± 0.0176,0.5943 ± 0.0347,0.7780 ± 0.0282,0.6268 ± 0.0506,0.6041 ± 0.0295,0.8303 ± 0.0240,0.7583 ± 0.0238,0.7780 ± 0.0282,0.7521 ± 0.0271,0.8931 ± 0.0153,0.7794 ± 0.0147,0.6234 ± 0.0280,0.6073 ± 0.0138,0.8238 ± 0.0073,0.7587 ± 0.0132,0.7794 ± 0.0147,0.7550 ± 0.0122,0.8900 ± 0.0049
knn,chi2,0.5934 ± 0.0168,0.6039 ± 0.0310,0.7912 ± 0.0251,0.6294 ± 0.0446,0.6140 ± 0.0260,0.8301 ± 0.0189,0.7634 ± 0.0228,0.7912 ± 0.0251,0.7647 ± 0.0245,0.8949 ± 0.0149,0.7871 ± 0.0072,0.6109 ± 0.0254,0.6062 ± 0.0121,0.8320 ± 0.0093,0.7542 ± 0.0111,0.7871 ± 0.0072,0.7594 ± 0.0078,0.8956 ± 0.0054
knn,chi2_mi_union_topk,0.6359 ± 0.0239,0.6453 ± 0.0360,0.8256 ± 0.0217,0.6671 ± 0.0534,0.6508 ± 0.0277,0.8358 ± 0.0202,0.7941 ± 0.0262,0.8256 ± 0.0217,0.8022 ± 0.0224,0.9041 ± 0.0148,0.8195 ± 0.0071,0.6528 ± 0.0309,0.6423 ± 0.0178,0.8408 ± 0.0127,0.7866 ± 0.0151,0.8195 ± 0.0071,0.7964 ± 0.0110,0.9048 ± 0.0077
gaussian_nb,spearman_corr,0.6015 ± 0.0223,0.6244 ± 0.0416,0.7114 ± 0.0473,0.6612 ± 0.0262,0.6503 ± 0.0425,0.8376 ± 0.0229,0.8145 ± 0.0209,0.7114 ± 0.0473,0.7395 ± 0.0400,0.9015 ± 0.0150,0.6857 ± 0.0291,0.6416 ± 0.0108,0.6261 ± 0.0201,0.8224 ± 0.0111,0.7975 ± 0.0092,0.6857 ± 0.0291,0.7186 ± 0.0256,0.8893 ± 0.0063
gaussian_nb,mutual_info,0.6154 ± 0.0184,0.6359 ± 0.0393,0.7333 ± 0.0385,0.6609 ± 0.0329,0.6543 ± 0.0469,0.8431 ± 0.0235,0.8144 ± 0.0254,0.7333 ± 0.0385,0.7584 ± 0.0312,0.9057 ± 0.0151,0.7080 ± 0.0247,0.6454 ± 0.0140,0.6335 ± 0.0206,0.8354 ± 0.0099,0.8017 ± 0.0117,0.7080 ± 0.0247,0.7385 ± 0.0207,0.8969 ± 0.0054
gaussian_nb,spearman_sulov,0.5995 ± 0.0251,0.6254 ± 0.0369,0.7114 ± 0.0412,0.6651 ± 0.0246,0.6536 ± 0.0386,0.8421 ± 0.0226,0.8194 ± 0.0228,0.7114 ± 0.0412,0.7396 ± 0.0356,0.9034 ± 0.0150,0.6813 ± 0.0300,0.6445 ± 0.0134,0.6279 ± 0.0241,0.8256 ± 0.0126,0.8010 ± 0.0118,0.6813 ± 0.0300,0.7146 ± 0.0281,0.8913 ± 0.0072
gaussian_nb,chi2,0.6088 ± 0.0224,0.6235 ± 0.0421,0.7183 ± 0.0546,0.6575 ± 0.0268,0.6438 ± 0.0416,0.8447 ± 0.0243,0.8126 ± 0.0213,0.7183 ± 0.0546,0.7447 ± 0.0442,0.9060 ± 0.0153,0.6970 ± 0.0335,0.6454 ± 0.0100,0.6317 ± 0.0165,0.8346 ± 0.0104,0.8017 ± 0.0090,0.6970 ± 0.0335,0.7284 ± 0.0295,0.8965 ± 0.0058
gaussian_nb,chi2_mi_union_topk,0.6500 ± 0.0117,0.6558 ± 0.0291,0.7579 ± 0.0288,0.6736 ± 0.0248,0.6694 ± 0.0352,0.8696 ± 0.0173,0.8279 ± 0.0196,0.7579 ± 0.0288,0.7825 ± 0.0231,0.9265 ± 0.0112,0.7472 ± 0.0104,0.6689 ± 0.0095,0.6642 ± 0.0148,0.8643 ± 0.0092,0.8248 ± 0.0074,0.7472 ± 0.0104,0.7762 ± 0.0088,0.9205 ± 0.0054
