,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,extra_trees,spearman_corr,0.6086 ± 0.0036,0.6082 ± 0.0073,0.9000 ± 0.0111,0.6003 ± 0.0068,0.6171 ± 0.0079,0.9500 ± 0.0140,0.8780 ± 0.0103,0.9000 ± 0.0111,0.8883 ± 0.0106,0.9599 ± 0.0055,0.8987 ± 0.0053,0.6000 ± 0.0035,0.6175 ± 0.0038,0.9530 ± 0.0093,0.8744 ± 0.0053,0.8987 ± 0.0053,0.8863 ± 0.0052,0.9604 ± 0.0040
11,extra_trees,mutual_info,0.6288 ± 0.0276,0.6164 ± 0.0277,0.8996 ± 0.0098,0.6337 ± 0.1064,0.6213 ± 0.0172,0.9471 ± 0.0110,0.8807 ± 0.0129,0.8996 ± 0.0098,0.8887 ± 0.0095,0.9592 ± 0.0069,0.8954 ± 0.0070,0.7091 ± 0.1264,0.6271 ± 0.0164,0.9573 ± 0.0051,0.8806 ± 0.0136,0.8954 ± 0.0070,0.8845 ± 0.0075,0.9616 ± 0.0024
12,extra_trees,spearman_sulov,0.6108 ± 0.0108,0.6073 ± 0.0099,0.8985 ± 0.0148,0.5995 ± 0.0096,0.6160 ± 0.0105,0.9489 ± 0.0149,0.8767 ± 0.0142,0.8985 ± 0.0148,0.8870 ± 0.0144,0.9597 ± 0.0058,0.8976 ± 0.0056,0.6104 ± 0.0357,0.6182 ± 0.0069,0.9540 ± 0.0067,0.8740 ± 0.0064,0.8976 ± 0.0056,0.8853 ± 0.0055,0.9604 ± 0.0031
13,extra_trees,chi2,0.6390 ± 0.0265,0.6402 ± 0.0412,0.8996 ± 0.0120,0.7173 ± 0.1578,0.6348 ± 0.0244,0.9523 ± 0.0152,0.8873 ± 0.0161,0.8996 ± 0.0120,0.8902 ± 0.0113,0.9611 ± 0.0074,0.8969 ± 0.0044,0.7270 ± 0.1088,0.6334 ± 0.0154,0.9553 ± 0.0081,0.8839 ± 0.0109,0.8969 ± 0.0044,0.8867 ± 0.0048,0.9608 ± 0.0034
14,extra_trees,chi2_mi_union_topk,0.6555 ± 0.0339,0.6625 ± 0.0409,0.8985 ± 0.0088,0.7946 ± 0.1568,0.6479 ± 0.0257,0.9455 ± 0.0107,0.8931 ± 0.0166,0.8985 ± 0.0088,0.8906 ± 0.0095,0.9564 ± 0.0072,0.8920 ± 0.0074,0.7548 ± 0.1042,0.6423 ± 0.0203,0.9536 ± 0.0070,0.8826 ± 0.0112,0.8920 ± 0.0074,0.8834 ± 0.0071,0.9573 ± 0.0034
15,xgboost,spearman_corr,0.6813 ± 0.0343,0.7028 ± 0.0363,0.8982 ± 0.0183,0.8122 ± 0.0949,0.6795 ± 0.0286,0.9278 ± 0.0247,0.8960 ± 0.0186,0.8982 ± 0.0183,0.8929 ± 0.0181,0.9569 ± 0.0083,0.8967 ± 0.0046,0.7537 ± 0.0645,0.6635 ± 0.0226,0.9394 ± 0.0103,0.8879 ± 0.0068,0.8967 ± 0.0046,0.8897 ± 0.0044,0.9570 ± 0.0040
16,xgboost,mutual_info,0.6903 ± 0.0408,0.7301 ± 0.0445,0.9004 ± 0.0157,0.8405 ± 0.0696,0.6989 ± 0.0364,0.9286 ± 0.0219,0.8990 ± 0.0163,0.9004 ± 0.0157,0.8957 ± 0.0165,0.9558 ± 0.0084,0.8940 ± 0.0050,0.7715 ± 0.0697,0.6686 ± 0.0287,0.9426 ± 0.0100,0.8868 ± 0.0084,0.8940 ± 0.0050,0.8876 ± 0.0060,0.9566 ± 0.0034
17,xgboost,spearman_sulov,0.6898 ± 0.0438,0.6710 ± 0.0706,0.8945 ± 0.0176,0.7177 ± 0.1275,0.6591 ± 0.0517,0.9295 ± 0.0220,0.8858 ± 0.0245,0.8945 ± 0.0176,0.8878 ± 0.0194,0.9565 ± 0.0078,0.8953 ± 0.0062,0.7892 ± 0.0834,0.6677 ± 0.0309,0.9397 ± 0.0104,0.8884 ± 0.0113,0.8953 ± 0.0062,0.8883 ± 0.0074,0.9561 ± 0.0038
18,xgboost,chi2,0.6913 ± 0.0357,0.7174 ± 0.0374,0.9000 ± 0.0122,0.8112 ± 0.0640,0.6942 ± 0.0373,0.9272 ± 0.0231,0.8977 ± 0.0102,0.9000 ± 0.0122,0.8952 ± 0.0120,0.9542 ± 0.0081,0.8937 ± 0.0062,0.7669 ± 0.0528,0.6699 ± 0.0257,0.9371 ± 0.0086,0.8863 ± 0.0075,0.8937 ± 0.0062,0.8875 ± 0.0068,0.9545 ± 0.0040
19,xgboost,chi2_mi_union_topk,0.7133 ± 0.0339,0.6907 ± 0.0517,0.8850 ± 0.0200,0.7409 ± 0.0964,0.6747 ± 0.0408,0.9147 ± 0.0293,0.8807 ± 0.0230,0.8850 ± 0.0200,0.8808 ± 0.0205,0.9428 ± 0.0125,0.8836 ± 0.0081,0.7764 ± 0.0425,0.6887 ± 0.0303,0.9312 ± 0.0131,0.8787 ± 0.0087,0.8836 ± 0.0081,0.8794 ± 0.0084,0.9472 ± 0.0041
20,adaboost,spearman_corr,0.7089 ± 0.0385,0.6959 ± 0.0514,0.8747 ± 0.0162,0.7172 ± 0.0894,0.6940 ± 0.0493,0.9110 ± 0.0095,0.8761 ± 0.0148,0.8747 ± 0.0162,0.8743 ± 0.0148,0.9217 ± 0.0152,0.8726 ± 0.0059,0.7299 ± 0.0484,0.6962 ± 0.0341,0.9165 ± 0.0098,0.8699 ± 0.0074,0.8726 ± 0.0059,0.8708 ± 0.0066,0.9228 ± 0.0070
21,adaboost,mutual_info,0.7312 ± 0.0325,0.6883 ± 0.0471,0.8795 ± 0.0214,0.7082 ± 0.0622,0.6838 ± 0.0496,0.9135 ± 0.0096,0.8787 ± 0.0190,0.8795 ± 0.0214,0.8779 ± 0.0201,0.9234 ± 0.0133,0.8756 ± 0.0066,0.7495 ± 0.0322,0.7191 ± 0.0348,0.9175 ± 0.0144,0.8740 ± 0.0071,0.8756 ± 0.0066,0.8742 ± 0.0070,0.9211 ± 0.0104
22,adaboost,spearman_sulov,0.7116 ± 0.0271,0.6920 ± 0.0562,0.8755 ± 0.0244,0.7224 ± 0.0969,0.6953 ± 0.0647,0.9058 ± 0.0148,0.8795 ± 0.0213,0.8755 ± 0.0244,0.8756 ± 0.0228,0.9144 ± 0.0204,0.8753 ± 0.0072,0.7294 ± 0.0335,0.7000 ± 0.0257,0.9171 ± 0.0111,0.8729 ± 0.0079,0.8753 ± 0.0072,0.8737 ± 0.0078,0.9218 ± 0.0096
23,adaboost,chi2,0.7218 ± 0.0240,0.7043 ± 0.0439,0.8791 ± 0.0234,0.7301 ± 0.0828,0.7059 ± 0.0460,0.9139 ± 0.0082,0.8828 ± 0.0196,0.8791 ± 0.0234,0.8792 ± 0.0216,0.9240 ± 0.0159,0.8725 ± 0.0077,0.7403 ± 0.0305,0.7119 ± 0.0304,0.9184 ± 0.0112,0.8709 ± 0.0083,0.8725 ± 0.0077,0.8712 ± 0.0080,0.9218 ± 0.0102
24,adaboost,chi2_mi_union_topk,0.7263 ± 0.0302,0.6883 ± 0.0303,0.8747 ± 0.0201,0.7077 ± 0.0562,0.6897 ± 0.0343,0.9165 ± 0.0100,0.8773 ± 0.0165,0.8747 ± 0.0201,0.8743 ± 0.0178,0.9279 ± 0.0111,0.8775 ± 0.0076,0.7341 ± 0.0352,0.7227 ± 0.0326,0.9197 ± 0.0145,0.8772 ± 0.0084,0.8775 ± 0.0076,0.8771 ± 0.0081,0.9251 ± 0.0108
25,svm,spearman_corr,0.6022 ± 0.0042,0.5983 ± 0.0085,0.8857 ± 0.0125,0.5914 ± 0.0079,0.6090 ± 0.0082,0.9393 ± 0.0160,0.8670 ± 0.0111,0.8857 ± 0.0125,0.8736 ± 0.0125,0.9538 ± 0.0067,0.8901 ± 0.0062,0.5936 ± 0.0040,0.6133 ± 0.0041,0.9456 ± 0.0095,0.8672 ± 0.0057,0.8901 ± 0.0062,0.8769 ± 0.0062,0.9558 ± 0.0043
26,svm,mutual_info,0.6109 ± 0.0044,0.6095 ± 0.0098,0.9022 ± 0.0145,0.6016 ± 0.0095,0.6194 ± 0.0096,0.9461 ± 0.0125,0.8808 ± 0.0135,0.9022 ± 0.0145,0.8901 ± 0.0143,0.9567 ± 0.0088,0.9028 ± 0.0065,0.6017 ± 0.0044,0.6211 ± 0.0044,0.9534 ± 0.0070,0.8779 ± 0.0062,0.9028 ± 0.0065,0.8896 ± 0.0065,0.9603 ± 0.0028
27,svm,spearman_sulov,0.6080 ± 0.0038,0.6033 ± 0.0086,0.8930 ± 0.0127,0.5960 ± 0.0080,0.6137 ± 0.0083,0.9411 ± 0.0171,0.8733 ± 0.0113,0.8930 ± 0.0127,0.8809 ± 0.0126,0.9549 ± 0.0088,0.8986 ± 0.0055,0.5989 ± 0.0036,0.6187 ± 0.0036,0.9486 ± 0.0083,0.8744 ± 0.0050,0.8986 ± 0.0055,0.8853 ± 0.0055,0.9576 ± 0.0031
28,svm,chi2,0.6079 ± 0.0039,0.6095 ± 0.0085,0.9022 ± 0.0126,0.6015 ± 0.0084,0.6192 ± 0.0085,0.9443 ± 0.0156,0.8805 ± 0.0121,0.9022 ± 0.0126,0.8902 ± 0.0124,0.9561 ± 0.0096,0.8984 ± 0.0058,0.5988 ± 0.0039,0.6177 ± 0.0039,0.9498 ± 0.0082,0.8732 ± 0.0056,0.8984 ± 0.0058,0.8854 ± 0.0057,0.9580 ± 0.0037
29,svm,chi2_mi_union_topk,0.6136 ± 0.0107,0.6098 ± 0.0068,0.9026 ± 0.0099,0.6018 ± 0.0064,0.6197 ± 0.0066,0.9459 ± 0.0089,0.8812 ± 0.0091,0.9026 ± 0.0099,0.8905 ± 0.0099,0.9583 ± 0.0063,0.9017 ± 0.0042,0.6343 ± 0.1048,0.6220 ± 0.0056,0.9505 ± 0.0107,0.8795 ± 0.0090,0.9017 ± 0.0042,0.8888 ± 0.0041,0.9586 ± 0.0037
30,logistic_regression,spearman_corr,0.7069 ± 0.0321,0.6589 ± 0.0499,0.8692 ± 0.0105,0.6629 ± 0.0495,0.6603 ± 0.0525,0.9078 ± 0.0172,0.8669 ± 0.0136,0.8692 ± 0.0105,0.8663 ± 0.0119,0.9327 ± 0.0076,0.8739 ± 0.0074,0.7191 ± 0.0373,0.6992 ± 0.0290,0.9217 ± 0.0156,0.8721 ± 0.0072,0.8739 ± 0.0074,0.8721 ± 0.0072,0.9390 ± 0.0094
31,logistic_regression,mutual_info,0.7298 ± 0.0240,0.7153 ± 0.0576,0.8758 ± 0.0173,0.7149 ± 0.0640,0.7235 ± 0.0548,0.9231 ± 0.0188,0.8804 ± 0.0148,0.8758 ± 0.0173,0.8760 ± 0.0165,0.9411 ± 0.0090,0.8885 ± 0.0058,0.7375 ± 0.0221,0.7245 ± 0.0257,0.9350 ± 0.0098,0.8871 ± 0.0060,0.8885 ± 0.0058,0.8873 ± 0.0058,0.9470 ± 0.0054
32,logistic_regression,spearman_sulov,0.7132 ± 0.0235,0.6828 ± 0.0643,0.8755 ± 0.0143,0.6873 ± 0.0716,0.6824 ± 0.0606,0.9115 ± 0.0174,0.8742 ± 0.0169,0.8755 ± 0.0143,0.8732 ± 0.0153,0.9353 ± 0.0088,0.8775 ± 0.0088,0.7210 ± 0.0225,0.7084 ± 0.0250,0.9253 ± 0.0140,0.8761 ± 0.0085,0.8775 ± 0.0088,0.8762 ± 0.0085,0.9417 ± 0.0078
33,logistic_regression,chi2,0.7152 ± 0.0238,0.7084 ± 0.0448,0.8795 ± 0.0164,0.7028 ± 0.0370,0.7216 ± 0.0561,0.9236 ± 0.0198,0.8840 ± 0.0147,0.8795 ± 0.0164,0.8799 ± 0.0158,0.9432 ± 0.0082,0.8797 ± 0.0052,0.7116 ± 0.0216,0.7207 ± 0.0272,0.9273 ± 0.0099,0.8815 ± 0.0058,0.8797 ± 0.0052,0.8799 ± 0.0053,0.9446 ± 0.0047
34,logistic_regression,chi2_mi_union_topk,0.7346 ± 0.0307,0.7067 ± 0.0255,0.8773 ± 0.0143,0.6908 ± 0.0187,0.7527 ± 0.0529,0.9422 ± 0.0081,0.8941 ± 0.0106,0.8773 ± 0.0143,0.8816 ± 0.0121,0.9524 ± 0.0082,0.8858 ± 0.0084,0.7157 ± 0.0278,0.7712 ± 0.0337,0.9456 ± 0.0109,0.8983 ± 0.0059,0.8858 ± 0.0084,0.8897 ± 0.0071,0.9532 ± 0.0042
35,knn,spearman_corr,0.4836 ± 0.0092,0.4841 ± 0.0212,0.7245 ± 0.0282,0.5155 ± 0.0137,0.5068 ± 0.0182,0.7751 ± 0.0169,0.7628 ± 0.0198,0.7245 ± 0.0282,0.7037 ± 0.0318,0.8360 ± 0.0191,0.7217 ± 0.0126,0.5075 ± 0.0062,0.5060 ± 0.0081,0.7803 ± 0.0135,0.7483 ± 0.0090,0.7217 ± 0.0126,0.7011 ± 0.0138,0.8384 ± 0.0141
36,knn,mutual_info,0.5740 ± 0.0286,0.5625 ± 0.0371,0.8110 ± 0.0207,0.6052 ± 0.1131,0.5712 ± 0.0248,0.8107 ± 0.0219,0.8222 ± 0.0183,0.8110 ± 0.0207,0.7986 ± 0.0219,0.8970 ± 0.0166,0.8160 ± 0.0073,0.6892 ± 0.1528,0.5793 ± 0.0158,0.8220 ± 0.0154,0.8283 ± 0.0134,0.8160 ± 0.0073,0.8029 ± 0.0072,0.8981 ± 0.0081
37,knn,spearman_sulov,0.4957 ± 0.0056,0.4885 ± 0.0124,0.7300 ± 0.0161,0.5175 ± 0.0069,0.5103 ± 0.0101,0.7827 ± 0.0253,0.7655 ± 0.0099,0.7300 ± 0.0161,0.7102 ± 0.0187,0.8462 ± 0.0181,0.7377 ± 0.0081,0.5141 ± 0.0056,0.5161 ± 0.0055,0.7839 ± 0.0085,0.7574 ± 0.0083,0.7377 ± 0.0081,0.7192 ± 0.0084,0.8503 ± 0.0103
38,knn,chi2,0.5802 ± 0.0238,0.5662 ± 0.0249,0.8278 ± 0.0206,0.5800 ± 0.0513,0.5774 ± 0.0175,0.8071 ± 0.0273,0.8308 ± 0.0149,0.8278 ± 0.0206,0.8157 ± 0.0211,0.8973 ± 0.0159,0.8340 ± 0.0115,0.6473 ± 0.1178,0.5870 ± 0.0141,0.8295 ± 0.0145,0.8348 ± 0.0131,0.8340 ± 0.0115,0.8213 ± 0.0117,0.9058 ± 0.0072
39,knn,chi2_mi_union_topk,0.6642 ± 0.0414,0.6216 ± 0.0360,0.8846 ± 0.0120,0.6756 ± 0.1406,0.6222 ± 0.0204,0.8548 ± 0.0366,0.8752 ± 0.0134,0.8846 ± 0.0120,0.8744 ± 0.0112,0.9270 ± 0.0130,0.8931 ± 0.0067,0.7850 ± 0.1068,0.6524 ± 0.0288,0.8689 ± 0.0213,0.8891 ± 0.0106,0.8931 ± 0.0067,0.8841 ± 0.0051,0.9341 ± 0.0053
40,gaussian_nb,spearman_corr,0.5590 ± 0.0501,0.5457 ± 0.0542,0.7007 ± 0.0824,0.6026 ± 0.0160,0.6112 ± 0.0700,0.7775 ± 0.0442,0.8562 ± 0.0155,0.7007 ± 0.0824,0.7464 ± 0.0715,0.8831 ± 0.0145,0.7116 ± 0.0726,0.6033 ± 0.0181,0.6174 ± 0.0625,0.7805 ± 0.0333,0.8497 ± 0.0162,0.7116 ± 0.0726,0.7583 ± 0.0588,0.8794 ± 0.0127
41,gaussian_nb,mutual_info,0.5875 ± 0.0313,0.5751 ± 0.0593,0.7256 ± 0.0787,0.6167 ± 0.0230,0.6725 ± 0.0755,0.8232 ± 0.0507,0.8624 ± 0.0189,0.7256 ± 0.0787,0.7667 ± 0.0636,0.9063 ± 0.0130,0.7355 ± 0.0380,0.6185 ± 0.0137,0.6906 ± 0.0420,0.8259 ± 0.0257,0.8593 ± 0.0108,0.7355 ± 0.0380,0.7780 ± 0.0301,0.9014 ± 0.0075
42,gaussian_nb,spearman_sulov,0.5590 ± 0.0496,0.5488 ± 0.0544,0.7059 ± 0.0825,0.6030 ± 0.0165,0.6145 ± 0.0719,0.7799 ± 0.0450,0.8560 ± 0.0146,0.7059 ± 0.0825,0.7499 ± 0.0710,0.8839 ± 0.0137,0.7116 ± 0.0717,0.6047 ± 0.0173,0.6175 ± 0.0624,0.7803 ± 0.0334,0.8520 ± 0.0157,0.7116 ± 0.0717,0.7584 ± 0.0582,0.8788 ± 0.0122
43,gaussian_nb,chi2,0.6894 ± 0.0297,0.6673 ± 0.0255,0.8308 ± 0.0226,0.6571 ± 0.0169,0.7668 ± 0.0654,0.8700 ± 0.0426,0.8801 ± 0.0117,0.8308 ± 0.0226,0.8472 ± 0.0180,0.9184 ± 0.0107,0.8390 ± 0.0193,0.6720 ± 0.0209,0.7832 ± 0.0375,0.8749 ± 0.0270,0.8802 ± 0.0089,0.8390 ± 0.0193,0.8540 ± 0.0149,0.9176 ± 0.0067
44,gaussian_nb,chi2_mi_union_topk,0.6947 ± 0.0173,0.6713 ± 0.0343,0.8333 ± 0.0229,0.6640 ± 0.0239,0.7827 ± 0.0538,0.9310 ± 0.0103,0.8926 ± 0.0112,0.8333 ± 0.0229,0.8535 ± 0.0180,0.9355 ± 0.0091,0.8376 ± 0.0113,0.6772 ± 0.0113,0.8174 ± 0.0217,0.9331 ± 0.0060,0.8876 ± 0.0051,0.8376 ± 0.0113,0.8553 ± 0.0083,0.9325 ± 0.0054
