,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
33,logistic_regression,chi2,0.6593 ± 0.0157,0.6586 ± 0.0212,0.7824 ± 0.0173,0.6629 ± 0.0199,0.6636 ± 0.0240,0.8501 ± 0.0198,0.8114 ± 0.0138,0.7824 ± 0.0173,0.7937 ± 0.0143,0.9162 ± 0.0096,0.7818 ± 0.0119,0.6611 ± 0.0141,0.6635 ± 0.0172,0.8461 ± 0.0158,0.8064 ± 0.0095,0.7818 ± 0.0119,0.7923 ± 0.0101,0.9115 ± 0.0077
34,logistic_regression,chi2_mi_union_topk,0.6519 ± 0.0136,0.6517 ± 0.0185,0.7725 ± 0.0156,0.6595 ± 0.0158,0.6570 ± 0.0220,0.8645 ± 0.0127,0.8122 ± 0.0106,0.7725 ± 0.0156,0.7878 ± 0.0123,0.9255 ± 0.0055,0.7700 ± 0.0112,0.6588 ± 0.0118,0.6579 ± 0.0153,0.8563 ± 0.0150,0.8109 ± 0.0082,0.7700 ± 0.0112,0.7864 ± 0.0093,0.9188 ± 0.0074
35,knn,spearman_corr,0.6131 ± 0.0168,0.6306 ± 0.0275,0.8040 ± 0.0221,0.6621 ± 0.0391,0.6345 ± 0.0234,0.8354 ± 0.0174,0.7820 ± 0.0195,0.8040 ± 0.0221,0.7814 ± 0.0219,0.9011 ± 0.0138,0.7967 ± 0.0079,0.6293 ± 0.0217,0.6214 ± 0.0126,0.8340 ± 0.0098,0.7687 ± 0.0105,0.7967 ± 0.0079,0.7733 ± 0.0080,0.8989 ± 0.0058
36,knn,mutual_info,0.6005 ± 0.0137,0.6030 ± 0.0219,0.7949 ± 0.0196,0.6183 ± 0.0354,0.6143 ± 0.0186,0.8282 ± 0.0220,0.7637 ± 0.0167,0.7949 ± 0.0196,0.7695 ± 0.0182,0.8947 ± 0.0170,0.7931 ± 0.0095,0.6135 ± 0.0157,0.6121 ± 0.0105,0.8329 ± 0.0079,0.7599 ± 0.0099,0.7931 ± 0.0095,0.7671 ± 0.0095,0.8974 ± 0.0049
37,knn,spearman_sulov,0.6072 ± 0.0160,0.6219 ± 0.0302,0.7993 ± 0.0237,0.6573 ± 0.0488,0.6276 ± 0.0250,0.8284 ± 0.0208,0.7767 ± 0.0223,0.7993 ± 0.0237,0.7748 ± 0.0237,0.8946 ± 0.0159,0.7939 ± 0.0090,0.6247 ± 0.0236,0.6163 ± 0.0124,0.8311 ± 0.0085,0.7651 ± 0.0103,0.7939 ± 0.0090,0.7693 ± 0.0095,0.8949 ± 0.0053
38,knn,chi2,0.5974 ± 0.0159,0.5990 ± 0.0206,0.7916 ± 0.0176,0.6155 ± 0.0297,0.6110 ± 0.0175,0.8285 ± 0.0237,0.7601 ± 0.0160,0.7916 ± 0.0176,0.7651 ± 0.0175,0.8936 ± 0.0175,0.7876 ± 0.0085,0.6104 ± 0.0201,0.6087 ± 0.0117,0.8311 ± 0.0095,0.7569 ± 0.0108,0.7876 ± 0.0085,0.7622 ± 0.0093,0.8944 ± 0.0056
39,knn,chi2_mi_union_topk,0.6377 ± 0.0214,0.6344 ± 0.0320,0.8216 ± 0.0256,0.6616 ± 0.0575,0.6419 ± 0.0260,0.8385 ± 0.0230,0.7888 ± 0.0292,0.8216 ± 0.0256,0.7960 ± 0.0252,0.9050 ± 0.0175,0.8209 ± 0.0077,0.6590 ± 0.0257,0.6437 ± 0.0158,0.8387 ± 0.0094,0.7883 ± 0.0131,0.8209 ± 0.0077,0.7971 ± 0.0102,0.9036 ± 0.0060
40,gaussian_nb,spearman_corr,0.6001 ± 0.0220,0.6227 ± 0.0412,0.7081 ± 0.0448,0.6647 ± 0.0283,0.6511 ± 0.0455,0.8443 ± 0.0234,0.8200 ± 0.0232,0.7081 ± 0.0448,0.7373 ± 0.0381,0.9070 ± 0.0146,0.6792 ± 0.0278,0.6484 ± 0.0130,0.6307 ± 0.0217,0.8361 ± 0.0108,0.8057 ± 0.0113,0.6792 ± 0.0278,0.7140 ± 0.0248,0.8977 ± 0.0058
41,gaussian_nb,mutual_info,0.6192 ± 0.0193,0.6297 ± 0.0409,0.7260 ± 0.0513,0.6615 ± 0.0300,0.6513 ± 0.0421,0.8505 ± 0.0211,0.8166 ± 0.0243,0.7260 ± 0.0513,0.7513 ± 0.0416,0.9100 ± 0.0138,0.7102 ± 0.0284,0.6492 ± 0.0118,0.6395 ± 0.0174,0.8398 ± 0.0095,0.8043 ± 0.0104,0.7102 ± 0.0284,0.7402 ± 0.0233,0.8996 ± 0.0053
42,gaussian_nb,spearman_sulov,0.5989 ± 0.0225,0.6220 ± 0.0431,0.7062 ± 0.0463,0.6671 ± 0.0297,0.6531 ± 0.0468,0.8468 ± 0.0241,0.8230 ± 0.0249,0.7062 ± 0.0463,0.7352 ± 0.0404,0.9094 ± 0.0147,0.6763 ± 0.0268,0.6520 ± 0.0147,0.6339 ± 0.0238,0.8394 ± 0.0125,0.8098 ± 0.0134,0.6763 ± 0.0268,0.7107 ± 0.0251,0.9001 ± 0.0072
43,gaussian_nb,chi2,0.6065 ± 0.0258,0.6235 ± 0.0410,0.7165 ± 0.0536,0.6592 ± 0.0249,0.6458 ± 0.0393,0.8453 ± 0.0241,0.8142 ± 0.0203,0.7165 ± 0.0536,0.7432 ± 0.0438,0.9068 ± 0.0152,0.6942 ± 0.0373,0.6453 ± 0.0109,0.6303 ± 0.0192,0.8358 ± 0.0102,0.8021 ± 0.0097,0.6942 ± 0.0373,0.7258 ± 0.0332,0.8974 ± 0.0053
44,gaussian_nb,chi2_mi_union_topk,0.6478 ± 0.0140,0.6585 ± 0.0290,0.7590 ± 0.0295,0.6760 ± 0.0235,0.6728 ± 0.0337,0.8679 ± 0.0189,0.8294 ± 0.0179,0.7590 ± 0.0295,0.7838 ± 0.0238,0.9262 ± 0.0117,0.7458 ± 0.0103,0.6671 ± 0.0126,0.6613 ± 0.0191,0.8628 ± 0.0087,0.8238 ± 0.0097,0.7458 ± 0.0103,0.7751 ± 0.0091,0.9195 ± 0.0050
