,model,target_binary,class_0_label,class_1_label,accuracy_cv_mean,accuracy_cv_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_test_mean,precision_test_std,mae_cv_mean,mae_cv_std,mae_test_mean,mae_test_std,qwk_cv_mean,qwk_cv_std,qwk_test_mean,qwk_test_std,auc_cv_mean,auc_cv_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_test_mean,support_class_1_test_std
12,logistic_regression,y > 0,y == 0,y > 0,0.9032984293193718,0.009949327802134294,0.9190476190476191,0.015294228346883258,0.9095801304987756,0.00963902769461762,0.9249026043838402,0.014707018255113138,0.8858095238095238,0.014688844635114679,0.9026490066225165,0.02962502014899922,0.9356500553140188,0.010694564854209759,0.9493306466597863,0.023438042596030273,0.09670157068062826,0.009949327802134332,0.08095238095238097,0.01529422834688326,0.8058097515946356,0.01984388146374323,0.8372116547277285,0.03056701793989229,0.948874861572536,0.007942812059254708,0.9586201281076974,0.009809653231562753,0.8700103348007555,0.014775068914143536,0.8875293875697645,0.02934488663653077,0.9246511627906976,0.012969156738231322,0.939344262295082,0.030228014614075024,0.8959521906709268,0.010356132171622096,0.9120848819095306,0.016251525883911662,86.0,0.0,122.0,0.0,0.9356500553140188,0.010694564854209759,0.9493306466597863,0.023438042596030273,0.8858095238095238,0.014688844635114679,0.9026490066225165,0.02962502014899922,0.9095801304987756,0.00963902769461762,0.9249026043838402,0.014707018255113138,105.0,0.0,151.0,0.0
13,logistic_regression,y > 1,y <= 1,y > 1,0.8529319371727748,0.012539846914151024,0.8542124542124544,0.0191350798770791,0.8319404397195582,0.0151206664999743,0.8333684294333585,0.023262223622705854,0.8302380952380952,0.020259092748745374,0.8239669421487603,0.04178800945506614,0.8353484007302502,0.013552927478082986,0.844659158872302,0.030542282628402903,0.14706806282722512,0.01253984691415104,0.14578754578754577,0.019135079877079107,0.7012630101016034,0.025736586545104002,0.7038706942008651,0.0392645195695612,0.9142946150422786,0.012517059558155548,0.911706176598521,0.0099526502485367,0.8684156802425141,0.014251553996688596,0.8634439802843111,0.028420286836451095,0.8707476635514018,0.011172036263378343,0.8782894736842106,0.028802468281937936,0.8690687653422742,0.010809826467199116,0.8702641752487603,0.016616693161030035,107.0,0.0,152.0,0.0,0.8353484007302502,0.013552927478082986,0.844659158872302,0.030542282628402903,0.8302380952380952,0.020259092748745374,0.8239669421487603,0.04178800945506614,0.8319404397195582,0.0151206664999743,0.8333684294333585,0.023262223622705854,84.0,0.0,121.0,0.0
14,knn,y > 0,y == 0,y > 0,0.8070157068062827,0.008723210722370079,0.8271062271062272,0.02175987243950718,0.8049082745210672,0.010193812607328889,0.8272741636583356,0.023655197217323246,0.7271428571428571,0.015727908156717516,0.7503311258278145,0.036813091681290856,0.9036403702204071,0.010068282002176628,0.9232566321136628,0.024462661093362724,0.1929842931937173,0.008723210722370069,0.1728937728937729,0.021759872439507173,0.6185410277512817,0.016828786457923368,0.657955938269229,0.04235883420260308,0.8775813953488374,0.01141994829362821,0.8926582347193573,0.015519924625918053,0.7322116030346428,0.01078814790879717,0.7499090055751141,0.02850771869245701,0.9045348837209304,0.01129298004751026,0.9221311475409836,0.02627784707878598,0.8087296431518551,0.007807221995989692,0.8267578225176873,0.020336953468079372,86.0,0.0,122.0,0.0,0.9036403702204071,0.010068282002176628,0.9232566321136628,0.024462661093362724,0.7271428571428571,0.015727908156717516,0.7503311258278145,0.036813091681290856,0.8049082745210672,0.010193812607328889,0.8272741636583356,0.023655197217323246,105.0,0.0,151.0,0.0
15,knn,y > 1,y <= 1,y > 1,0.796806282722513,0.015952031777888783,0.8135531135531135,0.019417374770254306,0.7440594192692542,0.021803699588842828,0.7700979166675062,0.02434522320641557,0.6754761904761905,0.0272466224118628,0.7049586776859504,0.031179413370624603,0.8319507325766102,0.01991023780401928,0.8497473781420762,0.03306045420652859,0.20319371727748686,0.015952031777888776,0.18644688644688645,0.019417374770254316,0.578928825914319,0.033538813056085984,0.6155935370831565,0.03999647479452324,0.8601707832665777,0.012307536262317361,0.8692556546324489,0.015363844317876246,0.779049037345554,0.015692407373024186,0.7933125926677903,0.017923297702816705,0.8920560747663551,0.013701853969625699,0.9,0.025910623662705145,0.8312153350222896,0.012728631321399208,0.8430896654342929,0.016679737809842908,107.0,0.0,152.0,0.0,0.8319507325766102,0.01991023780401928,0.8497473781420762,0.03306045420652859,0.6754761904761905,0.0272466224118628,0.7049586776859504,0.031179413370624603,0.7440594192692542,0.021803699588842828,0.7700979166675062,0.02434522320641557,84.0,0.0,121.0,0.0
16,gaussian_nb,y > 0,y == 0,y > 0,0.8836649214659686,0.00958685620948155,0.8992673992673993,0.02199497379078365,0.8950474106938178,0.008961570313102815,0.9084939933786942,0.019799768688766713,0.9017142857142858,0.012760167298610795,0.9039735099337749,0.024631251219008162,0.8893550337010773,0.00803454664832423,0.9135366580645489,0.025713808410403587,0.11633507853403142,0.009586856209481544,0.10073260073260074,0.021994973790783662,0.764546994711038,0.019270199224633196,0.7964570105823471,0.04457220245408016,0.8981849390919159,0.011135648316168987,0.9158614699815439,0.020280139110703123,0.8785551647263322,0.01416422489701604,0.8830750366131606,0.027900652004481028,0.8616279069767442,0.01068530911014746,0.8934426229508198,0.03368532242059549,0.8693279007744898,0.010418901107168494,0.8878973707465005,0.024919808452668904,86.0,0.0,122.0,0.0,0.8893550337010773,0.00803454664832423,0.9135366580645489,0.025713808410403587,0.9017142857142858,0.012760167298610795,0.9039735099337749,0.024631251219008162,0.8950474106938178,0.008961570313102815,0.9084939933786942,0.019799768688766713,105.0,0.0,151.0,0.0
17,gaussian_nb,y > 1,y <= 1,y > 1,0.8306282722513089,0.00961049556876674,0.8439560439560442,0.018452879596886518,0.8144877343293127,0.010905038910347681,0.8313993314359331,0.021242001018450588,0.8457142857142855,0.016478529974284055,0.8694214876033058,0.03911457707834458,0.7866455563593607,0.01145041758694186,0.7974749397870577,0.02141178777194165,0.16937172774869108,0.009610495568766753,0.15604395604395604,0.018452879596886507,0.6591053979221491,0.019407571666339406,0.6866850337700852,0.03744676128948011,0.8577408767245215,0.012655475714459305,0.8774249673771205,0.021053145205790134,0.8718874332998772,0.01171008840512946,0.8890285373972201,0.030365970596374744,0.8187850467289721,0.01248789944289277,0.8236842105263158,0.024771967099022695,0.8439839633244854,0.008959420392926225,0.854622692235133,0.016800617885602498,107.0,0.0,152.0,0.0,0.7866455563593607,0.01145041758694186,0.7974749397870577,0.02141178777194165,0.8457142857142855,0.016478529974284055,0.8694214876033058,0.03911457707834458,0.8144877343293127,0.010905038910347681,0.8313993314359331,0.021242001018450588,84.0,0.0,121.0,0.0
