exp_id,test_acc_mean,test_acc_std,test_balanced_acc_mean,test_balanced_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std,test_recall_0_mean,test_recall_0_std,test_recall_1_mean,test_recall_1_std,test_recall_2_mean,test_recall_2_std
E10_lr_bin_0p0005_head_0p0003_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8573764399851357,,0.8562078723951635,,1.0,,0.6818181818181818,,0.9090909090909091,
E10_lr_bin_0p0005_head_0p0003_ft_5e-05,0.6615384615384615,,0.6666666666666666,,0.6022222222222222,,0.5971282051282051,,1.0,,0.8636363636363636,,0.13636363636363635,
E10_lr_bin_0p0005_head_0p0005_ft_0p0001,0.6923076923076923,,0.6969696969696969,,0.652958705832269,,0.6486452500245604,,1.0,,0.8636363636363636,,0.22727272727272727,
E10_lr_bin_0p0005_head_0p0005_ft_0p0003,0.8461538461538461,,0.8484848484848486,,0.8454849498327759,,0.8441334362404597,,1.0,,0.8181818181818182,,0.7272727272727273,
E10_lr_bin_0p0005_head_0p0005_ft_0p0005,0.8769230769230769,,0.8787878787878788,,0.8755260243632336,,0.8746366811483091,,1.0,,0.7727272727272727,,0.8636363636363636,
E10_lr_bin_0p0005_head_0p0005_ft_5e-05,0.676923076923077,,0.6818181818181818,,0.6283644792119368,,0.6236726506869924,,1.0,,0.8636363636363636,,0.18181818181818182,
E10_lr_bin_0p0005_head_0p001_ft_0p0001,0.6923076923076923,,0.6969696969696969,,0.652958705832269,,0.6486452500245604,,1.0,,0.8636363636363636,,0.22727272727272727,
E10_lr_bin_0p0005_head_0p001_ft_0p0003,0.7846153846153846,,0.787878787878788,,0.7769230769230768,,0.774516765285996,,1.0,,0.8636363636363636,,0.5,
E10_lr_bin_0p0005_head_0p001_ft_0p0005,0.8461538461538461,,0.8484848484848485,,0.8451096329145109,,0.8437523452157598,,1.0,,0.7727272727272727,,0.7727272727272727,
E10_lr_bin_0p0005_head_0p001_ft_5e-05,0.676923076923077,,0.6818181818181818,,0.6283644792119368,,0.6236726506869924,,1.0,,0.8636363636363636,,0.18181818181818182,
E10_lr_bin_0p0005_head_0p002_ft_0p0001,0.7384615384615385,,0.7424242424242425,,0.7191919191919193,,0.7158974358974358,,1.0,,0.8636363636363636,,0.36363636363636365,
E10_lr_bin_0p0005_head_0p002_ft_0p0003,0.8,,0.8030303030303031,,0.7978598979718802,,0.7957756912740116,,1.0,,0.7727272727272727,,0.6363636363636364,
E10_lr_bin_0p0005_head_0p002_ft_0p0005,0.8615384615384616,,0.8636363636363636,,0.8603912882982651,,0.8592691029900333,,1.0,,0.7727272727272727,,0.8181818181818182,
