exp_id,seed,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,save_model_pt,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc
E10_lr_bin_0p0003_head_0p0005_ft_0p0005,42,72,"(128, 64)",0.3,0.0003,0.0005,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5194863585325388,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p001_ft_5e-05,42,72,"(128, 64)",0.3,0.0003,0.001,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6653557318907518,0.6153846153846154,0.6212121212121212,0.5497715549005158,0.5441827560795873,0.6553753753753754,1.0,0.7727272727272727,0.09090909090909091,0.84,0.4594594594594595,0.6666666666666666,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p001_ft_0p0001,42,72,"(128, 64)",0.3,0.0003,0.001,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6568760670148409,0.6153846153846154,0.6212121212121212,0.5781200308936442,0.5729673624726098,0.621991341991342,1.0,0.6818181818181818,0.18181818181818182,0.84,0.45454545454545453,0.5714285714285714,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p001_ft_0p0003,42,72,"(128, 64)",0.3,0.0003,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.49954958237134495,0.8461538461538461,0.8484848484848485,0.8422266139657445,0.8411371237458194,0.8456565656565657,1.0,0.6818181818181818,0.8636363636363636,0.84,0.8333333333333334,0.8636363636363636,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p001_ft_0p0005,42,72,"(128, 64)",0.3,0.0003,0.001,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.4895835491327139,0.8615384615384616,0.8636363636363636,0.8590840711238256,0.8582539263986402,0.8622890559732664,1.0,0.7272727272727273,0.8636363636363636,0.84,0.8421052631578947,0.9047619047619048,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p002_ft_5e-05,42,72,"(128, 64)",0.3,0.0003,0.002,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6544722575407762,0.6153846153846154,0.6212121212121212,0.5121693121693122,0.5056898656898657,0.4461382113821138,1.0,0.8636363636363636,0.0,0.875,0.4634146341463415,0.0,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p002_ft_0p0001,42,72,"(128, 64)",0.3,0.0003,0.002,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6473112133833078,0.6307692307692307,0.6363636363636364,0.5443976936263052,0.5384140684000431,0.7833333333333333,1.0,0.8636363636363636,0.045454545454545456,0.875,0.475,1.0,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p002_ft_0p0003,42,72,"(128, 64)",0.3,0.0003,0.002,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6211456161278944,0.6461538461538462,0.6515151515151515,0.5743169398907104,0.5687936107608239,0.7873931623931624,1.0,0.8636363636363636,0.09090909090909091,0.875,0.48717948717948717,1.0,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0003_head_0p002_ft_0p0005,42,72,"(128, 64)",0.3,0.0003,0.002,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.5990690469741822,0.8,0.8030303030303031,0.79779511953425,0.7960220678615327,0.8060017050298379,1.0,0.7272727272727273,0.6818181818181818,0.84,0.6956521739130435,0.8823529411764706,0.16429026384611387,0.9324324324324325,0.9358974358974359,0.9356919108162889
E10_lr_bin_0p0005_head_0p0001_ft_5e-05,42,72,"(128, 64)",0.3,0.0005,0.0001,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6872756811288687,0.6615384615384615,0.6666666666666666,0.6257763975155279,0.6213569039655996,0.7244444444444444,1.0,0.7727272727272727,0.22727272727272727,0.84,0.5,0.8333333333333334,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0001_ft_0p0001,42,72,"(128, 64)",0.3,0.0005,0.0001,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6805525119488056,0.6923076923076923,0.6969696969696969,0.6697799248523886,0.6660374086461043,0.7487499999999999,1.0,0.7727272727272727,0.3181818181818182,0.84,0.53125,0.875,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0001_ft_0p0003,42,72,"(128, 64)",0.3,0.0005,0.0001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6565027897174541,0.8615384615384616,0.8636363636363636,0.8603912882982651,0.8592691029900333,0.8615079365079366,1.0,0.7727272727272727,0.8181818181818182,0.875,0.8095238095238095,0.9,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0001_ft_0p0005,42,72,"(128, 64)",0.3,0.0005,0.0001,0.0005,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6376360709850605,0.8461538461538461,0.8484848484848485,0.8404130894612417,0.838983547247825,0.85,1.0,0.6363636363636364,0.9090909090909091,0.875,0.875,0.8,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0003_ft_5e-05,42,72,"(128, 64)",0.3,0.0005,0.0003,5e-05,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6384136759317838,0.6615384615384615,0.6666666666666666,0.6022222222222222,0.5971282051282051,0.7916666666666666,1.0,0.8636363636363636,0.13636363636363635,0.875,0.5,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
E10_lr_bin_0p0005_head_0p0003_ft_0p0001,42,72,"(128, 64)",0.3,0.0005,0.0003,0.0001,0.0001,binary_train,True,all,True,True,True,"(1.0, 2.5, 1.1)",False,0.6329255314973684,0.676923076923077,0.6818181818181818,0.6283644792119368,0.6236726506869924,0.7961711711711712,1.0,0.8636363636363636,0.18181818181818182,0.875,0.5135135135135135,1.0,0.16534444020205252,0.9391891891891891,0.9426751592356688,0.9418647503224618
