seed,fold,class,feature,mean_abs_shap
42,3,0,NP2FREZ_std,0.008373363373236069
42,3,0,NP2FREZ_max,0.008335662453053356
42,3,0,NP3KTRML_min,0.008267704406369373
42,3,0,NP1PAIN_min,0.008164347987435823
42,3,0,NP3GAIT_var,0.0081036898502035
42,3,0,NP2RISE_var,0.007636030329290434
42,3,0,NP2TURN_max,0.007439308976124704
42,3,0,NP1ANXS_mean,0.0073933477174822695
42,3,0,NP1DDS_max,0.007109175438391933
42,3,0,NP3LGAGR_var,0.007095679387292521
42,3,0,NP3POSTR_min,0.007067114080000147
42,3,0,NP2RISE_std,0.0070470121370544295
42,3,0,NP1SLPN_std,0.006986625038203013
42,3,0,NP1APAT_max,0.006982513014488621
42,3,0,SEX,0.006892265086476505
42,3,0,NP3RTALJ_min,0.006363428522147309
42,3,0,NP2SALV_min,0.006342882557697518
42,3,0,NP3FRZGT_max,0.006320828181748908
42,3,0,NP3RTALU_var,0.00627038513629138
42,3,0,NP1HALL_var,0.00609928061168168
42,3,0,NP3SPCH_var,0.0060821308654346925
42,3,0,NP1CNST_mean,0.006052444286489938
42,3,0,NP2HWRT_var,0.005821777323462229
42,3,0,NP1HALL_min,0.00580814929709842
42,3,0,NP1DDS_mean,0.005691142203721983
42,3,0,NP3FRZGT_std,0.005603951206846739
42,3,0,NP3RISNG_min,0.005601875312207583
42,3,0,NP2EAT_mean,0.0055408533013330446
42,3,0,NP2SWAL_var,0.005259243090744448
42,3,0,NP3LGAGR_std,0.005199614829339662
42,3,0,NP1DDS_std,0.005173665659419274
42,3,0,NP3TTAPR_var,0.005164618837984319
42,3,0,NP3PTRML_min,0.004899082083890282
42,3,0,NP2SPCH_var,0.00486972217229405
42,3,0,NP3RIGLL_var,0.004732519617259354
42,3,0,RAWHITE,0.0047218142463550375
42,3,0,NP1URIN_std,0.004680972166041856
42,3,0,NP3KTRML_var,0.004567844670642327
42,3,0,NP1ANXS_min,0.0045106750479392745
42,3,0,NP3KTRML_std,0.004500312835896908
42,3,0,NP2EAT_std,0.004454706795471029
42,3,0,NP2TURN_var,0.0043932375679235905
42,3,0,NP1APAT_min,0.004314809385102956
42,3,0,NP2HOBB_var,0.004304497440823604
42,3,0,NP3RIGN_min,0.0042145539176150605
42,3,0,NP3POSTR_var,0.00420389064859118
42,3,0,NP2FREZ_mean,0.004073256514215333
42,3,0,NP3KTRMR_std,0.004003179661421821
42,3,0,NP2EAT_var,0.003839903121679274
42,3,0,NP2RISE_max,0.003725582763494745
42,3,0,NP3RTALU_std,0.0035744859842135575
42,3,0,NP3FTAPL_var,0.0034312089469180824
42,3,0,NP3RTARL_min,0.003131636952652084
42,3,0,NP3PTRMR_min,0.0029243364042644024
42,3,0,NP3HMOVR_var,0.0028893875763542375
42,3,0,NP1HALL_std,0.002822724575535268
42,3,0,NP1APAT_mean,0.0028225320612489044
42,3,0,NP1CNST_max,0.0027424103461727977
42,3,0,NP2SWAL_mean,0.0026682554426574827
42,3,0,NP2HYGN_min,0.0026351120540769155
42,3,0,NP2SWAL_std,0.002416499265575592
42,3,0,NP1DDS_min,0.0
42,3,1,NP3BRADY_mean,0.0769198386574159
42,3,1,NP3RISNG_mean,0.071937810415052
42,3,1,NP3PSTBL_mean,0.07063264234604011
42,3,1,AGE_AT_VISIT,0.06797051260084996
42,3,1,NP3RTCON_max,0.06488321860021246
42,3,1,NP1SLPN_min,0.0590126469207068
42,3,1,NP3RTCON_mean,0.055777477691741705
42,3,1,NP3PRSPR_mean,0.05514197340988647
42,3,1,NP3BRADY_min,0.054322253885999566
42,3,1,NP3RTARU_mean,0.052303130372526103
42,3,1,NP3PRSPR_max,0.05171403570637072
42,3,1,NP2TRMR_mean,0.051578979030438156
42,3,1,NP2HOBB_min,0.05129527310477229
42,3,1,ENRLGBA,0.049392413210235554
42,3,1,NP3RISNG_max,0.049290520155573656
42,3,1,NP3POSTR_mean,0.04921705040373298
42,3,1,NP3RTARU_max,0.04838943442657853
42,3,1,NP2SPCH_max,0.0480457427623142
42,3,1,NP3RTARU_std,0.047384661789446024
42,3,1,NP3BRADY_max,0.047057287466293354
42,3,1,NP3PSTBL_max,0.04649698288820645
42,3,1,NP3RTALJ_max,0.04628740630002782
42,3,1,NP3PSTBL_std,0.04538930934096339
42,3,1,NP1SLPD_min,0.04501230467127597
42,3,1,NP2SPCH_min,0.04463837319146737
42,3,1,NP3FACXP_mean,0.04420573045857037
42,3,1,NP3PRSPL_max,0.04401939434340374
42,3,1,NP1LTHD_min,0.04381060367472263
42,3,1,NP3RTCON_std,0.04308133153952798
42,3,1,NP3FRZGT_std,0.04287163216022521
42,3,1,NP3RTCON_min,0.042730292745066074
42,3,1,NP3PRSPR_min,0.042674606737793594
42,3,1,NP3RTARU_var,0.042652708267393646
42,3,1,NP3PRSPL_min,0.042652674262601734
42,3,1,NP2TRMR_max,0.042568871033131714
42,3,1,NP3FACXP_min,0.04181882711338328
42,3,1,NP3RTARU_min,0.041279769100977616
42,3,1,NP3HMOVR_mean,0.04074744299365155
42,3,1,NP3RTALU_mean,0.040068756920534444
42,3,1,NP1LTHD_mean,0.03936534074133524
42,3,1,NP3HMOVR_min,0.03930972608556968
42,3,1,NP3PSTBL_min,0.03810147340831306
42,3,1,NP3RISNG_min,0.03793098848564581
42,3,1,NP3RIGN_std,0.03789942984875256
42,3,1,NP1SLPD_mean,0.037875495848326834
42,3,1,NP1DPRS_var,0.037656212377139515
42,3,1,NP3PRSPL_mean,0.037407443134961
42,3,1,NP3RIGLU_mean,0.03734161049468866
42,3,1,NP3TTAPR_std,0.03731452469265217
42,3,1,NP3KTRMR_mean,0.03723765009213419
42,3,1,NP3RTALU_min,0.036869059608252396
42,3,1,NP3RIGRU_min,0.036483814002954716
42,3,1,NP2TRMR_min,0.03618363957811786
42,3,1,NP3PRSPR_std,0.035995071966319056
42,3,1,NP3RTALJ_std,0.035892688437498876
42,3,1,NP1SLPN_mean,0.03556269370814147
42,3,1,NP3FTAPR_mean,0.035490573384443364
42,3,1,NP3FTAPR_min,0.034924768677974734
42,3,1,NP3KTRMR_max,0.03414836636114489
42,3,1,NP2SALV_var,0.03375981880822719
42,3,1,NP3PTRML_std,0.03373914980262765
42,3,1,NP3RTALJ_mean,0.032484317104263
42,3,1,NP3RIGLU_max,0.0324796609371504
42,3,1,NP3RTCON_var,0.03163120286709088
42,3,1,NP3RIGRU_max,0.031518972432905835
42,3,1,NP3HMOVL_mean,0.03076263235094013
42,3,1,NP2TRMR_var,0.0306763525640349
42,3,1,NP2WALK_min,0.030433079181547903
42,3,1,NP3TTAPR_max,0.030162653671457703
42,3,1,NP3BRADY_std,0.029852936228424796
42,3,1,NP2SPCH_mean,0.029698419195082926
42,3,1,NP2TRMR_std,0.02960486184689183
42,3,1,NP1PAIN_var,0.029244952287308203
