,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
21,STACKING_adaboost,mutual_info,0.6092 ± 0.0079,0.6071 ± 0.0170,0.8355 ± 0.0124,0.6693 ± 0.1094,0.6324 ± 0.0131,0.8388 ± 0.0117,0.7863 ± 0.0379,0.8355 ± 0.0124,0.7944 ± 0.0117,0.9147 ± 0.0051,0.8344 ± 0.0043,0.6566 ± 0.0270,0.6322 ± 0.0049,0.8306 ± 0.0054,0.7816 ± 0.0096,0.8344 ± 0.0043,0.7948 ± 0.0050,0.9090 ± 0.0036
22,STACKING_adaboost,spearman_sulov,0.6012 ± 0.0100,0.6097 ± 0.0174,0.8370 ± 0.0105,0.6420 ± 0.0672,0.6343 ± 0.0120,0.8384 ± 0.0129,0.7790 ± 0.0255,0.8370 ± 0.0105,0.7967 ± 0.0109,0.9144 ± 0.0040,0.8319 ± 0.0062,0.6228 ± 0.0422,0.6274 ± 0.0068,0.8311 ± 0.0056,0.7692 ± 0.0153,0.8319 ± 0.0062,0.7910 ± 0.0067,0.9087 ± 0.0038
23,STACKING_adaboost,chi2,0.6103 ± 0.0092,0.6010 ± 0.0147,0.8297 ± 0.0135,0.6033 ± 0.0509,0.6271 ± 0.0103,0.8430 ± 0.0148,0.7633 ± 0.0193,0.8297 ± 0.0135,0.7896 ± 0.0111,0.9150 ± 0.0065,0.8300 ± 0.0030,0.6427 ± 0.0322,0.6307 ± 0.0048,0.8336 ± 0.0053,0.7765 ± 0.0100,0.8300 ± 0.0030,0.7929 ± 0.0032,0.9111 ± 0.0035
24,STACKING_adaboost,chi2_mi_union_topk,0.6161 ± 0.0153,0.6087 ± 0.0205,0.8344 ± 0.0150,0.6702 ± 0.1318,0.6324 ± 0.0157,0.8405 ± 0.0118,0.7875 ± 0.0447,0.8344 ± 0.0150,0.7950 ± 0.0132,0.9150 ± 0.0047,0.8352 ± 0.0052,0.6838 ± 0.0552,0.6361 ± 0.0084,0.8317 ± 0.0053,0.7902 ± 0.0191,0.8352 ± 0.0052,0.7967 ± 0.0067,0.9090 ± 0.0040
25,STACKING_svm,spearman_corr,0.6767 ± 0.0212,0.6813 ± 0.0240,0.8179 ± 0.0209,0.6834 ± 0.0231,0.6836 ± 0.0272,0.8819 ± 0.0150,0.8223 ± 0.0148,0.8179 ± 0.0209,0.8186 ± 0.0160,0.9351 ± 0.0086,0.8170 ± 0.0117,0.6769 ± 0.0215,0.6772 ± 0.0210,0.8719 ± 0.0063,0.8171 ± 0.0114,0.8170 ± 0.0117,0.8168 ± 0.0111,0.9262 ± 0.0035
26,STACKING_svm,mutual_info,0.6770 ± 0.0159,0.6784 ± 0.0322,0.8165 ± 0.0236,0.6805 ± 0.0307,0.6808 ± 0.0375,0.8817 ± 0.0154,0.8219 ± 0.0178,0.8165 ± 0.0236,0.8176 ± 0.0187,0.9350 ± 0.0089,0.8178 ± 0.0115,0.6776 ± 0.0162,0.6771 ± 0.0155,0.8727 ± 0.0084,0.8170 ± 0.0091,0.8178 ± 0.0115,0.8172 ± 0.0098,0.9264 ± 0.0049
27,STACKING_svm,spearman_sulov,0.6767 ± 0.0212,0.6813 ± 0.0240,0.8179 ± 0.0209,0.6834 ± 0.0231,0.6836 ± 0.0272,0.8819 ± 0.0150,0.8223 ± 0.0148,0.8179 ± 0.0209,0.8186 ± 0.0160,0.9351 ± 0.0086,0.8170 ± 0.0117,0.6769 ± 0.0215,0.6772 ± 0.0210,0.8719 ± 0.0063,0.8171 ± 0.0114,0.8170 ± 0.0117,0.8168 ± 0.0111,0.9262 ± 0.0035
28,STACKING_svm,chi2,0.6779 ± 0.0214,0.6899 ± 0.0369,0.8300 ± 0.0219,0.6942 ± 0.0383,0.6885 ± 0.0349,0.8801 ± 0.0181,0.8214 ± 0.0195,0.8300 ± 0.0219,0.8248 ± 0.0201,0.9315 ± 0.0108,0.8208 ± 0.0121,0.6801 ± 0.0230,0.6769 ± 0.0199,0.8688 ± 0.0064,0.8126 ± 0.0117,0.8208 ± 0.0121,0.8164 ± 0.0116,0.9216 ± 0.0036
29,STACKING_svm,chi2_mi_union_topk,0.6839 ± 0.0160,0.6911 ± 0.0297,0.8256 ± 0.0208,0.6930 ± 0.0300,0.6927 ± 0.0315,0.8864 ± 0.0156,0.8282 ± 0.0163,0.8256 ± 0.0208,0.8256 ± 0.0171,0.9370 ± 0.0092,0.8204 ± 0.0090,0.6840 ± 0.0162,0.6842 ± 0.0161,0.8762 ± 0.0067,0.8207 ± 0.0084,0.8204 ± 0.0090,0.8204 ± 0.0084,0.9277 ± 0.0042
30,STACKING_knn,spearman_corr,0.6101 ± 0.0140,0.6120 ± 0.0291,0.7088 ± 0.0179,0.6365 ± 0.0285,0.6243 ± 0.0381,0.8033 ± 0.0266,0.7818 ± 0.0227,0.7088 ± 0.0179,0.7296 ± 0.0180,0.8557 ± 0.0186,0.7096 ± 0.0157,0.6317 ± 0.0113,0.6206 ± 0.0166,0.7967 ± 0.0085,0.7780 ± 0.0095,0.7096 ± 0.0157,0.7306 ± 0.0119,0.8537 ± 0.0078
31,STACKING_knn,mutual_info,0.6128 ± 0.0204,0.6197 ± 0.0294,0.7282 ± 0.0259,0.6360 ± 0.0271,0.6280 ± 0.0331,0.8109 ± 0.0219,0.7794 ± 0.0216,0.7282 ± 0.0259,0.7424 ± 0.0232,0.8628 ± 0.0188,0.7242 ± 0.0212,0.6283 ± 0.0155,0.6177 ± 0.0229,0.7955 ± 0.0124,0.7749 ± 0.0096,0.7242 ± 0.0212,0.7404 ± 0.0161,0.8571 ± 0.0099
32,STACKING_knn,spearman_sulov,0.6101 ± 0.0140,0.6120 ± 0.0291,0.7088 ± 0.0179,0.6365 ± 0.0285,0.6243 ± 0.0381,0.8033 ± 0.0266,0.7818 ± 0.0227,0.7088 ± 0.0179,0.7296 ± 0.0180,0.8557 ± 0.0186,0.7096 ± 0.0157,0.6317 ± 0.0113,0.6206 ± 0.0166,0.7967 ± 0.0085,0.7780 ± 0.0095,0.7096 ± 0.0157,0.7306 ± 0.0119,0.8537 ± 0.0078
33,STACKING_knn,chi2,0.6499 ± 0.0121,0.6630 ± 0.0229,0.7967 ± 0.0195,0.6694 ± 0.0233,0.6651 ± 0.0239,0.8605 ± 0.0223,0.8035 ± 0.0158,0.7967 ± 0.0195,0.7955 ± 0.0158,0.9123 ± 0.0113,0.7943 ± 0.0072,0.6531 ± 0.0120,0.6509 ± 0.0121,0.8323 ± 0.0104,0.7944 ± 0.0071,0.7943 ± 0.0072,0.7917 ± 0.0068,0.8948 ± 0.0056
34,STACKING_knn,chi2_mi_union_topk,0.6095 ± 0.0161,0.6062 ± 0.0386,0.7209 ± 0.0256,0.6220 ± 0.0365,0.6100 ± 0.0470,0.8171 ± 0.0279,0.7713 ± 0.0285,0.7209 ± 0.0256,0.7378 ± 0.0242,0.8707 ± 0.0192,0.7212 ± 0.0229,0.6235 ± 0.0117,0.6128 ± 0.0171,0.8006 ± 0.0147,0.7717 ± 0.0093,0.7212 ± 0.0229,0.7395 ± 0.0163,0.8622 ± 0.0107
35,STACKING_gaussian_nb,spearman_corr,0.6162 ± 0.0219,0.6337 ± 0.0347,0.7571 ± 0.0696,0.6779 ± 0.0860,0.6555 ± 0.0256,0.8383 ± 0.0233,0.8132 ± 0.0302,0.7571 ± 0.0696,0.7677 ± 0.0424,0.8984 ± 0.0174,0.7200 ± 0.0442,0.6380 ± 0.0159,0.6331 ± 0.0159,0.8035 ± 0.0086,0.7901 ± 0.0158,0.7200 ± 0.0442,0.7421 ± 0.0345,0.8663 ± 0.0055
36,STACKING_gaussian_nb,mutual_info,0.6236 ± 0.0186,0.6465 ± 0.0356,0.7407 ± 0.0558,0.6720 ± 0.0218,0.6707 ± 0.0288,0.8501 ± 0.0219,0.8223 ± 0.0206,0.7407 ± 0.0558,0.7647 ± 0.0437,0.9075 ± 0.0155,0.7181 ± 0.0368,0.6491 ± 0.0136,0.6437 ± 0.0185,0.8133 ± 0.0099,0.8020 ± 0.0130,0.7181 ± 0.0368,0.7453 ± 0.0281,0.8750 ± 0.0060
37,STACKING_gaussian_nb,spearman_sulov,0.6162 ± 0.0219,0.6337 ± 0.0347,0.7571 ± 0.0696,0.6779 ± 0.0860,0.6555 ± 0.0256,0.8383 ± 0.0233,0.8132 ± 0.0302,0.7571 ± 0.0696,0.7677 ± 0.0424,0.8984 ± 0.0174,0.7200 ± 0.0442,0.6380 ± 0.0159,0.6331 ± 0.0159,0.8035 ± 0.0086,0.7901 ± 0.0158,0.7200 ± 0.0442,0.7421 ± 0.0345,0.8663 ± 0.0055
38,STACKING_gaussian_nb,chi2,0.6345 ± 0.0150,0.6498 ± 0.0236,0.7421 ± 0.0393,0.6753 ± 0.0160,0.6751 ± 0.0207,0.8638 ± 0.0119,0.8257 ± 0.0144,0.7421 ± 0.0393,0.7664 ± 0.0293,0.9193 ± 0.0081,0.7230 ± 0.0287,0.6607 ± 0.0123,0.6612 ± 0.0168,0.8185 ± 0.0103,0.8105 ± 0.0140,0.7230 ± 0.0287,0.7493 ± 0.0209,0.8794 ± 0.0044
39,STACKING_gaussian_nb,chi2_mi_union_topk,0.6385 ± 0.0173,0.6553 ± 0.0315,0.7502 ± 0.0453,0.6756 ± 0.0197,0.6754 ± 0.0302,0.8560 ± 0.0154,0.8258 ± 0.0160,0.7502 ± 0.0453,0.7752 ± 0.0339,0.9145 ± 0.0092,0.7305 ± 0.0282,0.6589 ± 0.0132,0.6582 ± 0.0174,0.8250 ± 0.0117,0.8101 ± 0.0109,0.7305 ± 0.0282,0.7586 ± 0.0207,0.8830 ± 0.0078
