,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
20,STACKING_adaboost,spearman_corr,0.6184 ± 0.0104,0.6202 ± 0.0107,0.8469 ± 0.0082,0.6601 ± 0.0473,0.6434 ± 0.0071,0.8467 ± 0.0186,0.7914 ± 0.0155,0.8469 ± 0.0082,0.8068 ± 0.0077,0.9211 ± 0.0071,0.8428 ± 0.0078,0.6685 ± 0.0646,0.6399 ± 0.0078,0.8326 ± 0.0050,0.7920 ± 0.0229,0.8428 ± 0.0078,0.8040 ± 0.0073,0.9132 ± 0.0029
21,STACKING_adaboost,mutual_info,0.6244 ± 0.0139,0.6144 ± 0.0215,0.8465 ± 0.0110,0.6344 ± 0.0722,0.6406 ± 0.0139,0.8429 ± 0.0207,0.7825 ± 0.0269,0.8465 ± 0.0110,0.8049 ± 0.0118,0.9201 ± 0.0077,0.8429 ± 0.0069,0.6817 ± 0.0505,0.6429 ± 0.0092,0.8357 ± 0.0059,0.7963 ± 0.0182,0.8429 ± 0.0069,0.8056 ± 0.0078,0.9146 ± 0.0030
22,STACKING_adaboost,spearman_sulov,0.6213 ± 0.0127,0.6240 ± 0.0173,0.8495 ± 0.0101,0.6653 ± 0.0794,0.6462 ± 0.0111,0.8472 ± 0.0195,0.7953 ± 0.0255,0.8495 ± 0.0101,0.8100 ± 0.0082,0.9213 ± 0.0062,0.8415 ± 0.0055,0.6531 ± 0.0313,0.6407 ± 0.0079,0.8336 ± 0.0039,0.7878 ± 0.0127,0.8415 ± 0.0055,0.8047 ± 0.0072,0.9137 ± 0.0033
23,STACKING_adaboost,chi2,0.6181 ± 0.0090,0.6273 ± 0.0294,0.8458 ± 0.0084,0.6487 ± 0.0727,0.6467 ± 0.0179,0.8402 ± 0.0211,0.7900 ± 0.0256,0.8458 ± 0.0084,0.8093 ± 0.0109,0.9174 ± 0.0087,0.8420 ± 0.0055,0.6572 ± 0.0355,0.6393 ± 0.0062,0.8336 ± 0.0037,0.7888 ± 0.0114,0.8420 ± 0.0055,0.8039 ± 0.0056,0.9139 ± 0.0022
24,STACKING_adaboost,chi2_mi_union_topk,0.6104 ± 0.0120,0.6234 ± 0.0246,0.8451 ± 0.0145,0.6477 ± 0.0652,0.6445 ± 0.0162,0.8392 ± 0.0180,0.7884 ± 0.0275,0.8451 ± 0.0145,0.8073 ± 0.0143,0.9173 ± 0.0074,0.8395 ± 0.0072,0.6247 ± 0.0303,0.6344 ± 0.0084,0.8347 ± 0.0035,0.7776 ± 0.0133,0.8395 ± 0.0072,0.8006 ± 0.0080,0.9143 ± 0.0031
25,STACKING_svm,spearman_corr,0.6757 ± 0.0161,0.6618 ± 0.0215,0.8282 ± 0.0141,0.6648 ± 0.0219,0.6646 ± 0.0202,0.8657 ± 0.0138,0.8112 ± 0.0145,0.8282 ± 0.0141,0.8182 ± 0.0117,0.9273 ± 0.0086,0.8264 ± 0.0090,0.6777 ± 0.0168,0.6752 ± 0.0150,0.8633 ± 0.0071,0.8168 ± 0.0088,0.8264 ± 0.0090,0.8213 ± 0.0082,0.9225 ± 0.0037
26,STACKING_svm,mutual_info,0.6736 ± 0.0113,0.6779 ± 0.0174,0.8341 ± 0.0185,0.6866 ± 0.0213,0.6782 ± 0.0160,0.8699 ± 0.0145,0.8197 ± 0.0114,0.8341 ± 0.0185,0.8247 ± 0.0124,0.9294 ± 0.0082,0.8241 ± 0.0064,0.6747 ± 0.0114,0.6735 ± 0.0106,0.8631 ± 0.0069,0.8170 ± 0.0072,0.8241 ± 0.0064,0.8203 ± 0.0060,0.9232 ± 0.0043
27,STACKING_svm,spearman_sulov,0.6743 ± 0.0139,0.6700 ± 0.0199,0.8278 ± 0.0188,0.6753 ± 0.0253,0.6710 ± 0.0196,0.8670 ± 0.0140,0.8162 ± 0.0140,0.8278 ± 0.0188,0.8204 ± 0.0138,0.9280 ± 0.0081,0.8228 ± 0.0081,0.6757 ± 0.0143,0.6744 ± 0.0136,0.8652 ± 0.0059,0.8167 ± 0.0072,0.8228 ± 0.0081,0.8194 ± 0.0059,0.9240 ± 0.0035
28,STACKING_svm,chi2,0.6644 ± 0.0119,0.6674 ± 0.0215,0.8304 ± 0.0161,0.6718 ± 0.0251,0.6696 ± 0.0189,0.8685 ± 0.0123,0.8140 ± 0.0138,0.8304 ± 0.0161,0.8205 ± 0.0119,0.9291 ± 0.0073,0.8211 ± 0.0055,0.6655 ± 0.0121,0.6647 ± 0.0111,0.8610 ± 0.0075,0.8108 ± 0.0074,0.8211 ± 0.0055,0.8156 ± 0.0056,0.9221 ± 0.0042
29,STACKING_svm,chi2_mi_union_topk,0.6752 ± 0.0146,0.6733 ± 0.0120,0.8381 ± 0.0151,0.6817 ± 0.0131,0.6745 ± 0.0105,0.8652 ± 0.0124,0.8183 ± 0.0077,0.8381 ± 0.0151,0.8260 ± 0.0093,0.9271 ± 0.0088,0.8329 ± 0.0045,0.6790 ± 0.0152,0.6750 ± 0.0130,0.8568 ± 0.0089,0.8169 ± 0.0072,0.8329 ± 0.0045,0.8241 ± 0.0052,0.9196 ± 0.0046
30,STACKING_knn,spearman_corr,0.6247 ± 0.0181,0.6296 ± 0.0447,0.7832 ± 0.0331,0.6374 ± 0.0456,0.6323 ± 0.0435,0.8360 ± 0.0210,0.7860 ± 0.0285,0.7832 ± 0.0331,0.7789 ± 0.0310,0.9018 ± 0.0153,0.7816 ± 0.0129,0.6288 ± 0.0186,0.6267 ± 0.0175,0.8225 ± 0.0119,0.7814 ± 0.0111,0.7816 ± 0.0129,0.7777 ± 0.0113,0.8930 ± 0.0076
31,STACKING_knn,mutual_info,0.6582 ± 0.0142,0.6627 ± 0.0339,0.8015 ± 0.0229,0.6655 ± 0.0314,0.6645 ± 0.0349,0.8527 ± 0.0120,0.8100 ± 0.0196,0.8015 ± 0.0229,0.8032 ± 0.0215,0.9157 ± 0.0090,0.7973 ± 0.0089,0.6602 ± 0.0142,0.6605 ± 0.0163,0.8483 ± 0.0101,0.8071 ± 0.0097,0.7973 ± 0.0089,0.8000 ± 0.0076,0.9110 ± 0.0056
32,STACKING_knn,spearman_sulov,0.6335 ± 0.0188,0.6581 ± 0.0239,0.7967 ± 0.0175,0.6627 ± 0.0243,0.6609 ± 0.0253,0.8434 ± 0.0183,0.8038 ± 0.0178,0.7967 ± 0.0175,0.7960 ± 0.0165,0.9090 ± 0.0144,0.7852 ± 0.0125,0.6372 ± 0.0191,0.6353 ± 0.0195,0.8318 ± 0.0130,0.7894 ± 0.0107,0.7852 ± 0.0125,0.7840 ± 0.0109,0.8995 ± 0.0066
33,STACKING_knn,chi2,0.6511 ± 0.0156,0.6657 ± 0.0263,0.8073 ± 0.0171,0.6687 ± 0.0257,0.6672 ± 0.0255,0.8513 ± 0.0137,0.8083 ± 0.0170,0.8073 ± 0.0171,0.8052 ± 0.0175,0.9135 ± 0.0093,0.7958 ± 0.0108,0.6531 ± 0.0158,0.6524 ± 0.0157,0.8419 ± 0.0106,0.8015 ± 0.0093,0.7958 ± 0.0108,0.7967 ± 0.0092,0.9065 ± 0.0045
34,STACKING_knn,chi2_mi_union_topk,0.6717 ± 0.0131,0.6589 ± 0.0188,0.7916 ± 0.0191,0.6635 ± 0.0182,0.6621 ± 0.0190,0.8474 ± 0.0148,0.8117 ± 0.0126,0.7916 ± 0.0191,0.7981 ± 0.0149,0.9120 ± 0.0104,0.7893 ± 0.0129,0.6752 ± 0.0118,0.6790 ± 0.0155,0.8488 ± 0.0078,0.8191 ± 0.0068,0.7893 ± 0.0129,0.8005 ± 0.0090,0.9093 ± 0.0040
35,STACKING_gaussian_nb,spearman_corr,0.6209 ± 0.0136,0.6112 ± 0.0231,0.7853 ± 0.0726,0.6114 ± 0.0464,0.6398 ± 0.0256,0.8437 ± 0.0247,0.7843 ± 0.0287,0.7853 ± 0.0726,0.7725 ± 0.0373,0.9048 ± 0.0157,0.7585 ± 0.0357,0.6303 ± 0.0231,0.6334 ± 0.0178,0.8062 ± 0.0095,0.7858 ± 0.0170,0.7585 ± 0.0357,0.7646 ± 0.0174,0.8724 ± 0.0058
36,STACKING_gaussian_nb,mutual_info,0.6235 ± 0.0250,0.6425 ± 0.0405,0.7762 ± 0.0476,0.6484 ± 0.0506,0.6614 ± 0.0398,0.8414 ± 0.0274,0.8053 ± 0.0311,0.7762 ± 0.0476,0.7811 ± 0.0266,0.9041 ± 0.0160,0.7407 ± 0.0395,0.6397 ± 0.0227,0.6354 ± 0.0268,0.8060 ± 0.0081,0.7948 ± 0.0174,0.7407 ± 0.0395,0.7580 ± 0.0279,0.8750 ± 0.0065
37,STACKING_gaussian_nb,spearman_sulov,0.6188 ± 0.0145,0.6164 ± 0.0207,0.7883 ± 0.0744,0.6624 ± 0.1059,0.6420 ± 0.0226,0.8432 ± 0.0257,0.8023 ± 0.0415,0.7883 ± 0.0744,0.7758 ± 0.0401,0.9047 ± 0.0165,0.7509 ± 0.0433,0.6301 ± 0.0289,0.6343 ± 0.0159,0.8056 ± 0.0083,0.7872 ± 0.0186,0.7509 ± 0.0433,0.7593 ± 0.0216,0.8723 ± 0.0053
38,STACKING_gaussian_nb,chi2,0.6304 ± 0.0218,0.6457 ± 0.0387,0.7476 ± 0.0397,0.6673 ± 0.0319,0.6633 ± 0.0425,0.8386 ± 0.0281,0.8178 ± 0.0243,0.7476 ± 0.0397,0.7679 ± 0.0325,0.9029 ± 0.0173,0.7465 ± 0.0239,0.6434 ± 0.0239,0.6405 ± 0.0286,0.8066 ± 0.0095,0.7976 ± 0.0193,0.7465 ± 0.0239,0.7643 ± 0.0182,0.8756 ± 0.0066
39,STACKING_gaussian_nb,chi2_mi_union_topk,0.6689 ± 0.0118,0.6763 ± 0.0281,0.7766 ± 0.0224,0.6890 ± 0.0255,0.6951 ± 0.0351,0.8657 ± 0.0169,0.8367 ± 0.0200,0.7766 ± 0.0224,0.7959 ± 0.0206,0.9245 ± 0.0115,0.7712 ± 0.0087,0.6795 ± 0.0105,0.6839 ± 0.0145,0.8295 ± 0.0053,0.8288 ± 0.0086,0.7712 ± 0.0087,0.7922 ± 0.0082,0.8953 ± 0.0037
