,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,STACKING_extra_trees,spearman_corr,0.6860 ± 0.0083,0.6925 ± 0.0242,0.8033 ± 0.0218,0.6950 ± 0.0210,0.7011 ± 0.0267,0.8864 ± 0.0152,0.8360 ± 0.0143,0.8033 ± 0.0218,0.8162 ± 0.0179,0.9384 ± 0.0092,0.7972 ± 0.0077,0.6882 ± 0.0081,0.6953 ± 0.0110,0.8919 ± 0.0061,0.8329 ± 0.0061,0.7972 ± 0.0077,0.8123 ± 0.0064,0.9392 ± 0.0035
11,STACKING_extra_trees,mutual_info,0.6772 ± 0.0169,0.6772 ± 0.0164,0.7963 ± 0.0174,0.6804 ± 0.0153,0.6833 ± 0.0190,0.8854 ± 0.0122,0.8257 ± 0.0108,0.7963 ± 0.0174,0.8082 ± 0.0126,0.9381 ± 0.0078,0.7923 ± 0.0115,0.6800 ± 0.0154,0.6844 ± 0.0197,0.8877 ± 0.0053,0.8272 ± 0.0108,0.7923 ± 0.0115,0.8073 ± 0.0107,0.9372 ± 0.0032
12,STACKING_extra_trees,spearman_sulov,0.6858 ± 0.0091,0.6848 ± 0.0171,0.7993 ± 0.0137,0.6875 ± 0.0161,0.6922 ± 0.0196,0.8883 ± 0.0129,0.8312 ± 0.0119,0.7993 ± 0.0137,0.8122 ± 0.0122,0.9394 ± 0.0080,0.7972 ± 0.0062,0.6876 ± 0.0087,0.6946 ± 0.0113,0.8917 ± 0.0060,0.8319 ± 0.0074,0.7972 ± 0.0062,0.8120 ± 0.0062,0.9390 ± 0.0036
13,STACKING_extra_trees,chi2,0.6743 ± 0.0105,0.6806 ± 0.0235,0.7978 ± 0.0226,0.6839 ± 0.0214,0.6861 ± 0.0252,0.8829 ± 0.0158,0.8281 ± 0.0146,0.7978 ± 0.0226,0.8103 ± 0.0177,0.9367 ± 0.0098,0.7909 ± 0.0096,0.6772 ± 0.0095,0.6807 ± 0.0123,0.8853 ± 0.0063,0.8252 ± 0.0065,0.7909 ± 0.0096,0.8057 ± 0.0077,0.9356 ± 0.0032
14,STACKING_extra_trees,chi2_mi_union_topk,0.6888 ± 0.0182,0.6933 ± 0.0247,0.8070 ± 0.0209,0.6944 ± 0.0229,0.7005 ± 0.0271,0.8899 ± 0.0135,0.8316 ± 0.0152,0.8070 ± 0.0209,0.8167 ± 0.0173,0.9387 ± 0.0086,0.7995 ± 0.0126,0.6901 ± 0.0165,0.6981 ± 0.0213,0.8858 ± 0.0101,0.8326 ± 0.0109,0.7995 ± 0.0126,0.8134 ± 0.0113,0.9349 ± 0.0062
15,STACKING_xgboost,spearman_corr,0.6762 ± 0.0193,0.6805 ± 0.0343,0.8308 ± 0.0163,0.6861 ± 0.0395,0.6799 ± 0.0297,0.8749 ± 0.0154,0.8175 ± 0.0177,0.8308 ± 0.0163,0.8228 ± 0.0155,0.9312 ± 0.0080,0.8248 ± 0.0080,0.6793 ± 0.0193,0.6759 ± 0.0188,0.8589 ± 0.0052,0.8137 ± 0.0103,0.8248 ± 0.0080,0.8187 ± 0.0082,0.9194 ± 0.0029
16,STACKING_xgboost,mutual_info,0.6802 ± 0.0183,0.6762 ± 0.0244,0.8245 ± 0.0110,0.6797 ± 0.0262,0.6761 ± 0.0234,0.8732 ± 0.0137,0.8149 ± 0.0132,0.8245 ± 0.0110,0.8186 ± 0.0110,0.9302 ± 0.0081,0.8233 ± 0.0068,0.6828 ± 0.0171,0.6798 ± 0.0183,0.8584 ± 0.0066,0.8151 ± 0.0108,0.8233 ± 0.0068,0.8187 ± 0.0080,0.9186 ± 0.0038
17,STACKING_xgboost,spearman_sulov,0.6748 ± 0.0158,0.6781 ± 0.0210,0.8253 ± 0.0130,0.6819 ± 0.0228,0.6775 ± 0.0196,0.8739 ± 0.0159,0.8147 ± 0.0128,0.8253 ± 0.0130,0.8189 ± 0.0122,0.9304 ± 0.0092,0.8226 ± 0.0085,0.6778 ± 0.0162,0.6742 ± 0.0151,0.8593 ± 0.0067,0.8118 ± 0.0098,0.8226 ± 0.0085,0.8167 ± 0.0084,0.9192 ± 0.0039
18,STACKING_xgboost,chi2,0.6833 ± 0.0162,0.6767 ± 0.0211,0.8264 ± 0.0102,0.6807 ± 0.0245,0.6758 ± 0.0192,0.8711 ± 0.0147,0.8149 ± 0.0122,0.8264 ± 0.0102,0.8197 ± 0.0107,0.9296 ± 0.0094,0.8259 ± 0.0070,0.6861 ± 0.0153,0.6825 ± 0.0159,0.8598 ± 0.0085,0.8171 ± 0.0089,0.8259 ± 0.0070,0.8210 ± 0.0071,0.9196 ± 0.0042
19,STACKING_xgboost,chi2_mi_union_topk,0.6798 ± 0.0176,0.6968 ± 0.0265,0.8374 ± 0.0131,0.7043 ± 0.0292,0.6949 ± 0.0247,0.8750 ± 0.0153,0.8255 ± 0.0133,0.8374 ± 0.0131,0.8299 ± 0.0119,0.9299 ± 0.0079,0.8206 ± 0.0064,0.6810 ± 0.0171,0.6796 ± 0.0179,0.8506 ± 0.0116,0.8150 ± 0.0092,0.8206 ± 0.0064,0.8175 ± 0.0072,0.9121 ± 0.0067
20,STACKING_adaboost,spearman_corr,0.6196 ± 0.0095,0.6195 ± 0.0215,0.8440 ± 0.0111,0.6751 ± 0.1060,0.6420 ± 0.0134,0.8381 ± 0.0167,0.7953 ± 0.0383,0.8440 ± 0.0111,0.8046 ± 0.0120,0.9156 ± 0.0048,0.8412 ± 0.0066,0.6607 ± 0.0356,0.6398 ± 0.0065,0.8311 ± 0.0043,0.7897 ± 0.0124,0.8412 ± 0.0066,0.8038 ± 0.0059,0.9124 ± 0.0031
21,STACKING_adaboost,mutual_info,0.6213 ± 0.0086,0.6184 ± 0.0186,0.8425 ± 0.0095,0.6555 ± 0.0740,0.6409 ± 0.0107,0.8377 ± 0.0147,0.7886 ± 0.0261,0.8425 ± 0.0095,0.8036 ± 0.0102,0.9158 ± 0.0049,0.8423 ± 0.0058,0.6545 ± 0.0282,0.6410 ± 0.0054,0.8320 ± 0.0040,0.7891 ± 0.0095,0.8423 ± 0.0058,0.8054 ± 0.0046,0.9128 ± 0.0031
22,STACKING_adaboost,spearman_sulov,0.6168 ± 0.0108,0.6208 ± 0.0189,0.8396 ± 0.0088,0.6423 ± 0.0484,0.6404 ± 0.0121,0.8367 ± 0.0148,0.7851 ± 0.0198,0.8396 ± 0.0088,0.8036 ± 0.0103,0.9155 ± 0.0058,0.8401 ± 0.0063,0.6448 ± 0.0309,0.6378 ± 0.0073,0.8317 ± 0.0035,0.7843 ± 0.0118,0.8401 ± 0.0063,0.8026 ± 0.0066,0.9127 ± 0.0028
23,STACKING_adaboost,chi2,0.6251 ± 0.0137,0.6229 ± 0.0166,0.8414 ± 0.0099,0.6667 ± 0.0649,0.6426 ± 0.0094,0.8386 ± 0.0135,0.7929 ± 0.0188,0.8414 ± 0.0099,0.8047 ± 0.0100,0.9163 ± 0.0050,0.8437 ± 0.0069,0.6743 ± 0.0536,0.6435 ± 0.0087,0.8316 ± 0.0037,0.7951 ± 0.0181,0.8437 ± 0.0069,0.8067 ± 0.0066,0.9125 ± 0.0031
24,STACKING_adaboost,chi2_mi_union_topk,0.6179 ± 0.0091,0.6190 ± 0.0171,0.8429 ± 0.0085,0.6625 ± 0.0746,0.6412 ± 0.0102,0.8321 ± 0.0119,0.7918 ± 0.0255,0.8429 ± 0.0085,0.8044 ± 0.0089,0.9125 ± 0.0058,0.8399 ± 0.0056,0.6464 ± 0.0430,0.6381 ± 0.0063,0.8319 ± 0.0038,0.7858 ± 0.0128,0.8399 ± 0.0056,0.8033 ± 0.0047,0.9128 ± 0.0027
25,STACKING_svm,spearman_corr,0.6794 ± 0.0121,0.6746 ± 0.0139,0.8352 ± 0.0137,0.6807 ± 0.0132,0.6765 ± 0.0128,0.8733 ± 0.0133,0.8194 ± 0.0092,0.8352 ± 0.0137,0.8253 ± 0.0071,0.9321 ± 0.0085,0.8310 ± 0.0057,0.6836 ± 0.0127,0.6784 ± 0.0113,0.8642 ± 0.0075,0.8175 ± 0.0064,0.8310 ± 0.0057,0.8236 ± 0.0053,0.9238 ± 0.0042
26,STACKING_svm,mutual_info,0.6741 ± 0.0062,0.6657 ± 0.0149,0.8297 ± 0.0160,0.6706 ± 0.0168,0.6674 ± 0.0130,0.8713 ± 0.0127,0.8132 ± 0.0108,0.8297 ± 0.0160,0.8197 ± 0.0108,0.9311 ± 0.0081,0.8289 ± 0.0054,0.6779 ± 0.0060,0.6735 ± 0.0058,0.8647 ± 0.0061,0.8149 ± 0.0052,0.8289 ± 0.0054,0.8213 ± 0.0045,0.9246 ± 0.0038
27,STACKING_svm,spearman_sulov,0.6765 ± 0.0107,0.6762 ± 0.0170,0.8337 ± 0.0122,0.6812 ± 0.0178,0.6771 ± 0.0166,0.8720 ± 0.0150,0.8189 ± 0.0120,0.8337 ± 0.0122,0.8248 ± 0.0097,0.9315 ± 0.0091,0.8283 ± 0.0062,0.6799 ± 0.0119,0.6756 ± 0.0099,0.8661 ± 0.0070,0.8159 ± 0.0054,0.8283 ± 0.0062,0.8216 ± 0.0053,0.9250 ± 0.0043
28,STACKING_svm,chi2,0.6788 ± 0.0081,0.6669 ± 0.0107,0.8293 ± 0.0156,0.6718 ± 0.0111,0.6688 ± 0.0098,0.8715 ± 0.0134,0.8137 ± 0.0089,0.8293 ± 0.0156,0.8198 ± 0.0091,0.9313 ± 0.0086,0.8308 ± 0.0056,0.6834 ± 0.0079,0.6779 ± 0.0076,0.8652 ± 0.0058,0.8172 ± 0.0061,0.8308 ± 0.0056,0.8233 ± 0.0047,0.9249 ± 0.0035
29,STACKING_svm,chi2_mi_union_topk,0.6667 ± 0.0144,0.6704 ± 0.0245,0.8432 ± 0.0157,0.6821 ± 0.0363,0.6725 ± 0.0206,0.8657 ± 0.0104,0.8184 ± 0.0159,0.8432 ± 0.0157,0.8278 ± 0.0131,0.9283 ± 0.0065,0.8341 ± 0.0057,0.6712 ± 0.0161,0.6676 ± 0.0123,0.8564 ± 0.0075,0.8127 ± 0.0086,0.8341 ± 0.0057,0.8223 ± 0.0071,0.9204 ± 0.0042
30,STACKING_knn,spearman_corr,0.6344 ± 0.0148,0.6481 ± 0.0218,0.7974 ± 0.0162,0.6524 ± 0.0197,0.6498 ± 0.0214,0.8481 ± 0.0230,0.7974 ± 0.0147,0.7974 ± 0.0162,0.7939 ± 0.0161,0.9109 ± 0.0144,0.7868 ± 0.0103,0.6375 ± 0.0161,0.6361 ± 0.0155,0.8361 ± 0.0127,0.7904 ± 0.0088,0.7868 ± 0.0103,0.7857 ± 0.0076,0.9028 ± 0.0076
31,STACKING_knn,mutual_info,0.6206 ± 0.0184,0.6271 ± 0.0249,0.7916 ± 0.0219,0.6306 ± 0.0234,0.6303 ± 0.0239,0.8412 ± 0.0241,0.7833 ± 0.0183,0.7916 ± 0.0219,0.7837 ± 0.0215,0.9047 ± 0.0161,0.7835 ± 0.0143,0.6235 ± 0.0185,0.6226 ± 0.0183,0.8321 ± 0.0090,0.7814 ± 0.0101,0.7835 ± 0.0143,0.7794 ± 0.0117,0.8993 ± 0.0060
32,STACKING_knn,spearman_sulov,0.6294 ± 0.0169,0.6406 ± 0.0241,0.7919 ± 0.0191,0.6460 ± 0.0211,0.6423 ± 0.0232,0.8434 ± 0.0216,0.7907 ± 0.0135,0.7919 ± 0.0191,0.7871 ± 0.0182,0.9054 ± 0.0147,0.7869 ± 0.0103,0.6331 ± 0.0172,0.6314 ± 0.0166,0.8323 ± 0.0082,0.7858 ± 0.0102,0.7869 ± 0.0103,0.7827 ± 0.0097,0.8982 ± 0.0068
33,STACKING_knn,chi2,0.6240 ± 0.0185,0.6216 ± 0.0259,0.7864 ± 0.0187,0.6258 ± 0.0265,0.6247 ± 0.0240,0.8419 ± 0.0223,0.7804 ± 0.0175,0.7864 ± 0.0187,0.7791 ± 0.0194,0.9051 ± 0.0144,0.7833 ± 0.0122,0.6275 ± 0.0193,0.6265 ± 0.0183,0.8322 ± 0.0085,0.7823 ± 0.0102,0.7833 ± 0.0122,0.7791 ± 0.0100,0.8982 ± 0.0051
34,STACKING_knn,chi2_mi_union_topk,0.6669 ± 0.0133,0.6650 ± 0.0322,0.8066 ± 0.0311,0.6713 ± 0.0291,0.6675 ± 0.0306,0.8500 ± 0.0280,0.8113 ± 0.0184,0.8066 ± 0.0311,0.8048 ± 0.0259,0.9126 ± 0.0187,0.8060 ± 0.0133,0.6694 ± 0.0127,0.6695 ± 0.0143,0.8431 ± 0.0119,0.8097 ± 0.0090,0.8060 ± 0.0133,0.8054 ± 0.0093,0.9063 ± 0.0086
35,STACKING_gaussian_nb,spearman_corr,0.6090 ± 0.0122,0.6167 ± 0.0403,0.7366 ± 0.0693,0.6416 ± 0.0489,0.6442 ± 0.0450,0.8292 ± 0.0196,0.8037 ± 0.0340,0.7366 ± 0.0693,0.7499 ± 0.0419,0.8979 ± 0.0142,0.7175 ± 0.0372,0.6318 ± 0.0185,0.6231 ± 0.0180,0.8005 ± 0.0101,0.7867 ± 0.0189,0.7175 ± 0.0372,0.7398 ± 0.0217,0.8674 ± 0.0078
36,STACKING_gaussian_nb,mutual_info,0.6251 ± 0.0154,0.6215 ± 0.0380,0.7341 ± 0.0633,0.6487 ± 0.0400,0.6440 ± 0.0385,0.8344 ± 0.0250,0.8086 ± 0.0291,0.7341 ± 0.0633,0.7524 ± 0.0426,0.8996 ± 0.0160,0.7347 ± 0.0354,0.6425 ± 0.0150,0.6380 ± 0.0162,0.8073 ± 0.0103,0.7952 ± 0.0154,0.7347 ± 0.0354,0.7554 ± 0.0223,0.8735 ± 0.0069
37,STACKING_gaussian_nb,spearman_sulov,0.6077 ± 0.0148,0.6031 ± 0.0190,0.7557 ± 0.0865,0.6196 ± 0.0436,0.6326 ± 0.0189,0.8329 ± 0.0181,0.7915 ± 0.0283,0.7557 ± 0.0865,0.7547 ± 0.0480,0.9005 ± 0.0139,0.7211 ± 0.0433,0.6304 ± 0.0286,0.6262 ± 0.0211,0.8036 ± 0.0140,0.7879 ± 0.0242,0.7211 ± 0.0433,0.7406 ± 0.0230,0.8698 ± 0.0102
38,STACKING_gaussian_nb,chi2,0.6122 ± 0.0165,0.6018 ± 0.0141,0.7597 ± 0.0840,0.6121 ± 0.0372,0.6256 ± 0.0118,0.8281 ± 0.0258,0.7841 ± 0.0225,0.7597 ± 0.0840,0.7581 ± 0.0436,0.8951 ± 0.0175,0.7404 ± 0.0515,0.6274 ± 0.0299,0.6284 ± 0.0146,0.8026 ± 0.0093,0.7853 ± 0.0219,0.7404 ± 0.0515,0.7525 ± 0.0253,0.8699 ± 0.0068
39,STACKING_gaussian_nb,chi2_mi_union_topk,0.6479 ± 0.0150,0.6588 ± 0.0273,0.7601 ± 0.0285,0.6758 ± 0.0222,0.6727 ± 0.0319,0.8560 ± 0.0194,0.8292 ± 0.0171,0.7601 ± 0.0285,0.7845 ± 0.0227,0.9212 ± 0.0117,0.7467 ± 0.0108,0.6667 ± 0.0134,0.6609 ± 0.0204,0.8176 ± 0.0068,0.8234 ± 0.0102,0.7467 ± 0.0108,0.7757 ± 0.0096,0.8875 ± 0.0045
