,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
33,logistic_regression,chi2,0.4791 ± 0.0153,0.4927 ± 0.0215,0.5659 ± 0.0204,0.4957 ± 0.0200,0.4964 ± 0.0233,0.6960 ± 0.0185,0.5786 ± 0.0180,0.5659 ± 0.0204,0.5699 ± 0.0185,0.7164 ± 0.0188,0.5464 ± 0.0121,0.4804 ± 0.0150,0.4847 ± 0.0160,0.6845 ± 0.0118,0.5620 ± 0.0128,0.5464 ± 0.0121,0.5519 ± 0.0121,0.7013 ± 0.0114
34,logistic_regression,chi2_mi_union_topk,0.5026 ± 0.0165,0.5128 ± 0.0258,0.5740 ± 0.0230,0.5134 ± 0.0253,0.5184 ± 0.0272,0.7076 ± 0.0201,0.5880 ± 0.0250,0.5740 ± 0.0230,0.5788 ± 0.0234,0.7233 ± 0.0181,0.5602 ± 0.0146,0.5014 ± 0.0159,0.5068 ± 0.0169,0.6942 ± 0.0213,0.5731 ± 0.0136,0.5602 ± 0.0146,0.5656 ± 0.0141,0.7046 ± 0.0175
35,knn,spearman_corr,0.4093 ± 0.0136,0.4237 ± 0.0301,0.5652 ± 0.0125,0.5006 ± 0.0370,0.4385 ± 0.0232,0.6672 ± 0.0293,0.5416 ± 0.0309,0.5652 ± 0.0125,0.5095 ± 0.0214,0.6800 ± 0.0304,0.5607 ± 0.0086,0.4810 ± 0.0217,0.4299 ± 0.0132,0.6600 ± 0.0153,0.5257 ± 0.0168,0.5607 ± 0.0086,0.4984 ± 0.0097,0.6726 ± 0.0172
36,knn,mutual_info,0.4137 ± 0.0197,0.4236 ± 0.0361,0.5659 ± 0.0200,0.4939 ± 0.0388,0.4373 ± 0.0292,0.6816 ± 0.0293,0.5366 ± 0.0312,0.5659 ± 0.0200,0.5106 ± 0.0277,0.6943 ± 0.0284,0.5591 ± 0.0133,0.4788 ± 0.0286,0.4306 ± 0.0146,0.6670 ± 0.0130,0.5236 ± 0.0230,0.5591 ± 0.0133,0.5014 ± 0.0170,0.6762 ± 0.0150
37,knn,spearman_sulov,0.4093 ± 0.0136,0.4237 ± 0.0301,0.5652 ± 0.0125,0.5006 ± 0.0370,0.4385 ± 0.0232,0.6672 ± 0.0293,0.5416 ± 0.0309,0.5652 ± 0.0125,0.5095 ± 0.0214,0.6800 ± 0.0304,0.5607 ± 0.0086,0.4810 ± 0.0217,0.4299 ± 0.0132,0.6600 ± 0.0153,0.5257 ± 0.0168,0.5607 ± 0.0086,0.4984 ± 0.0097,0.6726 ± 0.0172
38,knn,chi2,0.4464 ± 0.0182,0.4606 ± 0.0319,0.5733 ± 0.0203,0.4904 ± 0.0356,0.4619 ± 0.0274,0.6801 ± 0.0196,0.5425 ± 0.0279,0.5733 ± 0.0203,0.5423 ± 0.0245,0.6988 ± 0.0195,0.5577 ± 0.0144,0.4732 ± 0.0212,0.4505 ± 0.0165,0.6745 ± 0.0147,0.5299 ± 0.0179,0.5577 ± 0.0144,0.5284 ± 0.0158,0.6898 ± 0.0147
39,knn,chi2_mi_union_topk,0.4186 ± 0.0151,0.4339 ± 0.0411,0.5722 ± 0.0208,0.5072 ± 0.0409,0.4465 ± 0.0336,0.6795 ± 0.0224,0.5472 ± 0.0325,0.5722 ± 0.0208,0.5183 ± 0.0298,0.6914 ± 0.0215,0.5626 ± 0.0096,0.4861 ± 0.0198,0.4349 ± 0.0132,0.6685 ± 0.0164,0.5302 ± 0.0169,0.5626 ± 0.0096,0.5056 ± 0.0128,0.6790 ± 0.0173
40,gaussian_nb,spearman_corr,0.5089 ± 0.0143,0.5229 ± 0.0224,0.6011 ± 0.0219,0.5308 ± 0.0224,0.5241 ± 0.0207,0.7366 ± 0.0161,0.5992 ± 0.0175,0.6011 ± 0.0219,0.5964 ± 0.0197,0.7452 ± 0.0156,0.5780 ± 0.0094,0.5124 ± 0.0129,0.5130 ± 0.0163,0.7212 ± 0.0080,0.5822 ± 0.0142,0.5780 ± 0.0094,0.5773 ± 0.0116,0.7290 ± 0.0088
41,gaussian_nb,mutual_info,0.5177 ± 0.0171,0.5264 ± 0.0265,0.6011 ± 0.0221,0.5344 ± 0.0268,0.5283 ± 0.0263,0.7441 ± 0.0199,0.6022 ± 0.0230,0.6011 ± 0.0221,0.5975 ± 0.0218,0.7541 ± 0.0195,0.5844 ± 0.0137,0.5211 ± 0.0168,0.5216 ± 0.0174,0.7267 ± 0.0070,0.5897 ± 0.0147,0.5844 ± 0.0137,0.5844 ± 0.0142,0.7362 ± 0.0076
42,gaussian_nb,spearman_sulov,0.5089 ± 0.0143,0.5229 ± 0.0224,0.6011 ± 0.0219,0.5308 ± 0.0224,0.5241 ± 0.0207,0.7366 ± 0.0161,0.5992 ± 0.0175,0.6011 ± 0.0219,0.5964 ± 0.0197,0.7452 ± 0.0156,0.5780 ± 0.0094,0.5124 ± 0.0129,0.5130 ± 0.0163,0.7212 ± 0.0080,0.5822 ± 0.0142,0.5780 ± 0.0094,0.5773 ± 0.0116,0.7290 ± 0.0088
43,gaussian_nb,chi2,0.4591 ± 0.0227,0.4586 ± 0.0234,0.5637 ± 0.0134,0.4761 ± 0.0295,0.4700 ± 0.0227,0.7367 ± 0.0159,0.5484 ± 0.0245,0.5637 ± 0.0134,0.5432 ± 0.0153,0.7507 ± 0.0174,0.5563 ± 0.0129,0.4764 ± 0.0209,0.4716 ± 0.0176,0.7161 ± 0.0082,0.5418 ± 0.0190,0.5563 ± 0.0129,0.5359 ± 0.0190,0.7269 ± 0.0090
44,gaussian_nb,chi2_mi_union_topk,0.5179 ± 0.0182,0.5249 ± 0.0281,0.6015 ± 0.0242,0.5324 ± 0.0286,0.5251 ± 0.0272,0.7409 ± 0.0181,0.6002 ± 0.0227,0.6015 ± 0.0242,0.5974 ± 0.0230,0.7505 ± 0.0176,0.5855 ± 0.0142,0.5220 ± 0.0175,0.5218 ± 0.0186,0.7283 ± 0.0084,0.5903 ± 0.0147,0.5855 ± 0.0142,0.5849 ± 0.0144,0.7366 ± 0.0083
