,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
11,extra_trees,mutual_info,0.4405 ± 0.0233,0.4341 ± 0.0229,0.5645 ± 0.0216,0.4527 ± 0.0373,0.4492 ± 0.0192,0.6924 ± 0.0199,0.5274 ± 0.0245,0.5645 ± 0.0216,0.5349 ± 0.0196,0.7127 ± 0.0202,0.5591 ± 0.0188,0.4587 ± 0.0304,0.4504 ± 0.0211,0.6872 ± 0.0143,0.5308 ± 0.0220,0.5591 ± 0.0188,0.5362 ± 0.0191,0.7056 ± 0.0150
12,extra_trees,spearman_sulov,0.4281 ± 0.0137,0.4314 ± 0.0248,0.5714 ± 0.0220,0.4477 ± 0.0418,0.4508 ± 0.0220,0.6915 ± 0.0218,0.5272 ± 0.0291,0.5714 ± 0.0220,0.5377 ± 0.0206,0.7137 ± 0.0222,0.5555 ± 0.0100,0.4438 ± 0.0231,0.4417 ± 0.0120,0.6830 ± 0.0095,0.5200 ± 0.0142,0.5555 ± 0.0100,0.5284 ± 0.0100,0.7024 ± 0.0103
13,extra_trees,chi2,0.4292 ± 0.0163,0.4244 ± 0.0213,0.5623 ± 0.0185,0.4366 ± 0.0280,0.4411 ± 0.0189,0.6913 ± 0.0177,0.5174 ± 0.0208,0.5623 ± 0.0185,0.5300 ± 0.0176,0.7137 ± 0.0191,0.5544 ± 0.0116,0.4424 ± 0.0241,0.4417 ± 0.0134,0.6829 ± 0.0135,0.5201 ± 0.0153,0.5544 ± 0.0116,0.5290 ± 0.0119,0.7028 ± 0.0141
14,extra_trees,chi2_mi_union_topk,0.4409 ± 0.0193,0.4358 ± 0.0304,0.5630 ± 0.0214,0.4574 ± 0.0528,0.4494 ± 0.0265,0.6914 ± 0.0209,0.5306 ± 0.0344,0.5630 ± 0.0214,0.5357 ± 0.0230,0.7117 ± 0.0214,0.5558 ± 0.0156,0.4589 ± 0.0222,0.4489 ± 0.0183,0.6865 ± 0.0155,0.5290 ± 0.0186,0.5558 ± 0.0156,0.5342 ± 0.0168,0.7051 ± 0.0154
15,xgboost,spearman_corr,0.4243 ± 0.0182,0.4045 ± 0.0262,0.5216 ± 0.0204,0.4040 ± 0.0280,0.4125 ± 0.0235,0.6485 ± 0.0232,0.4906 ± 0.0233,0.5216 ± 0.0204,0.5032 ± 0.0209,0.6695 ± 0.0245,0.5281 ± 0.0154,0.4280 ± 0.0196,0.4266 ± 0.0173,0.6519 ± 0.0133,0.5053 ± 0.0164,0.5281 ± 0.0154,0.5144 ± 0.0156,0.6715 ± 0.0131
16,xgboost,mutual_info,0.4297 ± 0.0248,0.4078 ± 0.0288,0.5256 ± 0.0225,0.4104 ± 0.0319,0.4146 ± 0.0252,0.6542 ± 0.0206,0.4935 ± 0.0262,0.5256 ± 0.0225,0.5057 ± 0.0228,0.6747 ± 0.0220,0.5322 ± 0.0214,0.4334 ± 0.0270,0.4320 ± 0.0237,0.6537 ± 0.0152,0.5103 ± 0.0219,0.5322 ± 0.0214,0.5191 ± 0.0214,0.6732 ± 0.0170
17,xgboost,spearman_sulov,0.4207 ± 0.0165,0.4244 ± 0.0201,0.5363 ± 0.0197,0.4295 ± 0.0212,0.4290 ± 0.0175,0.6544 ± 0.0191,0.5084 ± 0.0166,0.5363 ± 0.0197,0.5183 ± 0.0159,0.6747 ± 0.0190,0.5275 ± 0.0147,0.4247 ± 0.0190,0.4236 ± 0.0152,0.6535 ± 0.0157,0.5022 ± 0.0151,0.5275 ± 0.0147,0.5122 ± 0.0146,0.6720 ± 0.0165
18,xgboost,chi2,0.4186 ± 0.0250,0.4375 ± 0.0348,0.5418 ± 0.0316,0.4433 ± 0.0383,0.4403 ± 0.0329,0.6568 ± 0.0217,0.5191 ± 0.0301,0.5418 ± 0.0316,0.5272 ± 0.0296,0.6768 ± 0.0223,0.5253 ± 0.0208,0.4219 ± 0.0255,0.4223 ± 0.0237,0.6546 ± 0.0153,0.5008 ± 0.0245,0.5253 ± 0.0208,0.5105 ± 0.0229,0.6732 ± 0.0165
19,xgboost,chi2_mi_union_topk,0.4244 ± 0.0211,0.4244 ± 0.0291,0.5374 ± 0.0268,0.4286 ± 0.0308,0.4295 ± 0.0282,0.6563 ± 0.0219,0.5083 ± 0.0284,0.5374 ± 0.0268,0.5192 ± 0.0268,0.6771 ± 0.0228,0.5285 ± 0.0193,0.4277 ± 0.0231,0.4273 ± 0.0200,0.6518 ± 0.0197,0.5045 ± 0.0205,0.5285 ± 0.0193,0.5141 ± 0.0197,0.6716 ± 0.0205
20,adaboost,spearman_corr,0.4490 ± 0.0204,0.4452 ± 0.0387,0.5656 ± 0.0235,0.4618 ± 0.0462,0.4546 ± 0.0344,0.6971 ± 0.0188,0.5356 ± 0.0332,0.5656 ± 0.0235,0.5418 ± 0.0268,0.7186 ± 0.0177,0.5619 ± 0.0151,0.4600 ± 0.0258,0.4546 ± 0.0194,0.6969 ± 0.0127,0.5344 ± 0.0199,0.5619 ± 0.0151,0.5426 ± 0.0159,0.7158 ± 0.0115
21,adaboost,mutual_info,0.4451 ± 0.0206,0.4428 ± 0.0319,0.5681 ± 0.0205,0.4695 ± 0.0522,0.4551 ± 0.0287,0.6986 ± 0.0199,0.5409 ± 0.0329,0.5681 ± 0.0205,0.5421 ± 0.0222,0.7192 ± 0.0192,0.5607 ± 0.0146,0.4572 ± 0.0279,0.4522 ± 0.0184,0.6945 ± 0.0122,0.5318 ± 0.0199,0.5607 ± 0.0146,0.5399 ± 0.0155,0.7138 ± 0.0103
22,adaboost,spearman_sulov,0.4497 ± 0.0183,0.4444 ± 0.0314,0.5722 ± 0.0130,0.4599 ± 0.0438,0.4570 ± 0.0260,0.7025 ± 0.0148,0.5375 ± 0.0278,0.5722 ± 0.0130,0.5455 ± 0.0197,0.7230 ± 0.0137,0.5638 ± 0.0126,0.4589 ± 0.0222,0.4569 ± 0.0156,0.6965 ± 0.0127,0.5361 ± 0.0161,0.5638 ± 0.0126,0.5446 ± 0.0136,0.7156 ± 0.0107
23,adaboost,chi2,0.4504 ± 0.0192,0.4491 ± 0.0310,0.5722 ± 0.0169,0.4768 ± 0.0552,0.4593 ± 0.0254,0.6978 ± 0.0196,0.5454 ± 0.0321,0.5722 ± 0.0169,0.5467 ± 0.0188,0.7181 ± 0.0192,0.5632 ± 0.0140,0.4593 ± 0.0233,0.4566 ± 0.0176,0.6943 ± 0.0121,0.5355 ± 0.0172,0.5632 ± 0.0140,0.5444 ± 0.0149,0.7137 ± 0.0106
24,adaboost,chi2_mi_union_topk,0.4488 ± 0.0156,0.4425 ± 0.0245,0.5681 ± 0.0127,0.4671 ± 0.0346,0.4539 ± 0.0199,0.7003 ± 0.0182,0.5376 ± 0.0196,0.5681 ± 0.0127,0.5412 ± 0.0158,0.7209 ± 0.0160,0.5608 ± 0.0106,0.4602 ± 0.0177,0.4549 ± 0.0129,0.6952 ± 0.0108,0.5341 ± 0.0124,0.5608 ± 0.0106,0.5417 ± 0.0108,0.7142 ± 0.0099
25,svm,spearman_corr,0.4078 ± 0.0133,0.4093 ± 0.0220,0.5835 ± 0.0220,0.4037 ± 0.0661,0.4499 ± 0.0222,0.6991 ± 0.0211,0.4989 ± 0.0429,0.5835 ± 0.0220,0.5284 ± 0.0209,0.7196 ± 0.0222,0.5785 ± 0.0120,0.4140 ± 0.0346,0.4464 ± 0.0135,0.6909 ± 0.0110,0.5039 ± 0.0212,0.5785 ± 0.0120,0.5260 ± 0.0125,0.7102 ± 0.0117
26,svm,mutual_info,0.4068 ± 0.0172,0.4132 ± 0.0220,0.5879 ± 0.0202,0.4185 ± 0.0693,0.4537 ± 0.0214,0.6984 ± 0.0218,0.5091 ± 0.0442,0.5879 ± 0.0202,0.5326 ± 0.0195,0.7191 ± 0.0227,0.5774 ± 0.0098,0.4114 ± 0.0475,0.4442 ± 0.0123,0.6903 ± 0.0118,0.5020 ± 0.0283,0.5774 ± 0.0098,0.5252 ± 0.0128,0.7096 ± 0.0126
27,svm,spearman_sulov,0.4066 ± 0.0122,0.4116 ± 0.0190,0.5868 ± 0.0220,0.4143 ± 0.0762,0.4533 ± 0.0202,0.7007 ± 0.0219,0.5062 ± 0.0482,0.5868 ± 0.0220,0.5311 ± 0.0195,0.7211 ± 0.0230,0.5766 ± 0.0087,0.4123 ± 0.0361,0.4448 ± 0.0095,0.6915 ± 0.0104,0.5030 ± 0.0201,0.5766 ± 0.0087,0.5249 ± 0.0098,0.7104 ± 0.0117
28,svm,chi2,0.4065 ± 0.0169,0.4128 ± 0.0210,0.5875 ± 0.0236,0.4593 ± 0.1104,0.4535 ± 0.0235,0.7001 ± 0.0219,0.5308 ± 0.0633,0.5875 ± 0.0236,0.5316 ± 0.0212,0.7214 ± 0.0227,0.5788 ± 0.0123,0.4047 ± 0.0484,0.4456 ± 0.0133,0.6919 ± 0.0115,0.4988 ± 0.0284,0.5788 ± 0.0123,0.5257 ± 0.0131,0.7112 ± 0.0126
29,svm,chi2_mi_union_topk,0.4070 ± 0.0182,0.4187 ± 0.0243,0.5901 ± 0.0223,0.4406 ± 0.0903,0.4574 ± 0.0234,0.6990 ± 0.0210,0.5225 ± 0.0558,0.5901 ± 0.0223,0.5363 ± 0.0216,0.7197 ± 0.0221,0.5775 ± 0.0124,0.4036 ± 0.0387,0.4432 ± 0.0144,0.6889 ± 0.0139,0.4978 ± 0.0246,0.5775 ± 0.0124,0.5257 ± 0.0143,0.7082 ± 0.0146
30,logistic_regression,spearman_corr,0.4450 ± 0.0249,0.4356 ± 0.0267,0.5198 ± 0.0255,0.4391 ± 0.0282,0.4354 ± 0.0266,0.6542 ± 0.0247,0.5330 ± 0.0258,0.5198 ± 0.0255,0.5250 ± 0.0235,0.6868 ± 0.0242,0.5189 ± 0.0224,0.4480 ± 0.0241,0.4457 ± 0.0255,0.6519 ± 0.0144,0.5411 ± 0.0205,0.5189 ± 0.0224,0.5285 ± 0.0213,0.6823 ± 0.0143
31,logistic_regression,mutual_info,0.4413 ± 0.0221,0.4359 ± 0.0250,0.5176 ± 0.0216,0.4394 ± 0.0258,0.4364 ± 0.0255,0.6518 ± 0.0219,0.5331 ± 0.0247,0.5176 ± 0.0216,0.5238 ± 0.0217,0.6845 ± 0.0211,0.5129 ± 0.0204,0.4447 ± 0.0215,0.4425 ± 0.0230,0.6464 ± 0.0157,0.5369 ± 0.0191,0.5129 ± 0.0204,0.5231 ± 0.0196,0.6769 ± 0.0155
32,logistic_regression,spearman_sulov,0.4409 ± 0.0230,0.4287 ± 0.0259,0.5106 ± 0.0259,0.4328 ± 0.0267,0.4280 ± 0.0264,0.6513 ± 0.0234,0.5294 ± 0.0254,0.5106 ± 0.0259,0.5186 ± 0.0243,0.6850 ± 0.0226,0.5148 ± 0.0175,0.4440 ± 0.0221,0.4415 ± 0.0241,0.6473 ± 0.0138,0.5385 ± 0.0183,0.5148 ± 0.0175,0.5251 ± 0.0177,0.6785 ± 0.0132
33,logistic_regression,chi2,0.4433 ± 0.0214,0.4375 ± 0.0237,0.5179 ± 0.0256,0.4408 ± 0.0244,0.4377 ± 0.0239,0.6467 ± 0.0228,0.5332 ± 0.0247,0.5179 ± 0.0256,0.5242 ± 0.0240,0.6807 ± 0.0226,0.5145 ± 0.0201,0.4465 ± 0.0207,0.4444 ± 0.0219,0.6434 ± 0.0181,0.5389 ± 0.0184,0.5145 ± 0.0201,0.5249 ± 0.0193,0.6751 ± 0.0178
34,logistic_regression,chi2_mi_union_topk,0.4448 ± 0.0198,0.4459 ± 0.0241,0.5249 ± 0.0241,0.4490 ± 0.0252,0.4471 ± 0.0251,0.6602 ± 0.0221,0.5398 ± 0.0240,0.5249 ± 0.0241,0.5308 ± 0.0227,0.6919 ± 0.0206,0.5168 ± 0.0178,0.4485 ± 0.0191,0.4459 ± 0.0207,0.6571 ± 0.0161,0.5401 ± 0.0166,0.5168 ± 0.0178,0.5267 ± 0.0169,0.6869 ± 0.0150
35,knn,spearman_corr,0.4150 ± 0.0196,0.4052 ± 0.0261,0.5432 ± 0.0176,0.4321 ± 0.0292,0.4154 ± 0.0211,0.6516 ± 0.0215,0.5018 ± 0.0255,0.5432 ± 0.0176,0.5036 ± 0.0227,0.6801 ± 0.0190,0.5425 ± 0.0139,0.4420 ± 0.0242,0.4239 ± 0.0172,0.6509 ± 0.0100,0.5074 ± 0.0194,0.5425 ± 0.0139,0.5069 ± 0.0153,0.6738 ± 0.0095
36,knn,mutual_info,0.4176 ± 0.0202,0.4231 ± 0.0239,0.5564 ± 0.0170,0.4471 ± 0.0286,0.4293 ± 0.0210,0.6679 ± 0.0230,0.5160 ± 0.0239,0.5564 ± 0.0170,0.5208 ± 0.0200,0.6949 ± 0.0241,0.5464 ± 0.0128,0.4429 ± 0.0214,0.4244 ± 0.0173,0.6561 ± 0.0113,0.5094 ± 0.0185,0.5464 ± 0.0128,0.5114 ± 0.0164,0.6788 ± 0.0100
37,knn,spearman_sulov,0.4125 ± 0.0122,0.4022 ± 0.0293,0.5407 ± 0.0187,0.4239 ± 0.0315,0.4127 ± 0.0258,0.6566 ± 0.0270,0.4968 ± 0.0269,0.5407 ± 0.0187,0.5022 ± 0.0230,0.6849 ± 0.0268,0.5388 ± 0.0071,0.4367 ± 0.0130,0.4207 ± 0.0113,0.6513 ± 0.0085,0.5039 ± 0.0103,0.5388 ± 0.0071,0.5050 ± 0.0096,0.6741 ± 0.0084
38,knn,chi2,0.4125 ± 0.0203,0.4131 ± 0.0274,0.5509 ± 0.0196,0.4384 ± 0.0361,0.4201 ± 0.0232,0.6632 ± 0.0201,0.5062 ± 0.0259,0.5509 ± 0.0196,0.5120 ± 0.0204,0.6909 ± 0.0209,0.5428 ± 0.0140,0.4368 ± 0.0239,0.4202 ± 0.0171,0.6541 ± 0.0106,0.5034 ± 0.0207,0.5428 ± 0.0140,0.5066 ± 0.0171,0.6769 ± 0.0116
39,knn,chi2_mi_union_topk,0.4069 ± 0.0233,0.4156 ± 0.0157,0.5458 ± 0.0180,0.4381 ± 0.0183,0.4214 ± 0.0149,0.6629 ± 0.0230,0.5053 ± 0.0146,0.5458 ± 0.0180,0.5111 ± 0.0159,0.6881 ± 0.0229,0.5351 ± 0.0137,0.4274 ± 0.0250,0.4138 ± 0.0201,0.6440 ± 0.0146,0.4952 ± 0.0199,0.5351 ± 0.0137,0.5009 ± 0.0176,0.6676 ± 0.0132
40,gaussian_nb,spearman_corr,0.4405 ± 0.0200,0.4453 ± 0.0312,0.5520 ± 0.0255,0.4752 ± 0.0334,0.4695 ± 0.0288,0.7135 ± 0.0178,0.5586 ± 0.0296,0.5520 ± 0.0255,0.5349 ± 0.0273,0.7295 ± 0.0191,0.5366 ± 0.0166,0.4698 ± 0.0232,0.4649 ± 0.0173,0.6930 ± 0.0092,0.5534 ± 0.0218,0.5366 ± 0.0166,0.5253 ± 0.0195,0.7112 ± 0.0082
41,gaussian_nb,mutual_info,0.4733 ± 0.0141,0.4646 ± 0.0292,0.5674 ± 0.0174,0.4819 ± 0.0273,0.4807 ± 0.0253,0.7162 ± 0.0152,0.5643 ± 0.0244,0.5674 ± 0.0174,0.5534 ± 0.0232,0.7290 ± 0.0143,0.5572 ± 0.0125,0.4844 ± 0.0114,0.4811 ± 0.0128,0.7006 ± 0.0099,0.5640 ± 0.0089,0.5572 ± 0.0125,0.5537 ± 0.0119,0.7139 ± 0.0080
42,gaussian_nb,spearman_sulov,0.4410 ± 0.0183,0.4405 ± 0.0257,0.5487 ± 0.0239,0.4720 ± 0.0370,0.4679 ± 0.0270,0.7122 ± 0.0210,0.5556 ± 0.0354,0.5487 ± 0.0239,0.5300 ± 0.0245,0.7283 ± 0.0208,0.5354 ± 0.0167,0.4681 ± 0.0138,0.4651 ± 0.0125,0.6948 ± 0.0086,0.5519 ± 0.0138,0.5354 ± 0.0167,0.5251 ± 0.0188,0.7117 ± 0.0079
43,gaussian_nb,chi2,0.4589 ± 0.0172,0.4604 ± 0.0318,0.5597 ± 0.0230,0.4695 ± 0.0314,0.4685 ± 0.0304,0.7150 ± 0.0172,0.5492 ± 0.0260,0.5597 ± 0.0230,0.5473 ± 0.0247,0.7259 ± 0.0173,0.5473 ± 0.0138,0.4660 ± 0.0159,0.4637 ± 0.0160,0.6959 ± 0.0091,0.5467 ± 0.0119,0.5473 ± 0.0138,0.5424 ± 0.0136,0.7084 ± 0.0081
44,gaussian_nb,chi2_mi_union_topk,0.4783 ± 0.0133,0.4666 ± 0.0267,0.5656 ± 0.0194,0.4742 ± 0.0299,0.4739 ± 0.0277,0.7189 ± 0.0165,0.5581 ± 0.0230,0.5656 ± 0.0194,0.5558 ± 0.0183,0.7312 ± 0.0169,0.5621 ± 0.0122,0.4844 ± 0.0125,0.4834 ± 0.0112,0.7068 ± 0.0066,0.5634 ± 0.0112,0.5621 ± 0.0122,0.5587 ± 0.0126,0.7190 ± 0.0067
