,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
27,svm,spearman_sulov,0.4112 ± 0.0175,0.4187 ± 0.0205,0.5890 ± 0.0208,0.4853 ± 0.1310,0.4574 ± 0.0217,0.7071 ± 0.0186,0.5476 ± 0.0745,0.5890 ± 0.0208,0.5359 ± 0.0184,0.7286 ± 0.0200,0.5791 ± 0.0100,0.4395 ± 0.0572,0.4493 ± 0.0121,0.6960 ± 0.0113,0.5189 ± 0.0330,0.5791 ± 0.0100,0.5279 ± 0.0127,0.7155 ± 0.0118
28,svm,chi2,0.4082 ± 0.0120,0.4084 ± 0.0193,0.5813 ± 0.0187,0.4360 ± 0.0909,0.4479 ± 0.0195,0.7031 ± 0.0210,0.5153 ± 0.0521,0.5813 ± 0.0187,0.5264 ± 0.0172,0.7243 ± 0.0219,0.5813 ± 0.0085,0.3975 ± 0.0354,0.4478 ± 0.0088,0.6935 ± 0.0099,0.4958 ± 0.0214,0.5813 ± 0.0085,0.5277 ± 0.0097,0.7129 ± 0.0108
29,svm,chi2_mi_union_topk,0.4145 ± 0.0204,0.4216 ± 0.0305,0.5905 ± 0.0251,0.4591 ± 0.1117,0.4579 ± 0.0291,0.6967 ± 0.0194,0.5315 ± 0.0684,0.5905 ± 0.0251,0.5372 ± 0.0259,0.7179 ± 0.0207,0.5813 ± 0.0130,0.4216 ± 0.0473,0.4489 ± 0.0149,0.6890 ± 0.0144,0.5099 ± 0.0281,0.5813 ± 0.0130,0.5314 ± 0.0151,0.7080 ± 0.0146
30,logistic_regression,spearman_corr,0.4584 ± 0.0151,0.4507 ± 0.0335,0.5282 ± 0.0250,0.4534 ± 0.0335,0.4510 ± 0.0343,0.6543 ± 0.0260,0.5471 ± 0.0292,0.5282 ± 0.0250,0.5363 ± 0.0263,0.6872 ± 0.0249,0.5253 ± 0.0135,0.4612 ± 0.0147,0.4601 ± 0.0159,0.6510 ± 0.0136,0.5513 ± 0.0128,0.5253 ± 0.0135,0.5363 ± 0.0130,0.6801 ± 0.0136
31,logistic_regression,mutual_info,0.4470 ± 0.0239,0.4435 ± 0.0362,0.5227 ± 0.0319,0.4459 ± 0.0356,0.4438 ± 0.0373,0.6467 ± 0.0237,0.5386 ± 0.0290,0.5227 ± 0.0319,0.5295 ± 0.0300,0.6809 ± 0.0227,0.5151 ± 0.0220,0.4497 ± 0.0229,0.4483 ± 0.0250,0.6430 ± 0.0174,0.5404 ± 0.0208,0.5151 ± 0.0220,0.5260 ± 0.0212,0.6719 ± 0.0172
32,logistic_regression,spearman_sulov,0.4543 ± 0.0185,0.4558 ± 0.0332,0.5297 ± 0.0312,0.4586 ± 0.0327,0.4561 ± 0.0339,0.6540 ± 0.0248,0.5505 ± 0.0302,0.5297 ± 0.0312,0.5386 ± 0.0303,0.6866 ± 0.0247,0.5208 ± 0.0180,0.4574 ± 0.0180,0.4558 ± 0.0191,0.6470 ± 0.0135,0.5480 ± 0.0177,0.5208 ± 0.0180,0.5323 ± 0.0177,0.6755 ± 0.0143
33,logistic_regression,chi2,0.4502 ± 0.0233,0.4447 ± 0.0284,0.5194 ± 0.0303,0.4485 ± 0.0278,0.4454 ± 0.0287,0.6500 ± 0.0225,0.5385 ± 0.0265,0.5194 ± 0.0303,0.5271 ± 0.0278,0.6817 ± 0.0225,0.5187 ± 0.0219,0.4532 ± 0.0226,0.4517 ± 0.0239,0.6455 ± 0.0169,0.5444 ± 0.0209,0.5187 ± 0.0219,0.5297 ± 0.0213,0.6758 ± 0.0167
34,logistic_regression,chi2_mi_union_topk,0.4429 ± 0.0161,0.4421 ± 0.0264,0.5212 ± 0.0283,0.4454 ± 0.0264,0.4427 ± 0.0269,0.6567 ± 0.0230,0.5371 ± 0.0221,0.5212 ± 0.0283,0.5278 ± 0.0250,0.6896 ± 0.0201,0.5134 ± 0.0156,0.4460 ± 0.0156,0.4441 ± 0.0167,0.6532 ± 0.0134,0.5385 ± 0.0146,0.5134 ± 0.0156,0.5241 ± 0.0150,0.6825 ± 0.0137
35,knn,spearman_corr,0.4063 ± 0.0122,0.3880 ± 0.0158,0.5348 ± 0.0152,0.4155 ± 0.0252,0.4010 ± 0.0120,0.6426 ± 0.0174,0.4841 ± 0.0210,0.5348 ± 0.0152,0.4886 ± 0.0151,0.6695 ± 0.0144,0.5420 ± 0.0096,0.4373 ± 0.0148,0.4142 ± 0.0103,0.6501 ± 0.0086,0.5010 ± 0.0116,0.5420 ± 0.0096,0.5016 ± 0.0097,0.6724 ± 0.0086
36,knn,mutual_info,0.4127 ± 0.0244,0.4026 ± 0.0397,0.5396 ± 0.0303,0.4247 ± 0.0487,0.4120 ± 0.0345,0.6559 ± 0.0209,0.4943 ± 0.0390,0.5396 ± 0.0303,0.5007 ± 0.0329,0.6827 ± 0.0199,0.5469 ± 0.0182,0.4378 ± 0.0272,0.4198 ± 0.0207,0.6535 ± 0.0119,0.5055 ± 0.0230,0.5469 ± 0.0182,0.5095 ± 0.0207,0.6793 ± 0.0117
37,knn,spearman_sulov,0.4106 ± 0.0198,0.4116 ± 0.0185,0.5473 ± 0.0113,0.4419 ± 0.0240,0.4202 ± 0.0142,0.6532 ± 0.0150,0.5044 ± 0.0168,0.5473 ± 0.0113,0.5060 ± 0.0119,0.6797 ± 0.0130,0.5447 ± 0.0166,0.4405 ± 0.0235,0.4180 ± 0.0163,0.6580 ± 0.0115,0.5028 ± 0.0197,0.5447 ± 0.0166,0.5048 ± 0.0184,0.6796 ± 0.0116
38,knn,chi2,0.4172 ± 0.0194,0.3959 ± 0.0320,0.5392 ± 0.0172,0.4187 ± 0.0336,0.4069 ± 0.0253,0.6582 ± 0.0199,0.4911 ± 0.0285,0.5392 ± 0.0172,0.4975 ± 0.0256,0.6843 ± 0.0174,0.5472 ± 0.0137,0.4468 ± 0.0205,0.4236 ± 0.0160,0.6665 ± 0.0117,0.5105 ± 0.0161,0.5472 ± 0.0137,0.5105 ± 0.0158,0.6883 ± 0.0116
39,knn,chi2_mi_union_topk,0.4104 ± 0.0174,0.4081 ± 0.0344,0.5432 ± 0.0282,0.4327 ± 0.0419,0.4151 ± 0.0295,0.6627 ± 0.0190,0.4997 ± 0.0353,0.5432 ± 0.0282,0.5052 ± 0.0302,0.6887 ± 0.0225,0.5423 ± 0.0121,0.4330 ± 0.0184,0.4168 ± 0.0144,0.6525 ± 0.0143,0.5016 ± 0.0170,0.5423 ± 0.0121,0.5068 ± 0.0152,0.6764 ± 0.0151
40,gaussian_nb,spearman_corr,0.4480 ± 0.0159,0.4533 ± 0.0274,0.5527 ± 0.0289,0.4690 ± 0.0329,0.4692 ± 0.0281,0.7072 ± 0.0182,0.5564 ± 0.0296,0.5527 ± 0.0289,0.5433 ± 0.0245,0.7262 ± 0.0194,0.5343 ± 0.0171,0.4642 ± 0.0234,0.4606 ± 0.0188,0.6847 ± 0.0095,0.5496 ± 0.0204,0.5343 ± 0.0171,0.5319 ± 0.0131,0.7058 ± 0.0092
41,gaussian_nb,mutual_info,0.4671 ± 0.0190,0.4690 ± 0.0286,0.5663 ± 0.0274,0.4822 ± 0.0301,0.4783 ± 0.0268,0.7127 ± 0.0169,0.5630 ± 0.0254,0.5663 ± 0.0274,0.5561 ± 0.0266,0.7274 ± 0.0167,0.5491 ± 0.0153,0.4747 ± 0.0193,0.4742 ± 0.0186,0.6925 ± 0.0088,0.5561 ± 0.0174,0.5491 ± 0.0153,0.5473 ± 0.0160,0.7076 ± 0.0082
42,gaussian_nb,spearman_sulov,0.4493 ± 0.0148,0.4510 ± 0.0231,0.5516 ± 0.0262,0.4673 ± 0.0330,0.4683 ± 0.0232,0.7079 ± 0.0210,0.5564 ± 0.0305,0.5516 ± 0.0262,0.5418 ± 0.0207,0.7260 ± 0.0204,0.5352 ± 0.0173,0.4657 ± 0.0185,0.4631 ± 0.0170,0.6849 ± 0.0082,0.5512 ± 0.0184,0.5352 ± 0.0173,0.5326 ± 0.0133,0.7051 ± 0.0081
43,gaussian_nb,chi2,0.4594 ± 0.0165,0.4604 ± 0.0381,0.5615 ± 0.0316,0.4680 ± 0.0395,0.4659 ± 0.0355,0.7113 ± 0.0191,0.5485 ± 0.0316,0.5615 ± 0.0316,0.5497 ± 0.0313,0.7232 ± 0.0192,0.5494 ± 0.0115,0.4637 ± 0.0167,0.4624 ± 0.0151,0.6934 ± 0.0082,0.5448 ± 0.0117,0.5494 ± 0.0115,0.5443 ± 0.0118,0.7068 ± 0.0071
44,gaussian_nb,chi2_mi_union_topk,0.4737 ± 0.0134,0.4740 ± 0.0237,0.5758 ± 0.0242,0.4892 ± 0.0329,0.4827 ± 0.0272,0.7204 ± 0.0163,0.5702 ± 0.0268,0.5758 ± 0.0242,0.5644 ± 0.0197,0.7332 ± 0.0172,0.5586 ± 0.0128,0.4797 ± 0.0128,0.4773 ± 0.0138,0.7036 ± 0.0096,0.5604 ± 0.0107,0.5586 ± 0.0128,0.5559 ± 0.0116,0.7177 ± 0.0098
