,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,extra_trees,spearman_corr,0.4567 ± 0.0202,0.4630 ± 0.0242,0.5927 ± 0.0220,0.4870 ± 0.0363,0.4788 ± 0.0213,0.7198 ± 0.0192,0.5577 ± 0.0260,0.5927 ± 0.0220,0.5626 ± 0.0207,0.7362 ± 0.0206,0.5811 ± 0.0161,0.4776 ± 0.0244,0.4687 ± 0.0180,0.7189 ± 0.0130,0.5472 ± 0.0191,0.5811 ± 0.0161,0.5537 ± 0.0172,0.7329 ± 0.0132
11,extra_trees,mutual_info,0.4491 ± 0.0187,0.4472 ± 0.0299,0.5853 ± 0.0251,0.4837 ± 0.0497,0.4658 ± 0.0270,0.7130 ± 0.0182,0.5488 ± 0.0341,0.5853 ± 0.0251,0.5496 ± 0.0247,0.7301 ± 0.0181,0.5807 ± 0.0175,0.4648 ± 0.0249,0.4650 ± 0.0173,0.7107 ± 0.0148,0.5400 ± 0.0190,0.5807 ± 0.0175,0.5501 ± 0.0168,0.7274 ± 0.0153
12,extra_trees,spearman_sulov,0.4477 ± 0.0272,0.4552 ± 0.0386,0.5897 ± 0.0258,0.4796 ± 0.0520,0.4738 ± 0.0320,0.7222 ± 0.0179,0.5502 ± 0.0369,0.5897 ± 0.0258,0.5563 ± 0.0290,0.7379 ± 0.0187,0.5761 ± 0.0216,0.4668 ± 0.0350,0.4615 ± 0.0239,0.7121 ± 0.0108,0.5388 ± 0.0265,0.5761 ± 0.0216,0.5469 ± 0.0228,0.7276 ± 0.0118
13,extra_trees,chi2,0.4479 ± 0.0226,0.4410 ± 0.0355,0.5810 ± 0.0319,0.4537 ± 0.0562,0.4617 ± 0.0310,0.7159 ± 0.0206,0.5339 ± 0.0399,0.5810 ± 0.0319,0.5464 ± 0.0307,0.7340 ± 0.0218,0.5791 ± 0.0148,0.4667 ± 0.0304,0.4640 ± 0.0189,0.7119 ± 0.0118,0.5398 ± 0.0212,0.5791 ± 0.0148,0.5483 ± 0.0172,0.7280 ± 0.0117
14,extra_trees,chi2_mi_union_topk,0.4560 ± 0.0176,0.4542 ± 0.0400,0.5824 ± 0.0317,0.4772 ± 0.0477,0.4692 ± 0.0367,0.7109 ± 0.0193,0.5464 ± 0.0386,0.5824 ± 0.0317,0.5523 ± 0.0335,0.7281 ± 0.0201,0.5797 ± 0.0174,0.4721 ± 0.0197,0.4681 ± 0.0179,0.7104 ± 0.0135,0.5440 ± 0.0175,0.5797 ± 0.0174,0.5528 ± 0.0170,0.7264 ± 0.0141
15,xgboost,spearman_corr,0.4719 ± 0.0252,0.4610 ± 0.0320,0.5619 ± 0.0296,0.4696 ± 0.0351,0.4646 ± 0.0307,0.7074 ± 0.0204,0.5376 ± 0.0306,0.5619 ± 0.0296,0.5455 ± 0.0284,0.7143 ± 0.0217,0.5613 ± 0.0201,0.4781 ± 0.0267,0.4713 ± 0.0239,0.7021 ± 0.0175,0.5443 ± 0.0223,0.5613 ± 0.0201,0.5508 ± 0.0211,0.7082 ± 0.0176
16,xgboost,mutual_info,0.4708 ± 0.0265,0.4607 ± 0.0306,0.5626 ± 0.0304,0.4709 ± 0.0319,0.4638 ± 0.0309,0.7088 ± 0.0269,0.5396 ± 0.0323,0.5626 ± 0.0304,0.5465 ± 0.0307,0.7166 ± 0.0304,0.5629 ± 0.0229,0.4769 ± 0.0279,0.4704 ± 0.0253,0.7010 ± 0.0207,0.5445 ± 0.0248,0.5629 ± 0.0229,0.5515 ± 0.0237,0.7088 ± 0.0197
17,xgboost,spearman_sulov,0.4642 ± 0.0232,0.4610 ± 0.0247,0.5641 ± 0.0217,0.4672 ± 0.0291,0.4648 ± 0.0215,0.7049 ± 0.0194,0.5392 ± 0.0231,0.5641 ± 0.0217,0.5480 ± 0.0206,0.7129 ± 0.0217,0.5569 ± 0.0194,0.4705 ± 0.0243,0.4639 ± 0.0215,0.7024 ± 0.0176,0.5378 ± 0.0206,0.5569 ± 0.0194,0.5451 ± 0.0199,0.7085 ± 0.0176
18,xgboost,chi2,0.4672 ± 0.0215,0.4610 ± 0.0340,0.5659 ± 0.0257,0.4681 ± 0.0375,0.4652 ± 0.0299,0.7074 ± 0.0231,0.5381 ± 0.0323,0.5659 ± 0.0257,0.5477 ± 0.0285,0.7148 ± 0.0247,0.5585 ± 0.0167,0.4725 ± 0.0225,0.4669 ± 0.0201,0.7039 ± 0.0165,0.5404 ± 0.0186,0.5585 ± 0.0167,0.5476 ± 0.0177,0.7104 ± 0.0156
19,xgboost,chi2_mi_union_topk,0.4628 ± 0.0224,0.4570 ± 0.0334,0.5593 ± 0.0339,0.4640 ± 0.0361,0.4595 ± 0.0328,0.6941 ± 0.0244,0.5349 ± 0.0326,0.5593 ± 0.0339,0.5436 ± 0.0321,0.7058 ± 0.0263,0.5549 ± 0.0186,0.4672 ± 0.0223,0.4627 ± 0.0214,0.6901 ± 0.0197,0.5367 ± 0.0205,0.5549 ± 0.0186,0.5441 ± 0.0197,0.6991 ± 0.0179
20,adaboost,spearman_corr,0.4607 ± 0.0206,0.4606 ± 0.0255,0.5707 ± 0.0206,0.4805 ± 0.0299,0.4611 ± 0.0225,0.7119 ± 0.0179,0.5415 ± 0.0209,0.5707 ± 0.0206,0.5483 ± 0.0200,0.7262 ± 0.0169,0.5667 ± 0.0134,0.4746 ± 0.0232,0.4613 ± 0.0187,0.7059 ± 0.0140,0.5389 ± 0.0181,0.5667 ± 0.0134,0.5473 ± 0.0158,0.7164 ± 0.0150
21,adaboost,mutual_info,0.4566 ± 0.0255,0.4579 ± 0.0240,0.5681 ± 0.0212,0.4772 ± 0.0304,0.4595 ± 0.0223,0.7068 ± 0.0236,0.5403 ± 0.0220,0.5681 ± 0.0212,0.5467 ± 0.0200,0.7207 ± 0.0219,0.5646 ± 0.0177,0.4711 ± 0.0271,0.4580 ± 0.0232,0.7038 ± 0.0167,0.5359 ± 0.0217,0.5646 ± 0.0177,0.5444 ± 0.0201,0.7144 ± 0.0161
22,adaboost,spearman_sulov,0.4569 ± 0.0176,0.4602 ± 0.0302,0.5685 ± 0.0240,0.4794 ± 0.0384,0.4610 ± 0.0274,0.7062 ± 0.0191,0.5413 ± 0.0277,0.5685 ± 0.0240,0.5475 ± 0.0243,0.7200 ± 0.0175,0.5646 ± 0.0112,0.4699 ± 0.0184,0.4583 ± 0.0157,0.7032 ± 0.0140,0.5360 ± 0.0145,0.5646 ± 0.0112,0.5450 ± 0.0132,0.7134 ± 0.0143
23,adaboost,chi2,0.4544 ± 0.0242,0.4608 ± 0.0320,0.5674 ± 0.0248,0.4827 ± 0.0465,0.4608 ± 0.0280,0.7079 ± 0.0202,0.5435 ± 0.0303,0.5674 ± 0.0248,0.5475 ± 0.0257,0.7224 ± 0.0172,0.5632 ± 0.0139,0.4696 ± 0.0253,0.4557 ± 0.0209,0.7032 ± 0.0111,0.5334 ± 0.0195,0.5632 ± 0.0139,0.5422 ± 0.0175,0.7138 ± 0.0116
24,adaboost,chi2_mi_union_topk,0.4598 ± 0.0197,0.4500 ± 0.0230,0.5641 ± 0.0239,0.4675 ± 0.0332,0.4521 ± 0.0216,0.7042 ± 0.0185,0.5348 ± 0.0221,0.5641 ± 0.0239,0.5421 ± 0.0203,0.7211 ± 0.0191,0.5686 ± 0.0143,0.4741 ± 0.0194,0.4612 ± 0.0181,0.7052 ± 0.0160,0.5387 ± 0.0171,0.5686 ± 0.0143,0.5477 ± 0.0164,0.7163 ± 0.0157
25,svm,spearman_corr,0.4242 ± 0.0198,0.4261 ± 0.0147,0.5886 ± 0.0247,0.4293 ± 0.0234,0.4572 ± 0.0206,0.7326 ± 0.0223,0.5153 ± 0.0171,0.5886 ± 0.0247,0.5393 ± 0.0182,0.7457 ± 0.0237,0.5814 ± 0.0152,0.4379 ± 0.0373,0.4502 ± 0.0152,0.7251 ± 0.0144,0.5175 ± 0.0246,0.5814 ± 0.0152,0.5355 ± 0.0169,0.7353 ± 0.0144
26,svm,mutual_info,0.4239 ± 0.0160,0.4381 ± 0.0238,0.6026 ± 0.0253,0.4557 ± 0.0645,0.4709 ± 0.0248,0.7291 ± 0.0222,0.5346 ± 0.0377,0.6026 ± 0.0253,0.5514 ± 0.0215,0.7442 ± 0.0227,0.5896 ± 0.0124,0.4327 ± 0.0344,0.4554 ± 0.0122,0.7191 ± 0.0133,0.5174 ± 0.0217,0.5896 ± 0.0124,0.5392 ± 0.0137,0.7323 ± 0.0138
27,svm,spearman_sulov,0.4233 ± 0.0163,0.4297 ± 0.0185,0.5934 ± 0.0236,0.4384 ± 0.0380,0.4620 ± 0.0215,0.7335 ± 0.0212,0.5224 ± 0.0252,0.5934 ± 0.0236,0.5434 ± 0.0186,0.7473 ± 0.0227,0.5829 ± 0.0111,0.4355 ± 0.0397,0.4514 ± 0.0119,0.7248 ± 0.0134,0.5166 ± 0.0243,0.5829 ± 0.0111,0.5356 ± 0.0128,0.7359 ± 0.0135
28,svm,chi2,0.4230 ± 0.0184,0.4291 ± 0.0236,0.5996 ± 0.0279,0.4484 ± 0.0669,0.4646 ± 0.0260,0.7301 ± 0.0231,0.5283 ± 0.0415,0.5996 ± 0.0279,0.5452 ± 0.0241,0.7458 ± 0.0242,0.5915 ± 0.0130,0.4365 ± 0.0383,0.4565 ± 0.0148,0.7216 ± 0.0126,0.5191 ± 0.0241,0.5915 ± 0.0130,0.5390 ± 0.0153,0.7347 ± 0.0128
29,svm,chi2_mi_union_topk,0.4303 ± 0.0191,0.4440 ± 0.0237,0.5993 ± 0.0228,0.4706 ± 0.0534,0.4674 ± 0.0215,0.7257 ± 0.0226,0.5414 ± 0.0330,0.5993 ± 0.0228,0.5529 ± 0.0203,0.7413 ± 0.0237,0.5876 ± 0.0148,0.4528 ± 0.0290,0.4549 ± 0.0152,0.7175 ± 0.0149,0.5268 ± 0.0201,0.5876 ± 0.0148,0.5408 ± 0.0166,0.7302 ± 0.0152
30,logistic_regression,spearman_corr,0.4883 ± 0.0162,0.4955 ± 0.0252,0.5623 ± 0.0205,0.4963 ± 0.0249,0.4990 ± 0.0270,0.6810 ± 0.0214,0.5693 ± 0.0226,0.5623 ± 0.0205,0.5642 ± 0.0205,0.7006 ± 0.0231,0.5492 ± 0.0172,0.4880 ± 0.0160,0.4921 ± 0.0170,0.6742 ± 0.0219,0.5652 ± 0.0161,0.5492 ± 0.0172,0.5559 ± 0.0167,0.6916 ± 0.0204
