,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
33,logistic_regression,chi2,SMOTE,0.7216 ± 0.0277,0.6829 ± 0.0412,0.8707 ± 0.0192,0.6726 ± 0.0365,0.7166 ± 0.0674,0.9347 ± 0.0120,0.8865 ± 0.0149,0.8707 ± 0.0192,0.8747 ± 0.0168,0.9467 ± 0.0092,0.8816 ± 0.0076,0.7077 ± 0.0266,0.7454 ± 0.0301,0.9314 ± 0.0122,0.8904 ± 0.0066,0.8816 ± 0.0076,0.8841 ± 0.0070,0.9460 ± 0.0044
34,logistic_regression,chi2_mi_union_topk,SMOTE,0.7366 ± 0.0311,0.6983 ± 0.0265,0.8751 ± 0.0152,0.6881 ± 0.0271,0.7375 ± 0.0551,0.9415 ± 0.0092,0.8914 ± 0.0093,0.8751 ± 0.0152,0.8793 ± 0.0116,0.9505 ± 0.0097,0.8865 ± 0.0078,0.7172 ± 0.0268,0.7733 ± 0.0386,0.9438 ± 0.0105,0.8981 ± 0.0062,0.8865 ± 0.0078,0.8900 ± 0.0070,0.9516 ± 0.0036
35,knn,spearman_corr,SMOTE,0.6917 ± 0.0194,0.6528 ± 0.0503,0.8436 ± 0.0223,0.6522 ± 0.0472,0.6824 ± 0.0638,0.8610 ± 0.0329,0.8690 ± 0.0117,0.8436 ± 0.0223,0.8456 ± 0.0194,0.9168 ± 0.0131,0.8539 ± 0.0106,0.6831 ± 0.0162,0.7223 ± 0.0276,0.8879 ± 0.0149,0.8742 ± 0.0068,0.8539 ± 0.0106,0.8553 ± 0.0102,0.9275 ± 0.0058
36,knn,mutual_info,SMOTE,0.6841 ± 0.0294,0.6746 ± 0.0393,0.8407 ± 0.0217,0.6651 ± 0.0299,0.7348 ± 0.0649,0.8706 ± 0.0263,0.8747 ± 0.0148,0.8407 ± 0.0217,0.8456 ± 0.0198,0.9184 ± 0.0130,0.8467 ± 0.0180,0.6725 ± 0.0227,0.7353 ± 0.0345,0.8950 ± 0.0156,0.8773 ± 0.0097,0.8467 ± 0.0180,0.8517 ± 0.0166,0.9255 ± 0.0058
37,knn,spearman_sulov,SMOTE,0.6775 ± 0.0359,0.6608 ± 0.0534,0.8355 ± 0.0267,0.6573 ± 0.0432,0.7044 ± 0.0743,0.8701 ± 0.0346,0.8682 ± 0.0195,0.8355 ± 0.0267,0.8386 ± 0.0252,0.9187 ± 0.0192,0.8434 ± 0.0181,0.6681 ± 0.0276,0.7209 ± 0.0511,0.8878 ± 0.0152,0.8714 ± 0.0125,0.8434 ± 0.0181,0.8467 ± 0.0176,0.9247 ± 0.0061
38,knn,chi2,SMOTE,0.6932 ± 0.0280,0.6799 ± 0.0452,0.8447 ± 0.0241,0.6698 ± 0.0374,0.7373 ± 0.0625,0.8701 ± 0.0340,0.8758 ± 0.0161,0.8447 ± 0.0241,0.8490 ± 0.0220,0.9201 ± 0.0143,0.8484 ± 0.0153,0.6797 ± 0.0216,0.7468 ± 0.0328,0.8884 ± 0.0145,0.8777 ± 0.0070,0.8484 ± 0.0153,0.8529 ± 0.0139,0.9245 ± 0.0051
39,knn,chi2_mi_union_topk,SMOTE,0.6946 ± 0.0344,0.6591 ± 0.0373,0.8425 ± 0.0186,0.6546 ± 0.0307,0.7086 ± 0.0681,0.8629 ± 0.0393,0.8757 ± 0.0094,0.8425 ± 0.0186,0.8489 ± 0.0154,0.9207 ± 0.0158,0.8575 ± 0.0155,0.6809 ± 0.0280,0.7455 ± 0.0406,0.8955 ± 0.0211,0.8859 ± 0.0088,0.8575 ± 0.0155,0.8637 ± 0.0133,0.9300 ± 0.0071
40,gaussian_nb,spearman_corr,SMOTE,0.6603 ± 0.0201,0.6396 ± 0.0287,0.7996 ± 0.0298,0.6492 ± 0.0182,0.7709 ± 0.0541,0.8955 ± 0.0313,0.8889 ± 0.0155,0.7996 ± 0.0298,0.8267 ± 0.0253,0.9287 ± 0.0121,0.8083 ± 0.0202,0.6581 ± 0.0100,0.7925 ± 0.0248,0.8948 ± 0.0175,0.8830 ± 0.0067,0.8083 ± 0.0202,0.8326 ± 0.0145,0.9254 ± 0.0078
41,gaussian_nb,mutual_info,SMOTE,0.7053 ± 0.0242,0.6627 ± 0.0201,0.8333 ± 0.0243,0.6536 ± 0.0150,0.7509 ± 0.0434,0.8953 ± 0.0317,0.8805 ± 0.0141,0.8333 ± 0.0243,0.8487 ± 0.0211,0.9251 ± 0.0125,0.8503 ± 0.0091,0.6823 ± 0.0176,0.7888 ± 0.0404,0.9016 ± 0.0151,0.8799 ± 0.0069,0.8503 ± 0.0091,0.8608 ± 0.0072,0.9243 ± 0.0064
42,gaussian_nb,spearman_sulov,SMOTE,0.6568 ± 0.0186,0.6349 ± 0.0309,0.7941 ± 0.0310,0.6474 ± 0.0172,0.7675 ± 0.0582,0.8965 ± 0.0326,0.8882 ± 0.0143,0.7941 ± 0.0310,0.8219 ± 0.0260,0.9282 ± 0.0115,0.8077 ± 0.0166,0.6554 ± 0.0111,0.7834 ± 0.0320,0.8944 ± 0.0178,0.8819 ± 0.0085,0.8077 ± 0.0166,0.8321 ± 0.0120,0.9252 ± 0.0083
43,gaussian_nb,chi2,SMOTE,0.7109 ± 0.0188,0.6726 ± 0.0198,0.8425 ± 0.0185,0.6591 ± 0.0150,0.7521 ± 0.0535,0.9071 ± 0.0340,0.8800 ± 0.0129,0.8425 ± 0.0185,0.8548 ± 0.0167,0.9262 ± 0.0115,0.8531 ± 0.0049,0.6861 ± 0.0135,0.7924 ± 0.0355,0.9027 ± 0.0157,0.8799 ± 0.0063,0.8531 ± 0.0049,0.8625 ± 0.0048,0.9232 ± 0.0054
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.7155 ± 0.0269,0.6766 ± 0.0357,0.8484 ± 0.0242,0.6650 ± 0.0264,0.7560 ± 0.0627,0.9236 ± 0.0121,0.8892 ± 0.0114,0.8484 ± 0.0242,0.8626 ± 0.0191,0.9346 ± 0.0086,0.8590 ± 0.0130,0.6914 ± 0.0206,0.7959 ± 0.0307,0.9288 ± 0.0067,0.8865 ± 0.0062,0.8590 ± 0.0130,0.8693 ± 0.0101,0.9317 ± 0.0046
