,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
11,extra_trees,mutual_info,SMOTE,0.6758 ± 0.0436,0.6777 ± 0.0475,0.9011 ± 0.0136,0.8019 ± 0.1340,0.6585 ± 0.0324,0.9493 ± 0.0123,0.8958 ± 0.0190,0.9011 ± 0.0136,0.8938 ± 0.0144,0.9605 ± 0.0081,0.9002 ± 0.0057,0.8079 ± 0.1259,0.6567 ± 0.0262,0.9592 ± 0.0053,0.8931 ± 0.0121,0.9002 ± 0.0057,0.8916 ± 0.0059,0.9621 ± 0.0031
12,extra_trees,spearman_sulov,SMOTE,0.6459 ± 0.0514,0.6395 ± 0.0406,0.8996 ± 0.0092,0.7011 ± 0.1399,0.6350 ± 0.0243,0.9477 ± 0.0100,0.8869 ± 0.0128,0.8996 ± 0.0092,0.8904 ± 0.0088,0.9606 ± 0.0073,0.8980 ± 0.0064,0.7499 ± 0.1627,0.6395 ± 0.0337,0.9570 ± 0.0048,0.8864 ± 0.0165,0.8980 ± 0.0064,0.8878 ± 0.0075,0.9623 ± 0.0033
13,extra_trees,chi2,SMOTE,0.6783 ± 0.0397,0.6941 ± 0.0538,0.9051 ± 0.0087,0.8427 ± 0.1389,0.6704 ± 0.0364,0.9456 ± 0.0179,0.9020 ± 0.0142,0.9051 ± 0.0087,0.8980 ± 0.0096,0.9605 ± 0.0078,0.8975 ± 0.0061,0.7988 ± 0.1033,0.6583 ± 0.0244,0.9567 ± 0.0077,0.8904 ± 0.0096,0.8975 ± 0.0061,0.8895 ± 0.0056,0.9614 ± 0.0035
14,extra_trees,chi2_mi_union_topk,SMOTE,0.6689 ± 0.0436,0.6911 ± 0.0520,0.8956 ± 0.0144,0.8178 ± 0.1189,0.6683 ± 0.0411,0.9412 ± 0.0123,0.8924 ± 0.0188,0.8956 ± 0.0144,0.8893 ± 0.0148,0.9550 ± 0.0066,0.8925 ± 0.0053,0.7499 ± 0.0789,0.6531 ± 0.0304,0.9558 ± 0.0068,0.8828 ± 0.0100,0.8925 ± 0.0053,0.8847 ± 0.0067,0.9578 ± 0.0048
15,xgboost,spearman_corr,SMOTE,0.7152 ± 0.0483,0.7178 ± 0.0498,0.8974 ± 0.0132,0.7787 ± 0.0812,0.6971 ± 0.0418,0.9250 ± 0.0267,0.8949 ± 0.0136,0.8974 ± 0.0132,0.8937 ± 0.0136,0.9557 ± 0.0055,0.8932 ± 0.0063,0.7616 ± 0.0619,0.6941 ± 0.0400,0.9409 ± 0.0080,0.8875 ± 0.0085,0.8932 ± 0.0063,0.8891 ± 0.0071,0.9565 ± 0.0041
16,xgboost,mutual_info,SMOTE,0.7065 ± 0.0261,0.7133 ± 0.0542,0.8956 ± 0.0158,0.7708 ± 0.0811,0.6956 ± 0.0522,0.9272 ± 0.0217,0.8923 ± 0.0170,0.8956 ± 0.0158,0.8917 ± 0.0163,0.9559 ± 0.0049,0.8910 ± 0.0076,0.7571 ± 0.0325,0.6857 ± 0.0219,0.9424 ± 0.0067,0.8850 ± 0.0079,0.8910 ± 0.0076,0.8865 ± 0.0075,0.9557 ± 0.0037
17,xgboost,spearman_sulov,SMOTE,0.7251 ± 0.0341,0.7017 ± 0.0512,0.8927 ± 0.0136,0.7662 ± 0.0891,0.6802 ± 0.0400,0.9234 ± 0.0245,0.8887 ± 0.0157,0.8927 ± 0.0136,0.8882 ± 0.0143,0.9555 ± 0.0045,0.8950 ± 0.0060,0.7900 ± 0.0472,0.6988 ± 0.0274,0.9436 ± 0.0094,0.8901 ± 0.0074,0.8950 ± 0.0060,0.8907 ± 0.0064,0.9566 ± 0.0037
18,xgboost,chi2,SMOTE,0.6953 ± 0.0361,0.6972 ± 0.0571,0.8956 ± 0.0182,0.7444 ± 0.0738,0.6822 ± 0.0518,0.9223 ± 0.0252,0.8908 ± 0.0208,0.8956 ± 0.0182,0.8909 ± 0.0186,0.9527 ± 0.0054,0.8884 ± 0.0059,0.7458 ± 0.0498,0.6768 ± 0.0299,0.9408 ± 0.0097,0.8818 ± 0.0073,0.8884 ± 0.0059,0.8835 ± 0.0061,0.9544 ± 0.0038
19,xgboost,chi2_mi_union_topk,SMOTE,0.7140 ± 0.0410,0.6958 ± 0.0550,0.8842 ± 0.0179,0.7351 ± 0.0913,0.6831 ± 0.0493,0.9173 ± 0.0257,0.8805 ± 0.0206,0.8842 ± 0.0179,0.8806 ± 0.0184,0.9429 ± 0.0118,0.8797 ± 0.0098,0.7593 ± 0.0477,0.6930 ± 0.0379,0.9368 ± 0.0093,0.8751 ± 0.0111,0.8797 ± 0.0098,0.8762 ± 0.0102,0.9464 ± 0.0055
20,adaboost,spearman_corr,SMOTE,0.7299 ± 0.0350,0.6943 ± 0.0463,0.8718 ± 0.0246,0.7061 ± 0.0662,0.7015 ± 0.0463,0.9106 ± 0.0120,0.8770 ± 0.0191,0.8718 ± 0.0246,0.8730 ± 0.0212,0.9189 ± 0.0182,0.8745 ± 0.0077,0.7318 ± 0.0357,0.7292 ± 0.0358,0.9192 ± 0.0101,0.8750 ± 0.0076,0.8745 ± 0.0077,0.8746 ± 0.0077,0.9213 ± 0.0082
21,adaboost,mutual_info,SMOTE,0.7166 ± 0.0313,0.6977 ± 0.0552,0.8766 ± 0.0220,0.7095 ± 0.0709,0.7003 ± 0.0539,0.9172 ± 0.0129,0.8800 ± 0.0191,0.8766 ± 0.0220,0.8770 ± 0.0199,0.9257 ± 0.0152,0.8745 ± 0.0096,0.7272 ± 0.0437,0.7102 ± 0.0284,0.9224 ± 0.0111,0.8738 ± 0.0107,0.8745 ± 0.0096,0.8739 ± 0.0103,0.9242 ± 0.0095
22,adaboost,spearman_sulov,SMOTE,0.7312 ± 0.0207,0.6641 ± 0.0468,0.8703 ± 0.0230,0.6681 ± 0.0474,0.6686 ± 0.0560,0.9099 ± 0.0100,0.8709 ± 0.0218,0.8703 ± 0.0230,0.8697 ± 0.0224,0.9195 ± 0.0157,0.8758 ± 0.0058,0.7423 ± 0.0314,0.7249 ± 0.0232,0.9243 ± 0.0084,0.8752 ± 0.0063,0.8758 ± 0.0058,0.8751 ± 0.0061,0.9270 ± 0.0096
23,adaboost,chi2,SMOTE,0.7226 ± 0.0257,0.6937 ± 0.0390,0.8777 ± 0.0199,0.7042 ± 0.0539,0.7014 ± 0.0444,0.9173 ± 0.0117,0.8822 ± 0.0147,0.8777 ± 0.0199,0.8783 ± 0.0167,0.9254 ± 0.0189,0.8758 ± 0.0085,0.7348 ± 0.0329,0.7160 ± 0.0283,0.9209 ± 0.0122,0.8751 ± 0.0090,0.8758 ± 0.0085,0.8750 ± 0.0088,0.9220 ± 0.0114
24,adaboost,chi2_mi_union_topk,SMOTE,0.7178 ± 0.0274,0.6902 ± 0.0496,0.8766 ± 0.0195,0.6914 ± 0.0512,0.6962 ± 0.0502,0.9142 ± 0.0142,0.8801 ± 0.0160,0.8766 ± 0.0195,0.8774 ± 0.0174,0.9236 ± 0.0208,0.8717 ± 0.0103,0.7221 ± 0.0328,0.7170 ± 0.0294,0.9220 ± 0.0095,0.8721 ± 0.0098,0.8717 ± 0.0103,0.8716 ± 0.0100,0.9240 ± 0.0083
25,svm,spearman_corr,SMOTE,0.6170 ± 0.0243,0.6063 ± 0.0072,0.8967 ± 0.0106,0.5989 ± 0.0070,0.6157 ± 0.0070,0.9352 ± 0.0103,0.8769 ± 0.0099,0.8967 ± 0.0106,0.8853 ± 0.0106,0.9553 ± 0.0073,0.8970 ± 0.0069,0.6647 ± 0.1427,0.6223 ± 0.0143,0.9439 ± 0.0078,0.8781 ± 0.0161,0.8970 ± 0.0069,0.8847 ± 0.0073,0.9580 ± 0.0033
26,svm,mutual_info,SMOTE,0.6354 ± 0.0269,0.6237 ± 0.0349,0.9000 ± 0.0105,0.6505 ± 0.1155,0.6269 ± 0.0213,0.9432 ± 0.0057,0.8830 ± 0.0155,0.9000 ± 0.0105,0.8891 ± 0.0109,0.9565 ± 0.0065,0.8994 ± 0.0065,0.7829 ± 0.1662,0.6323 ± 0.0152,0.9474 ± 0.0074,0.8900 ± 0.0159,0.8994 ± 0.0065,0.8881 ± 0.0067,0.9578 ± 0.0031
27,svm,spearman_sulov,SMOTE,0.6150 ± 0.0159,0.6089 ± 0.0071,0.9007 ± 0.0104,0.6012 ± 0.0069,0.6184 ± 0.0070,0.9374 ± 0.0082,0.8803 ± 0.0099,0.9007 ± 0.0104,0.8892 ± 0.0103,0.9561 ± 0.0071,0.8989 ± 0.0055,0.6493 ± 0.1134,0.6217 ± 0.0095,0.9437 ± 0.0073,0.8784 ± 0.0123,0.8989 ± 0.0055,0.8864 ± 0.0059,0.9579 ± 0.0035
28,svm,chi2,SMOTE,0.6187 ± 0.0177,0.6170 ± 0.0263,0.9007 ± 0.0119,0.6343 ± 0.1050,0.6229 ± 0.0160,0.9422 ± 0.0071,0.8824 ± 0.0139,0.9007 ± 0.0119,0.8895 ± 0.0117,0.9564 ± 0.0066,0.8989 ± 0.0055,0.6993 ± 0.1616,0.6233 ± 0.0099,0.9465 ± 0.0071,0.8825 ± 0.0154,0.8989 ± 0.0055,0.8866 ± 0.0056,0.9573 ± 0.0032
29,svm,chi2_mi_union_topk,SMOTE,0.6570 ± 0.0415,0.6745 ± 0.0472,0.9026 ± 0.0119,0.7964 ± 0.1555,0.6604 ± 0.0307,0.9427 ± 0.0078,0.8987 ± 0.0133,0.9026 ± 0.0119,0.8950 ± 0.0103,0.9567 ± 0.0061,0.9025 ± 0.0048,0.7605 ± 0.1299,0.6470 ± 0.0250,0.9480 ± 0.0087,0.8920 ± 0.0124,0.9025 ± 0.0048,0.8927 ± 0.0057,0.9577 ± 0.0035
30,logistic_regression,spearman_corr,SMOTE,0.7273 ± 0.0383,0.6700 ± 0.0334,0.8740 ± 0.0147,0.6645 ± 0.0283,0.6920 ± 0.0476,0.9252 ± 0.0097,0.8876 ± 0.0078,0.8740 ± 0.0147,0.8771 ± 0.0117,0.9440 ± 0.0091,0.8843 ± 0.0101,0.7144 ± 0.0368,0.7491 ± 0.0406,0.9306 ± 0.0107,0.8924 ± 0.0090,0.8843 ± 0.0101,0.8864 ± 0.0094,0.9482 ± 0.0040
31,logistic_regression,mutual_info,SMOTE,0.7296 ± 0.0283,0.6782 ± 0.0449,0.8758 ± 0.0198,0.6814 ± 0.0619,0.6927 ± 0.0485,0.9352 ± 0.0108,0.8865 ± 0.0133,0.8758 ± 0.0198,0.8781 ± 0.0168,0.9484 ± 0.0083,0.8841 ± 0.0067,0.7183 ± 0.0291,0.7468 ± 0.0273,0.9341 ± 0.0106,0.8901 ± 0.0052,0.8841 ± 0.0067,0.8858 ± 0.0058,0.9481 ± 0.0046
32,logistic_regression,spearman_sulov,SMOTE,0.7232 ± 0.0298,0.6675 ± 0.0368,0.8718 ± 0.0182,0.6606 ± 0.0321,0.6902 ± 0.0502,0.9282 ± 0.0095,0.8854 ± 0.0119,0.8718 ± 0.0182,0.8755 ± 0.0151,0.9467 ± 0.0088,0.8838 ± 0.0074,0.7094 ± 0.0270,0.7470 ± 0.0344,0.9312 ± 0.0112,0.8926 ± 0.0071,0.8838 ± 0.0074,0.8863 ± 0.0070,0.9489 ± 0.0048
33,logistic_regression,chi2,SMOTE,0.7205 ± 0.0284,0.6852 ± 0.0346,0.8784 ± 0.0194,0.6817 ± 0.0338,0.7081 ± 0.0512,0.9341 ± 0.0101,0.8895 ± 0.0110,0.8784 ± 0.0194,0.8807 ± 0.0157,0.9476 ± 0.0086,0.8796 ± 0.0057,0.7072 ± 0.0253,0.7421 ± 0.0341,0.9314 ± 0.0114,0.8870 ± 0.0054,0.8796 ± 0.0057,0.8817 ± 0.0053,0.9470 ± 0.0045
34,logistic_regression,chi2_mi_union_topk,SMOTE,0.7371 ± 0.0321,0.7002 ± 0.0303,0.8769 ± 0.0152,0.6880 ± 0.0262,0.7389 ± 0.0523,0.9424 ± 0.0089,0.8932 ± 0.0084,0.8769 ± 0.0152,0.8811 ± 0.0117,0.9524 ± 0.0098,0.8863 ± 0.0081,0.7178 ± 0.0278,0.7732 ± 0.0375,0.9447 ± 0.0102,0.8982 ± 0.0061,0.8863 ± 0.0081,0.8900 ± 0.0069,0.9532 ± 0.0036
35,knn,spearman_corr,SMOTE,0.6646 ± 0.0224,0.6405 ± 0.0336,0.8161 ± 0.0173,0.6437 ± 0.0252,0.6835 ± 0.0492,0.8642 ± 0.0237,0.8568 ± 0.0121,0.8161 ± 0.0173,0.8173 ± 0.0176,0.9087 ± 0.0126,0.8250 ± 0.0167,0.6606 ± 0.0168,0.7060 ± 0.0266,0.8777 ± 0.0087,0.8586 ± 0.0099,0.8250 ± 0.0167,0.8263 ± 0.0169,0.9153 ± 0.0085
36,knn,mutual_info,SMOTE,0.6842 ± 0.0259,0.6614 ± 0.0442,0.8366 ± 0.0191,0.6560 ± 0.0342,0.7188 ± 0.0645,0.8823 ± 0.0187,0.8764 ± 0.0096,0.8366 ± 0.0191,0.8437 ± 0.0161,0.9258 ± 0.0160,0.8436 ± 0.0138,0.6719 ± 0.0193,0.7455 ± 0.0356,0.8944 ± 0.0178,0.8784 ± 0.0089,0.8436 ± 0.0138,0.8497 ± 0.0131,0.9290 ± 0.0056
37,knn,spearman_sulov,SMOTE,0.6689 ± 0.0178,0.6344 ± 0.0217,0.8099 ± 0.0134,0.6364 ± 0.0169,0.6884 ± 0.0461,0.8737 ± 0.0183,0.8565 ± 0.0104,0.8099 ± 0.0134,0.8135 ± 0.0140,0.9156 ± 0.0129,0.8297 ± 0.0109,0.6618 ± 0.0136,0.7177 ± 0.0206,0.8879 ± 0.0096,0.8646 ± 0.0069,0.8297 ± 0.0109,0.8330 ± 0.0106,0.9188 ± 0.0051
38,knn,chi2,SMOTE,0.6887 ± 0.0270,0.6511 ± 0.0392,0.8377 ± 0.0159,0.6482 ± 0.0294,0.7014 ± 0.0724,0.8824 ± 0.0215,0.8737 ± 0.0136,0.8377 ± 0.0159,0.8432 ± 0.0145,0.9260 ± 0.0100,0.8439 ± 0.0131,0.6754 ± 0.0203,0.7492 ± 0.0333,0.8916 ± 0.0169,0.8771 ± 0.0069,0.8439 ± 0.0131,0.8494 ± 0.0119,0.9280 ± 0.0025
39,knn,chi2_mi_union_topk,SMOTE,0.6968 ± 0.0274,0.6615 ± 0.0332,0.8447 ± 0.0158,0.6539 ± 0.0245,0.7145 ± 0.0571,0.8682 ± 0.0374,0.8793 ± 0.0087,0.8447 ± 0.0158,0.8526 ± 0.0138,0.9227 ± 0.0150,0.8593 ± 0.0134,0.6824 ± 0.0221,0.7537 ± 0.0324,0.8984 ± 0.0201,0.8897 ± 0.0069,0.8593 ± 0.0134,0.8661 ± 0.0116,0.9326 ± 0.0069
40,gaussian_nb,spearman_corr,SMOTE,0.6146 ± 0.0334,0.5903 ± 0.0330,0.7388 ± 0.0442,0.6364 ± 0.0134,0.7367 ± 0.0443,0.8945 ± 0.0301,0.8886 ± 0.0168,0.7388 ± 0.0442,0.7782 ± 0.0374,0.9285 ± 0.0117,0.7568 ± 0.0385,0.6428 ± 0.0135,0.7615 ± 0.0367,0.8849 ± 0.0223,0.8834 ± 0.0084,0.7568 ± 0.0385,0.7951 ± 0.0305,0.9246 ± 0.0084
41,gaussian_nb,mutual_info,SMOTE,0.7023 ± 0.0199,0.6679 ± 0.0173,0.8341 ± 0.0202,0.6569 ± 0.0131,0.7648 ± 0.0584,0.9021 ± 0.0274,0.8807 ± 0.0116,0.8341 ± 0.0202,0.8491 ± 0.0174,0.9264 ± 0.0121,0.8464 ± 0.0105,0.6800 ± 0.0141,0.7933 ± 0.0256,0.9017 ± 0.0135,0.8799 ± 0.0056,0.8464 ± 0.0105,0.8583 ± 0.0081,0.9239 ± 0.0056
42,gaussian_nb,spearman_sulov,SMOTE,0.6108 ± 0.0292,0.5846 ± 0.0366,0.7311 ± 0.0491,0.6342 ± 0.0121,0.7318 ± 0.0584,0.8933 ± 0.0307,0.8867 ± 0.0138,0.7311 ± 0.0491,0.7716 ± 0.0418,0.9269 ± 0.0121,0.7535 ± 0.0357,0.6402 ± 0.0107,0.7560 ± 0.0279,0.8831 ± 0.0210,0.8811 ± 0.0086,0.7535 ± 0.0357,0.7918 ± 0.0283,0.9245 ± 0.0087
43,gaussian_nb,chi2,SMOTE,0.7063 ± 0.0205,0.6767 ± 0.0246,0.8429 ± 0.0221,0.6627 ± 0.0184,0.7614 ± 0.0551,0.9078 ± 0.0297,0.8816 ± 0.0133,0.8429 ± 0.0221,0.8554 ± 0.0191,0.9271 ± 0.0105,0.8500 ± 0.0070,0.6825 ± 0.0151,0.7903 ± 0.0356,0.8987 ± 0.0223,0.8789 ± 0.0072,0.8500 ± 0.0070,0.8602 ± 0.0065,0.9228 ± 0.0061
44,gaussian_nb,chi2_mi_union_topk,SMOTE,0.7023 ± 0.0263,0.6663 ± 0.0286,0.8377 ± 0.0216,0.6579 ± 0.0207,0.7583 ± 0.0621,0.9270 ± 0.0116,0.8874 ± 0.0125,0.8377 ± 0.0216,0.8549 ± 0.0173,0.9344 ± 0.0097,0.8475 ± 0.0140,0.6814 ± 0.0183,0.7992 ± 0.0306,0.9293 ± 0.0083,0.8853 ± 0.0059,0.8475 ± 0.0140,0.8614 ± 0.0102,0.9321 ± 0.0050
