,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
13,extra_trees,chi2,SMOTE,0.6559 ± 0.0396,0.6612 ± 0.0400,0.8974 ± 0.0105,0.7821 ± 0.1476,0.6470 ± 0.0244,0.9523 ± 0.0103,0.8901 ± 0.0170,0.8974 ± 0.0105,0.8890 ± 0.0108,0.9603 ± 0.0075,0.9006 ± 0.0059,0.7657 ± 0.1264,0.6449 ± 0.0234,0.9594 ± 0.0072,0.8903 ± 0.0110,0.9006 ± 0.0059,0.8911 ± 0.0059,0.9636 ± 0.0029
14,extra_trees,chi2_mi_union_topk,SMOTE,0.6923 ± 0.0367,0.6743 ± 0.0535,0.8974 ± 0.0121,0.8043 ± 0.1514,0.6562 ± 0.0356,0.9476 ± 0.0100,0.8920 ± 0.0157,0.8974 ± 0.0121,0.8896 ± 0.0126,0.9576 ± 0.0073,0.9042 ± 0.0051,0.8412 ± 0.0788,0.6686 ± 0.0238,0.9612 ± 0.0065,0.9000 ± 0.0088,0.9042 ± 0.0051,0.8965 ± 0.0055,0.9635 ± 0.0042
15,xgboost,spearman_corr,SMOTE,0.7090 ± 0.0434,0.6913 ± 0.0400,0.8916 ± 0.0131,0.7540 ± 0.0818,0.6750 ± 0.0334,0.9421 ± 0.0186,0.8878 ± 0.0125,0.8916 ± 0.0131,0.8870 ± 0.0129,0.9595 ± 0.0049,0.8967 ± 0.0071,0.7816 ± 0.0808,0.6843 ± 0.0306,0.9489 ± 0.0073,0.8909 ± 0.0096,0.8967 ± 0.0071,0.8915 ± 0.0077,0.9596 ± 0.0037
16,xgboost,mutual_info,SMOTE,0.6963 ± 0.0336,0.7010 ± 0.0298,0.8949 ± 0.0181,0.7805 ± 0.0637,0.6816 ± 0.0272,0.9473 ± 0.0122,0.8918 ± 0.0164,0.8949 ± 0.0181,0.8902 ± 0.0174,0.9591 ± 0.0054,0.8947 ± 0.0091,0.7776 ± 0.0593,0.6741 ± 0.0248,0.9475 ± 0.0075,0.8883 ± 0.0097,0.8947 ± 0.0091,0.8888 ± 0.0088,0.9583 ± 0.0038
17,xgboost,spearman_sulov,SMOTE,0.7071 ± 0.0411,0.6874 ± 0.0438,0.8960 ± 0.0136,0.7826 ± 0.1179,0.6688 ± 0.0330,0.9418 ± 0.0162,0.8918 ± 0.0170,0.8960 ± 0.0136,0.8902 ± 0.0139,0.9592 ± 0.0043,0.8965 ± 0.0065,0.7834 ± 0.0786,0.6825 ± 0.0284,0.9501 ± 0.0060,0.8907 ± 0.0087,0.8965 ± 0.0065,0.8912 ± 0.0067,0.9598 ± 0.0036
18,xgboost,chi2,SMOTE,0.7005 ± 0.0425,0.7031 ± 0.0493,0.8982 ± 0.0148,0.7765 ± 0.0923,0.6837 ± 0.0408,0.9477 ± 0.0132,0.8936 ± 0.0170,0.8982 ± 0.0148,0.8931 ± 0.0150,0.9596 ± 0.0062,0.8937 ± 0.0067,0.7818 ± 0.0556,0.6769 ± 0.0328,0.9484 ± 0.0073,0.8874 ± 0.0078,0.8937 ± 0.0067,0.8879 ± 0.0067,0.9582 ± 0.0039
19,xgboost,chi2_mi_union_topk,SMOTE,0.7294 ± 0.0219,0.6956 ± 0.0515,0.8872 ± 0.0162,0.7602 ± 0.0971,0.6806 ± 0.0499,0.9354 ± 0.0141,0.8837 ± 0.0190,0.8872 ± 0.0162,0.8828 ± 0.0168,0.9485 ± 0.0083,0.8931 ± 0.0062,0.7938 ± 0.0328,0.7022 ± 0.0195,0.9399 ± 0.0039,0.8887 ± 0.0063,0.8931 ± 0.0062,0.8892 ± 0.0062,0.9514 ± 0.0035
20,adaboost,spearman_corr,SMOTE,0.7407 ± 0.0227,0.7173 ± 0.0570,0.8769 ± 0.0205,0.7321 ± 0.0890,0.7136 ± 0.0396,0.9231 ± 0.0175,0.8790 ± 0.0164,0.8769 ± 0.0205,0.8771 ± 0.0184,0.9246 ± 0.0195,0.8807 ± 0.0079,0.7621 ± 0.0319,0.7277 ± 0.0237,0.9286 ± 0.0078,0.8793 ± 0.0074,0.8807 ± 0.0079,0.8795 ± 0.0075,0.9291 ± 0.0080
21,adaboost,mutual_info,SMOTE,0.7412 ± 0.0298,0.7144 ± 0.0397,0.8729 ± 0.0169,0.7232 ± 0.0466,0.7101 ± 0.0370,0.9154 ± 0.0172,0.8741 ± 0.0148,0.8729 ± 0.0169,0.8727 ± 0.0165,0.9161 ± 0.0154,0.8775 ± 0.0069,0.7751 ± 0.0523,0.7217 ± 0.0242,0.9265 ± 0.0069,0.8762 ± 0.0073,0.8775 ± 0.0069,0.8759 ± 0.0067,0.9275 ± 0.0072
22,adaboost,spearman_sulov,SMOTE,0.7356 ± 0.0320,0.7076 ± 0.0527,0.8685 ± 0.0244,0.7272 ± 0.0666,0.7027 ± 0.0486,0.9199 ± 0.0200,0.8702 ± 0.0204,0.8685 ± 0.0244,0.8677 ± 0.0230,0.9179 ± 0.0173,0.8758 ± 0.0083,0.7543 ± 0.0438,0.7226 ± 0.0263,0.9279 ± 0.0062,0.8745 ± 0.0077,0.8758 ± 0.0083,0.8747 ± 0.0080,0.9287 ± 0.0069
23,adaboost,chi2,SMOTE,0.7309 ± 0.0245,0.7015 ± 0.0209,0.8755 ± 0.0188,0.7351 ± 0.0804,0.6986 ± 0.0335,0.9211 ± 0.0170,0.8775 ± 0.0180,0.8755 ± 0.0188,0.8744 ± 0.0177,0.9230 ± 0.0191,0.8748 ± 0.0086,0.7600 ± 0.0379,0.7130 ± 0.0215,0.9269 ± 0.0070,0.8729 ± 0.0081,0.8748 ± 0.0086,0.8731 ± 0.0082,0.9277 ± 0.0055
24,adaboost,chi2_mi_union_topk,SMOTE,0.7386 ± 0.0235,0.6927 ± 0.0285,0.8593 ± 0.0169,0.6933 ± 0.0467,0.7057 ± 0.0335,0.9170 ± 0.0179,0.8665 ± 0.0149,0.8593 ± 0.0169,0.8617 ± 0.0163,0.9192 ± 0.0161,0.8767 ± 0.0075,0.7478 ± 0.0360,0.7338 ± 0.0222,0.9272 ± 0.0070,0.8770 ± 0.0071,0.8767 ± 0.0075,0.8765 ± 0.0072,0.9277 ± 0.0059
25,svm,spearman_corr,SMOTE,0.6138 ± 0.0139,0.6172 ± 0.0240,0.9011 ± 0.0141,0.6346 ± 0.1025,0.6231 ± 0.0143,0.9427 ± 0.0083,0.8827 ± 0.0129,0.9011 ± 0.0141,0.8898 ± 0.0134,0.9572 ± 0.0064,0.9020 ± 0.0071,0.6346 ± 0.1078,0.6219 ± 0.0090,0.9500 ± 0.0066,0.8796 ± 0.0137,0.9020 ± 0.0071,0.8892 ± 0.0074,0.9594 ± 0.0035
26,svm,mutual_info,SMOTE,0.6093 ± 0.0043,0.6093 ± 0.0081,0.9015 ± 0.0116,0.6015 ± 0.0081,0.6187 ± 0.0079,0.9438 ± 0.0064,0.8804 ± 0.0116,0.9015 ± 0.0116,0.8898 ± 0.0118,0.9574 ± 0.0062,0.9003 ± 0.0063,0.6004 ± 0.0042,0.6190 ± 0.0045,0.9502 ± 0.0063,0.8755 ± 0.0063,0.9003 ± 0.0063,0.8875 ± 0.0062,0.9591 ± 0.0028
27,svm,spearman_sulov,SMOTE,0.6110 ± 0.0054,0.6090 ± 0.0075,0.9011 ± 0.0112,0.6012 ± 0.0072,0.6185 ± 0.0075,0.9435 ± 0.0076,0.8800 ± 0.0104,0.9011 ± 0.0112,0.8894 ± 0.0109,0.9572 ± 0.0060,0.9030 ± 0.0080,0.6018 ± 0.0053,0.6208 ± 0.0055,0.9497 ± 0.0071,0.8777 ± 0.0077,0.9030 ± 0.0080,0.8899 ± 0.0078,0.9590 ± 0.0033
28,svm,chi2,SMOTE,0.6091 ± 0.0038,0.6098 ± 0.0063,0.9022 ± 0.0090,0.6019 ± 0.0065,0.6193 ± 0.0061,0.9447 ± 0.0067,0.8812 ± 0.0093,0.9022 ± 0.0090,0.8905 ± 0.0092,0.9587 ± 0.0066,0.9000 ± 0.0055,0.6001 ± 0.0039,0.6188 ± 0.0038,0.9496 ± 0.0059,0.8752 ± 0.0056,0.9000 ± 0.0055,0.8871 ± 0.0055,0.9589 ± 0.0030
29,svm,chi2_mi_union_topk,SMOTE,0.6491 ± 0.0252,0.6417 ± 0.0521,0.9051 ± 0.0074,0.6873 ± 0.1412,0.6394 ± 0.0327,0.9451 ± 0.0109,0.8907 ± 0.0136,0.9051 ± 0.0074,0.8950 ± 0.0082,0.9594 ± 0.0062,0.9017 ± 0.0053,0.7740 ± 0.1152,0.6413 ± 0.0143,0.9515 ± 0.0089,0.8926 ± 0.0109,0.9017 ± 0.0053,0.8916 ± 0.0054,0.9605 ± 0.0026
30,logistic_regression,spearman_corr,SMOTE,0.7486 ± 0.0257,0.7157 ± 0.0299,0.8864 ± 0.0173,0.7098 ± 0.0269,0.7358 ± 0.0461,0.9402 ± 0.0095,0.8940 ± 0.0102,0.8864 ± 0.0173,0.8873 ± 0.0145,0.9547 ± 0.0061,0.8926 ± 0.0078,0.7460 ± 0.0361,0.7558 ± 0.0203,0.9386 ± 0.0119,0.8956 ± 0.0061,0.8926 ± 0.0078,0.8931 ± 0.0069,0.9502 ± 0.0054
31,logistic_regression,mutual_info,SMOTE,0.7486 ± 0.0243,0.7268 ± 0.0427,0.8894 ± 0.0142,0.7184 ± 0.0363,0.7515 ± 0.0673,0.9411 ± 0.0137,0.8976 ± 0.0104,0.8894 ± 0.0142,0.8902 ± 0.0126,0.9556 ± 0.0058,0.8926 ± 0.0086,0.7469 ± 0.0342,0.7540 ± 0.0183,0.9366 ± 0.0104,0.8950 ± 0.0067,0.8926 ± 0.0086,0.8928 ± 0.0077,0.9502 ± 0.0050
