,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
33,logistic_regression,chi2,RandomOverSampler,0.7203 ± 0.0265,0.6844 ± 0.0332,0.8762 ± 0.0203,0.6796 ± 0.0311,0.7111 ± 0.0573,0.9355 ± 0.0094,0.8883 ± 0.0110,0.8762 ± 0.0203,0.8788 ± 0.0165,0.9478 ± 0.0085,0.8796 ± 0.0063,0.7071 ± 0.0245,0.7421 ± 0.0312,0.9324 ± 0.0117,0.8873 ± 0.0060,0.8796 ± 0.0063,0.8818 ± 0.0059,0.9473 ± 0.0047
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.7370 ± 0.0295,0.7044 ± 0.0299,0.8766 ± 0.0132,0.6896 ± 0.0240,0.7477 ± 0.0571,0.9424 ± 0.0095,0.8937 ± 0.0096,0.8766 ± 0.0132,0.8811 ± 0.0106,0.9525 ± 0.0094,0.8871 ± 0.0067,0.7181 ± 0.0253,0.7720 ± 0.0355,0.9444 ± 0.0115,0.8986 ± 0.0057,0.8871 ± 0.0067,0.8906 ± 0.0059,0.9530 ± 0.0038
35,knn,spearman_corr,RandomOverSampler,0.6621 ± 0.0323,0.6329 ± 0.0530,0.8377 ± 0.0175,0.6515 ± 0.0607,0.6384 ± 0.0544,0.8346 ± 0.0240,0.8534 ± 0.0147,0.8377 ± 0.0175,0.8319 ± 0.0180,0.9106 ± 0.0128,0.8436 ± 0.0136,0.6835 ± 0.0308,0.6617 ± 0.0345,0.8406 ± 0.0167,0.8563 ± 0.0104,0.8436 ± 0.0136,0.8389 ± 0.0141,0.9132 ± 0.0073
36,knn,mutual_info,RandomOverSampler,0.7055 ± 0.0288,0.6826 ± 0.0686,0.8692 ± 0.0083,0.7081 ± 0.0814,0.6852 ± 0.0703,0.8616 ± 0.0287,0.8769 ± 0.0094,0.8692 ± 0.0083,0.8659 ± 0.0087,0.9297 ± 0.0086,0.8723 ± 0.0077,0.7157 ± 0.0253,0.7060 ± 0.0343,0.8670 ± 0.0249,0.8791 ± 0.0075,0.8723 ± 0.0077,0.8699 ± 0.0082,0.9305 ± 0.0067
37,knn,spearman_sulov,RandomOverSampler,0.6760 ± 0.0359,0.6386 ± 0.0556,0.8399 ± 0.0122,0.6593 ± 0.0717,0.6442 ± 0.0570,0.8365 ± 0.0281,0.8549 ± 0.0114,0.8399 ± 0.0122,0.8348 ± 0.0122,0.9170 ± 0.0117,0.8535 ± 0.0093,0.6935 ± 0.0340,0.6750 ± 0.0381,0.8487 ± 0.0137,0.8636 ± 0.0096,0.8535 ± 0.0093,0.8495 ± 0.0101,0.9179 ± 0.0028
38,knn,chi2,RandomOverSampler,0.6959 ± 0.0207,0.6860 ± 0.0555,0.8685 ± 0.0118,0.7198 ± 0.0878,0.6893 ± 0.0626,0.8610 ± 0.0339,0.8781 ± 0.0108,0.8685 ± 0.0118,0.8651 ± 0.0126,0.9294 ± 0.0071,0.8678 ± 0.0066,0.7035 ± 0.0168,0.6978 ± 0.0244,0.8665 ± 0.0186,0.8750 ± 0.0068,0.8678 ± 0.0066,0.8655 ± 0.0071,0.9299 ± 0.0038
39,knn,chi2_mi_union_topk,RandomOverSampler,0.6947 ± 0.0451,0.6914 ± 0.0563,0.8722 ± 0.0139,0.7056 ± 0.0725,0.6957 ± 0.0519,0.8550 ± 0.0341,0.8817 ± 0.0098,0.8722 ± 0.0139,0.8715 ± 0.0125,0.9267 ± 0.0132,0.8783 ± 0.0090,0.6915 ± 0.0420,0.7063 ± 0.0483,0.8689 ± 0.0230,0.8865 ± 0.0089,0.8783 ± 0.0090,0.8780 ± 0.0088,0.9328 ± 0.0062
40,gaussian_nb,spearman_corr,RandomOverSampler,0.5975 ± 0.0437,0.5886 ± 0.0349,0.7308 ± 0.0465,0.6399 ± 0.0136,0.7588 ± 0.0400,0.9025 ± 0.0299,0.8922 ± 0.0175,0.7308 ± 0.0465,0.7711 ± 0.0420,0.9301 ± 0.0122,0.7325 ± 0.0551,0.6407 ± 0.0141,0.7584 ± 0.0411,0.8868 ± 0.0234,0.8844 ± 0.0112,0.7325 ± 0.0551,0.7743 ± 0.0473,0.9248 ± 0.0093
41,gaussian_nb,mutual_info,RandomOverSampler,0.6900 ± 0.0137,0.6694 ± 0.0225,0.8271 ± 0.0195,0.6600 ± 0.0174,0.7921 ± 0.0590,0.9099 ± 0.0242,0.8849 ± 0.0139,0.8271 ± 0.0195,0.8455 ± 0.0173,0.9279 ± 0.0115,0.8340 ± 0.0085,0.6717 ± 0.0089,0.8029 ± 0.0191,0.9062 ± 0.0120,0.8799 ± 0.0055,0.8340 ± 0.0085,0.8499 ± 0.0066,0.9239 ± 0.0058
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.5939 ± 0.0426,0.5828 ± 0.0363,0.7231 ± 0.0481,0.6378 ± 0.0126,0.7538 ± 0.0425,0.9030 ± 0.0286,0.8902 ± 0.0158,0.7231 ± 0.0481,0.7644 ± 0.0429,0.9290 ± 0.0124,0.7286 ± 0.0538,0.6387 ± 0.0128,0.7542 ± 0.0393,0.8863 ± 0.0227,0.8826 ± 0.0101,0.7286 ± 0.0538,0.7705 ± 0.0467,0.9249 ± 0.0091
43,gaussian_nb,chi2,RandomOverSampler,0.7009 ± 0.0127,0.6905 ± 0.0237,0.8418 ± 0.0205,0.6738 ± 0.0180,0.8060 ± 0.0450,0.9142 ± 0.0287,0.8881 ± 0.0140,0.8418 ± 0.0205,0.8562 ± 0.0180,0.9285 ± 0.0110,0.8421 ± 0.0084,0.6787 ± 0.0090,0.8046 ± 0.0215,0.9017 ± 0.0228,0.8799 ± 0.0064,0.8421 ± 0.0084,0.8552 ± 0.0069,0.9230 ± 0.0062
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6894 ± 0.0207,0.6660 ± 0.0343,0.8289 ± 0.0242,0.6594 ± 0.0239,0.7753 ± 0.0578,0.9298 ± 0.0117,0.8884 ± 0.0138,0.8289 ± 0.0242,0.8491 ± 0.0194,0.9342 ± 0.0098,0.8341 ± 0.0129,0.6731 ± 0.0137,0.8082 ± 0.0290,0.9311 ± 0.0072,0.8848 ± 0.0068,0.8341 ± 0.0129,0.8522 ± 0.0097,0.9310 ± 0.0054
