,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
23,adaboost,chi2,RandomOverSampler,0.7143 ± 0.0356,0.7057 ± 0.0506,0.8788 ± 0.0181,0.7082 ± 0.0621,0.7158 ± 0.0513,0.9124 ± 0.0142,0.8844 ± 0.0153,0.8788 ± 0.0181,0.8802 ± 0.0164,0.9232 ± 0.0146,0.8709 ± 0.0087,0.7170 ± 0.0377,0.7164 ± 0.0407,0.9171 ± 0.0121,0.8720 ± 0.0116,0.8709 ± 0.0087,0.8712 ± 0.0101,0.9209 ± 0.0087
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.7230 ± 0.0298,0.7040 ± 0.0605,0.8795 ± 0.0231,0.7064 ± 0.0715,0.7113 ± 0.0607,0.9166 ± 0.0131,0.8840 ± 0.0192,0.8795 ± 0.0231,0.8809 ± 0.0207,0.9269 ± 0.0117,0.8731 ± 0.0104,0.7237 ± 0.0381,0.7252 ± 0.0266,0.9175 ± 0.0120,0.8745 ± 0.0115,0.8731 ± 0.0104,0.8737 ± 0.0109,0.9205 ± 0.0116
25,svm,spearman_corr,RandomOverSampler,0.6105 ± 0.0115,0.6144 ± 0.0256,0.8971 ± 0.0078,0.6317 ± 0.1048,0.6205 ± 0.0147,0.9413 ± 0.0084,0.8788 ± 0.0103,0.8971 ± 0.0078,0.8857 ± 0.0076,0.9567 ± 0.0073,0.8969 ± 0.0048,0.6314 ± 0.1055,0.6186 ± 0.0066,0.9457 ± 0.0090,0.8753 ± 0.0102,0.8969 ± 0.0048,0.8843 ± 0.0048,0.9575 ± 0.0028
26,svm,mutual_info,RandomOverSampler,0.6455 ± 0.0431,0.6534 ± 0.0516,0.8993 ± 0.0081,0.7335 ± 0.1521,0.6445 ± 0.0314,0.9472 ± 0.0051,0.8890 ± 0.0130,0.8993 ± 0.0081,0.8901 ± 0.0081,0.9566 ± 0.0063,0.8981 ± 0.0040,0.7710 ± 0.1594,0.6385 ± 0.0253,0.9433 ± 0.0083,0.8881 ± 0.0158,0.8981 ± 0.0040,0.8876 ± 0.0052,0.9553 ± 0.0030
27,svm,spearman_sulov,RandomOverSampler,0.6168 ± 0.0177,0.6229 ± 0.0334,0.8974 ± 0.0071,0.6655 ± 0.1394,0.6251 ± 0.0189,0.9445 ± 0.0055,0.8820 ± 0.0124,0.8974 ± 0.0071,0.8867 ± 0.0070,0.9564 ± 0.0071,0.8964 ± 0.0047,0.6810 ± 0.1419,0.6216 ± 0.0101,0.9443 ± 0.0086,0.8788 ± 0.0134,0.8964 ± 0.0047,0.8842 ± 0.0052,0.9564 ± 0.0031
28,svm,chi2,RandomOverSampler,0.6400 ± 0.0342,0.6479 ± 0.0419,0.8993 ± 0.0085,0.7502 ± 0.1656,0.6400 ± 0.0239,0.9464 ± 0.0046,0.8904 ± 0.0152,0.8993 ± 0.0085,0.8899 ± 0.0085,0.9563 ± 0.0066,0.8976 ± 0.0042,0.7652 ± 0.1578,0.6347 ± 0.0192,0.9439 ± 0.0086,0.8872 ± 0.0150,0.8976 ± 0.0042,0.8868 ± 0.0049,0.9552 ± 0.0033
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6722 ± 0.0465,0.6927 ± 0.0555,0.9029 ± 0.0072,0.7847 ± 0.1253,0.6742 ± 0.0402,0.9408 ± 0.0103,0.8979 ± 0.0122,0.9029 ± 0.0072,0.8961 ± 0.0073,0.9552 ± 0.0062,0.9019 ± 0.0056,0.7705 ± 0.1095,0.6571 ± 0.0296,0.9434 ± 0.0115,0.8930 ± 0.0117,0.9019 ± 0.0056,0.8933 ± 0.0067,0.9546 ± 0.0038
30,logistic_regression,spearman_corr,RandomOverSampler,0.7340 ± 0.0258,0.6938 ± 0.0381,0.8725 ± 0.0172,0.6818 ± 0.0330,0.7317 ± 0.0578,0.9325 ± 0.0133,0.8906 ± 0.0115,0.8725 ± 0.0172,0.8771 ± 0.0140,0.9456 ± 0.0106,0.8869 ± 0.0071,0.7197 ± 0.0271,0.7599 ± 0.0276,0.9327 ± 0.0120,0.8962 ± 0.0054,0.8869 ± 0.0071,0.8892 ± 0.0062,0.9483 ± 0.0040
31,logistic_regression,mutual_info,RandomOverSampler,0.7260 ± 0.0308,0.6858 ± 0.0332,0.8711 ± 0.0174,0.6749 ± 0.0285,0.7214 ± 0.0615,0.9369 ± 0.0102,0.8873 ± 0.0131,0.8711 ± 0.0174,0.8753 ± 0.0150,0.9473 ± 0.0089,0.8836 ± 0.0089,0.7124 ± 0.0292,0.7485 ± 0.0329,0.9348 ± 0.0111,0.8918 ± 0.0075,0.8836 ± 0.0089,0.8860 ± 0.0082,0.9473 ± 0.0041
32,logistic_regression,spearman_sulov,RandomOverSampler,0.7258 ± 0.0301,0.6939 ± 0.0345,0.8740 ± 0.0154,0.6811 ± 0.0297,0.7326 ± 0.0540,0.9327 ± 0.0111,0.8921 ± 0.0114,0.8740 ± 0.0154,0.8789 ± 0.0129,0.9462 ± 0.0097,0.8846 ± 0.0084,0.7103 ± 0.0283,0.7548 ± 0.0331,0.9332 ± 0.0125,0.8955 ± 0.0054,0.8846 ± 0.0084,0.8877 ± 0.0070,0.9484 ± 0.0043
33,logistic_regression,chi2,RandomOverSampler,0.7205 ± 0.0266,0.6863 ± 0.0331,0.8714 ± 0.0181,0.6750 ± 0.0281,0.7216 ± 0.0613,0.9364 ± 0.0108,0.8872 ± 0.0138,0.8714 ± 0.0181,0.8754 ± 0.0158,0.9475 ± 0.0084,0.8818 ± 0.0074,0.7078 ± 0.0268,0.7420 ± 0.0280,0.9326 ± 0.0121,0.8899 ± 0.0059,0.8818 ± 0.0074,0.8841 ± 0.0066,0.9464 ± 0.0046
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.7325 ± 0.0319,0.7051 ± 0.0190,0.8755 ± 0.0151,0.6931 ± 0.0220,0.7469 ± 0.0445,0.9418 ± 0.0093,0.8924 ± 0.0075,0.8755 ± 0.0151,0.8799 ± 0.0114,0.9508 ± 0.0093,0.8852 ± 0.0063,0.7133 ± 0.0267,0.7690 ± 0.0407,0.9437 ± 0.0117,0.8973 ± 0.0052,0.8852 ± 0.0063,0.8889 ± 0.0056,0.9516 ± 0.0037
35,knn,spearman_corr,RandomOverSampler,0.6635 ± 0.0363,0.6650 ± 0.0598,0.8637 ± 0.0135,0.6706 ± 0.0676,0.6726 ± 0.0596,0.8402 ± 0.0398,0.8695 ± 0.0073,0.8637 ± 0.0135,0.8591 ± 0.0107,0.9174 ± 0.0097,0.8632 ± 0.0076,0.6741 ± 0.0347,0.6652 ± 0.0368,0.8486 ± 0.0131,0.8687 ± 0.0066,0.8632 ± 0.0076,0.8596 ± 0.0078,0.9239 ± 0.0047
36,knn,mutual_info,RandomOverSampler,0.6980 ± 0.0379,0.6850 ± 0.0682,0.8637 ± 0.0147,0.6957 ± 0.0675,0.6997 ± 0.0828,0.8602 ± 0.0376,0.8745 ± 0.0115,0.8637 ± 0.0147,0.8612 ± 0.0141,0.9219 ± 0.0098,0.8695 ± 0.0079,0.7035 ± 0.0361,0.7025 ± 0.0410,0.8687 ± 0.0203,0.8773 ± 0.0086,0.8695 ± 0.0079,0.8675 ± 0.0089,0.9262 ± 0.0054
37,knn,spearman_sulov,RandomOverSampler,0.6807 ± 0.0390,0.6727 ± 0.0517,0.8582 ± 0.0172,0.7099 ± 0.0959,0.6736 ± 0.0503,0.8481 ± 0.0304,0.8696 ± 0.0132,0.8582 ± 0.0172,0.8544 ± 0.0166,0.9200 ± 0.0140,0.8638 ± 0.0110,0.6965 ± 0.0395,0.6796 ± 0.0396,0.8576 ± 0.0192,0.8705 ± 0.0106,0.8638 ± 0.0110,0.8603 ± 0.0118,0.9238 ± 0.0057
38,knn,chi2,RandomOverSampler,0.6970 ± 0.0362,0.6927 ± 0.0496,0.8663 ± 0.0172,0.7083 ± 0.0553,0.7013 ± 0.0589,0.8650 ± 0.0400,0.8760 ± 0.0129,0.8663 ± 0.0172,0.8639 ± 0.0164,0.9244 ± 0.0106,0.8693 ± 0.0084,0.7050 ± 0.0314,0.6988 ± 0.0396,0.8672 ± 0.0176,0.8758 ± 0.0079,0.8693 ± 0.0084,0.8668 ± 0.0088,0.9257 ± 0.0053
39,knn,chi2_mi_union_topk,RandomOverSampler,0.6929 ± 0.0455,0.6805 ± 0.0541,0.8685 ± 0.0107,0.7161 ± 0.0952,0.6844 ± 0.0595,0.8566 ± 0.0372,0.8783 ± 0.0087,0.8685 ± 0.0107,0.8666 ± 0.0098,0.9258 ± 0.0145,0.8753 ± 0.0102,0.6908 ± 0.0432,0.7025 ± 0.0477,0.8617 ± 0.0238,0.8827 ± 0.0104,0.8753 ± 0.0102,0.8746 ± 0.0104,0.9292 ± 0.0067
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6481 ± 0.0220,0.6411 ± 0.0267,0.7930 ± 0.0287,0.6540 ± 0.0161,0.7984 ± 0.0421,0.9038 ± 0.0326,0.8933 ± 0.0158,0.7930 ± 0.0287,0.8220 ± 0.0246,0.9298 ± 0.0128,0.7925 ± 0.0238,0.6549 ± 0.0091,0.7964 ± 0.0208,0.8985 ± 0.0171,0.8847 ± 0.0073,0.7925 ± 0.0238,0.8215 ± 0.0171,0.9256 ± 0.0085
41,gaussian_nb,mutual_info,RandomOverSampler,0.6952 ± 0.0141,0.6676 ± 0.0267,0.8282 ± 0.0206,0.6582 ± 0.0198,0.7794 ± 0.0549,0.9005 ± 0.0304,0.8834 ± 0.0147,0.8282 ± 0.0206,0.8458 ± 0.0184,0.9259 ± 0.0125,0.8390 ± 0.0064,0.6750 ± 0.0093,0.8009 ± 0.0228,0.9049 ± 0.0146,0.8801 ± 0.0060,0.8390 ± 0.0064,0.8533 ± 0.0050,0.9244 ± 0.0067
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6450 ± 0.0250,0.6346 ± 0.0283,0.7857 ± 0.0296,0.6519 ± 0.0153,0.7939 ± 0.0455,0.9038 ± 0.0325,0.8930 ± 0.0143,0.7857 ± 0.0296,0.8160 ± 0.0249,0.9297 ± 0.0120,0.7892 ± 0.0282,0.6532 ± 0.0105,0.7926 ± 0.0232,0.8988 ± 0.0177,0.8833 ± 0.0097,0.7892 ± 0.0282,0.8186 ± 0.0205,0.9255 ± 0.0090
43,gaussian_nb,chi2,RandomOverSampler,0.7030 ± 0.0144,0.6843 ± 0.0342,0.8421 ± 0.0208,0.6682 ± 0.0251,0.7836 ± 0.0658,0.9108 ± 0.0319,0.8842 ± 0.0139,0.8421 ± 0.0208,0.8555 ± 0.0182,0.9272 ± 0.0111,0.8442 ± 0.0061,0.6800 ± 0.0102,0.8042 ± 0.0285,0.9060 ± 0.0149,0.8801 ± 0.0063,0.8442 ± 0.0061,0.8565 ± 0.0056,0.9231 ± 0.0059
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.7007 ± 0.0160,0.6730 ± 0.0335,0.8421 ± 0.0229,0.6629 ± 0.0240,0.7611 ± 0.0575,0.9270 ± 0.0119,0.8892 ± 0.0113,0.8421 ± 0.0229,0.8585 ± 0.0181,0.9345 ± 0.0083,0.8451 ± 0.0091,0.6799 ± 0.0112,0.8064 ± 0.0212,0.9307 ± 0.0058,0.8856 ± 0.0045,0.8451 ± 0.0091,0.8598 ± 0.0072,0.9308 ± 0.0052
