,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
32,logistic_regression,spearman_sulov,RandomOverSampler,0.7499 ± 0.0196,0.7316 ± 0.0297,0.8861 ± 0.0159,0.7184 ± 0.0272,0.7628 ± 0.0460,0.9453 ± 0.0135,0.8969 ± 0.0100,0.8861 ± 0.0159,0.8881 ± 0.0140,0.9577 ± 0.0058,0.8942 ± 0.0054,0.7396 ± 0.0220,0.7658 ± 0.0213,0.9429 ± 0.0082,0.8990 ± 0.0033,0.8942 ± 0.0054,0.8953 ± 0.0046,0.9532 ± 0.0028
33,logistic_regression,chi2,RandomOverSampler,0.7387 ± 0.0202,0.7175 ± 0.0270,0.8821 ± 0.0132,0.7072 ± 0.0205,0.7466 ± 0.0539,0.9399 ± 0.0152,0.8923 ± 0.0070,0.8821 ± 0.0132,0.8837 ± 0.0110,0.9549 ± 0.0060,0.8903 ± 0.0058,0.7311 ± 0.0210,0.7508 ± 0.0251,0.9368 ± 0.0104,0.8940 ± 0.0041,0.8903 ± 0.0058,0.8910 ± 0.0050,0.9501 ± 0.0027
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.7512 ± 0.0201,0.7065 ± 0.0241,0.8788 ± 0.0145,0.6945 ± 0.0152,0.7493 ± 0.0604,0.9455 ± 0.0104,0.8944 ± 0.0079,0.8788 ± 0.0145,0.8821 ± 0.0116,0.9551 ± 0.0072,0.8887 ± 0.0042,0.7323 ± 0.0197,0.7834 ± 0.0194,0.9488 ± 0.0081,0.8978 ± 0.0032,0.8887 ± 0.0042,0.8912 ± 0.0036,0.9562 ± 0.0030
35,knn,spearman_corr,RandomOverSampler,0.6693 ± 0.0227,0.6508 ± 0.0539,0.8568 ± 0.0196,0.6762 ± 0.0715,0.6502 ± 0.0479,0.8333 ± 0.0268,0.8636 ± 0.0146,0.8568 ± 0.0196,0.8511 ± 0.0187,0.9209 ± 0.0090,0.8629 ± 0.0092,0.6945 ± 0.0222,0.6636 ± 0.0218,0.8469 ± 0.0187,0.8686 ± 0.0073,0.8629 ± 0.0092,0.8579 ± 0.0096,0.9235 ± 0.0059
36,knn,mutual_info,RandomOverSampler,0.6887 ± 0.0277,0.6594 ± 0.0516,0.8623 ± 0.0155,0.7032 ± 0.0979,0.6585 ± 0.0494,0.8433 ± 0.0257,0.8723 ± 0.0112,0.8623 ± 0.0155,0.8571 ± 0.0151,0.9166 ± 0.0110,0.8624 ± 0.0089,0.7078 ± 0.0328,0.6862 ± 0.0264,0.8596 ± 0.0138,0.8730 ± 0.0062,0.8624 ± 0.0089,0.8591 ± 0.0088,0.9223 ± 0.0056
37,knn,spearman_sulov,RandomOverSampler,0.6745 ± 0.0354,0.6497 ± 0.0643,0.8546 ± 0.0172,0.6646 ± 0.0749,0.6536 ± 0.0587,0.8320 ± 0.0311,0.8627 ± 0.0156,0.8546 ± 0.0172,0.8485 ± 0.0178,0.9121 ± 0.0102,0.8591 ± 0.0095,0.6992 ± 0.0341,0.6699 ± 0.0355,0.8479 ± 0.0177,0.8666 ± 0.0089,0.8591 ± 0.0095,0.8543 ± 0.0103,0.9198 ± 0.0076
38,knn,chi2,RandomOverSampler,0.6844 ± 0.0214,0.6514 ± 0.0557,0.8538 ± 0.0171,0.6933 ± 0.1062,0.6532 ± 0.0548,0.8325 ± 0.0272,0.8664 ± 0.0154,0.8538 ± 0.0171,0.8481 ± 0.0172,0.9165 ± 0.0103,0.8604 ± 0.0077,0.7112 ± 0.0247,0.6778 ± 0.0207,0.8523 ± 0.0106,0.8695 ± 0.0053,0.8604 ± 0.0077,0.8560 ± 0.0077,0.9199 ± 0.0048
39,knn,chi2_mi_union_topk,RandomOverSampler,0.6843 ± 0.0257,0.7028 ± 0.0577,0.8744 ± 0.0160,0.7512 ± 0.0971,0.6976 ± 0.0559,0.8426 ± 0.0287,0.8831 ± 0.0133,0.8744 ± 0.0160,0.8710 ± 0.0153,0.9167 ± 0.0150,0.8737 ± 0.0078,0.6945 ± 0.0308,0.6860 ± 0.0264,0.8612 ± 0.0208,0.8800 ± 0.0065,0.8737 ± 0.0078,0.8715 ± 0.0076,0.9273 ± 0.0114
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6779 ± 0.0216,0.6625 ± 0.0522,0.8333 ± 0.0327,0.6554 ± 0.0418,0.7278 ± 0.0634,0.8484 ± 0.0581,0.8766 ± 0.0157,0.8333 ± 0.0327,0.8487 ± 0.0260,0.9194 ± 0.0167,0.8365 ± 0.0122,0.6630 ± 0.0140,0.7588 ± 0.0324,0.8722 ± 0.0203,0.8763 ± 0.0065,0.8365 ± 0.0122,0.8514 ± 0.0091,0.9195 ± 0.0041
41,gaussian_nb,mutual_info,RandomOverSampler,0.6882 ± 0.0114,0.6922 ± 0.0338,0.8458 ± 0.0272,0.6741 ± 0.0269,0.7899 ± 0.0437,0.9057 ± 0.0297,0.8843 ± 0.0140,0.8458 ± 0.0272,0.8590 ± 0.0231,0.9271 ± 0.0106,0.8425 ± 0.0100,0.6692 ± 0.0085,0.7675 ± 0.0191,0.8884 ± 0.0127,0.8757 ± 0.0068,0.8425 ± 0.0100,0.8551 ± 0.0088,0.9217 ± 0.0044
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6761 ± 0.0186,0.6642 ± 0.0503,0.8337 ± 0.0369,0.6563 ± 0.0375,0.7374 ± 0.0645,0.8532 ± 0.0543,0.8792 ± 0.0183,0.8337 ± 0.0369,0.8494 ± 0.0296,0.9208 ± 0.0157,0.8325 ± 0.0142,0.6624 ± 0.0113,0.7670 ± 0.0328,0.8745 ± 0.0220,0.8772 ± 0.0048,0.8325 ± 0.0142,0.8487 ± 0.0100,0.9204 ± 0.0032
43,gaussian_nb,chi2,RandomOverSampler,0.6864 ± 0.0163,0.6856 ± 0.0393,0.8473 ± 0.0291,0.6713 ± 0.0349,0.7639 ± 0.0479,0.8781 ± 0.0331,0.8829 ± 0.0158,0.8473 ± 0.0291,0.8595 ± 0.0246,0.9232 ± 0.0129,0.8439 ± 0.0083,0.6682 ± 0.0114,0.7617 ± 0.0319,0.8783 ± 0.0179,0.8766 ± 0.0055,0.8439 ± 0.0083,0.8562 ± 0.0071,0.9202 ± 0.0033
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6965 ± 0.0164,0.6654 ± 0.0392,0.8264 ± 0.0307,0.6551 ± 0.0275,0.7637 ± 0.0581,0.9252 ± 0.0105,0.8763 ± 0.0162,0.8264 ± 0.0307,0.8440 ± 0.0258,0.9276 ± 0.0113,0.8343 ± 0.0096,0.6745 ± 0.0114,0.8090 ± 0.0243,0.9297 ± 0.0053,0.8748 ± 0.0071,0.8343 ± 0.0096,0.8492 ± 0.0079,0.9261 ± 0.0040
