,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,extra_trees,spearman_corr,0.4728 ± 0.0313,0.4950 ± 0.0447,0.8414 ± 0.0112,0.6789 ± 0.1491,0.5090 ± 0.0295,0.8991 ± 0.0094,0.8196 ± 0.0468,0.8414 ± 0.0112,0.7903 ± 0.0142,0.9338 ± 0.0066,0.8318 ± 0.0059,0.6689 ± 0.1849,0.4947 ± 0.0177,0.8996 ± 0.0068,0.8022 ± 0.0516,0.8318 ± 0.0059,0.7766 ± 0.0091,0.9299 ± 0.0037
11,extra_trees,mutual_info,0.4931 ± 0.0166,0.4993 ± 0.0405,0.8366 ± 0.0083,0.6671 ± 0.1446,0.5111 ± 0.0260,0.8985 ± 0.0068,0.8015 ± 0.0399,0.8366 ± 0.0083,0.7860 ± 0.0100,0.9309 ± 0.0068,0.8302 ± 0.0056,0.7521 ± 0.0705,0.5040 ± 0.0102,0.8939 ± 0.0093,0.8059 ± 0.0135,0.8302 ± 0.0056,0.7792 ± 0.0064,0.9276 ± 0.0048
12,extra_trees,spearman_sulov,0.4661 ± 0.0226,0.4846 ± 0.0413,0.8352 ± 0.0108,0.6473 ± 0.1901,0.5023 ± 0.0276,0.9015 ± 0.0096,0.8026 ± 0.0561,0.8352 ± 0.0108,0.7824 ± 0.0117,0.9333 ± 0.0079,0.8307 ± 0.0056,0.6101 ± 0.1367,0.4906 ± 0.0127,0.8959 ± 0.0094,0.7832 ± 0.0415,0.8307 ± 0.0056,0.7750 ± 0.0068,0.9295 ± 0.0045
13,extra_trees,chi2,0.4884 ± 0.0218,0.5026 ± 0.0465,0.8366 ± 0.0099,0.6867 ± 0.1437,0.5118 ± 0.0288,0.8998 ± 0.0106,0.8059 ± 0.0453,0.8366 ± 0.0099,0.7866 ± 0.0123,0.9324 ± 0.0069,0.8292 ± 0.0059,0.7402 ± 0.1081,0.5018 ± 0.0132,0.8952 ± 0.0095,0.8046 ± 0.0377,0.8292 ± 0.0059,0.7768 ± 0.0076,0.9285 ± 0.0052
14,extra_trees,chi2_mi_union_topk,0.5135 ± 0.0340,0.5232 ± 0.0605,0.8392 ± 0.0106,0.6641 ± 0.1341,0.5240 ± 0.0412,0.9019 ± 0.0137,0.8001 ± 0.0271,0.8392 ± 0.0106,0.7961 ± 0.0157,0.9326 ± 0.0106,0.8281 ± 0.0061,0.6837 ± 0.0924,0.5152 ± 0.0217,0.8979 ± 0.0078,0.7910 ± 0.0174,0.8281 ± 0.0061,0.7836 ± 0.0099,0.9291 ± 0.0052
15,xgboost,spearman_corr,0.5490 ± 0.0464,0.5815 ± 0.0456,0.8359 ± 0.0073,0.6874 ± 0.0755,0.5672 ± 0.0368,0.8942 ± 0.0154,0.8065 ± 0.0160,0.8359 ± 0.0073,0.8045 ± 0.0082,0.9293 ± 0.0084,0.8234 ± 0.0096,0.6331 ± 0.0698,0.5395 ± 0.0350,0.8889 ± 0.0125,0.7817 ± 0.0164,0.8234 ± 0.0096,0.7897 ± 0.0120,0.9251 ± 0.0042
16,xgboost,mutual_info,0.5474 ± 0.0398,0.5594 ± 0.0512,0.8344 ± 0.0102,0.6933 ± 0.1004,0.5480 ± 0.0382,0.8914 ± 0.0176,0.8045 ± 0.0228,0.8344 ± 0.0102,0.7995 ± 0.0128,0.9291 ± 0.0085,0.8164 ± 0.0127,0.6256 ± 0.0650,0.5370 ± 0.0297,0.8889 ± 0.0133,0.7748 ± 0.0210,0.8164 ± 0.0127,0.7846 ± 0.0148,0.9242 ± 0.0052
17,xgboost,spearman_sulov,0.5461 ± 0.0391,0.5596 ± 0.0592,0.8333 ± 0.0098,0.6884 ± 0.1159,0.5481 ± 0.0458,0.8973 ± 0.0166,0.7997 ± 0.0215,0.8333 ± 0.0098,0.7985 ± 0.0124,0.9308 ± 0.0077,0.8211 ± 0.0113,0.6442 ± 0.0753,0.5356 ± 0.0295,0.8883 ± 0.0118,0.7815 ± 0.0212,0.8211 ± 0.0113,0.7876 ± 0.0124,0.9249 ± 0.0045
18,xgboost,chi2,0.5379 ± 0.0494,0.5645 ± 0.0534,0.8264 ± 0.0189,0.6815 ± 0.0856,0.5527 ± 0.0461,0.8918 ± 0.0113,0.7922 ± 0.0268,0.8264 ± 0.0189,0.7937 ± 0.0191,0.9265 ± 0.0068,0.8170 ± 0.0119,0.6129 ± 0.0901,0.5292 ± 0.0350,0.8868 ± 0.0122,0.7759 ± 0.0227,0.8170 ± 0.0119,0.7856 ± 0.0147,0.9236 ± 0.0051
19,xgboost,chi2_mi_union_topk,0.5533 ± 0.0373,0.6004 ± 0.0324,0.8293 ± 0.0111,0.7116 ± 0.0856,0.5790 ± 0.0291,0.8836 ± 0.0134,0.8029 ± 0.0175,0.8293 ± 0.0111,0.8048 ± 0.0110,0.9199 ± 0.0095,0.8113 ± 0.0106,0.6243 ± 0.0573,0.5389 ± 0.0273,0.8739 ± 0.0101,0.7765 ± 0.0157,0.8113 ± 0.0106,0.7859 ± 0.0117,0.9141 ± 0.0031
20,adaboost,spearman_corr,0.5446 ± 0.0435,0.5726 ± 0.0500,0.7832 ± 0.0162,0.6052 ± 0.0689,0.5633 ± 0.0486,0.8568 ± 0.0198,0.7611 ± 0.0176,0.7832 ± 0.0162,0.7694 ± 0.0155,0.9037 ± 0.0104,0.7645 ± 0.0131,0.5727 ± 0.0519,0.5357 ± 0.0422,0.8530 ± 0.0179,0.7462 ± 0.0160,0.7645 ± 0.0131,0.7533 ± 0.0143,0.8969 ± 0.0085
21,adaboost,mutual_info,0.5495 ± 0.0281,0.5610 ± 0.0490,0.7806 ± 0.0163,0.6017 ± 0.0655,0.5528 ± 0.0471,0.8608 ± 0.0177,0.7597 ± 0.0151,0.7806 ± 0.0163,0.7672 ± 0.0147,0.9055 ± 0.0106,0.7676 ± 0.0094,0.5778 ± 0.0277,0.5391 ± 0.0302,0.8513 ± 0.0142,0.7495 ± 0.0095,0.7676 ± 0.0094,0.7564 ± 0.0094,0.8968 ± 0.0063
22,adaboost,spearman_sulov,0.5558 ± 0.0288,0.5701 ± 0.0546,0.7832 ± 0.0203,0.5975 ± 0.0662,0.5626 ± 0.0523,0.8607 ± 0.0236,0.7621 ± 0.0256,0.7832 ± 0.0203,0.7694 ± 0.0204,0.9049 ± 0.0139,0.7684 ± 0.0077,0.5960 ± 0.0386,0.5401 ± 0.0252,0.8539 ± 0.0143,0.7509 ± 0.0104,0.7684 ± 0.0077,0.7570 ± 0.0086,0.8971 ± 0.0065
23,adaboost,chi2,0.5486 ± 0.0249,0.5761 ± 0.0384,0.7791 ± 0.0155,0.6205 ± 0.0600,0.5644 ± 0.0410,0.8562 ± 0.0158,0.7613 ± 0.0152,0.7791 ± 0.0155,0.7672 ± 0.0128,0.9030 ± 0.0078,0.7715 ± 0.0095,0.5788 ± 0.0287,0.5385 ± 0.0242,0.8512 ± 0.0166,0.7489 ± 0.0133,0.7715 ± 0.0095,0.7577 ± 0.0105,0.8980 ± 0.0069
24,adaboost,chi2_mi_union_topk,0.5428 ± 0.0357,0.5694 ± 0.0467,0.7758 ± 0.0192,0.6132 ± 0.0576,0.5632 ± 0.0547,0.8606 ± 0.0136,0.7628 ± 0.0158,0.7758 ± 0.0192,0.7659 ± 0.0177,0.9037 ± 0.0068,0.7678 ± 0.0167,0.5672 ± 0.0493,0.5342 ± 0.0332,0.8493 ± 0.0153,0.7490 ± 0.0144,0.7678 ± 0.0167,0.7561 ± 0.0139,0.8969 ± 0.0068
25,svm,spearman_corr,0.4465 ± 0.0040,0.4491 ± 0.0078,0.8315 ± 0.0105,0.4540 ± 0.0838,0.4819 ± 0.0065,0.8945 ± 0.0080,0.7380 ± 0.0370,0.8315 ± 0.0105,0.7734 ± 0.0092,0.9275 ± 0.0067,0.8253 ± 0.0042,0.4896 ± 0.1009,0.4792 ± 0.0027,0.8891 ± 0.0035,0.7490 ± 0.0432,0.8253 ± 0.0042,0.7674 ± 0.0039,0.9224 ± 0.0031
26,svm,mutual_info,0.4449 ± 0.0042,0.4470 ± 0.0048,0.8337 ± 0.0085,0.4172 ± 0.0046,0.4818 ± 0.0051,0.8904 ± 0.0099,0.7228 ± 0.0079,0.8337 ± 0.0085,0.7740 ± 0.0081,0.9263 ± 0.0083,0.8250 ± 0.0036,0.4718 ± 0.1047,0.4784 ± 0.0028,0.8846 ± 0.0058,0.7409 ± 0.0460,0.8250 ± 0.0036,0.7666 ± 0.0038,0.9203 ± 0.0044
27,svm,spearman_sulov,0.4463 ± 0.0044,0.4490 ± 0.0071,0.8315 ± 0.0091,0.4538 ± 0.0836,0.4818 ± 0.0055,0.8922 ± 0.0093,0.7377 ± 0.0366,0.8315 ± 0.0091,0.7733 ± 0.0083,0.9265 ± 0.0078,0.8250 ± 0.0033,0.4719 ± 0.0633,0.4790 ± 0.0028,0.8885 ± 0.0047,0.7411 ± 0.0282,0.8250 ± 0.0033,0.7671 ± 0.0036,0.9219 ± 0.0037
