,Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
34,logistic_regression,chi2_mi_union_topk,0.5548 ± 0.0247,0.5731 ± 0.0374,0.7473 ± 0.0312,0.5663 ± 0.0306,0.6068 ± 0.0439,0.8666 ± 0.0167,0.7877 ± 0.0165,0.7473 ± 0.0312,0.7599 ± 0.0255,0.9094 ± 0.0132,0.7340 ± 0.0134,0.5481 ± 0.0213,0.5826 ± 0.0308,0.8674 ± 0.0094,0.7755 ± 0.0120,0.7340 ± 0.0134,0.7493 ± 0.0121,0.9086 ± 0.0064
35,knn,spearman_corr,0.4604 ± 0.0215,0.4789 ± 0.0286,0.7868 ± 0.0131,0.5138 ± 0.0637,0.4837 ± 0.0192,0.7960 ± 0.0213,0.7356 ± 0.0181,0.7868 ± 0.0131,0.7513 ± 0.0156,0.8872 ± 0.0152,0.7785 ± 0.0066,0.5269 ± 0.1117,0.4698 ± 0.0135,0.7841 ± 0.0125,0.7262 ± 0.0175,0.7785 ± 0.0066,0.7413 ± 0.0077,0.8797 ± 0.0068
36,knn,mutual_info,0.5130 ± 0.0319,0.5059 ± 0.0515,0.7853 ± 0.0175,0.5884 ± 0.1355,0.5000 ± 0.0350,0.8115 ± 0.0177,0.7506 ± 0.0297,0.7853 ± 0.0175,0.7569 ± 0.0196,0.8871 ± 0.0134,0.7833 ± 0.0077,0.6157 ± 0.0678,0.5040 ± 0.0222,0.8034 ± 0.0103,0.7492 ± 0.0136,0.7833 ± 0.0077,0.7550 ± 0.0100,0.8869 ± 0.0072
37,knn,spearman_sulov,0.4719 ± 0.0248,0.4632 ± 0.0254,0.7795 ± 0.0124,0.4914 ± 0.0775,0.4717 ± 0.0170,0.7884 ± 0.0211,0.7296 ± 0.0175,0.7795 ± 0.0124,0.7450 ± 0.0154,0.8807 ± 0.0107,0.7767 ± 0.0090,0.5423 ± 0.0937,0.4762 ± 0.0163,0.7894 ± 0.0106,0.7309 ± 0.0174,0.7767 ± 0.0090,0.7425 ± 0.0108,0.8811 ± 0.0064
38,knn,chi2,0.5049 ± 0.0333,0.4938 ± 0.0396,0.7850 ± 0.0118,0.5198 ± 0.0624,0.4949 ± 0.0288,0.8106 ± 0.0175,0.7450 ± 0.0161,0.7850 ± 0.0118,0.7566 ± 0.0136,0.8855 ± 0.0119,0.7805 ± 0.0082,0.6202 ± 0.1004,0.4976 ± 0.0220,0.8061 ± 0.0130,0.7473 ± 0.0184,0.7805 ± 0.0082,0.7519 ± 0.0109,0.8867 ± 0.0079
39,knn,chi2_mi_union_topk,0.5111 ± 0.0387,0.5018 ± 0.0390,0.8055 ± 0.0156,0.5521 ± 0.0911,0.5027 ± 0.0266,0.8043 ± 0.0197,0.7626 ± 0.0244,0.8055 ± 0.0156,0.7730 ± 0.0181,0.8887 ± 0.0110,0.7976 ± 0.0090,0.5930 ± 0.0938,0.5064 ± 0.0261,0.8000 ± 0.0137,0.7577 ± 0.0183,0.7976 ± 0.0090,0.7672 ± 0.0127,0.8896 ± 0.0093
40,gaussian_nb,spearman_corr,0.4482 ± 0.0148,0.4500 ± 0.0410,0.5927 ± 0.0358,0.5106 ± 0.0400,0.6099 ± 0.0479,0.8478 ± 0.0311,0.7564 ± 0.0480,0.5927 ± 0.0358,0.5918 ± 0.0433,0.8978 ± 0.0114,0.5814 ± 0.0106,0.5113 ± 0.0143,0.5987 ± 0.0239,0.8343 ± 0.0153,0.7572 ± 0.0215,0.5814 ± 0.0106,0.5867 ± 0.0156,0.8892 ± 0.0072
41,gaussian_nb,mutual_info,0.5192 ± 0.0284,0.5230 ± 0.0339,0.6641 ± 0.0325,0.5400 ± 0.0232,0.6241 ± 0.0438,0.8614 ± 0.0217,0.7741 ± 0.0224,0.6641 ± 0.0325,0.6811 ± 0.0332,0.8994 ± 0.0104,0.6561 ± 0.0338,0.5321 ± 0.0181,0.6086 ± 0.0306,0.8420 ± 0.0156,0.7641 ± 0.0163,0.6561 ± 0.0338,0.6787 ± 0.0357,0.8893 ± 0.0065
42,gaussian_nb,spearman_sulov,0.4449 ± 0.0145,0.4456 ± 0.0400,0.5872 ± 0.0331,0.5158 ± 0.0370,0.6115 ± 0.0454,0.8479 ± 0.0298,0.7649 ± 0.0456,0.5872 ± 0.0331,0.5836 ± 0.0417,0.8983 ± 0.0110,0.5783 ± 0.0120,0.5111 ± 0.0140,0.5997 ± 0.0234,0.8364 ± 0.0148,0.7576 ± 0.0243,0.5783 ± 0.0120,0.5821 ± 0.0183,0.8900 ± 0.0073
43,gaussian_nb,chi2,0.5020 ± 0.0302,0.5084 ± 0.0311,0.6462 ± 0.0264,0.5339 ± 0.0264,0.6239 ± 0.0465,0.8491 ± 0.0305,0.7714 ± 0.0261,0.6462 ± 0.0264,0.6622 ± 0.0285,0.8952 ± 0.0127,0.6316 ± 0.0324,0.5258 ± 0.0192,0.6074 ± 0.0340,0.8381 ± 0.0139,0.7586 ± 0.0176,0.6316 ± 0.0324,0.6522 ± 0.0350,0.8873 ± 0.0068
44,gaussian_nb,chi2_mi_union_topk,0.5536 ± 0.0167,0.5584 ± 0.0237,0.7128 ± 0.0180,0.5579 ± 0.0209,0.6460 ± 0.0464,0.8777 ± 0.0123,0.7946 ± 0.0202,0.7128 ± 0.0180,0.7338 ± 0.0157,0.9108 ± 0.0115,0.6947 ± 0.0121,0.5524 ± 0.0132,0.6342 ± 0.0202,0.8704 ± 0.0055,0.7833 ± 0.0095,0.6947 ± 0.0121,0.7200 ± 0.0118,0.9027 ± 0.0055
