Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
extra_trees,chi2_mi_union_topk,0.6736 ± 0.0483,0.6707 ± 0.0532,0.8989 ± 0.0131,0.8169 ± 0.1616,0.6526 ± 0.0353,0.9472 ± 0.0063,0.8949 ± 0.0206,0.8989 ± 0.0131,0.8912 ± 0.0138,0.9564 ± 0.0065,0.8936 ± 0.0065,0.7791 ± 0.1028,0.6556 ± 0.0343,0.9572 ± 0.0067,0.8857 ± 0.0107,0.8936 ± 0.0065,0.8857 ± 0.0070,0.9581 ± 0.0048
xgboost,spearman_corr,0.6966 ± 0.0371,0.7065 ± 0.0443,0.8985 ± 0.0135,0.8015 ± 0.0844,0.6841 ± 0.0391,0.9272 ± 0.0260,0.8957 ± 0.0146,0.8985 ± 0.0135,0.8935 ± 0.0145,0.9564 ± 0.0046,0.8923 ± 0.0076,0.7599 ± 0.0476,0.6760 ± 0.0302,0.9359 ± 0.0100,0.8854 ± 0.0092,0.8923 ± 0.0076,0.8868 ± 0.0080,0.9560 ± 0.0035
xgboost,mutual_info,0.7075 ± 0.0321,0.6985 ± 0.0577,0.8960 ± 0.0182,0.7796 ± 0.1043,0.6778 ± 0.0447,0.9244 ± 0.0240,0.8914 ± 0.0210,0.8960 ± 0.0182,0.8906 ± 0.0186,0.9545 ± 0.0065,0.8914 ± 0.0051,0.7865 ± 0.0608,0.6822 ± 0.0249,0.9355 ± 0.0095,0.8859 ± 0.0073,0.8914 ± 0.0051,0.8862 ± 0.0056,0.9544 ± 0.0028
xgboost,spearman_sulov,0.6916 ± 0.0354,0.7140 ± 0.0693,0.9004 ± 0.0136,0.8019 ± 0.0978,0.6900 ± 0.0571,0.9264 ± 0.0236,0.8964 ± 0.0172,0.9004 ± 0.0136,0.8950 ± 0.0158,0.9556 ± 0.0034,0.8909 ± 0.0043,0.7746 ± 0.0473,0.6697 ± 0.0278,0.9391 ± 0.0092,0.8841 ± 0.0071,0.8909 ± 0.0043,0.8847 ± 0.0056,0.9556 ± 0.0033
xgboost,chi2,0.7017 ± 0.0391,0.7157 ± 0.0762,0.8971 ± 0.0150,0.7740 ± 0.1119,0.6966 ± 0.0635,0.9262 ± 0.0202,0.8918 ± 0.0199,0.8971 ± 0.0150,0.8920 ± 0.0162,0.9538 ± 0.0057,0.8907 ± 0.0071,0.7641 ± 0.0623,0.6801 ± 0.0308,0.9366 ± 0.0096,0.8846 ± 0.0094,0.8907 ± 0.0071,0.8857 ± 0.0079,0.9538 ± 0.0046
xgboost,chi2_mi_union_topk,0.7125 ± 0.0464,0.7205 ± 0.0673,0.8912 ± 0.0170,0.7754 ± 0.0945,0.7014 ± 0.0612,0.9209 ± 0.0272,0.8872 ± 0.0201,0.8912 ± 0.0170,0.8871 ± 0.0179,0.9440 ± 0.0125,0.8833 ± 0.0070,0.7645 ± 0.0593,0.6904 ± 0.0409,0.9340 ± 0.0101,0.8785 ± 0.0087,0.8833 ± 0.0070,0.8795 ± 0.0078,0.9469 ± 0.0049
adaboost,spearman_corr,0.7234 ± 0.0231,0.6990 ± 0.0501,0.8766 ± 0.0206,0.7284 ± 0.0985,0.7003 ± 0.0414,0.9115 ± 0.0120,0.8812 ± 0.0147,0.8766 ± 0.0206,0.8771 ± 0.0174,0.9239 ± 0.0188,0.8781 ± 0.0086,0.7444 ± 0.0325,0.7106 ± 0.0228,0.9206 ± 0.0099,0.8761 ± 0.0092,0.8781 ± 0.0086,0.8767 ± 0.0090,0.9272 ± 0.0064
adaboost,mutual_info,0.7245 ± 0.0313,0.6947 ± 0.0474,0.8824 ± 0.0127,0.7315 ± 0.0996,0.6906 ± 0.0448,0.9175 ± 0.0117,0.8835 ± 0.0104,0.8824 ± 0.0127,0.8813 ± 0.0107,0.9298 ± 0.0112,0.8785 ± 0.0054,0.7481 ± 0.0401,0.7128 ± 0.0338,0.9200 ± 0.0128,0.8764 ± 0.0063,0.8785 ± 0.0054,0.8768 ± 0.0062,0.9249 ± 0.0076
adaboost,spearman_sulov,0.7307 ± 0.0216,0.6843 ± 0.0381,0.8725 ± 0.0215,0.6909 ± 0.0553,0.6883 ± 0.0407,0.9062 ± 0.0117,0.8754 ± 0.0173,0.8725 ± 0.0215,0.8727 ± 0.0191,0.9109 ± 0.0161,0.8816 ± 0.0052,0.7502 ± 0.0259,0.7184 ± 0.0235,0.9228 ± 0.0080,0.8794 ± 0.0055,0.8816 ± 0.0052,0.8801 ± 0.0054,0.9278 ± 0.0074
adaboost,chi2,0.7288 ± 0.0280,0.7026 ± 0.0519,0.8799 ± 0.0218,0.7452 ± 0.1125,0.6976 ± 0.0440,0.9154 ± 0.0110,0.8822 ± 0.0201,0.8799 ± 0.0218,0.8790 ± 0.0199,0.9250 ± 0.0162,0.8805 ± 0.0073,0.7521 ± 0.0372,0.7177 ± 0.0333,0.9188 ± 0.0139,0.8788 ± 0.0069,0.8805 ± 0.0073,0.8790 ± 0.0074,0.9232 ± 0.0082
adaboost,chi2_mi_union_topk,0.7306 ± 0.0319,0.6989 ± 0.0517,0.8758 ± 0.0184,0.7130 ± 0.0701,0.6994 ± 0.0435,0.9160 ± 0.0091,0.8790 ± 0.0130,0.8758 ± 0.0184,0.8764 ± 0.0155,0.9268 ± 0.0138,0.8796 ± 0.0082,0.7476 ± 0.0441,0.7258 ± 0.0448,0.9184 ± 0.0120,0.8790 ± 0.0092,0.8796 ± 0.0082,0.8787 ± 0.0095,0.9226 ± 0.0090
svm,spearman_corr,0.6068 ± 0.0043,0.6068 ± 0.0073,0.8982 ± 0.0108,0.5990 ± 0.0070,0.6167 ± 0.0071,0.9425 ± 0.0099,0.8770 ± 0.0099,0.8982 ± 0.0108,0.8862 ± 0.0107,0.9572 ± 0.0067,0.8969 ± 0.0063,0.5977 ± 0.0043,0.6169 ± 0.0043,0.9496 ± 0.0061,0.8720 ± 0.0061,0.8969 ± 0.0063,0.8838 ± 0.0063,0.9593 ± 0.0032
svm,mutual_info,0.6090 ± 0.0033,0.6085 ± 0.0075,0.9007 ± 0.0110,0.6006 ± 0.0072,0.6183 ± 0.0073,0.9491 ± 0.0074,0.8792 ± 0.0102,0.9007 ± 0.0110,0.8887 ± 0.0109,0.9578 ± 0.0067,0.9000 ± 0.0048,0.5999 ± 0.0032,0.6188 ± 0.0034,0.9516 ± 0.0059,0.8748 ± 0.0047,0.9000 ± 0.0048,0.8869 ± 0.0047,0.9590 ± 0.0033
svm,spearman_sulov,0.6082 ± 0.0039,0.6080 ± 0.0072,0.9000 ± 0.0107,0.6001 ± 0.0069,0.6179 ± 0.0070,0.9438 ± 0.0080,0.8786 ± 0.0097,0.9000 ± 0.0107,0.8880 ± 0.0106,0.9576 ± 0.0060,0.8989 ± 0.0058,0.5991 ± 0.0039,0.6181 ± 0.0040,0.9495 ± 0.0059,0.8738 ± 0.0056,0.8989 ± 0.0058,0.8858 ± 0.0057,0.9589 ± 0.0036
svm,chi2,0.6074 ± 0.0039,0.6088 ± 0.0084,0.9011 ± 0.0123,0.6008 ± 0.0081,0.6186 ± 0.0084,0.9483 ± 0.0074,0.8795 ± 0.0118,0.9011 ± 0.0123,0.8891 ± 0.0122,0.9581 ± 0.0063,0.8976 ± 0.0057,0.5983 ± 0.0038,0.6171 ± 0.0038,0.9499 ± 0.0065,0.8725 ± 0.0054,0.8976 ± 0.0057,0.8846 ± 0.0056,0.9581 ± 0.0034
svm,chi2_mi_union_topk,0.6100 ± 0.0025,0.6093 ± 0.0062,0.9018 ± 0.0091,0.6013 ± 0.0060,0.6191 ± 0.0061,0.9457 ± 0.0081,0.8804 ± 0.0086,0.9018 ± 0.0091,0.8898 ± 0.0090,0.9577 ± 0.0064,0.9014 ± 0.0036,0.6008 ± 0.0025,0.6200 ± 0.0023,0.9500 ± 0.0091,0.8764 ± 0.0034,0.9014 ± 0.0036,0.8883 ± 0.0036,0.9578 ± 0.0035
logistic_regression,spearman_corr,0.7274 ± 0.0387,0.6715 ± 0.0316,0.8733 ± 0.0126,0.6646 ± 0.0258,0.6961 ± 0.0461,0.9265 ± 0.0096,0.8885 ± 0.0070,0.8733 ± 0.0126,0.8770 ± 0.0099,0.9441 ± 0.0089,0.8847 ± 0.0104,0.7141 ± 0.0362,0.7494 ± 0.0421,0.9312 ± 0.0106,0.8928 ± 0.0096,0.8847 ± 0.0104,0.8869 ± 0.0099,0.9483 ± 0.0041
logistic_regression,mutual_info,0.7290 ± 0.0331,0.6904 ± 0.0331,0.8755 ± 0.0185,0.6843 ± 0.0389,0.7197 ± 0.0594,0.9360 ± 0.0091,0.8886 ± 0.0124,0.8755 ± 0.0185,0.8784 ± 0.0159,0.9483 ± 0.0084,0.8840 ± 0.0077,0.7171 ± 0.0339,0.7486 ± 0.0333,0.9359 ± 0.0082,0.8912 ± 0.0052,0.8840 ± 0.0077,0.8860 ± 0.0065,0.9491 ± 0.0049
logistic_regression,spearman_sulov,0.7214 ± 0.0362,0.6697 ± 0.0304,0.8692 ± 0.0140,0.6613 ± 0.0243,0.6976 ± 0.0504,0.9273 ± 0.0094,0.8848 ± 0.0076,0.8692 ± 0.0140,0.8736 ± 0.0113,0.9452 ± 0.0075,0.8818 ± 0.0093,0.7073 ± 0.0344,0.7475 ± 0.0366,0.9322 ± 0.0104,0.8924 ± 0.0078,0.8818 ± 0.0093,0.8850 ± 0.0083,0.9486 ± 0.0052
logistic_regression,chi2,0.7222 ± 0.0287,0.6829 ± 0.0352,0.8747 ± 0.0201,0.6785 ± 0.0347,0.7102 ± 0.0576,0.9356 ± 0.0096,0.8879 ± 0.0110,0.8747 ± 0.0201,0.8776 ± 0.0165,0.9477 ± 0.0082,0.8802 ± 0.0058,0.7088 ± 0.0263,0.7443 ± 0.0331,0.9326 ± 0.0114,0.8878 ± 0.0054,0.8802 ± 0.0058,0.8825 ± 0.0054,0.9475 ± 0.0046
logistic_regression,chi2_mi_union_topk,0.7357 ± 0.0350,0.6992 ± 0.0316,0.8758 ± 0.0121,0.6850 ± 0.0251,0.7427 ± 0.0586,0.9418 ± 0.0101,0.8938 ± 0.0077,0.8758 ± 0.0121,0.8807 ± 0.0095,0.9520 ± 0.0092,0.8866 ± 0.0087,0.7168 ± 0.0303,0.7717 ± 0.0415,0.9455 ± 0.0109,0.8989 ± 0.0066,0.8866 ± 0.0087,0.8905 ± 0.0073,0.9533 ± 0.0040
knn,spearman_corr,0.5928 ± 0.0226,0.5779 ± 0.0248,0.8451 ± 0.0152,0.5894 ± 0.0535,0.5887 ± 0.0168,0.8343 ± 0.0238,0.8443 ± 0.0116,0.8451 ± 0.0152,0.8330 ± 0.0155,0.9111 ± 0.0123,0.8517 ± 0.0132,0.7237 ± 0.1688,0.5986 ± 0.0143,0.8411 ± 0.0167,0.8541 ± 0.0200,0.8517 ± 0.0132,0.8390 ± 0.0138,0.9142 ± 0.0077
knn,mutual_info,0.6470 ± 0.0322,0.6334 ± 0.0485,0.8711 ± 0.0099,0.7125 ± 0.1494,0.6273 ± 0.0287,0.8565 ± 0.0283,0.8687 ± 0.0099,0.8711 ± 0.0099,0.8618 ± 0.0086,0.9298 ± 0.0062,0.8816 ± 0.0082,0.8370 ± 0.0784,0.6365 ± 0.0206,0.8698 ± 0.0158,0.8840 ± 0.0089,0.8816 ± 0.0082,0.8716 ± 0.0089,0.9329 ± 0.0048
knn,spearman_sulov,0.6079 ± 0.0316,0.5886 ± 0.0285,0.8487 ± 0.0120,0.6235 ± 0.1084,0.5953 ± 0.0158,0.8354 ± 0.0266,0.8476 ± 0.0085,0.8487 ± 0.0120,0.8372 ± 0.0114,0.9160 ± 0.0134,0.8601 ± 0.0062,0.7279 ± 0.1669,0.6091 ± 0.0178,0.8489 ± 0.0160,0.8598 ± 0.0165,0.8601 ± 0.0062,0.8481 ± 0.0069,0.9203 ± 0.0046
knn,chi2,0.6347 ± 0.0317,0.6270 ± 0.0479,0.8747 ± 0.0097,0.6766 ± 0.1227,0.6254 ± 0.0311,0.8618 ± 0.0334,0.8701 ± 0.0113,0.8747 ± 0.0097,0.8650 ± 0.0097,0.9310 ± 0.0075,0.8772 ± 0.0064,0.7817 ± 0.1252,0.6285 ± 0.0191,0.8680 ± 0.0189,0.8760 ± 0.0140,0.8772 ± 0.0064,0.8666 ± 0.0077,0.9314 ± 0.0044
knn,chi2_mi_union_topk,0.6692 ± 0.0430,0.6632 ± 0.0537,0.8850 ± 0.0099,0.7597 ± 0.1384,0.6495 ± 0.0366,0.8548 ± 0.0293,0.8828 ± 0.0160,0.8850 ± 0.0099,0.8774 ± 0.0113,0.9297 ± 0.0128,0.8937 ± 0.0065,0.7920 ± 0.1165,0.6547 ± 0.0279,0.8738 ± 0.0243,0.8904 ± 0.0120,0.8937 ± 0.0065,0.8850 ± 0.0071,0.9362 ± 0.0054
gaussian_nb,spearman_corr,0.5938 ± 0.0447,0.5844 ± 0.0341,0.7256 ± 0.0452,0.6384 ± 0.0144,0.7555 ± 0.0402,0.9035 ± 0.0296,0.8914 ± 0.0188,0.7256 ± 0.0452,0.7667 ± 0.0422,0.9302 ± 0.0123,0.7281 ± 0.0559,0.6393 ± 0.0141,0.7538 ± 0.0426,0.8865 ± 0.0242,0.8837 ± 0.0106,0.7281 ± 0.0559,0.7707 ± 0.0487,0.9246 ± 0.0095
gaussian_nb,mutual_info,0.6960 ± 0.0164,0.6647 ± 0.0241,0.8227 ± 0.0267,0.6578 ± 0.0164,0.7848 ± 0.0365,0.9098 ± 0.0298,0.8840 ± 0.0133,0.8227 ± 0.0267,0.8422 ± 0.0228,0.9283 ± 0.0127,0.8354 ± 0.0096,0.6761 ± 0.0115,0.8178 ± 0.0245,0.9092 ± 0.0125,0.8820 ± 0.0075,0.8354 ± 0.0096,0.8512 ± 0.0081,0.9241 ± 0.0060
gaussian_nb,spearman_sulov,0.5893 ± 0.0442,0.5806 ± 0.0350,0.7201 ± 0.0461,0.6365 ± 0.0135,0.7519 ± 0.0426,0.9032 ± 0.0292,0.8890 ± 0.0170,0.7201 ± 0.0461,0.7619 ± 0.0414,0.9287 ± 0.0131,0.7230 ± 0.0557,0.6368 ± 0.0130,0.7506 ± 0.0407,0.8868 ± 0.0239,0.8810 ± 0.0086,0.7230 ± 0.0557,0.7653 ± 0.0498,0.9251 ± 0.0078
gaussian_nb,chi2,0.7016 ± 0.0102,0.6824 ± 0.0225,0.8337 ± 0.0218,0.6687 ± 0.0168,0.8099 ± 0.0404,0.9142 ± 0.0288,0.8877 ± 0.0146,0.8337 ± 0.0218,0.8505 ± 0.0194,0.9284 ± 0.0110,0.8426 ± 0.0076,0.6792 ± 0.0076,0.8066 ± 0.0209,0.9021 ± 0.0232,0.8805 ± 0.0065,0.8426 ± 0.0076,0.8556 ± 0.0066,0.9232 ± 0.0064
gaussian_nb,chi2_mi_union_topk,0.6910 ± 0.0175,0.6626 ± 0.0363,0.8275 ± 0.0254,0.6574 ± 0.0254,0.7698 ± 0.0661,0.9293 ± 0.0121,0.8883 ± 0.0140,0.8275 ± 0.0254,0.8484 ± 0.0202,0.9344 ± 0.0095,0.8347 ± 0.0116,0.6742 ± 0.0116,0.8121 ± 0.0238,0.9327 ± 0.0064,0.8852 ± 0.0053,0.8347 ± 0.0116,0.8526 ± 0.0087,0.9309 ± 0.0053
