Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
logistic_regression,spearman_corr,0.7418 ± 0.0223,0.5412 ± 0.0403,0.5396 ± 0.0285,0.5386 ± 0.0338,0.8134 ± 0.0249,0.7410 ± 0.0123,0.5355 ± 0.0185,0.5278 ± 0.0170,0.5308 ± 0.0164,0.8045 ± 0.0142
logistic_regression,mutual_info,0.7434 ± 0.0237,0.5457 ± 0.0445,0.5443 ± 0.0320,0.5424 ± 0.0373,0.8107 ± 0.0219,0.7292 ± 0.0095,0.5349 ± 0.0185,0.5276 ± 0.0155,0.5302 ± 0.0150,0.8032 ± 0.0167
logistic_regression,chi2,0.7440 ± 0.0158,0.5387 ± 0.0443,0.5400 ± 0.0394,0.5369 ± 0.0410,0.7996 ± 0.0240,0.7393 ± 0.0128,0.5375 ± 0.0171,0.5293 ± 0.0195,0.5325 ± 0.0180,0.7986 ± 0.0183
sgd,spearman_corr,0.7379 ± 0.0319,0.5588 ± 0.0440,0.5443 ± 0.0296,0.5477 ± 0.0298,0.8055 ± 0.0151,0.7323 ± 0.0107,0.5420 ± 0.0299,0.5229 ± 0.0219,0.5304 ± 0.0246,0.7948 ± 0.0146
sgd,mutual_info,0.7412 ± 0.0339,0.5598 ± 0.0475,0.5539 ± 0.0336,0.5533 ± 0.0326,0.8046 ± 0.0239,0.7311 ± 0.0156,0.5524 ± 0.0358,0.5269 ± 0.0260,0.5363 ± 0.0291,0.7944 ± 0.0152
sgd,chi2,0.7335 ± 0.0329,0.5544 ± 0.0647,0.5308 ± 0.0321,0.5366 ± 0.0390,0.8029 ± 0.0274,0.7376 ± 0.0095,0.5432 ± 0.0306,0.5269 ± 0.0263,0.5332 ± 0.0278,0.7947 ± 0.0122
svc,spearman_corr,0.8192 ± 0.0125,0.4494 ± 0.0809,0.4766 ± 0.0073,0.4448 ± 0.0096,nan ± nan,0.8226 ± 0.0043,0.4501 ± 0.0626,0.4770 ± 0.0024,0.4440 ± 0.0037,nan ± nan
svc,mutual_info,0.8264 ± 0.0166,0.5022 ± 0.1225,0.4827 ± 0.0129,0.4527 ± 0.0177,nan ± nan,0.8259 ± 0.0047,0.5470 ± 0.1197,0.4805 ± 0.0039,0.4495 ± 0.0068,nan ± nan
svc,chi2,0.8247 ± 0.0193,0.5262 ± 0.1288,0.4826 ± 0.0145,0.4540 ± 0.0193,nan ± nan,0.8254 ± 0.0039,0.5684 ± 0.1002,0.4817 ± 0.0032,0.4526 ± 0.0070,nan ± nan
knn,spearman_corr,0.7484 ± 0.0186,0.4348 ± 0.0392,0.4464 ± 0.0249,0.4326 ± 0.0306,0.7767 ± 0.0303,0.7516 ± 0.0074,0.5575 ± 0.1012,0.4557 ± 0.0077,0.4492 ± 0.0114,0.7837 ± 0.0119
knn,mutual_info,0.7764 ± 0.0297,0.5804 ± 0.1578,0.4959 ± 0.0512,0.5016 ± 0.0727,0.7977 ± 0.0334,0.7671 ± 0.0083,0.6367 ± 0.0779,0.4931 ± 0.0183,0.5051 ± 0.0294,0.7939 ± 0.0098
knn,chi2,0.7709 ± 0.0236,0.5414 ± 0.1096,0.4806 ± 0.0268,0.4806 ± 0.0403,0.7932 ± 0.0328,0.7664 ± 0.0097,0.6286 ± 0.0791,0.4876 ± 0.0188,0.4962 ± 0.0284,0.7856 ± 0.0099
gaussian_nb,spearman_corr,0.5736 ± 0.0239,0.5055 ± 0.0218,0.6195 ± 0.0290,0.4370 ± 0.0269,0.8510 ± 0.0255,0.5719 ± 0.0228,0.5043 ± 0.0116,0.5961 ± 0.0196,0.4301 ± 0.0233,0.8371 ± 0.0061
gaussian_nb,mutual_info,0.6681 ± 0.0469,0.5466 ± 0.0292,0.6505 ± 0.0276,0.5406 ± 0.0450,0.8616 ± 0.0159,0.6611 ± 0.0222,0.5328 ± 0.0100,0.6171 ± 0.0153,0.5198 ± 0.0172,0.8447 ± 0.0070
gaussian_nb,chi2,0.6423 ± 0.0282,0.5299 ± 0.0188,0.6311 ± 0.0372,0.5147 ± 0.0257,0.8480 ± 0.0237,0.6462 ± 0.0230,0.5302 ± 0.0078,0.6188 ± 0.0154,0.5108 ± 0.0173,0.8354 ± 0.0063
