Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
logistic_regression,spearman_sulov,0.5554 ± 0.0152,0.5579 ± 0.0306,0.7421 ± 0.0237,0.5496 ± 0.0244,0.5859 ± 0.0397,0.8594 ± 0.0135,0.7705 ± 0.0121,0.7421 ± 0.0237,0.7515 ± 0.0185,0.9043 ± 0.0121,0.7374 ± 0.0118,0.5494 ± 0.0146,0.5729 ± 0.0158,0.8597 ± 0.0099,0.7680 ± 0.0101,0.7374 ± 0.0118,0.7495 ± 0.0108,0.9021 ± 0.0079
logistic_regression,mutual_info,0.5564 ± 0.0205,0.5630 ± 0.0396,0.7388 ± 0.0278,0.5585 ± 0.0340,0.5836 ± 0.0490,0.8563 ± 0.0149,0.7695 ± 0.0187,0.7388 ± 0.0278,0.7496 ± 0.0228,0.9019 ± 0.0129,0.7368 ± 0.0101,0.5510 ± 0.0195,0.5702 ± 0.0235,0.8560 ± 0.0105,0.7639 ± 0.0106,0.7368 ± 0.0101,0.7480 ± 0.0097,0.8988 ± 0.0076
logistic_regression,chi2,0.5597 ± 0.0195,0.5619 ± 0.0326,0.7432 ± 0.0216,0.5572 ± 0.0276,0.5834 ± 0.0421,0.8529 ± 0.0164,0.7724 ± 0.0155,0.7432 ± 0.0216,0.7533 ± 0.0179,0.9004 ± 0.0103,0.7379 ± 0.0078,0.5540 ± 0.0183,0.5746 ± 0.0217,0.8550 ± 0.0110,0.7660 ± 0.0091,0.7379 ± 0.0078,0.7494 ± 0.0079,0.8988 ± 0.0069
logistic_regression,chi2_mi_union_topk,0.5601 ± 0.0203,0.5666 ± 0.0285,0.7425 ± 0.0247,0.5614 ± 0.0212,0.6003 ± 0.0341,0.8648 ± 0.0184,0.7840 ± 0.0103,0.7425 ± 0.0247,0.7554 ± 0.0180,0.9087 ± 0.0121,0.7355 ± 0.0116,0.5532 ± 0.0173,0.5861 ± 0.0240,0.8666 ± 0.0098,0.7764 ± 0.0084,0.7355 ± 0.0116,0.7509 ± 0.0097,0.9084 ± 0.0066
knn,spearman_corr,0.4445 ± 0.0237,0.4447 ± 0.0340,0.7648 ± 0.0157,0.4728 ± 0.0973,0.4564 ± 0.0229,0.7884 ± 0.0217,0.7101 ± 0.0227,0.7648 ± 0.0157,0.7270 ± 0.0164,0.8790 ± 0.0141,0.7643 ± 0.0072,0.4730 ± 0.0901,0.4570 ± 0.0145,0.7763 ± 0.0115,0.7073 ± 0.0179,0.7643 ± 0.0072,0.7258 ± 0.0097,0.8734 ± 0.0060
knn,spearman_sulov,0.4583 ± 0.0230,0.4597 ± 0.0261,0.7663 ± 0.0110,0.4850 ± 0.0611,0.4668 ± 0.0159,0.7945 ± 0.0252,0.7172 ± 0.0143,0.7663 ± 0.0110,0.7318 ± 0.0107,0.8819 ± 0.0135,0.7643 ± 0.0071,0.5434 ± 0.1207,0.4646 ± 0.0137,0.7823 ± 0.0119,0.7183 ± 0.0184,0.7643 ± 0.0071,0.7289 ± 0.0083,0.8766 ± 0.0067
knn,mutual_info,0.5077 ± 0.0289,0.4888 ± 0.0359,0.7821 ± 0.0142,0.5428 ± 0.1062,0.4886 ± 0.0239,0.8088 ± 0.0240,0.7451 ± 0.0190,0.7821 ± 0.0142,0.7541 ± 0.0154,0.8875 ± 0.0129,0.7783 ± 0.0084,0.6257 ± 0.0898,0.4983 ± 0.0187,0.8001 ± 0.0091,0.7462 ± 0.0170,0.7783 ± 0.0084,0.7506 ± 0.0107,0.8862 ± 0.0070
knn,chi2,0.4999 ± 0.0383,0.4933 ± 0.0400,0.7791 ± 0.0153,0.5382 ± 0.0915,0.4917 ± 0.0273,0.8088 ± 0.0262,0.7409 ± 0.0216,0.7791 ± 0.0153,0.7507 ± 0.0173,0.8860 ± 0.0148,0.7786 ± 0.0081,0.5933 ± 0.0935,0.4949 ± 0.0270,0.7998 ± 0.0145,0.7421 ± 0.0172,0.7786 ± 0.0081,0.7497 ± 0.0119,0.8847 ± 0.0068
knn,chi2_mi_union_topk,0.5180 ± 0.0252,0.5125 ± 0.0445,0.8070 ± 0.0160,0.5718 ± 0.0977,0.5097 ± 0.0305,0.8085 ± 0.0252,0.7641 ± 0.0232,0.8070 ± 0.0160,0.7748 ± 0.0180,0.8904 ± 0.0111,0.8009 ± 0.0054,0.6074 ± 0.0640,0.5110 ± 0.0159,0.7981 ± 0.0103,0.7629 ± 0.0118,0.8009 ± 0.0054,0.7706 ± 0.0070,0.8891 ± 0.0073
gaussian_nb,spearman_corr,0.4490 ± 0.0181,0.4543 ± 0.0499,0.6015 ± 0.0438,0.5104 ± 0.0385,0.6118 ± 0.0562,0.8449 ± 0.0356,0.7583 ± 0.0441,0.6015 ± 0.0438,0.6047 ± 0.0524,0.8949 ± 0.0138,0.5876 ± 0.0168,0.5074 ± 0.0170,0.5949 ± 0.0244,0.8246 ± 0.0131,0.7565 ± 0.0242,0.5876 ± 0.0168,0.5983 ± 0.0220,0.8844 ± 0.0068
gaussian_nb,spearman_sulov,0.4424 ± 0.0194,0.4496 ± 0.0481,0.5982 ± 0.0409,0.5101 ± 0.0378,0.6082 ± 0.0520,0.8434 ± 0.0354,0.7596 ± 0.0442,0.5982 ± 0.0409,0.5996 ± 0.0509,0.8943 ± 0.0138,0.5796 ± 0.0168,0.5076 ± 0.0131,0.5979 ± 0.0188,0.8262 ± 0.0114,0.7566 ± 0.0216,0.5796 ± 0.0168,0.5858 ± 0.0242,0.8854 ± 0.0070
gaussian_nb,mutual_info,0.5192 ± 0.0236,0.5289 ± 0.0435,0.6766 ± 0.0374,0.5389 ± 0.0362,0.6309 ± 0.0540,0.8558 ± 0.0231,0.7722 ± 0.0285,0.6766 ± 0.0374,0.6929 ± 0.0369,0.8967 ± 0.0119,0.6591 ± 0.0283,0.5295 ± 0.0162,0.6077 ± 0.0254,0.8375 ± 0.0112,0.7621 ± 0.0170,0.6591 ± 0.0283,0.6820 ± 0.0296,0.8861 ± 0.0051
gaussian_nb,chi2,0.5093 ± 0.0216,0.5211 ± 0.0318,0.6593 ± 0.0244,0.5383 ± 0.0271,0.6327 ± 0.0481,0.8462 ± 0.0315,0.7713 ± 0.0220,0.6593 ± 0.0244,0.6762 ± 0.0241,0.8933 ± 0.0139,0.6447 ± 0.0253,0.5272 ± 0.0136,0.6075 ± 0.0247,0.8341 ± 0.0126,0.7616 ± 0.0133,0.6447 ± 0.0253,0.6675 ± 0.0268,0.8852 ± 0.0063
gaussian_nb,chi2_mi_union_topk,0.5568 ± 0.0179,0.5582 ± 0.0249,0.7128 ± 0.0178,0.5584 ± 0.0235,0.6487 ± 0.0484,0.8785 ± 0.0126,0.7955 ± 0.0227,0.7128 ± 0.0178,0.7333 ± 0.0170,0.9108 ± 0.0119,0.6959 ± 0.0137,0.5553 ± 0.0141,0.6379 ± 0.0183,0.8719 ± 0.0052,0.7850 ± 0.0108,0.6959 ± 0.0137,0.7213 ± 0.0132,0.9034 ± 0.0053
