Model,Feature_Selection,Accuracy_Testing,Precision_Testing,Recall_Testing,F1_Testing,AUC_Testing,Accuracy_CV,Precision_CV,Recall_CV,F1_CV,AUC_CV
xgboost,mutual_info,0.5929 ± 0.0319,0.3458 ± 0.0795,0.3459 ± 0.0183,0.3261 ± 0.0180,0.6858 ± 0.0253,0.5945 ± 0.0158,0.3400 ± 0.0370,0.3483 ± 0.0092,0.3310 ± 0.0103,0.6687 ± 0.0183
xgboost,chi2,0.5659 ± 0.0291,0.3388 ± 0.0321,0.3396 ± 0.0214,0.3291 ± 0.0243,0.6699 ± 0.0277,0.5718 ± 0.0143,0.3403 ± 0.0267,0.3398 ± 0.0075,0.3284 ± 0.0086,0.6634 ± 0.0192
adaboost,spearman_corr,0.5758 ± 0.0441,0.3397 ± 0.0991,0.3402 ± 0.0283,0.3215 ± 0.0324,0.6841 ± 0.0256,0.5758 ± 0.0077,0.3390 ± 0.0725,0.3372 ± 0.0074,0.3203 ± 0.0107,0.6534 ± 0.0220
adaboost,mutual_info,0.5593 ± 0.0324,0.3019 ± 0.0547,0.3296 ± 0.0294,0.3113 ± 0.0352,0.6750 ± 0.0254,0.5662 ± 0.0103,0.3244 ± 0.0287,0.3296 ± 0.0056,0.3117 ± 0.0054,0.6484 ± 0.0187
adaboost,chi2,0.5753 ± 0.0428,0.3248 ± 0.0949,0.3390 ± 0.0321,0.3183 ± 0.0349,0.6744 ± 0.0298,0.5807 ± 0.0120,0.3446 ± 0.0328,0.3461 ± 0.0096,0.3317 ± 0.0131,0.6615 ± 0.0248
logistic_regression,spearman_corr,0.4830 ± 0.0241,0.3351 ± 0.0408,0.3340 ± 0.0350,0.3300 ± 0.0308,0.6121 ± 0.0203,0.5006 ± 0.0202,0.3422 ± 0.0232,0.3327 ± 0.0206,0.3348 ± 0.0209,0.6076 ± 0.0191
logistic_regression,mutual_info,0.5016 ± 0.0197,0.3432 ± 0.0362,0.3446 ± 0.0310,0.3425 ± 0.0324,0.6432 ± 0.0329,0.5190 ± 0.0164,0.3604 ± 0.0125,0.3502 ± 0.0077,0.3532 ± 0.0089,0.6390 ± 0.0237
logistic_regression,chi2,0.5516 ± 0.0259,0.4040 ± 0.0743,0.4026 ± 0.0607,0.3908 ± 0.0489,0.6818 ± 0.0290,0.5553 ± 0.0143,0.3810 ± 0.0223,0.3810 ± 0.0162,0.3792 ± 0.0186,0.6582 ± 0.0224
sgd,spearman_corr,0.4797 ± 0.0357,0.3239 ± 0.0417,0.3155 ± 0.0294,0.3160 ± 0.0318,0.6038 ± 0.0272,0.5059 ± 0.0109,0.3428 ± 0.0373,0.3205 ± 0.0130,0.3221 ± 0.0166,0.6112 ± 0.0129
sgd,mutual_info,0.5099 ± 0.0276,0.3337 ± 0.0426,0.3330 ± 0.0341,0.3319 ± 0.0366,0.6581 ± 0.0325,0.5176 ± 0.0105,0.3498 ± 0.0281,0.3390 ± 0.0134,0.3417 ± 0.0180,0.6463 ± 0.0167
sgd,chi2,0.5407 ± 0.0321,0.4095 ± 0.0470,0.4226 ± 0.0643,0.4115 ± 0.0505,0.6725 ± 0.0303,0.5195 ± 0.0200,0.3623 ± 0.0321,0.3553 ± 0.0258,0.3572 ± 0.0282,0.6429 ± 0.0277
svc,spearman_corr,0.5890 ± 0.0279,0.2940 ± 0.0141,0.3407 ± 0.0162,0.3155 ± 0.0151,nan ± nan,0.5889 ± 0.0129,0.2939 ± 0.0064,0.3403 ± 0.0074,0.3154 ± 0.0069,nan ± nan
svc,mutual_info,0.5978 ± 0.0291,0.2985 ± 0.0141,0.3458 ± 0.0166,0.3201 ± 0.0155,nan ± nan,0.6066 ± 0.0072,0.3030 ± 0.0036,0.3507 ± 0.0041,0.3250 ± 0.0038,nan ± nan
svc,chi2,0.5797 ± 0.0321,0.2894 ± 0.0160,0.3353 ± 0.0185,0.3104 ± 0.0171,nan ± nan,0.5902 ± 0.0117,0.2949 ± 0.0059,0.3413 ± 0.0068,0.3163 ± 0.0063,nan ± nan
knn,spearman_corr,0.4846 ± 0.0240,0.2803 ± 0.0308,0.2818 ± 0.0160,0.2538 ± 0.0209,0.5644 ± 0.0204,0.4960 ± 0.0084,0.2971 ± 0.0197,0.2898 ± 0.0073,0.2645 ± 0.0102,0.5724 ± 0.0137
knn,mutual_info,0.4890 ± 0.0334,0.3044 ± 0.0806,0.2882 ± 0.0184,0.2682 ± 0.0225,0.5785 ± 0.0366,0.4974 ± 0.0115,0.2931 ± 0.0141,0.2925 ± 0.0071,0.2718 ± 0.0073,0.5801 ± 0.0159
knn,chi2,0.5027 ± 0.0364,0.2771 ± 0.0305,0.2893 ± 0.0224,0.2674 ± 0.0227,0.5710 ± 0.0355,0.5032 ± 0.0144,0.2896 ± 0.0127,0.2946 ± 0.0082,0.2768 ± 0.0090,0.5711 ± 0.0150
gaussian_nb,spearman_corr,0.1060 ± 0.0323,0.2726 ± 0.0581,0.2506 ± 0.0897,0.1071 ± 0.0284,0.5231 ± 0.0510,0.1212 ± 0.0211,0.2696 ± 0.0268,0.2729 ± 0.0469,0.1180 ± 0.0145,0.5259 ± 0.0262
gaussian_nb,mutual_info,0.0923 ± 0.0231,0.2380 ± 0.0924,0.2687 ± 0.0474,0.0878 ± 0.0198,0.5463 ± 0.0506,0.1036 ± 0.0237,0.2526 ± 0.0416,0.2743 ± 0.0464,0.0999 ± 0.0197,0.5357 ± 0.0261
gaussian_nb,chi2,0.2462 ± 0.1127,0.3243 ± 0.0563,0.3641 ± 0.0410,0.2015 ± 0.0624,0.6171 ± 0.0417,0.2275 ± 0.0771,0.3171 ± 0.0252,0.3628 ± 0.0342,0.1960 ± 0.0502,0.5874 ± 0.0236
