Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
xgboost,spearman_sulov,0.6375 ± 0.0114,0.6408 ± 0.0218,0.8571 ± 0.0065,0.7073 ± 0.0658,0.6578 ± 0.0126,0.8801 ± 0.0118,0.8138 ± 0.0231,0.8571 ± 0.0065,0.8200 ± 0.0096,0.9329 ± 0.0072,0.8465 ± 0.0042,0.6983 ± 0.0385,0.6508 ± 0.0069,0.8755 ± 0.0112,0.8052 ± 0.0131,0.8465 ± 0.0042,0.8124 ± 0.0049,0.9284 ± 0.0056
xgboost,mutual_info,0.6373 ± 0.0172,0.6481 ± 0.0187,0.8571 ± 0.0091,0.7284 ± 0.0571,0.6612 ± 0.0123,0.8868 ± 0.0088,0.8205 ± 0.0215,0.8571 ± 0.0091,0.8219 ± 0.0100,0.9362 ± 0.0060,0.8456 ± 0.0079,0.6871 ± 0.0433,0.6505 ± 0.0111,0.8756 ± 0.0110,0.8019 ± 0.0165,0.8456 ± 0.0079,0.8122 ± 0.0082,0.9288 ± 0.0059
xgboost,chi2,0.6520 ± 0.0090,0.6566 ± 0.0243,0.8491 ± 0.0105,0.7044 ± 0.0389,0.6635 ± 0.0166,0.8747 ± 0.0127,0.8122 ± 0.0168,0.8491 ± 0.0105,0.8203 ± 0.0117,0.9292 ± 0.0076,0.8440 ± 0.0040,0.6985 ± 0.0193,0.6581 ± 0.0061,0.8759 ± 0.0126,0.8071 ± 0.0065,0.8440 ± 0.0040,0.8159 ± 0.0044,0.9286 ± 0.0066
xgboost,chi2_mi_union_topk,0.6608 ± 0.0166,0.6661 ± 0.0194,0.8414 ± 0.0154,0.6945 ± 0.0311,0.6678 ± 0.0148,0.8716 ± 0.0167,0.8101 ± 0.0124,0.8414 ± 0.0154,0.8199 ± 0.0117,0.9269 ± 0.0103,0.8343 ± 0.0079,0.6853 ± 0.0243,0.6618 ± 0.0134,0.8673 ± 0.0076,0.8038 ± 0.0108,0.8343 ± 0.0079,0.8142 ± 0.0093,0.9232 ± 0.0049
adaboost,spearman_corr,0.6478 ± 0.0159,0.6535 ± 0.0350,0.8194 ± 0.0190,0.6610 ± 0.0424,0.6554 ± 0.0300,0.8477 ± 0.0176,0.7969 ± 0.0226,0.8194 ± 0.0190,0.8059 ± 0.0199,0.9195 ± 0.0076,0.8042 ± 0.0121,0.6500 ± 0.0182,0.6486 ± 0.0147,0.8342 ± 0.0121,0.7900 ± 0.0103,0.8042 ± 0.0121,0.7964 ± 0.0105,0.9122 ± 0.0052
adaboost,spearman_sulov,0.6495 ± 0.0157,0.6497 ± 0.0207,0.8143 ± 0.0143,0.6563 ± 0.0228,0.6524 ± 0.0177,0.8508 ± 0.0108,0.7940 ± 0.0128,0.8143 ± 0.0143,0.8018 ± 0.0112,0.9204 ± 0.0069,0.8068 ± 0.0111,0.6519 ± 0.0186,0.6501 ± 0.0139,0.8359 ± 0.0115,0.7930 ± 0.0081,0.8068 ± 0.0111,0.7991 ± 0.0085,0.9123 ± 0.0042
adaboost,mutual_info,0.6431 ± 0.0211,0.6579 ± 0.0292,0.8147 ± 0.0221,0.6651 ± 0.0368,0.6594 ± 0.0244,0.8527 ± 0.0191,0.8001 ± 0.0161,0.8147 ± 0.0221,0.8049 ± 0.0162,0.9221 ± 0.0075,0.8055 ± 0.0136,0.6449 ± 0.0245,0.6444 ± 0.0188,0.8347 ± 0.0079,0.7884 ± 0.0138,0.8055 ± 0.0136,0.7962 ± 0.0132,0.9123 ± 0.0040
adaboost,chi2,0.6420 ± 0.0186,0.6570 ± 0.0348,0.8234 ± 0.0176,0.6656 ± 0.0421,0.6585 ± 0.0296,0.8491 ± 0.0160,0.7988 ± 0.0202,0.8234 ± 0.0176,0.8088 ± 0.0178,0.9192 ± 0.0046,0.8140 ± 0.0099,0.6464 ± 0.0219,0.6446 ± 0.0161,0.8387 ± 0.0088,0.7890 ± 0.0116,0.8140 ± 0.0099,0.8000 ± 0.0103,0.9150 ± 0.0048
adaboost,chi2_mi_union_topk,0.6371 ± 0.0176,0.6308 ± 0.0184,0.8234 ± 0.0082,0.6366 ± 0.0329,0.6401 ± 0.0115,0.8501 ± 0.0119,0.7853 ± 0.0123,0.8234 ± 0.0082,0.8009 ± 0.0072,0.9202 ± 0.0054,0.8171 ± 0.0089,0.6426 ± 0.0233,0.6415 ± 0.0140,0.8452 ± 0.0090,0.7865 ± 0.0094,0.8171 ± 0.0089,0.7998 ± 0.0083,0.9182 ± 0.0036
svm,spearman_corr,0.5963 ± 0.0029,0.6017 ± 0.0089,0.8531 ± 0.0124,0.5696 ± 0.0078,0.6389 ± 0.0093,0.8637 ± 0.0173,0.7604 ± 0.0104,0.8531 ± 0.0124,0.8034 ± 0.0118,0.9252 ± 0.0095,0.8462 ± 0.0040,0.5644 ± 0.0027,0.6326 ± 0.0030,0.8628 ± 0.0110,0.7546 ± 0.0036,0.8462 ± 0.0040,0.7975 ± 0.0038,0.9234 ± 0.0061
svm,spearman_sulov,0.6008 ± 0.0041,0.6049 ± 0.0075,0.8575 ± 0.0104,0.5720 ± 0.0070,0.6422 ± 0.0078,0.8686 ± 0.0163,0.7637 ± 0.0094,0.8575 ± 0.0104,0.8076 ± 0.0100,0.9279 ± 0.0085,0.8525 ± 0.0058,0.5683 ± 0.0038,0.6374 ± 0.0044,0.8658 ± 0.0119,0.7600 ± 0.0051,0.8525 ± 0.0058,0.8035 ± 0.0055,0.9253 ± 0.0068
svm,mutual_info,0.6047 ± 0.0028,0.6083 ± 0.0066,0.8623 ± 0.0093,0.5752 ± 0.0063,0.6458 ± 0.0070,0.8721 ± 0.0131,0.7680 ± 0.0084,0.8623 ± 0.0093,0.8122 ± 0.0089,0.9305 ± 0.0077,0.8579 ± 0.0040,0.5719 ± 0.0027,0.6414 ± 0.0030,0.8714 ± 0.0105,0.7649 ± 0.0036,0.8579 ± 0.0040,0.8087 ± 0.0038,0.9284 ± 0.0058
svm,chi2,0.6060 ± 0.0109,0.6257 ± 0.0150,0.8615 ± 0.0082,0.7531 ± 0.1407,0.6528 ± 0.0082,0.8674 ± 0.0127,0.8268 ± 0.0494,0.8615 ± 0.0082,0.8167 ± 0.0083,0.9282 ± 0.0070,0.8539 ± 0.0048,0.6121 ± 0.0922,0.6400 ± 0.0066,0.8699 ± 0.0093,0.7765 ± 0.0323,0.8539 ± 0.0048,0.8067 ± 0.0061,0.9274 ± 0.0050
svm,chi2_mi_union_topk,0.6066 ± 0.0079,0.6201 ± 0.0201,0.8623 ± 0.0105,0.6810 ± 0.1471,0.6508 ± 0.0121,0.8635 ± 0.0134,0.8032 ± 0.0517,0.8623 ± 0.0105,0.8155 ± 0.0122,0.9273 ± 0.0086,0.8547 ± 0.0057,0.6210 ± 0.0855,0.6405 ± 0.0054,0.8628 ± 0.0090,0.7800 ± 0.0291,0.8547 ± 0.0057,0.8076 ± 0.0059,0.9244 ± 0.0042
logistic_regression,spearman_corr,0.6312 ± 0.0147,0.6456 ± 0.0317,0.7912 ± 0.0253,0.6467 ± 0.0314,0.6460 ± 0.0318,0.8366 ± 0.0129,0.7925 ± 0.0216,0.7912 ± 0.0253,0.7911 ± 0.0231,0.9053 ± 0.0081,0.7715 ± 0.0101,0.6322 ± 0.0141,0.6315 ± 0.0156,0.8291 ± 0.0160,0.7823 ± 0.0079,0.7715 ± 0.0101,0.7765 ± 0.0083,0.8998 ± 0.0090
logistic_regression,spearman_sulov,0.6408 ± 0.0185,0.6459 ± 0.0333,0.7927 ± 0.0217,0.6466 ± 0.0335,0.6471 ± 0.0334,0.8423 ± 0.0121,0.7963 ± 0.0202,0.7927 ± 0.0217,0.7937 ± 0.0202,0.9089 ± 0.0074,0.7843 ± 0.0149,0.6414 ± 0.0180,0.6407 ± 0.0187,0.8332 ± 0.0150,0.7895 ± 0.0103,0.7843 ± 0.0149,0.7867 ± 0.0125,0.9028 ± 0.0087
logistic_regression,mutual_info,0.6404 ± 0.0184,0.6618 ± 0.0197,0.7934 ± 0.0193,0.6627 ± 0.0192,0.6644 ± 0.0222,0.8467 ± 0.0121,0.8046 ± 0.0135,0.7934 ± 0.0193,0.7978 ± 0.0151,0.9113 ± 0.0055,0.7775 ± 0.0144,0.6415 ± 0.0171,0.6408 ± 0.0195,0.8351 ± 0.0193,0.7895 ± 0.0093,0.7775 ± 0.0144,0.7831 ± 0.0117,0.9043 ± 0.0104
logistic_regression,chi2,0.6514 ± 0.0228,0.6549 ± 0.0185,0.7817 ± 0.0195,0.6582 ± 0.0163,0.6589 ± 0.0234,0.8480 ± 0.0185,0.8055 ± 0.0105,0.7817 ± 0.0195,0.7912 ± 0.0131,0.9141 ± 0.0084,0.7791 ± 0.0187,0.6530 ± 0.0203,0.6532 ± 0.0247,0.8386 ± 0.0220,0.7994 ± 0.0126,0.7791 ± 0.0187,0.7883 ± 0.0156,0.9073 ± 0.0117
logistic_regression,chi2_mi_union_topk,0.6584 ± 0.0178,0.6608 ± 0.0181,0.7758 ± 0.0138,0.6690 ± 0.0151,0.6687 ± 0.0227,0.8669 ± 0.0147,0.8193 ± 0.0108,0.7758 ± 0.0138,0.7921 ± 0.0115,0.9276 ± 0.0068,0.7722 ± 0.0118,0.6652 ± 0.0160,0.6661 ± 0.0218,0.8593 ± 0.0097,0.8157 ± 0.0115,0.7722 ± 0.0118,0.7896 ± 0.0109,0.9210 ± 0.0049
knn,spearman_corr,0.4811 ± 0.0164,0.4721 ± 0.0198,0.6692 ± 0.0196,0.5127 ± 0.0259,0.5031 ± 0.0160,0.7644 ± 0.0189,0.6742 ± 0.0171,0.6692 ± 0.0196,0.6255 ± 0.0217,0.8299 ± 0.0128,0.6693 ± 0.0124,0.5457 ± 0.0352,0.5061 ± 0.0113,0.7573 ± 0.0115,0.6836 ± 0.0149,0.6693 ± 0.0124,0.6285 ± 0.0147,0.8237 ± 0.0082
knn,spearman_sulov,0.4957 ± 0.0139,0.4818 ± 0.0185,0.6766 ± 0.0178,0.5278 ± 0.0328,0.5103 ± 0.0144,0.7696 ± 0.0200,0.6821 ± 0.0157,0.6766 ± 0.0178,0.6347 ± 0.0199,0.8398 ± 0.0143,0.6835 ± 0.0094,0.5584 ± 0.0357,0.5178 ± 0.0099,0.7696 ± 0.0103,0.6938 ± 0.0159,0.6835 ± 0.0094,0.6454 ± 0.0114,0.8390 ± 0.0086
knn,mutual_info,0.5667 ± 0.0077,0.5691 ± 0.0233,0.7557 ± 0.0204,0.6147 ± 0.0540,0.5831 ± 0.0177,0.8058 ± 0.0179,0.7411 ± 0.0185,0.7557 ± 0.0204,0.7248 ± 0.0196,0.8821 ± 0.0085,0.7530 ± 0.0105,0.6047 ± 0.0196,0.5797 ± 0.0043,0.7995 ± 0.0082,0.7370 ± 0.0054,0.7530 ± 0.0105,0.7233 ± 0.0074,0.8754 ± 0.0056
knn,chi2,0.5922 ± 0.0196,0.5865 ± 0.0340,0.7846 ± 0.0194,0.6195 ± 0.0583,0.6024 ± 0.0249,0.8149 ± 0.0242,0.7527 ± 0.0233,0.7846 ± 0.0194,0.7524 ± 0.0210,0.8891 ± 0.0155,0.7871 ± 0.0143,0.6273 ± 0.0339,0.6051 ± 0.0152,0.8209 ± 0.0165,0.7569 ± 0.0161,0.7871 ± 0.0143,0.7566 ± 0.0146,0.8909 ± 0.0100
knn,chi2_mi_union_topk,0.6533 ± 0.0195,0.6602 ± 0.0310,0.8308 ± 0.0164,0.6900 ± 0.0441,0.6613 ± 0.0242,0.8349 ± 0.0173,0.8037 ± 0.0210,0.8308 ± 0.0164,0.8092 ± 0.0179,0.9047 ± 0.0131,0.8270 ± 0.0081,0.6815 ± 0.0245,0.6553 ± 0.0153,0.8457 ± 0.0068,0.7983 ± 0.0119,0.8270 ± 0.0081,0.8050 ± 0.0101,0.9088 ± 0.0040
gaussian_nb,spearman_corr,0.5183 ± 0.0259,0.5301 ± 0.0304,0.5853 ± 0.0443,0.6277 ± 0.0176,0.5842 ± 0.0361,0.8155 ± 0.0193,0.7849 ± 0.0181,0.5853 ± 0.0443,0.6249 ± 0.0332,0.8826 ± 0.0137,0.5701 ± 0.0437,0.6195 ± 0.0099,0.5763 ± 0.0218,0.7983 ± 0.0105,0.7762 ± 0.0113,0.5701 ± 0.0437,0.6112 ± 0.0330,0.8661 ± 0.0082
gaussian_nb,spearman_sulov,0.5134 ± 0.0296,0.5243 ± 0.0316,0.5777 ± 0.0466,0.6278 ± 0.0189,0.5801 ± 0.0366,0.8166 ± 0.0191,0.7858 ± 0.0212,0.5777 ± 0.0466,0.6179 ± 0.0355,0.8843 ± 0.0127,0.5651 ± 0.0484,0.6188 ± 0.0109,0.5718 ± 0.0261,0.7982 ± 0.0096,0.7761 ± 0.0122,0.5651 ± 0.0484,0.6059 ± 0.0372,0.8666 ± 0.0083
gaussian_nb,mutual_info,0.5669 ± 0.0233,0.5827 ± 0.0305,0.6535 ± 0.0372,0.6490 ± 0.0181,0.6294 ± 0.0316,0.8323 ± 0.0222,0.8042 ± 0.0178,0.6535 ± 0.0372,0.6853 ± 0.0351,0.8958 ± 0.0142,0.6360 ± 0.0285,0.6341 ± 0.0109,0.6106 ± 0.0201,0.8201 ± 0.0107,0.7902 ± 0.0106,0.6360 ± 0.0285,0.6715 ± 0.0277,0.8837 ± 0.0069
gaussian_nb,chi2,0.6189 ± 0.0228,0.6453 ± 0.0517,0.7432 ± 0.0568,0.6698 ± 0.0395,0.6659 ± 0.0535,0.8467 ± 0.0236,0.8176 ± 0.0279,0.7432 ± 0.0568,0.7638 ± 0.0464,0.9055 ± 0.0169,0.7192 ± 0.0378,0.6443 ± 0.0143,0.6367 ± 0.0225,0.8328 ± 0.0098,0.7978 ± 0.0120,0.7192 ± 0.0378,0.7431 ± 0.0291,0.8948 ± 0.0055
gaussian_nb,chi2_mi_union_topk,0.6672 ± 0.0099,0.6741 ± 0.0269,0.7722 ± 0.0235,0.6883 ± 0.0233,0.6935 ± 0.0322,0.8766 ± 0.0177,0.8371 ± 0.0172,0.7722 ± 0.0235,0.7937 ± 0.0205,0.9276 ± 0.0131,0.7645 ± 0.0086,0.6809 ± 0.0086,0.6851 ± 0.0118,0.8720 ± 0.0084,0.8317 ± 0.0077,0.7645 ± 0.0086,0.7887 ± 0.0080,0.9230 ± 0.0049
