Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
extra_trees,spearman_corr,0.6262 ± 0.0131,0.6312 ± 0.0257,0.8619 ± 0.0077,0.7339 ± 0.1506,0.6555 ± 0.0131,0.8866 ± 0.0131,0.8208 ± 0.0514,0.8619 ± 0.0077,0.8183 ± 0.0103,0.9374 ± 0.0090,0.8583 ± 0.0038,0.8014 ± 0.1060,0.6506 ± 0.0069,0.8915 ± 0.0061,0.8412 ± 0.0326,0.8583 ± 0.0038,0.8154 ± 0.0058,0.9385 ± 0.0033
extra_trees,spearman_sulov,0.6251 ± 0.0119,0.6358 ± 0.0222,0.8626 ± 0.0087,0.8145 ± 0.1395,0.6578 ± 0.0122,0.8831 ± 0.0091,0.8473 ± 0.0473,0.8626 ± 0.0087,0.8199 ± 0.0106,0.9363 ± 0.0064,0.8582 ± 0.0044,0.7949 ± 0.0511,0.6501 ± 0.0068,0.8906 ± 0.0093,0.8389 ± 0.0157,0.8582 ± 0.0044,0.8150 ± 0.0064,0.9380 ± 0.0046
extra_trees,mutual_info,0.6600 ± 0.0123,0.6430 ± 0.0152,0.8619 ± 0.0081,0.8075 ± 0.0730,0.6606 ± 0.0091,0.8855 ± 0.0149,0.8459 ± 0.0241,0.8619 ± 0.0081,0.8220 ± 0.0085,0.9368 ± 0.0087,0.8643 ± 0.0053,0.8378 ± 0.0285,0.6689 ± 0.0078,0.8948 ± 0.0058,0.8567 ± 0.0106,0.8643 ± 0.0053,0.8285 ± 0.0067,0.9399 ± 0.0031
extra_trees,chi2,0.6481 ± 0.0103,0.6512 ± 0.0218,0.8641 ± 0.0113,0.7928 ± 0.0681,0.6656 ± 0.0135,0.8862 ± 0.0169,0.8429 ± 0.0269,0.8641 ± 0.0113,0.8260 ± 0.0117,0.9370 ± 0.0104,0.8602 ± 0.0037,0.7943 ± 0.0621,0.6615 ± 0.0062,0.8915 ± 0.0056,0.8411 ± 0.0198,0.8602 ± 0.0037,0.8230 ± 0.0046,0.9386 ± 0.0031
extra_trees,chi2_mi_union_topk,0.6618 ± 0.0168,0.6542 ± 0.0188,0.8590 ± 0.0107,0.7474 ± 0.0782,0.6651 ± 0.0126,0.8837 ± 0.0137,0.8284 ± 0.0275,0.8590 ± 0.0107,0.8250 ± 0.0105,0.9353 ± 0.0088,0.8588 ± 0.0061,0.7485 ± 0.0320,0.6685 ± 0.0104,0.8885 ± 0.0082,0.8283 ± 0.0129,0.8588 ± 0.0061,0.8270 ± 0.0077,0.9368 ± 0.0042
xgboost,spearman_corr,0.6553 ± 0.0132,0.6563 ± 0.0288,0.8465 ± 0.0145,0.6958 ± 0.0594,0.6624 ± 0.0212,0.8797 ± 0.0144,0.8099 ± 0.0252,0.8465 ± 0.0145,0.8195 ± 0.0159,0.9319 ± 0.0078,0.8421 ± 0.0074,0.6931 ± 0.0273,0.6596 ± 0.0100,0.8708 ± 0.0135,0.8066 ± 0.0102,0.8421 ± 0.0074,0.8166 ± 0.0072,0.9261 ± 0.0066
xgboost,spearman_sulov,0.6588 ± 0.0168,0.6580 ± 0.0213,0.8454 ± 0.0119,0.6887 ± 0.0327,0.6633 ± 0.0162,0.8779 ± 0.0134,0.8084 ± 0.0156,0.8454 ± 0.0119,0.8199 ± 0.0124,0.9312 ± 0.0060,0.8423 ± 0.0087,0.7008 ± 0.0324,0.6619 ± 0.0127,0.8748 ± 0.0098,0.8085 ± 0.0134,0.8423 ± 0.0087,0.8171 ± 0.0096,0.9278 ± 0.0051
xgboost,mutual_info,0.6519 ± 0.0164,0.6558 ± 0.0264,0.8447 ± 0.0124,0.6830 ± 0.0425,0.6619 ± 0.0190,0.8805 ± 0.0123,0.8067 ± 0.0188,0.8447 ± 0.0124,0.8191 ± 0.0139,0.9322 ± 0.0067,0.8410 ± 0.0090,0.6881 ± 0.0311,0.6573 ± 0.0122,0.8718 ± 0.0118,0.8044 ± 0.0131,0.8410 ± 0.0090,0.8150 ± 0.0093,0.9268 ± 0.0058
xgboost,chi2,0.6551 ± 0.0127,0.6547 ± 0.0237,0.8454 ± 0.0153,0.6959 ± 0.0531,0.6608 ± 0.0182,0.8698 ± 0.0086,0.8092 ± 0.0227,0.8454 ± 0.0153,0.8183 ± 0.0149,0.9271 ± 0.0060,0.8382 ± 0.0066,0.6855 ± 0.0223,0.6585 ± 0.0095,0.8728 ± 0.0130,0.8032 ± 0.0091,0.8382 ± 0.0066,0.8144 ± 0.0071,0.9269 ± 0.0067
xgboost,chi2_mi_union_topk,0.6649 ± 0.0143,0.6699 ± 0.0338,0.8432 ± 0.0200,0.7015 ± 0.0524,0.6708 ± 0.0258,0.8658 ± 0.0141,0.8131 ± 0.0216,0.8432 ± 0.0200,0.8219 ± 0.0179,0.9232 ± 0.0095,0.8365 ± 0.0074,0.6887 ± 0.0204,0.6653 ± 0.0110,0.8659 ± 0.0100,0.8064 ± 0.0090,0.8365 ± 0.0074,0.8169 ± 0.0077,0.9227 ± 0.0061
adaboost,spearman_corr,0.6421 ± 0.0094,0.6378 ± 0.0229,0.8150 ± 0.0207,0.6463 ± 0.0302,0.6421 ± 0.0207,0.8398 ± 0.0147,0.7882 ± 0.0156,0.8150 ± 0.0207,0.7987 ± 0.0165,0.9149 ± 0.0053,0.8113 ± 0.0051,0.6471 ± 0.0127,0.6441 ± 0.0077,0.8365 ± 0.0091,0.7871 ± 0.0050,0.8113 ± 0.0051,0.7978 ± 0.0044,0.9134 ± 0.0046
adaboost,spearman_sulov,0.6406 ± 0.0131,0.6447 ± 0.0281,0.8286 ± 0.0191,0.6587 ± 0.0527,0.6506 ± 0.0207,0.8460 ± 0.0133,0.7950 ± 0.0213,0.8286 ± 0.0191,0.8076 ± 0.0158,0.9178 ± 0.0070,0.8126 ± 0.0107,0.6455 ± 0.0178,0.6432 ± 0.0112,0.8408 ± 0.0105,0.7876 ± 0.0086,0.8126 ± 0.0107,0.7985 ± 0.0087,0.9152 ± 0.0072
adaboost,mutual_info,0.6478 ± 0.0159,0.6374 ± 0.0281,0.8154 ± 0.0174,0.6426 ± 0.0380,0.6415 ± 0.0240,0.8476 ± 0.0158,0.7876 ± 0.0163,0.8154 ± 0.0174,0.7994 ± 0.0154,0.9189 ± 0.0070,0.8148 ± 0.0067,0.6537 ± 0.0203,0.6492 ± 0.0132,0.8393 ± 0.0083,0.7910 ± 0.0086,0.8148 ± 0.0067,0.8014 ± 0.0073,0.9143 ± 0.0047
adaboost,chi2,0.6412 ± 0.0209,0.6388 ± 0.0449,0.8194 ± 0.0179,0.6438 ± 0.0572,0.6446 ± 0.0366,0.8444 ± 0.0143,0.7878 ± 0.0249,0.8194 ± 0.0179,0.8011 ± 0.0203,0.9173 ± 0.0061,0.8107 ± 0.0125,0.6452 ± 0.0251,0.6433 ± 0.0182,0.8373 ± 0.0115,0.7876 ± 0.0133,0.8107 ± 0.0125,0.7979 ± 0.0123,0.9136 ± 0.0064
adaboost,chi2_mi_union_topk,0.6396 ± 0.0200,0.6281 ± 0.0271,0.8194 ± 0.0125,0.6315 ± 0.0383,0.6370 ± 0.0206,0.8438 ± 0.0153,0.7823 ± 0.0182,0.8194 ± 0.0125,0.7978 ± 0.0141,0.9171 ± 0.0069,0.8154 ± 0.0086,0.6449 ± 0.0247,0.6432 ± 0.0163,0.8419 ± 0.0097,0.7868 ± 0.0119,0.8154 ± 0.0086,0.7993 ± 0.0099,0.9158 ± 0.0035
svm,spearman_corr,0.6011 ± 0.0049,0.6058 ± 0.0088,0.8549 ± 0.0102,0.6049 ± 0.1037,0.6411 ± 0.0077,0.8636 ± 0.0159,0.7741 ± 0.0336,0.8549 ± 0.0102,0.8068 ± 0.0098,0.9253 ± 0.0093,0.8495 ± 0.0035,0.5951 ± 0.0605,0.6359 ± 0.0033,0.8669 ± 0.0100,0.7678 ± 0.0204,0.8495 ± 0.0035,0.8020 ± 0.0037,0.9245 ± 0.0054
svm,spearman_sulov,0.6016 ± 0.0053,0.6098 ± 0.0081,0.8579 ± 0.0081,0.6234 ± 0.1098,0.6441 ± 0.0056,0.8667 ± 0.0193,0.7821 ± 0.0341,0.8579 ± 0.0081,0.8100 ± 0.0075,0.9271 ± 0.0102,0.8502 ± 0.0050,0.5957 ± 0.0603,0.6364 ± 0.0041,0.8701 ± 0.0086,0.7687 ± 0.0203,0.8502 ± 0.0050,0.8028 ± 0.0050,0.9266 ± 0.0048
svm,mutual_info,0.6059 ± 0.0057,0.6234 ± 0.0168,0.8612 ± 0.0106,0.7470 ± 0.1585,0.6516 ± 0.0101,0.8690 ± 0.0159,0.8242 ± 0.0533,0.8612 ± 0.0106,0.8155 ± 0.0107,0.9288 ± 0.0089,0.8538 ± 0.0046,0.6481 ± 0.1148,0.6398 ± 0.0040,0.8670 ± 0.0078,0.7881 ± 0.0376,0.8538 ± 0.0046,0.8066 ± 0.0045,0.9256 ± 0.0041
svm,chi2,0.6088 ± 0.0104,0.6231 ± 0.0138,0.8608 ± 0.0086,0.7466 ± 0.1554,0.6514 ± 0.0070,0.8681 ± 0.0146,0.8237 ± 0.0489,0.8608 ± 0.0086,0.8152 ± 0.0074,0.9288 ± 0.0080,0.8535 ± 0.0054,0.6806 ± 0.1386,0.6411 ± 0.0060,0.8665 ± 0.0092,0.7978 ± 0.0454,0.8535 ± 0.0054,0.8068 ± 0.0061,0.9256 ± 0.0050
svm,chi2_mi_union_topk,0.6106 ± 0.0119,0.6232 ± 0.0191,0.8637 ± 0.0106,0.7100 ± 0.1551,0.6527 ± 0.0115,0.8643 ± 0.0141,0.8139 ± 0.0537,0.8637 ± 0.0106,0.8175 ± 0.0119,0.9272 ± 0.0087,0.8544 ± 0.0057,0.6734 ± 0.1130,0.6421 ± 0.0071,0.8609 ± 0.0103,0.7967 ± 0.0389,0.8544 ± 0.0057,0.8083 ± 0.0068,0.9228 ± 0.0051
logistic_regression,spearman_corr,0.6578 ± 0.0206,0.6638 ± 0.0170,0.7842 ± 0.0162,0.6671 ± 0.0147,0.6700 ± 0.0204,0.8647 ± 0.0151,0.8109 ± 0.0087,0.7842 ± 0.0162,0.7942 ± 0.0122,0.9233 ± 0.0072,0.7774 ± 0.0158,0.6605 ± 0.0188,0.6634 ± 0.0229,0.8528 ± 0.0161,0.8056 ± 0.0136,0.7774 ± 0.0158,0.7889 ± 0.0147,0.9140 ± 0.0084
logistic_regression,spearman_sulov,0.6479 ± 0.0181,0.6568 ± 0.0152,0.7810 ± 0.0155,0.6604 ± 0.0137,0.6617 ± 0.0186,0.8590 ± 0.0125,0.8066 ± 0.0091,0.7810 ± 0.0155,0.7908 ± 0.0116,0.9202 ± 0.0052,0.7711 ± 0.0154,0.6514 ± 0.0165,0.6518 ± 0.0202,0.8512 ± 0.0143,0.8000 ± 0.0126,0.7711 ± 0.0154,0.7833 ± 0.0139,0.9131 ± 0.0074
logistic_regression,mutual_info,0.6417 ± 0.0214,0.6533 ± 0.0176,0.7784 ± 0.0199,0.6569 ± 0.0146,0.6564 ± 0.0185,0.8535 ± 0.0113,0.8044 ± 0.0105,0.7784 ± 0.0199,0.7891 ± 0.0152,0.9171 ± 0.0057,0.7679 ± 0.0152,0.6458 ± 0.0196,0.6444 ± 0.0245,0.8422 ± 0.0160,0.7973 ± 0.0144,0.7679 ± 0.0152,0.7806 ± 0.0145,0.9087 ± 0.0085
logistic_regression,chi2,0.6445 ± 0.0212,0.6466 ± 0.0195,0.7678 ± 0.0189,0.6527 ± 0.0159,0.6510 ± 0.0223,0.8499 ± 0.0108,0.8020 ± 0.0096,0.7678 ± 0.0189,0.7813 ± 0.0140,0.9161 ± 0.0053,0.7675 ± 0.0182,0.6495 ± 0.0184,0.6477 ± 0.0239,0.8434 ± 0.0168,0.8010 ± 0.0136,0.7675 ± 0.0182,0.7818 ± 0.0159,0.9103 ± 0.0089
logistic_regression,chi2_mi_union_topk,0.6564 ± 0.0189,0.6579 ± 0.0186,0.7791 ± 0.0161,0.6643 ± 0.0150,0.6628 ± 0.0214,0.8657 ± 0.0182,0.8147 ± 0.0080,0.7791 ± 0.0161,0.7928 ± 0.0118,0.9262 ± 0.0089,0.7714 ± 0.0141,0.6627 ± 0.0160,0.6633 ± 0.0223,0.8564 ± 0.0110,0.8126 ± 0.0106,0.7714 ± 0.0141,0.7880 ± 0.0122,0.9189 ± 0.0057
knn,spearman_corr,0.5960 ± 0.0171,0.5960 ± 0.0125,0.7927 ± 0.0159,0.6155 ± 0.0295,0.6101 ± 0.0102,0.8263 ± 0.0260,0.7587 ± 0.0115,0.7927 ± 0.0159,0.7638 ± 0.0127,0.8918 ± 0.0190,0.7950 ± 0.0072,0.6111 ± 0.0272,0.6103 ± 0.0113,0.8280 ± 0.0123,0.7573 ± 0.0107,0.7950 ± 0.0072,0.7657 ± 0.0065,0.8928 ± 0.0079
knn,spearman_sulov,0.6071 ± 0.0222,0.6007 ± 0.0278,0.7923 ± 0.0239,0.6148 ± 0.0419,0.6123 ± 0.0232,0.8338 ± 0.0209,0.7618 ± 0.0226,0.7923 ± 0.0239,0.7670 ± 0.0235,0.8979 ± 0.0145,0.7953 ± 0.0083,0.6277 ± 0.0308,0.6171 ± 0.0163,0.8321 ± 0.0115,0.7642 ± 0.0131,0.7953 ± 0.0083,0.7691 ± 0.0095,0.8972 ± 0.0061
knn,mutual_info,0.6300 ± 0.0214,0.6352 ± 0.0275,0.8081 ± 0.0196,0.6535 ± 0.0334,0.6392 ± 0.0233,0.8422 ± 0.0156,0.7840 ± 0.0183,0.8081 ± 0.0196,0.7880 ± 0.0208,0.9051 ± 0.0115,0.8077 ± 0.0065,0.6498 ± 0.0212,0.6359 ± 0.0172,0.8406 ± 0.0097,0.7800 ± 0.0124,0.8077 ± 0.0065,0.7856 ± 0.0089,0.9038 ± 0.0051
knn,chi2,0.6261 ± 0.0194,0.6303 ± 0.0304,0.8048 ± 0.0230,0.6514 ± 0.0376,0.6351 ± 0.0259,0.8357 ± 0.0115,0.7803 ± 0.0207,0.8048 ± 0.0230,0.7834 ± 0.0238,0.9014 ± 0.0097,0.8024 ± 0.0053,0.6420 ± 0.0220,0.6319 ± 0.0142,0.8366 ± 0.0099,0.7766 ± 0.0107,0.8024 ± 0.0053,0.7814 ± 0.0069,0.8994 ± 0.0056
knn,chi2_mi_union_topk,0.6467 ± 0.0265,0.6584 ± 0.0243,0.8293 ± 0.0174,0.7001 ± 0.0354,0.6594 ± 0.0192,0.8348 ± 0.0141,0.8039 ± 0.0173,0.8293 ± 0.0174,0.8061 ± 0.0171,0.9052 ± 0.0100,0.8239 ± 0.0096,0.6731 ± 0.0317,0.6503 ± 0.0203,0.8446 ± 0.0112,0.7935 ± 0.0162,0.8239 ± 0.0096,0.8009 ± 0.0133,0.9071 ± 0.0056
gaussian_nb,spearman_corr,0.6113 ± 0.0170,0.6325 ± 0.0352,0.7216 ± 0.0300,0.6680 ± 0.0282,0.6629 ± 0.0435,0.8543 ± 0.0157,0.8200 ± 0.0241,0.7216 ± 0.0300,0.7452 ± 0.0286,0.9113 ± 0.0129,0.7005 ± 0.0169,0.6481 ± 0.0120,0.6389 ± 0.0203,0.8383 ± 0.0068,0.8022 ± 0.0102,0.7005 ± 0.0169,0.7273 ± 0.0158,0.8991 ± 0.0041
gaussian_nb,spearman_sulov,0.6097 ± 0.0191,0.6311 ± 0.0361,0.7201 ± 0.0309,0.6684 ± 0.0291,0.6618 ± 0.0449,0.8538 ± 0.0169,0.8215 ± 0.0244,0.7201 ± 0.0309,0.7441 ± 0.0290,0.9113 ± 0.0136,0.6984 ± 0.0187,0.6486 ± 0.0137,0.6380 ± 0.0228,0.8402 ± 0.0079,0.8033 ± 0.0120,0.6984 ± 0.0187,0.7254 ± 0.0173,0.9008 ± 0.0046
gaussian_nb,mutual_info,0.6244 ± 0.0235,0.6439 ± 0.0396,0.7396 ± 0.0395,0.6696 ± 0.0309,0.6673 ± 0.0446,0.8552 ± 0.0191,0.8192 ± 0.0243,0.7396 ± 0.0395,0.7610 ± 0.0339,0.9115 ± 0.0144,0.7222 ± 0.0329,0.6505 ± 0.0127,0.6433 ± 0.0199,0.8406 ± 0.0098,0.8041 ± 0.0102,0.7222 ± 0.0329,0.7470 ± 0.0274,0.9006 ± 0.0051
gaussian_nb,chi2,0.6249 ± 0.0264,0.6423 ± 0.0442,0.7418 ± 0.0440,0.6655 ± 0.0352,0.6614 ± 0.0487,0.8533 ± 0.0203,0.8157 ± 0.0267,0.7418 ± 0.0440,0.7628 ± 0.0371,0.9101 ± 0.0148,0.7231 ± 0.0363,0.6509 ± 0.0143,0.6433 ± 0.0228,0.8410 ± 0.0080,0.8047 ± 0.0109,0.7231 ± 0.0363,0.7480 ± 0.0306,0.9006 ± 0.0046
gaussian_nb,chi2_mi_union_topk,0.6658 ± 0.0101,0.6728 ± 0.0279,0.7736 ± 0.0213,0.6862 ± 0.0250,0.6912 ± 0.0349,0.8773 ± 0.0197,0.8348 ± 0.0192,0.7736 ± 0.0213,0.7933 ± 0.0197,0.9277 ± 0.0139,0.7653 ± 0.0076,0.6785 ± 0.0091,0.6827 ± 0.0127,0.8715 ± 0.0085,0.8285 ± 0.0074,0.7653 ± 0.0076,0.7877 ± 0.0070,0.9222 ± 0.0047
