,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
25,svm,spearman_corr,SMOTE,0.6677 ± 0.0135,0.6770 ± 0.0158,0.8564 ± 0.0100,0.7297 ± 0.0349,0.6782 ± 0.0108,0.8704 ± 0.0156,0.8270 ± 0.0098,0.8564 ± 0.0100,0.8317 ± 0.0064,0.9306 ± 0.0086,0.8462 ± 0.0060,0.7037 ± 0.0278,0.6689 ± 0.0095,0.8671 ± 0.0138,0.8139 ± 0.0093,0.8462 ± 0.0060,0.8232 ± 0.0057,0.9268 ± 0.0062
26,svm,mutual_info,SMOTE,0.6615 ± 0.0126,0.6585 ± 0.0222,0.8505 ± 0.0165,0.7021 ± 0.0536,0.6646 ± 0.0176,0.8688 ± 0.0184,0.8149 ± 0.0215,0.8505 ± 0.0165,0.8233 ± 0.0144,0.9296 ± 0.0094,0.8459 ± 0.0062,0.6983 ± 0.0295,0.6646 ± 0.0091,0.8644 ± 0.0121,0.8113 ± 0.0102,0.8459 ± 0.0062,0.8212 ± 0.0061,0.9257 ± 0.0057
27,svm,spearman_sulov,SMOTE,0.6657 ± 0.0097,0.6673 ± 0.0146,0.8553 ± 0.0128,0.7198 ± 0.0441,0.6715 ± 0.0111,0.8688 ± 0.0151,0.8228 ± 0.0154,0.8553 ± 0.0128,0.8285 ± 0.0103,0.9298 ± 0.0084,0.8462 ± 0.0047,0.7034 ± 0.0270,0.6674 ± 0.0067,0.8680 ± 0.0130,0.8133 ± 0.0076,0.8462 ± 0.0047,0.8225 ± 0.0039,0.9274 ± 0.0059
28,svm,chi2,SMOTE,0.6599 ± 0.0108,0.6601 ± 0.0227,0.8546 ± 0.0136,0.7110 ± 0.0592,0.6668 ± 0.0164,0.8665 ± 0.0185,0.8183 ± 0.0221,0.8546 ± 0.0136,0.8257 ± 0.0130,0.9288 ± 0.0097,0.8454 ± 0.0058,0.6963 ± 0.0220,0.6635 ± 0.0078,0.8652 ± 0.0128,0.8100 ± 0.0081,0.8454 ± 0.0058,0.8203 ± 0.0054,0.9260 ± 0.0060
29,svm,chi2_mi_union_topk,SMOTE,0.6612 ± 0.0113,0.6693 ± 0.0178,0.8520 ± 0.0107,0.7024 ± 0.0272,0.6732 ± 0.0122,0.8648 ± 0.0197,0.8188 ± 0.0093,0.8520 ± 0.0107,0.8281 ± 0.0072,0.9287 ± 0.0097,0.8373 ± 0.0062,0.6788 ± 0.0188,0.6632 ± 0.0081,0.8599 ± 0.0129,0.8064 ± 0.0055,0.8373 ± 0.0062,0.8180 ± 0.0043,0.9240 ± 0.0062
30,logistic_regression,spearman_corr,SMOTE,0.6622 ± 0.0139,0.6549 ± 0.0140,0.7832 ± 0.0148,0.6588 ± 0.0129,0.6583 ± 0.0156,0.8500 ± 0.0181,0.8076 ± 0.0094,0.7832 ± 0.0148,0.7927 ± 0.0104,0.9175 ± 0.0091,0.7860 ± 0.0103,0.6632 ± 0.0122,0.6660 ± 0.0148,0.8508 ± 0.0166,0.8069 ± 0.0066,0.7860 ± 0.0103,0.7950 ± 0.0086,0.9156 ± 0.0079
31,logistic_regression,mutual_info,SMOTE,0.6557 ± 0.0176,0.6528 ± 0.0278,0.7817 ± 0.0267,0.6575 ± 0.0253,0.6555 ± 0.0288,0.8474 ± 0.0197,0.8062 ± 0.0144,0.7817 ± 0.0267,0.7910 ± 0.0202,0.9147 ± 0.0093,0.7794 ± 0.0136,0.6577 ± 0.0156,0.6592 ± 0.0195,0.8424 ± 0.0172,0.8042 ± 0.0102,0.7794 ± 0.0136,0.7902 ± 0.0118,0.9100 ± 0.0085
32,logistic_regression,spearman_sulov,SMOTE,0.6601 ± 0.0182,0.6585 ± 0.0185,0.7868 ± 0.0226,0.6624 ± 0.0167,0.6619 ± 0.0195,0.8515 ± 0.0173,0.8096 ± 0.0119,0.7868 ± 0.0226,0.7956 ± 0.0162,0.9179 ± 0.0092,0.7829 ± 0.0135,0.6617 ± 0.0160,0.6640 ± 0.0201,0.8495 ± 0.0172,0.8071 ± 0.0097,0.7829 ± 0.0135,0.7934 ± 0.0118,0.9147 ± 0.0085
33,logistic_regression,chi2,SMOTE,0.6537 ± 0.0186,0.6506 ± 0.0205,0.7806 ± 0.0205,0.6549 ± 0.0179,0.6531 ± 0.0217,0.8441 ± 0.0198,0.8048 ± 0.0102,0.7806 ± 0.0205,0.7903 ± 0.0148,0.9132 ± 0.0094,0.7785 ± 0.0139,0.6555 ± 0.0169,0.6571 ± 0.0207,0.8409 ± 0.0172,0.8018 ± 0.0119,0.7785 ± 0.0139,0.7887 ± 0.0124,0.9089 ± 0.0084
34,logistic_regression,chi2_mi_union_topk,SMOTE,0.6519 ± 0.0179,0.6560 ± 0.0160,0.7795 ± 0.0131,0.6616 ± 0.0140,0.6606 ± 0.0193,0.8616 ± 0.0140,0.8123 ± 0.0082,0.7795 ± 0.0131,0.7922 ± 0.0093,0.9243 ± 0.0064,0.7737 ± 0.0152,0.6572 ± 0.0155,0.6563 ± 0.0196,0.8500 ± 0.0161,0.8084 ± 0.0097,0.7737 ± 0.0152,0.7880 ± 0.0123,0.9159 ± 0.0078
