,Model,Feature_Selection,Sampler,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
10,extra_trees,spearman_corr,RandomOverSampler,0.6319 ± 0.0138,0.6330 ± 0.0201,0.8612 ± 0.0103,0.7479 ± 0.1367,0.6558 ± 0.0117,0.8921 ± 0.0131,0.8254 ± 0.0453,0.8612 ± 0.0103,0.8186 ± 0.0112,0.9405 ± 0.0081,0.8597 ± 0.0035,0.7879 ± 0.0673,0.6538 ± 0.0071,0.8939 ± 0.0065,0.8379 ± 0.0212,0.8597 ± 0.0035,0.8180 ± 0.0053,0.9403 ± 0.0032
11,extra_trees,mutual_info,RandomOverSampler,0.6274 ± 0.0117,0.6279 ± 0.0213,0.8593 ± 0.0133,0.7466 ± 0.1394,0.6528 ± 0.0136,0.8899 ± 0.0119,0.8243 ± 0.0472,0.8593 ± 0.0133,0.8162 ± 0.0137,0.9393 ± 0.0078,0.8579 ± 0.0039,0.7765 ± 0.0753,0.6509 ± 0.0063,0.8902 ± 0.0046,0.8330 ± 0.0233,0.8579 ± 0.0039,0.8156 ± 0.0055,0.9384 ± 0.0030
12,extra_trees,spearman_sulov,RandomOverSampler,0.6296 ± 0.0133,0.6404 ± 0.0214,0.8641 ± 0.0087,0.8191 ± 0.1136,0.6605 ± 0.0115,0.8947 ± 0.0127,0.8507 ± 0.0372,0.8641 ± 0.0087,0.8226 ± 0.0090,0.9417 ± 0.0083,0.8585 ± 0.0062,0.7759 ± 0.0770,0.6521 ± 0.0083,0.8960 ± 0.0071,0.8335 ± 0.0261,0.8585 ± 0.0062,0.8167 ± 0.0076,0.9410 ± 0.0033
13,extra_trees,chi2,RandomOverSampler,0.6244 ± 0.0106,0.6321 ± 0.0127,0.8593 ± 0.0065,0.7695 ± 0.1078,0.6545 ± 0.0056,0.8903 ± 0.0127,0.8320 ± 0.0317,0.8593 ± 0.0065,0.8174 ± 0.0052,0.9396 ± 0.0088,0.8572 ± 0.0030,0.7840 ± 0.1112,0.6494 ± 0.0053,0.8895 ± 0.0072,0.8344 ± 0.0363,0.8572 ± 0.0030,0.8139 ± 0.0044,0.9379 ± 0.0040
14,extra_trees,chi2_mi_union_topk,RandomOverSampler,0.6453 ± 0.0175,0.6414 ± 0.0207,0.8553 ± 0.0078,0.7470 ± 0.0839,0.6573 ± 0.0117,0.8922 ± 0.0139,0.8236 ± 0.0253,0.8553 ± 0.0078,0.8176 ± 0.0094,0.9392 ± 0.0089,0.8566 ± 0.0060,0.7447 ± 0.0560,0.6588 ± 0.0107,0.8892 ± 0.0104,0.8242 ± 0.0193,0.8566 ± 0.0060,0.8205 ± 0.0081,0.9368 ± 0.0063
15,xgboost,spearman_corr,RandomOverSampler,0.6727 ± 0.0096,0.6669 ± 0.0247,0.8414 ± 0.0109,0.6950 ± 0.0347,0.6686 ± 0.0182,0.8787 ± 0.0154,0.8106 ± 0.0152,0.8414 ± 0.0109,0.8200 ± 0.0119,0.9322 ± 0.0090,0.8399 ± 0.0062,0.7018 ± 0.0180,0.6711 ± 0.0080,0.8807 ± 0.0054,0.8120 ± 0.0070,0.8399 ± 0.0062,0.8209 ± 0.0058,0.9323 ± 0.0030
16,xgboost,mutual_info,RandomOverSampler,0.6663 ± 0.0179,0.6729 ± 0.0202,0.8443 ± 0.0065,0.7073 ± 0.0305,0.6733 ± 0.0137,0.8770 ± 0.0141,0.8153 ± 0.0092,0.8443 ± 0.0065,0.8229 ± 0.0058,0.9310 ± 0.0083,0.8363 ± 0.0061,0.6889 ± 0.0236,0.6662 ± 0.0138,0.8765 ± 0.0075,0.8067 ± 0.0100,0.8363 ± 0.0061,0.8172 ± 0.0077,0.9304 ± 0.0042
17,xgboost,spearman_sulov,RandomOverSampler,0.6687 ± 0.0214,0.6743 ± 0.0259,0.8436 ± 0.0145,0.7123 ± 0.0483,0.6736 ± 0.0184,0.8796 ± 0.0164,0.8159 ± 0.0179,0.8436 ± 0.0145,0.8226 ± 0.0128,0.9325 ± 0.0102,0.8369 ± 0.0078,0.6947 ± 0.0303,0.6678 ± 0.0167,0.8799 ± 0.0053,0.8080 ± 0.0125,0.8369 ± 0.0078,0.8178 ± 0.0096,0.9316 ± 0.0031
18,xgboost,chi2,RandomOverSampler,0.6708 ± 0.0175,0.6670 ± 0.0255,0.8429 ± 0.0145,0.7005 ± 0.0388,0.6689 ± 0.0190,0.8785 ± 0.0147,0.8120 ± 0.0185,0.8429 ± 0.0145,0.8205 ± 0.0138,0.9319 ± 0.0093,0.8399 ± 0.0060,0.6974 ± 0.0230,0.6700 ± 0.0133,0.8792 ± 0.0064,0.8106 ± 0.0103,0.8399 ± 0.0060,0.8204 ± 0.0080,0.9316 ± 0.0032
19,xgboost,chi2_mi_union_topk,RandomOverSampler,0.6706 ± 0.0275,0.6908 ± 0.0179,0.8513 ± 0.0120,0.7304 ± 0.0328,0.6869 ± 0.0136,0.8727 ± 0.0069,0.8268 ± 0.0118,0.8513 ± 0.0120,0.8322 ± 0.0090,0.9276 ± 0.0052,0.8329 ± 0.0101,0.6856 ± 0.0344,0.6695 ± 0.0222,0.8549 ± 0.0134,0.8073 ± 0.0156,0.8329 ± 0.0101,0.8174 ± 0.0126,0.9173 ± 0.0079
20,adaboost,spearman_corr,RandomOverSampler,0.6576 ± 0.0201,0.6488 ± 0.0245,0.7886 ± 0.0241,0.6519 ± 0.0244,0.6508 ± 0.0250,0.8480 ± 0.0152,0.7984 ± 0.0163,0.7886 ± 0.0241,0.7915 ± 0.0182,0.9206 ± 0.0063,0.7819 ± 0.0147,0.6587 ± 0.0186,0.6611 ± 0.0227,0.8420 ± 0.0117,0.8029 ± 0.0134,0.7819 ± 0.0147,0.7911 ± 0.0133,0.9160 ± 0.0047
21,adaboost,mutual_info,RandomOverSampler,0.6561 ± 0.0176,0.6383 ± 0.0267,0.7813 ± 0.0267,0.6417 ± 0.0266,0.6402 ± 0.0283,0.8467 ± 0.0136,0.7931 ± 0.0195,0.7813 ± 0.0267,0.7851 ± 0.0208,0.9199 ± 0.0060,0.7855 ± 0.0077,0.6564 ± 0.0169,0.6584 ± 0.0192,0.8424 ± 0.0130,0.8006 ± 0.0103,0.7855 ± 0.0077,0.7923 ± 0.0082,0.9161 ± 0.0055
22,adaboost,spearman_sulov,RandomOverSampler,0.6529 ± 0.0186,0.6531 ± 0.0257,0.8029 ± 0.0211,0.6553 ± 0.0256,0.6548 ± 0.0254,0.8525 ± 0.0165,0.7995 ± 0.0161,0.8029 ± 0.0211,0.7999 ± 0.0165,0.9227 ± 0.0067,0.7792 ± 0.0104,0.6540 ± 0.0178,0.6562 ± 0.0214,0.8430 ± 0.0107,0.7999 ± 0.0120,0.7792 ± 0.0104,0.7883 ± 0.0104,0.9164 ± 0.0042
23,adaboost,chi2,RandomOverSampler,0.6541 ± 0.0174,0.6427 ± 0.0268,0.7864 ± 0.0278,0.6458 ± 0.0268,0.6441 ± 0.0270,0.8457 ± 0.0144,0.7952 ± 0.0181,0.7864 ± 0.0278,0.7890 ± 0.0213,0.9195 ± 0.0059,0.7847 ± 0.0076,0.6545 ± 0.0168,0.6563 ± 0.0189,0.8404 ± 0.0117,0.7996 ± 0.0106,0.7847 ± 0.0076,0.7914 ± 0.0088,0.9150 ± 0.0052
24,adaboost,chi2_mi_union_topk,RandomOverSampler,0.6479 ± 0.0194,0.6424 ± 0.0401,0.7905 ± 0.0290,0.6437 ± 0.0419,0.6446 ± 0.0389,0.8408 ± 0.0144,0.7926 ± 0.0244,0.7905 ± 0.0290,0.7903 ± 0.0249,0.9168 ± 0.0090,0.7830 ± 0.0125,0.6489 ± 0.0178,0.6492 ± 0.0211,0.8408 ± 0.0105,0.7969 ± 0.0101,0.7830 ± 0.0125,0.7893 ± 0.0109,0.9151 ± 0.0034
25,svm,spearman_corr,RandomOverSampler,0.6607 ± 0.0133,0.6607 ± 0.0156,0.8527 ± 0.0155,0.7084 ± 0.0445,0.6671 ± 0.0120,0.8811 ± 0.0139,0.8183 ± 0.0163,0.8527 ± 0.0155,0.8254 ± 0.0107,0.9352 ± 0.0083,0.8456 ± 0.0048,0.6956 ± 0.0160,0.6644 ± 0.0096,0.8681 ± 0.0137,0.8101 ± 0.0076,0.8456 ± 0.0048,0.8207 ± 0.0065,0.9272 ± 0.0064
26,svm,mutual_info,RandomOverSampler,0.6564 ± 0.0137,0.6539 ± 0.0221,0.8520 ± 0.0170,0.7057 ± 0.0668,0.6623 ± 0.0175,0.8787 ± 0.0122,0.8161 ± 0.0262,0.8520 ± 0.0170,0.8228 ± 0.0152,0.9339 ± 0.0074,0.8467 ± 0.0057,0.6953 ± 0.0216,0.6619 ± 0.0092,0.8682 ± 0.0129,0.8095 ± 0.0091,0.8467 ± 0.0057,0.8199 ± 0.0065,0.9274 ± 0.0062
27,svm,spearman_sulov,RandomOverSampler,0.6559 ± 0.0122,0.6671 ± 0.0154,0.8571 ± 0.0174,0.7305 ± 0.0539,0.6720 ± 0.0136,0.8784 ± 0.0121,0.8270 ± 0.0220,0.8571 ± 0.0174,0.8295 ± 0.0142,0.9340 ± 0.0077,0.8454 ± 0.0046,0.6887 ± 0.0151,0.6613 ± 0.0081,0.8691 ± 0.0137,0.8077 ± 0.0072,0.8454 ± 0.0046,0.8194 ± 0.0060,0.9280 ± 0.0064
28,svm,chi2,RandomOverSampler,0.6542 ± 0.0152,0.6564 ± 0.0232,0.8542 ± 0.0145,0.7078 ± 0.0654,0.6648 ± 0.0167,0.8781 ± 0.0125,0.8176 ± 0.0246,0.8542 ± 0.0145,0.8247 ± 0.0135,0.9338 ± 0.0078,0.8461 ± 0.0060,0.6914 ± 0.0258,0.6604 ± 0.0104,0.8680 ± 0.0137,0.8080 ± 0.0107,0.8461 ± 0.0060,0.8190 ± 0.0075,0.9274 ± 0.0064
29,svm,chi2_mi_union_topk,RandomOverSampler,0.6641 ± 0.0100,0.6595 ± 0.0215,0.8495 ± 0.0120,0.6872 ± 0.0277,0.6662 ± 0.0153,0.8739 ± 0.0162,0.8120 ± 0.0139,0.8495 ± 0.0120,0.8239 ± 0.0115,0.9323 ± 0.0080,0.8388 ± 0.0056,0.6809 ± 0.0165,0.6655 ± 0.0079,0.8638 ± 0.0117,0.8084 ± 0.0063,0.8388 ± 0.0056,0.8201 ± 0.0052,0.9257 ± 0.0056
30,logistic_regression,spearman_corr,RandomOverSampler,0.6632 ± 0.0163,0.6645 ± 0.0244,0.7927 ± 0.0216,0.6675 ± 0.0221,0.6679 ± 0.0258,0.8561 ± 0.0187,0.8125 ± 0.0135,0.7927 ± 0.0216,0.8000 ± 0.0168,0.9203 ± 0.0093,0.7858 ± 0.0111,0.6648 ± 0.0145,0.6676 ± 0.0179,0.8533 ± 0.0152,0.8096 ± 0.0084,0.7858 ± 0.0111,0.7959 ± 0.0096,0.9166 ± 0.0076
31,logistic_regression,mutual_info,RandomOverSampler,0.6577 ± 0.0166,0.6584 ± 0.0271,0.7850 ± 0.0236,0.6624 ± 0.0252,0.6622 ± 0.0300,0.8526 ± 0.0193,0.8101 ± 0.0162,0.7850 ± 0.0236,0.7945 ± 0.0188,0.9169 ± 0.0097,0.7794 ± 0.0129,0.6599 ± 0.0145,0.6618 ± 0.0181,0.8451 ± 0.0151,0.8058 ± 0.0085,0.7794 ± 0.0129,0.7908 ± 0.0108,0.9111 ± 0.0075
32,logistic_regression,spearman_sulov,RandomOverSampler,0.6633 ± 0.0183,0.6697 ± 0.0269,0.7949 ± 0.0267,0.6733 ± 0.0241,0.6738 ± 0.0279,0.8563 ± 0.0193,0.8164 ± 0.0139,0.7949 ± 0.0267,0.8027 ± 0.0201,0.9200 ± 0.0103,0.7866 ± 0.0136,0.6648 ± 0.0162,0.6672 ± 0.0193,0.8530 ± 0.0148,0.8097 ± 0.0101,0.7866 ± 0.0136,0.7966 ± 0.0120,0.9162 ± 0.0072
33,logistic_regression,chi2,RandomOverSampler,0.6556 ± 0.0197,0.6553 ± 0.0263,0.7839 ± 0.0217,0.6593 ± 0.0238,0.6589 ± 0.0283,0.8498 ± 0.0191,0.8084 ± 0.0146,0.7839 ± 0.0217,0.7933 ± 0.0179,0.9157 ± 0.0097,0.7792 ± 0.0132,0.6575 ± 0.0176,0.6591 ± 0.0220,0.8440 ± 0.0150,0.8037 ± 0.0109,0.7792 ± 0.0132,0.7900 ± 0.0118,0.9103 ± 0.0073
34,logistic_regression,chi2_mi_union_topk,RandomOverSampler,0.6507 ± 0.0138,0.6663 ± 0.0160,0.7886 ± 0.0127,0.6701 ± 0.0143,0.6724 ± 0.0190,0.8620 ± 0.0112,0.8162 ± 0.0094,0.7886 ± 0.0127,0.7988 ± 0.0098,0.9240 ± 0.0044,0.7726 ± 0.0122,0.6566 ± 0.0112,0.6551 ± 0.0151,0.8530 ± 0.0152,0.8089 ± 0.0070,0.7726 ± 0.0122,0.7875 ± 0.0099,0.9173 ± 0.0075
35,knn,spearman_corr,RandomOverSampler,0.6265 ± 0.0232,0.6392 ± 0.0332,0.7619 ± 0.0254,0.6537 ± 0.0267,0.6464 ± 0.0353,0.8283 ± 0.0212,0.7943 ± 0.0194,0.7619 ± 0.0254,0.7655 ± 0.0256,0.8906 ± 0.0176,0.7417 ± 0.0183,0.6445 ± 0.0206,0.6370 ± 0.0265,0.8281 ± 0.0131,0.7914 ± 0.0145,0.7417 ± 0.0183,0.7524 ± 0.0166,0.8902 ± 0.0071
36,knn,mutual_info,RandomOverSampler,0.6201 ± 0.0216,0.6290 ± 0.0303,0.7571 ± 0.0228,0.6419 ± 0.0257,0.6361 ± 0.0329,0.8222 ± 0.0237,0.7873 ± 0.0204,0.7571 ± 0.0228,0.7610 ± 0.0231,0.8852 ± 0.0182,0.7396 ± 0.0176,0.6374 ± 0.0187,0.6286 ± 0.0242,0.8257 ± 0.0083,0.7856 ± 0.0140,0.7396 ± 0.0176,0.7494 ± 0.0165,0.8877 ± 0.0054
37,knn,spearman_sulov,RandomOverSampler,0.6247 ± 0.0159,0.6364 ± 0.0360,0.7604 ± 0.0309,0.6509 ± 0.0264,0.6428 ± 0.0384,0.8221 ± 0.0258,0.7913 ± 0.0179,0.7604 ± 0.0309,0.7635 ± 0.0289,0.8857 ± 0.0191,0.7406 ± 0.0105,0.6427 ± 0.0148,0.6354 ± 0.0196,0.8249 ± 0.0106,0.7884 ± 0.0113,0.7406 ± 0.0105,0.7498 ± 0.0104,0.8859 ± 0.0064
38,knn,chi2,RandomOverSampler,0.6188 ± 0.0221,0.6201 ± 0.0302,0.7495 ± 0.0249,0.6357 ± 0.0226,0.6270 ± 0.0322,0.8218 ± 0.0260,0.7828 ± 0.0180,0.7495 ± 0.0249,0.7532 ± 0.0252,0.8840 ± 0.0191,0.7352 ± 0.0162,0.6379 ± 0.0190,0.6289 ± 0.0257,0.8237 ± 0.0117,0.7856 ± 0.0139,0.7352 ± 0.0162,0.7457 ± 0.0157,0.8845 ± 0.0075
39,knn,chi2_mi_union_topk,RandomOverSampler,0.6483 ± 0.0131,0.6462 ± 0.0279,0.7747 ± 0.0228,0.6543 ± 0.0236,0.6510 ± 0.0286,0.8338 ± 0.0243,0.7976 ± 0.0178,0.7747 ± 0.0228,0.7789 ± 0.0222,0.8977 ± 0.0197,0.7657 ± 0.0105,0.6579 ± 0.0122,0.6567 ± 0.0144,0.8319 ± 0.0096,0.8026 ± 0.0082,0.7657 ± 0.0105,0.7759 ± 0.0083,0.8939 ± 0.0073
40,gaussian_nb,spearman_corr,RandomOverSampler,0.6040 ± 0.0188,0.6245 ± 0.0417,0.7099 ± 0.0463,0.6646 ± 0.0265,0.6525 ± 0.0447,0.8441 ± 0.0247,0.8189 ± 0.0213,0.7099 ± 0.0463,0.7387 ± 0.0394,0.9074 ± 0.0151,0.6843 ± 0.0227,0.6485 ± 0.0130,0.6331 ± 0.0211,0.8349 ± 0.0120,0.8051 ± 0.0114,0.6843 ± 0.0227,0.7186 ± 0.0202,0.8973 ± 0.0062
41,gaussian_nb,mutual_info,RandomOverSampler,0.6207 ± 0.0198,0.6355 ± 0.0450,0.7326 ± 0.0537,0.6643 ± 0.0317,0.6554 ± 0.0456,0.8500 ± 0.0219,0.8177 ± 0.0246,0.7326 ± 0.0537,0.7570 ± 0.0439,0.9095 ± 0.0142,0.7123 ± 0.0247,0.6491 ± 0.0146,0.6400 ± 0.0218,0.8383 ± 0.0097,0.8043 ± 0.0122,0.7123 ± 0.0247,0.7424 ± 0.0209,0.8993 ± 0.0055
42,gaussian_nb,spearman_sulov,RandomOverSampler,0.6066 ± 0.0220,0.6226 ± 0.0447,0.7073 ± 0.0482,0.6662 ± 0.0304,0.6531 ± 0.0478,0.8472 ± 0.0257,0.8214 ± 0.0258,0.7073 ± 0.0482,0.7360 ± 0.0426,0.9099 ± 0.0157,0.6843 ± 0.0236,0.6549 ± 0.0165,0.6414 ± 0.0264,0.8378 ± 0.0133,0.8114 ± 0.0148,0.6843 ± 0.0236,0.7180 ± 0.0221,0.8996 ± 0.0074
43,gaussian_nb,chi2,RandomOverSampler,0.6115 ± 0.0210,0.6298 ± 0.0432,0.7245 ± 0.0530,0.6616 ± 0.0305,0.6510 ± 0.0433,0.8456 ± 0.0252,0.8156 ± 0.0239,0.7245 ± 0.0530,0.7501 ± 0.0433,0.9069 ± 0.0160,0.7003 ± 0.0299,0.6465 ± 0.0126,0.6339 ± 0.0192,0.8349 ± 0.0113,0.8027 ± 0.0110,0.7003 ± 0.0299,0.7316 ± 0.0259,0.8974 ± 0.0060
44,gaussian_nb,chi2_mi_union_topk,RandomOverSampler,0.6466 ± 0.0136,0.6573 ± 0.0289,0.7575 ± 0.0302,0.6752 ± 0.0230,0.6717 ± 0.0327,0.8681 ± 0.0183,0.8286 ± 0.0181,0.7575 ± 0.0302,0.7825 ± 0.0244,0.9261 ± 0.0112,0.7436 ± 0.0113,0.6667 ± 0.0114,0.6604 ± 0.0179,0.8625 ± 0.0086,0.8235 ± 0.0091,0.7436 ± 0.0113,0.7735 ± 0.0095,0.9194 ± 0.0049
