modelo,n_samples,n_samples_evaluadas,n_clusters,samples_por_grupo,silhouette,calinski_harabasz,davies_bouldin,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info,normalized_mutual_info,X_processing
agglo,986,986,3,"{0: 407, 1: 521, 2: 58}",0.07997226894815172,31.190477818578916,5.118010280997176,0.31103521840835346,0.3405322555468847,0.32511605846792446,0.3314413162265984,0.3235890239781322,0.3251160584679244,X_VX_DELTA_V2_ROS
kmeans,986,986,3,"{0: 16, 1: 658, 2: 312}",0.1694148383577776,39.94611824348696,3.407023701427075,0.2643985747533173,0.3588960568778801,0.3044839506310532,0.24052318653369892,0.30268242966451164,0.3044839506310532,X_VX_DELTA_V2_ROS
gmm,986,986,3,"{0: 136, 1: 528, 2: 322}",0.09902972314444398,47.339333190097044,4.548520922716613,0.4300187407691776,0.4203952688463126,0.4251525541455953,0.42473796193675617,0.42393041634345313,0.4251525541455953,X_VX_DELTA_V2_ROS
agglo,956,956,3,"{0: 479, 1: 405, 2: 72}",0.1288777200605316,91.14048484576281,3.2614793064283574,0.41217335702839375,0.4124034642757846,0.41228837854510775,0.41849858839277476,0.41090729694049627,0.4122883785451078,X_STATS_V2
kmeans,956,956,3,"{0: 473, 1: 338, 2: 145}",0.14967220633349756,124.35356981105782,2.88892310400483,0.5282511311084741,0.4774033909884712,0.5015417834721773,0.5327167320026927,0.5004370808513826,0.5015417834721773,X_STATS_V2
gmm,956,956,3,"{0: 473, 1: 339, 2: 144}",0.14951607207307321,124.36196455245585,2.886225055562306,0.5288747415532117,0.47839217821930896,0.5023684083141621,0.5340586966599528,0.5012649856103737,0.5023684083141621,X_STATS_V2
agglo,956,956,3,"{0: 467, 1: 473, 2: 16}",0.08522619569676526,72.92688440453324,3.3934846822832427,0.4385933114325222,0.5180074760408956,0.475004029347807,0.5247172154549982,0.4736142523183986,0.475004029347807,X_VX_STATS_V2
kmeans,956,956,3,"{0: 487, 1: 149, 2: 320}",0.14261334366282136,108.49757330720182,3.0866066037072746,0.5441149166249123,0.4928039307302721,0.5171898849474421,0.5280780044373478,0.5161187215343813,0.5171898849474421,X_VX_STATS_V2
gmm,956,956,3,"{0: 333, 1: 145, 2: 478}",0.1419157094350572,108.55990326300763,3.0768133090297582,0.5464351535972651,0.49473785362135564,0.519303042164253,0.5421802927594662,0.5182366630125557,0.519303042164253,X_VX_STATS_V2
agglo,956,956,3,"{0: 520, 1: 401, 2: 35}",0.04461301198785335,29.38612318909947,5.067167574786739,0.3522803186067333,0.390518583046887,0.37041522423187306,0.38836044825742516,0.36883062147960205,0.37041522423187306,X_VX_DELTA_V2
kmeans,956,956,3,"{0: 299, 1: 598, 2: 59}",0.13370543502617155,43.17750816372167,4.143822109961075,0.3284755438834482,0.3587847981949312,0.34296182831615407,0.3100638040897459,0.34134355026130214,0.342961828316154,X_VX_DELTA_V2
gmm,956,956,3,"{0: 648, 1: 2, 2: 306}",0.16798211381770736,37.23668933228829,2.8157075557068585,0.26674561860844725,0.3766921959153438,0.3123254199748234,0.2443287096202863,0.3104270019459373,0.31232541997482344,X_VX_DELTA_V2
