class,feature,mean_abs_shap_mean,mean_abs_shap_std,n_evaluations
0,NP3HMOVL_std,0.025893980716329007,0.0143830585671923,25
0,NP3FACXP_var,0.025812177579038233,0.014257874829706696,25
0,NP2HOBB_mean,0.025577048408361197,0.01755140662250012,25
0,NP3RTARL_max,0.0252197253730028,0.00993709177552529,25
0,NP3TTAPL_std,0.025072118565003607,0.015827168576067425,25
0,NP3RTARL_mean,0.024959273950650274,0.013731010710113104,25
0,NP3LGAGR_var,0.02484660177818722,0.013413931784966634,25
0,NP1COG_var,0.02470354208658397,0.00918306858918904,25
0,NP3RTALL_mean,0.024683191574348305,0.012450705130651475,25
0,NP3POSTR_mean,0.024477258664145393,0.02030776644427517,25
0,NP1COG_std,0.024362165465501646,0.018133966831454712,25
0,NP3RIGLU_var,0.02429763892406269,0.018339586100813248,25
0,NP1DPRS_max,0.02363684049305159,0.01660444120304595,25
0,NP3LGAGL_var,0.023512079643209907,0.016356312889781763,25
0,NP1APAT_max,0.023466178731565895,0.014763368526294892,25
0,NP2FREZ_var,0.023308385196270244,0.02098559530482125,25
0,NP3RTARL_std,0.022952939205162334,0.012231112254847246,25
0,NP1SLPD_std,0.02265749280695184,0.020343255608830213,25
0,NP2FREZ_mean,0.022610872101685178,0.012943889793215662,25
0,NP3GAIT_var,0.02257065675840987,0.012975503658343965,25
0,NP3FRZGT_mean,0.022514994973843367,0.01825901625489584,25
0,NP3KTRML_mean,0.02248728586708855,0.01815601120668582,25
0,NP3RIGN_min,0.02230275322747298,0.016579673595095882,25
0,NP3HMOVR_var,0.02215527155560712,0.016849421825732933,25
0,NP2SALV_mean,0.021991131344443447,0.01877435877553475,25
0,NP1LTHD_max,0.021914706663170237,0.012514690251059205,25
0,NP2TURN_std,0.0218165520000086,0.02111193958241515,25
0,NP1DPRS_std,0.021749946434900337,0.016022794749223655,25
0,NP1PAIN_max,0.021676776577218893,0.013177801783345395,25
0,NP2TURN_max,0.021596792684700022,0.020258039037741284,25
0,NP1COG_max,0.021203698324328127,0.014612104866783408,25
0,SEX,0.020894280980102615,0.012505725124742245,25
0,NP1PAIN_var,0.020858839731984578,0.011803058754105943,25
0,NP2SALV_std,0.020805748549890257,0.012991704857897357,25
0,NP3TTAPR_var,0.020587439342589647,0.015240474742185489,25
0,NP2FREZ_min,0.020238194200565635,0.011154921041549883,25
0,NP3RTALJ_mean,0.020062864689538554,0.013396675336105507,25
0,NP3FRZGT_var,0.020048851643005426,0.017152547935780277,25
0,NP1SLPN_std,0.019925426689922237,0.015334693174393272,25
0,NP2RISE_min,0.019885606199881556,0.009873890238535537,25
0,NP2HYGN_min,0.019884614762838232,0.016107559822376594,25
0,NP1ANXS_std,0.019818031918301737,0.01349951411078466,25
0,NP3POSTR_std,0.01973224087219499,0.018825648410255538,25
0,NP1APAT_std,0.019630146114054933,0.014842599385895425,25
0,NP2SALV_min,0.01956244478102755,0.012937092381776696,25
0,NP1URIN_min,0.01952856504857598,0.009711543975426359,25
0,NP1URIN_mean,0.019388716035040852,0.00950362541850222,25
0,NP3POSTR_var,0.01936908266327164,0.023304467105392277,25
0,NP2SWAL_mean,0.019311615509334995,0.017644996623899064,25
0,NP1LTHD_std,0.019247740974679482,0.011232039688643258,25
0,NP1HALL_max,0.019078096597603896,0.014908413984319363,25
0,NP2FREZ_std,0.019073193067219704,0.01366591765489457,25
0,NP3PSTBL_var,0.019057790906921668,0.011471534754746434,25
0,NP3RTARL_var,0.018894833587378708,0.011883951934302724,25
0,NP3KTRMR_max,0.018599222142323693,0.014187570937601274,25
0,NP2SALV_max,0.01842444821424644,0.011386790255081315,25
