seed,fold,feature,mean_abs_shap
7,1,NP1PAIN_min,0.011307602770510272
7,1,NP2SALV_var,0.011158912190009685
7,1,NP2SWAL_var,0.010998478080159536
7,1,NP1FATG_var,0.010873816106683714
7,1,NP1DDS_max,0.01076536773676597
7,1,NP3LGAGR_var,0.010750170023394626
7,1,NP3RISNG_var,0.010733640304234425
7,1,NP1CNST_var,0.010732403819518383
7,1,NP2FREZ_var,0.010567465430209151
7,1,NP1CNST_std,0.010537894516482838
7,1,NP3PSTBL_var,0.010454275650032301
7,1,NP2SALV_min,0.010400406904613337
7,1,NP2WALK_std,0.010355523508144287
7,1,NP3GAIT_std,0.010332424815998265
7,1,NP1DPRS_mean,0.010235528597195646
7,1,NP1LTHD_var,0.010138467670262327
7,1,NP3RTARL_max,0.010099895571785509
7,1,NP1PAIN_mean,0.010066857086649578
7,1,NP3GAIT_var,0.00998749501857665
7,1,NP1DDS_mean,0.009837367476289471
7,1,NP1LTHD_max,0.009737922831273364
7,1,NP3KTRMR_max,0.009732003168760122
7,1,NP1COG_var,0.009574634980322851
7,1,NP3FRZGT_max,0.009550139733518604
7,1,ENRLLRRK2,0.009504800106274212
7,1,NP3KTRML_var,0.009495805335841481
7,1,NP3RIGRL_min,0.009466850356918098
7,1,NP3KTRMR_mean,0.009464395377995344
7,1,NP3LGAGL_var,0.009427289857561685
7,1,NP3PTRML_mean,0.009286213557699404
7,1,NP3PTRML_std,0.009189602858422094
7,1,NP1DPRS_min,0.008937756899552146
7,1,NP2HYGN_var,0.008930412209857599
7,1,NP2FREZ_mean,0.008923782188911537
7,1,NP3SPCH_var,0.008841318080915567
7,1,NP2FREZ_max,0.008835058659298041
7,1,NP1COG_std,0.008782593759037914
7,1,NP1SLPN_mean,0.00877687026915847
7,1,NP1ANXS_min,0.008771665747915018
7,1,NP3HMOVR_var,0.008712286666655394
7,1,NP1SLPN_std,0.008661676177388878
7,1,SEX,0.008650439509286099
7,1,NP3FTAPL_std,0.008634656661445153
7,1,NP2WALK_var,0.008596545619555885
7,1,NP3POSTR_var,0.00858236262173455
7,1,NP1DDS_var,0.008557760848761142
7,1,NP1FATG_max,0.008446610426662286
7,1,NP2EAT_mean,0.00838676821840433
